obs,time,elapsed,date,hhmmss,averaging,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,αVc,Edyn,Hr,Hs,dHs/dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,F:MN,F:SLP,F:SD,F:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
1,1784210705,0,20260716 09:05:05,09:05:05,15,1784210697,0.000216793,0.216793461,1.845313574,402.051871,-59.68710707,-6.065521489,40.85730375,0.006529759,2.956025022,0.006521756,0.004076816,266.148266,33.56716119,32.26585161,4.847407938,32.87268488,1.576097115,4.794549398,3.271310823,-9.560591647,-30.90965573,-2.375297547,223.3027211,3.640394039,0.230753721,1.845313574,414.8642314,410.2882061,0.216792652,66.74421798,0.216793461,15.18658806,15.52885636,0.000213941,78.43,0,0,1,0,52787.02243,1499.993548,1273.854319,0.849239866,0.177432941,6,0.5,0: Broadleaf,2,TRUE,1784210697,402.051871,408.0702258,15.5094129,15.14317742,445.568129,19.96296452,372.1783548,101.5219677,0.10000369,32.07189677,32.26585161,999.9,0,0,9999.516774,0,36.99389677,-6.018329032,408.3856774,414.3446452,0.366237871,408.0702258,15.14317742,1.574547419,1.537365806,13.71193226,13.34488387,1499.993548,0.692005065,0.307994935,0,2.535241935,0,18709.11935,13609.53871,44.881,46.562,45.659,45.25,44.639,1038.002258,461.9912903,0,1784210663,0,1784209725,08:48:44,1784209707,1784209725,2,-2.56,0.064,-44.032,-4.347,420,15,0.73,0.09,-7.687360976,32.96624153,3.507536775,0,2.567855882,-0.702987009,0.228094243,1,0.392179561,-0.524060969,0.053439994,0,1,3,1/3,2.95077,2.76453,0.107089,0.0998023,0.102159,0.0842015,27564,18407,31642.5,22272.8,38264.5,27708.6,45447.6,32560.6,1.6517,2.6692,0.109881,0,30.488,999.9,71,29.8,29.4555,61.8149,96.9231,3,0.275473,0,20.3054,5.2122,12.0305,4.95975,3.301,7699.3,9999,9999,114.9,4.97297,1.87531,1.88156,1.88104,1.87878,1.87442,1.87453,1.87683,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-43.576,-4.4573,-27.9105,-0.0398068,1.13121E-05,-1.30028E-09,-1.548960398,-0.229565736,0.008659861,-0.000222848,3,2129,1,23,16.6,16.3,0.158691,4.99878,2.89795,2.90527,2.99805,2.28271,34.3269,16.0233,2,393.444,1369.17,30.7187,30.8004,30.0008,30.3921,30.1857,-1,40,10,-999.9,400,20,99.4412,85.5601
2,1784210825,120,20260716 09:07:05,09:07:05,15,1784210817,9.92928E-05,0.099292762,1.601114863,424.8678387,-452.2252362,-45.9570594,43.17688385,0.00291966,2.955800575,0.002918058,0.00182393,266.1531919,33.90579936,32.58822903,4.936388107,32.57797628,1.589446851,4.878899897,3.346941256,-4.378810784,-33.0971291,-2.551487718,226.1257643,5.272292047,0.078913634,1.601114863,441.1586747,435.5048909,0.427915055,66.74421798,0.099292762,15.52052513,15.66968182,0.000888074,78.43,0,0,1,0,52727.27891,1500.017742,1273.875194,0.849240084,0.177433363,6,0.5,0: Broadleaf,2,TRUE,1784210817,424.8678387,433.3686129,15.64042581,15.51597097,469.0964194,20.11726774,374.4943548,101.5241935,0.100076206,32.38053226,32.58822903,999.9,0,0,9998.024194,0,27.48256774,-8.500754194,431.6185806,440.1986774,0.12445129,433.3686129,15.51597097,1.587882903,1.575248065,13.84170645,13.71877742,1500.017742,0.691997097,0.308002806,0,2.598906452,0,18096.34194,13609.7129,45.308,46.875,46.054,45.56606452,45,1038.008065,462.0096774,0,1784210783,0,1784209725,08:48:44,1784209707,1784209725,2,-2.56,0.064,-44.032,-4.347,420,15,0.73,0.09,-9.265270244,24.22097017,2.580360757,0,2.558973529,0.616490446,0.214688975,1,0.130030537,-0.00438899,0.020794212,1,2,3,2/3,2.95405,2.76466,0.111556,0.104595,0.102693,0.0853458,27419.7,18302.4,31636.2,22265.7,38234.5,27665.1,45438.6,32550.4,1.65723,2.66548,0.119824,0,30.6591,999.9,71.3,30.1,30.0952,61.8149,96.6026,3,0.294426,0,20.3055,5.21609,12.0296,4.95965,3.30098,7699.3,9999,9999,114.9,4.97291,1.87531,1.88156,1.88109,1.8788,1.87443,1.87454,1.87683,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-44.349,-4.4822,-27.9105,-0.0398068,1.13121E-05,-1.30028E-09,-1.548960398,-0.229565736,0.008659861,-0.000222848,3,2129,1,23,18.6,18.3,0.158691,4.99878,2.89795,2.90527,2.99805,2.30835,34.5321,16.0233,2,397.988,1370.19,31.046,31.0565,30.0009,30.6754,30.4798,-1,40,10,-999.9,400,20,99.4217,85.5331
3,1784210945,240,20260716 09:09:05,09:09:05,15,1784210937,0.00012943,0.12943023,0.627910096,437.4100323,149.2890923,15.17179029,44.45263332,0.003699973,2.956707496,0.003697402,0.002311107,266.1494837,34.22615411,32.88764516,5.020300448,31.75462324,1.578270948,4.97020839,3.4420295,-5.707873158,-28.40698158,-2.196009408,229.8386195,-8.237102917,0.121761316,0.627910096,426.9710618,434.9885455,-1.281051752,66.7501279,0.12943023,15.31168921,15.51466545,-9.33513E-05,78.43,0,0,1,0,52696.61072,1500.006129,1273.864478,0.849239515,0.177432264,6,0.5,0: Broadleaf,2,TRUE,1784210937,437.4100323,424.4232903,15.53004839,15.33982903,482.0254194,19.98725161,378.1014516,101.5269677,0.0999499,32.70943548,32.88764516,999.9,0,0,10002.89677,0,25.78585484,12.98678387,444.3102581,431.0353871,0.190224548,424.4232903,15.33982903,1.57671871,1.557407097,13.73315161,13.54369032,1500.006129,0.692015355,0.307984613,0,2.5319,0,17897.1871,13609.69677,45.671,47.23780645,46.437,45.921,45.36280645,1038.02871,461.9777419,0,1784210903,0,1784209725,08:48:44,1784209707,1784209725,2,-2.56,0.064,-44.032,-4.347,420,15,0.73,0.09,10.69375468,39.64543409,4.71612311,0,2.519961765,0.106663101,0.257983671,1,0.175064707,0.304990704,0.031298709,0,1,3,1/3,2.95648,2.76464,0.111264,0.100316,0.10196,0.0843604,27422,18390,31629.5,22266.6,38257,27695.9,45427.6,32552.2,1.66097,2.6627,0.126176,0,30.859,999.9,70.2,30.3,29.9693,61.8749,73.105,3,0.311776,0,20.3053,5.21609,12.0297,4.9597,3.301,7699.3,9999,9999,114.9,4.97294,1.87531,1.88156,1.88109,1.87878,1.87444,1.87454,1.87683,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-44.311,-4.4542,-27.9105,-0.0398068,1.13121E-05,-1.30028E-09,-1.548960398,-0.229565736,0.008659861,-0.000222848,3,2129,1,23,20.6,20.3,0.158691,4.99878,2.89795,2.91016,2.99805,2.29126,34.7379,16.0058,2,401.42,1371.9,31.3567,31.2876,30.0008,30.9249,30.7388,-1,40,10,-999.9,400,20,99.3987,85.5372
4,1784211065,360,20260716 09:11:05,09:11:05,15,1784211057,4.2724E-05,0.042723955,0.897901594,407.4435161,-777.5866431,-79.02864963,41.40980451,0.001201882,2.95540908,0.001201611,0.000751031,266.1496032,34.4722051,33.04451935,5.064758389,31.17511378,1.569065754,5.033071458,3.495692636,-1.884126394,-17.79533011,-1.378845894,245.0913008,-2.221642492,0.044866481,0.897901594,407.400679,409.8792788,-0.55750178,66.7501279,0.042723955,15.3783945,15.44500545,1.29715E-05,78.43,0,0,1,0,52621.0674,1499.998065,1273.858432,0.849240051,0.177433298,6,0.5,0: Broadleaf,2,TRUE,1784211057,407.4435161,403.9487419,15.43850968,15.36844516,451.1291613,19.87957742,378.284,101.5332258,0.100013823,32.93283226,33.04451935,999.9,0,0,9994.914194,0,23.84155806,3.494814129,413.8324839,410.2536452,0.070072329,403.9487419,15.36844516,1.567523226,1.560408387,13.64319677,13.5732871,1499.998065,0.691997839,0.308002161,0,2.550212903,0,17604.70645,13609.53871,45.937,47.504,46.683,46.187,45.651,1037.996129,462.0019355,0,1784211023,0,1784209725,08:48:44,1784209707,1784209725,2,-2.56,0.064,-44.032,-4.347,420,15,0.73,0.09,1.826408976,28.12839537,3.794117867,0,2.559820588,-0.022812834,0.239161336,1,0.071353356,-0.024933627,0.006803466,1,2,3,2/3,2.95676,2.76451,0.106794,0.0989462,0.101627,0.0848079,27555.4,18416.2,31625.2,22265,38266.7,27679.8,45422.1,32549.4,1.66007,2.65812,0.129715,0,30.9557,999.9,69.5,30.5,30.0112,61.6049,35.5128,3,0.324733,0,20.3051,5.21355,12.0288,4.95975,3.301,7699.3,9999,9999,115,4.97296,1.87531,1.88156,1.8811,1.87879,1.87449,1.87454,1.87683,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-43.557,-4.4423,-27.9105,-0.0398068,1.13121E-05,-1.30028E-09,-1.548960398,-0.229565736,0.008659861,-0.000222848,3,2129,1,23,22.6,22.3,0.158691,4.99878,2.89795,2.90649,2.99805,2.29004,34.9214,16.0058,2,402.094,1369.94,31.6051,31.4765,30.0004,31.1318,30.9516,-1,40,10,-999.9,400,20,99.386,85.5305
5,1784211185,480,20260716 09:13:05,09:13:05,15,1784211177,3.23495E-05,0.032349486,1.231969554,433.2234516,-1727.59822,-175.5857454,44.03099158,0.00089685,2.954848708,0.000896699,0.00056045,266.147579,34.75181231,33.33412903,5.147733912,31.35522054,1.602870571,5.111973521,3.544863341,-1.426612347,-19.80326969,-1.538985915,243.3787111,4.028739708,0.025294566,1.231969554,446.9058052,442.9961758,0.272941166,66.7501279,0.032349486,15.71231816,15.76396848,-0.000131944,78.43,0,0,1,0,52557.48638,1499.991935,1273.852742,0.849239727,0.177432673,6,0.5,0: Broadleaf,2,TRUE,1784211177,433.2234516,439.6381613,15.77073548,15.73120323,477.7102581,20.2710129,377.8532258,101.5357419,0.100010739,33.20981613,33.33412903,999.9,0,0,9991.48871,0,26.0934871,-6.414686806,440.1652258,446.6647097,0.039530508,439.6381613,15.73120323,1.601294516,1.597280968,13.97126129,13.9325871,1499.991935,0.692008742,0.307991258,0,2.531487097,0,17480.90968,13609.52903,46.12093548,47.687,46.875,46.33435484,45.85467742,1038.008065,461.983871,0,1784211143,0,1784209725,08:48:44,1784209707,1784209725,2,-2.56,0.064,-44.032,-4.347,420,15,0.73,0.09,-8.0333925,35.98171655,3.533376377,0,2.546485294,-0.099781511,0.233199259,1,0.02129981,0.346080587,0.035290474,0,1,3,1/3,2.95565,2.76443,0.112707,0.104882,0.102951,0.0860207,27367.8,18289.9,31619.8,22259.4,38203.9,27635.6,45414.4,32540.7,1.65718,2.65237,0.133011,0,31.1983,999.9,69.7,30.7,30.4443,61.8149,0.592949,3,0.336601,0,20.3055,5.21549,12.0309,4.95975,3.301,7699.3,9999,9999,115,4.97295,1.87531,1.88156,1.8811,1.87879,1.87447,1.87454,1.87683,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-44.574,-4.499,-27.9105,-0.0398068,1.13121E-05,-1.30028E-09,-1.548960398,-0.229565736,0.008659861,-0.000222848,3,2129,1,23,24.6,24.3,0.158691,4.99878,2.89795,2.91016,2.99805,2.30225,35.1286,16.0058,2,401.501,1365.48,31.8429,31.6343,30.0005,31.3079,31.1351,-1,40,10,-999.9,400,20,99.3692,85.5081
6,1784211305,600.0999999,20260716 09:15:05,09:15:05,15,1784211297,3.69582E-05,0.036958156,0.477914951,400.5060968,-368.867265,-37.49076557,40.70645896,0.000995254,2.955999639,0.000995068,0.000621934,266.1512956,35.05390761,33.65205161,5.240180563,30.61830482,1.592106013,5.199850292,3.648074551,-1.62985469,-22.00660581,-1.714763195,240.800072,-1.705076368,0.04940043,0.477914951,404.203674,404.8196788,-0.196879354,66.7501279,0.036958156,15.59129658,15.64953697,-3.64911E-05,78.43,0,0,1,0,52538.27742,1500.003871,1273.863706,0.849240279,0.177433739,6,0.5,0: Broadleaf,2,TRUE,1784211297,400.5060968,397.822129,15.66454516,15.58710323,443.9739032,20.14570645,376.7462258,101.5375484,0.100002929,33.51396129,33.65205161,999.9,0,0,9997.838387,0,28.74701613,2.684050548,406.8797742,404.1211613,0.07743891,397.822129,15.58710323,1.59053871,1.582675484,13.86744194,13.79114516,1500.003871,0.691990935,0.308009065,0,2.5464,0,17434.39355,13609.56452,46.379,48.04,47.183,46.645,46.11077419,1037.98871,462.0151613,0,1784211263,0,1784209725,08:48:44,1784209707,1784209725,2,-2.56,0.064,-44.032,-4.347,420,15,0.73,0.09,2.756245537,-5.903319049,2.169277379,0,2.560085294,0.194666157,0.181671771,1,0.074796727,-0.021749631,0.021802149,1,2,3,2/3,2.95518,2.76449,0.105767,0.0973631,0.102418,0.0852607,27577.1,18443.6,31615.1,22260.1,38220.6,27659.3,45407,32541.9,1.65515,2.6531,0.133842,0,31.499,999.9,68.7,30.9,30.3533,61.8641,-25.2885,3,0.349456,0,20.3054,5.21579,12.0296,4.9597,3.301,7699.3,9999,9999,115,4.97295,1.87531,1.88156,1.8811,1.87879,1.87448,1.87454,1.87683,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-43.398,-4.4782,-27.9105,-0.0398068,1.13121E-05,-1.30028E-09,-1.548960398,-0.229565736,0.008659861,-0.000222848,3,2129,1,23,26.6,26.3,0.158691,4.99878,2.89795,2.90894,2.99805,2.26807,35.3133,15.9708,2,401.365,1370.47,32.1206,31.8016,30.0006,31.4814,31.3137,-1,40,10,-999.9,400,20,99.3536,85.5111
7,1784211425,720.0999999,20260716 09:17:05,09:17:05,15,1784211417,-5.09725E-05,-0.050972475,0.749634853,407.0312581,1255.503911,127.6068571,41.36982699,-0.001333429,2.956393856,-0.001333763,-0.000833572,266.1497612,35.34413216,33.94281935,5.325991893,29.81066929,1.573530383,5.278413467,3.752461511,2.247886157,-25.6147289,-2.001105642,240.7818128,1.722024241,-0.125374432,0.749634853,415.915656,414.1282727,0.080846163,66.7501279,-0.050972475,15.74267134,15.56826485,0.011353723,78.43,0,0,1,0,52503.62682,1500.007742,1273.865843,0.849239512,0.177432258,6,0.5,0: Broadleaf,2,TRUE,1784211417,407.0312581,409.6992581,15.48171935,15.6788,450.7040323,19.9304129,375.7855161,101.5379677,0.099992903,33.78210968,33.94281935,999.9,0,0,10000.03355,0,28.97619355,-2.667980355,413.4319355,416.2251613,-0.197068258,409.6992581,15.6788,1.571983226,1.591992903,13.68679677,13.88143871,1500.007742,0.692016097,0.307983903,0,2.480506452,0,17301.91613,13609.7,46.687,48.379,47.5,46.98170968,46.399,1038.030645,461.9783871,0,1784211383,0,1784209725,08:48:44,1784209707,1784209725,2,-2.56,0.064,-44.032,-4.347,420,15,0.73,0.09,-3.532613439,17.49243207,1.896873511,0,2.463235294,0.511712763,0.239008797,1,-0.19584261,0.00564278,0.00947915,1,2,3,2/3,2.95404,2.76446,0.107458,0.100332,0.102051,0.086115,27518.4,18380.2,31608.4,22257.4,38228.7,27629.4,45397.6,32537.4,1.6513,2.65173,0.134319,0,31.7815,999.9,68,31.2,30.5589,62.1641,-40.3045,3,0.364527,0,20.3053,5.21579,12.0293,4.95975,3.301,7699.3,9999,9999,115.1,4.973,1.87533,1.88156,1.8811,1.8788,1.87452,1.87454,1.87683,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-43.693,-4.4649,-27.9105,-0.0398068,1.13121E-05,-1.30028E-09,-1.548960398,-0.229565736,0.008659861,-0.000222848,3,2129,1,23,28.6,28.3,0.158691,4.99878,2.89795,2.90894,2.99805,2.32544,35.4754,15.9883,2,400.304,1372.51,32.3925,31.9887,30.0007,31.6685,31.4993,-1,40,10,-999.9,400,20,99.3329,85.4999
8,1784211545,840.0999999,20260716 09:19:05,09:19:05,15,1784211537,-5.36949E-05,-0.053694875,1.036527339,458.0800323,1572.215585,159.7876537,46.55565956,-0.001409949,2.956717217,-0.001410322,-0.000881418,266.1508605,35.52831719,34.09275806,5.370717404,30.65248496,1.634657437,5.332870856,3.736059966,2.367944,-20.2132703,-1.581531039,246.7240032,2.010056559,-0.07442088,1.036527339,469.8032746,466.7531818,0.19217674,66.7501279,-0.053694875,16.19124668,16.10582303,9.38552E-05,78.43,0,0,1,0,52481.29374,1500.001613,1273.861771,0.849240267,0.177433716,6,0.5,0: Broadleaf,2,TRUE,1784211537,458.0800323,461.2458387,16.08405806,16.20137419,503.3263871,20.64182258,374.4952581,101.5321935,0.099958658,33.96595161,34.09275806,999.9,0,0,10002.4371,0,30.88469032,-3.165799032,465.5682581,468.8416452,-0.117313442,461.2458387,16.20137419,1.63305,1.644960968,14.27424839,14.38656452,1500.001613,0.691991226,0.308008774,0,2.557848387,0,17214.56774,13609.56129,46.94512903,48.637,47.79,47.25,46.687,1037.987742,462.013871,0,1784211503,0,1784209725,08:48:44,1784209707,1784209725,2,-2.56,0.064,-44.032,-4.347,420,15,0.73,0.09,-3.594645366,4.198977282,0.884330516,0,2.560135294,-0.150401835,0.246978953,1,-0.114098454,0.014198877,0.021034652,1,2,3,2/3,2.95243,2.76442,0.116671,0.10971,0.104283,0.0877718,27229,18181.8,31603.1,22249.6,38127.2,27569.3,45390,32525.8,1.64715,2.64705,0.138223,0,31.8574,999.9,68.8,31.4,31.2731,61.5641,-40.4367,3,0.376827,0,20.3049,5.21265,12.0306,4.9589,3.30032,7699.3,9999,9999,115.1,4.97298,1.87531,1.88156,1.8811,1.87881,1.87451,1.87454,1.87684,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-45.284,-4.5619,-27.9105,-0.0398068,1.13121E-05,-1.30028E-09,-1.548960398,-0.229565736,0.008659861,-0.000222848,3,2129,1,23,30.6,30.3,0.158691,4.99878,2.89795,2.90283,2.99805,2.30835,35.6613,15.9708,2,398.958,1369.19,32.6051,32.161,30.0006,31.8346,31.6627,-1,40,10,-999.9,400,20,99.3162,85.4696
9,1784211665,960.0999999,20260716 09:21:05,09:21:05,15,1784211657,-7.40601E-05,-0.074060136,0.88191536,426.6357097,1112.091757,113.0177323,43.35739396,-0.00192498,2.955971278,-0.001925676,-0.001203485,266.1488187,35.64334693,34.16566129,5.392581601,30.17275617,1.618937227,5.36555964,3.773644374,3.266051997,-14.36471422,-1.125213168,253.9249433,1.483620408,-0.055337741,0.88191536,437.3349107,434.7520909,0.161282555,66.7501279,-0.074060136,16.06735149,15.94893091,0.000175791,78.43,0,0,1,0,52441.15171,1499.998065,1273.858026,0.84923978,0.177432775,6,0.5,0: Broadleaf,2,TRUE,1784211657,426.6357097,428.9787097,15.93030323,16.01769355,470.919129,20.45966129,373.8825484,101.5262903,0.09997531,34.07552258,34.16566129,999.9,0,0,9998.786129,0,34.50860968,-2.342968668,433.542129,435.961871,-0.087391094,428.9787097,16.01769355,1.617345161,1.626218387,14.12506129,14.20947097,1499.998065,0.692007,0.307993,0,2.444225806,0,17016.30968,13609.59355,47.20732258,48.83232258,48,47.437,46.915,1038.009677,461.9883871,0,1784211623,0,1784209725,08:48:44,1784209707,1784209725,2,-2.56,0.064,-44.032,-4.347,420,15,0.73,0.09,-2.824066066,15.00110844,2.959964315,0,2.452435294,-0.276797553,0.162163053,1,-0.091710534,-0.087255224,0.030200616,1,2,3,2/3,2.95177,2.76438,0.11101,0.102797,0.10358,0.0870823,27399.8,18323.9,31599.3,22251.1,38152.4,27591.7,45384.1,32527.9,1.64503,2.64037,0.141621,0,31.878,999.9,67.8,31.6,31.1749,61.8342,-29.0986,3,0.385701,0,20.3052,5.21429,12.0296,4.9598,3.301,7699.3,9999,9999,115.1,4.97301,1.87532,1.88156,1.8811,1.87879,1.8745,1.87454,1.87683,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-44.314,-4.533,-27.9105,-0.0398068,1.13121E-05,-1.30028E-09,-1.548960398,-0.229565736,0.008659861,-0.000222848,3,2129,1,23,32.6,32.3,0.157471,4.99878,2.89795,2.90771,2.99805,2.31934,35.8244,15.9708,2,398.523,1362.17,32.7678,32.2891,30.0003,31.9663,31.7948,-1,40,10,-999.9,400,20,99.3037,85.4752
10,1784211785,1080.1,20260716 09:23:05,09:23:05,15,1784211777,3.47907E-05,0.034790733,8.277158333,396.6923226,-14093.97859,-1432.299475,40.31382635,0.000887748,2.955084042,0.0008876,0.000554763,266.1476674,35.81042112,34.33107419,5.44247734,29.44461105,1.597106787,5.424105566,3.845370553,-1.534271341,-9.67861228,-0.759705219,254.1750785,23.47816185,0.033811697,8.277158333,468.1030212,423.2239879,4.412755233,66.7501279,0.034790733,15.63894058,15.69625212,-0.000268848,78.43,0,0,1,0,52382.57363,1499.990968,1273.852055,0.849239817,0.177432847,6,0.5,0: Broadleaf,2,TRUE,1784211777,396.6923226,434.4677419,15.7157,15.66218387,440.0396129,20.20605806,373.1247742,101.5249032,0.100018797,34.27032258,34.33107419,999.9,0,0,9993.89,0,30.50548387,-37.77546685,403.0260323,441.379871,0.053517774,434.4677419,15.66218387,1.595536129,1.590102903,13.91574516,13.86321613,1499.990968,0.692005935,0.307994065,0,2.5971,0,16735,13609.51935,47.37093548,48.937,48.133,47.562,47.06606452,1038.002903,461.9880645,0,1784211743,0,1784209725,08:48:44,1784209707,1784209725,2,-2.56,0.064,-44.032,-4.347,420,15,0.73,0.09,-19.91747006,-358.9755998,46.61635037,0,2.593623529,-0.119822766,0.24518404,1,0.06194471,-0.17497099,0.025052369,0,1,3,1/3,2.95136,2.76443,0.109984,0.123251,0.102463,0.0855459,27430.8,17909.5,31599,22255.9,38199.8,27645.6,45383.5,32536.5,1.64415,2.64162,0.144042,0,32.0095,999.9,66.3,31.8,30.8327,61.8642,-8.52564,3,0.391006,0,20.3055,5.21519,12.0326,4.95975,3.301,7699.3,9999,9999,115.2,4.97299,1.87536,1.88158,1.8811,1.87876,1.87453,1.87454,1.87684,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-44.148,-4.4865,-27.9105,-0.0398068,1.13121E-05,-1.30028E-09,-1.548960398,-0.229565736,0.008659861,-0.000222848,3,2129,1,23,34.6,34.3,0.157471,4.99878,2.89795,2.90039,2.99805,2.2583,35.9645,15.9533,2,398.579,1366.25,32.9263,32.3792,30.0001,32.0637,31.8957,-1,40,10,-999.9,400,20,99.3025,85.4961
