obs,time,elapsed,date,hhmmss,averaging,kam,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,αVc,Edyn,Hr,Hs,dHs/dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccH2O_hum,AccCO2_soda,AccH2O_des,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
1,1784210639,0,20260716 22:03:59,22:03:59,15,,1784210631,0.001507535,1.507534605,2.664423154,417.5398454,302.1692467,30.6965707,42.4167632,0.045161962,1.388427353,0.044361458,0.027796652,287.4317813,35.58538979,33.8333375,5.29353927,38.77437676,1.964625549,5.066813998,3.328913721,-66.4822761,-58.50455528,-9.692272106,152.7526778,3.67437382,1.465357529,2.664423154,429.3740309,426.2989091,-0.115508473,60.85730744,1.507534605,17.38749319,19.38068848,0.005080751,69.65,49,11,1.003878802,0.38788016,25363.53562,1500.009375,1261.222875,0.840809995,0.19161999,6,0.5,0: Broadleaf,2,TRUE,1784210631,417.602875,423.456,19.339275,17.37820625,431.16725,19.4424625,437.931625,101.4873125,0.100029806,33.05174375,33.8333375,999.9,0,0,4995.430625,0,29.047375,-5.85314625,425.8381875,430.945,1.96106375,423.456,17.37820625,1.962688125,1.763665,17.14648125,15.4684125,1500.009375,0.973000188,0.026999569,0,2.097875,0,20195.94375,12843.95,44.0659375,46.0974375,45,44.92925,44.10925,1459.509375,40.5,0,1784210637,0,1784210141,21:55:41,1784210141,1784210135,3,0.186,-0.213,-13.592,-0.546,422,17,0.32,0.01,-5.907112857,7.097643117,1.650889869,0,1.960930476,0.027854805,0.016413437,1,1,2,1/2,3.01271,2.75958,0.0966858,0.096105,0.0963883,0.0876768,31947.2,22986.9,33490,25717.8,38671.9,31749.4,48926.8,40186.3,1.75318,2.6469,0.193566,0,30.7009,999.9,72.763,30.051,30.6361,29.0928,-100,3,0.318755,0,20.2429,5.20516,11.956,4.96935,3.294,9999,7158,9999,112.3,4.97364,1.873,1.87079,1.87239,1.87286,1.87377,1.87331,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.568,-0.0942,-9.60490363,-0.010281863,2.60765E-06,-1.39012E-10,-1.130213308,-0.176615401,0.01337041,-8.0725E-05,6,2428,1,22,8.3,8.4,0.157471,4.99756,2.64526,2.75146,2.8479,2.23267,34.5321,15.9358,2,375.454,1237.67,30.8515,31.5188,30.0009,31.3132,31.1895,-1,40,10,-999.9,400,20,101.669,94.3126
2,1784210759,120.0999999,20260716 22:05:59,22:05:59,15,,1784210751,0.001487832,1.487831846,2.804451833,442.8122256,318.981631,32.40568439,44.98576669,0.044216946,1.389529525,0.043449883,0.027223986,287.4340533,35.81617575,33.99031333,5.340123783,38.72443282,1.986840211,5.130714814,3.353283572,-65.61338442,-53.58128356,-8.886126207,159.3532591,5.168929155,1.488712082,2.804451833,458.5505142,453.7786848,0.159559702,60.8541633,1.487831846,17.60801683,19.58958121,0.001199818,69.65,48,11,1.003797364,0.379736373,25376.69652,1500.021333,1261.23292,0.840809988,0.191619977,6,0.5,0: Broadleaf,2,TRUE,1784210751,442.8785333,450.7995333,19.55723333,17.57454,456.6482667,19.61637333,439.997,101.4910667,0.100000807,33.27506,33.99031333,999.9,0,0,5000.666,0,26.79222,-7.920832,451.7129333,458.8638667,1.982678667,450.7995333,17.57454,1.984882667,1.783658667,17.32425333,15.64430667,1500.021333,0.973002333,0.02699738,0,2.040986667,0,19816.37333,12844.08,44.312,46.27066667,45.2038,45.125,44.3204,1459.521333,40.5,0,1784210757,0,1784210141,21:55:41,1784210141,1784210135,3,0.186,-0.213,-13.592,-0.546,422,17,0.32,0.01,-8.366706667,13.40154,1.763315831,0,1.978948095,0.004384675,0.0115547,1,1,2,1/2,3.01438,2.75945,0.101145,0.101013,0.0969862,0.0885114,31772.6,22852.5,33473.3,25708,38630.4,31707.6,48905.5,40172.7,1.75505,2.64147,0.201687,0,30.7342,999.9,72.696,30.293,31.0334,28.4546,-100,3,0.336715,0,20.2426,5.19962,11.956,4.9694,3.294,9999,7158,9999,112.3,4.97362,1.87301,1.87087,1.87235,1.87286,1.87377,1.87329,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.786,-0.0516,-9.60490363,-0.010281863,2.60765E-06,-1.39012E-10,-1.130213308,-0.176615401,0.01337041,-8.0725E-05,6,2428,1,22,10.3,10.4,0.157471,4.99756,2.64526,2.74902,2.8479,2.20703,34.7379,15.9182,2,378,1235.39,31.1211,31.7574,30.0008,31.5714,31.4541,-1,40,10,-999.9,400,20,101.622,94.2791
3,1784210879,240.0999999,20260716 22:07:59,22:07:59,15,,1784210871,0.001532336,1.532335939,2.353997527,423.6350975,316.8695645,32.18987498,43.03588085,0.044445033,1.389404999,0.043670042,0.027362281,287.4335467,36.00038153,34.20116,5.403255906,37.91430698,1.967994293,5.190637651,3.435261613,-67.57601493,-53.84764002,-8.949378176,157.0605135,-2.14446224,1.601031271,2.353997527,427.0299678,427.3018788,-0.642851208,60.8541633,1.532335939,17.24109777,19.32216303,-0.00647524,69.65,47,11,1.003720989,0.372098902,25356.10091,1500.018667,1261.23068,0.84080999,0.19161998,6,0.5,0: Broadleaf,2,TRUE,1784210871,423.6908,421.7108667,19.37247333,17.24873333,437.3050667,19.46897333,441.8846,101.4871333,0.1000135,33.48228667,34.20116,999.9,0,0,5000.247333,0,24.67372,1.980078933,432.0610667,429.1125333,2.123722,421.7108667,17.24873333,1.966055333,1.750525333,17.17355333,15.35188,1500.018667,0.973003,0.0269967,0,2.145126667,0,19506.34,12844.05333,44.4874,46.43286667,45.375,45.2624,44.5,1459.518667,40.5,0,1784210877,0,1784210141,21:55:41,1784210141,1784210135,3,0.186,-0.213,-13.592,-0.546,422,17,0.32,0.01,3.544460667,-26.54018751,2.956041808,0,2.127450952,-0.170715584,0.02321946,0,0,2,0/2,3.016,2.75942,0.0966613,0.095552,0.0960618,0.0870942,31918.6,22984.3,33461.4,25701.2,38660,31747.4,48889.5,40162.8,1.7572,2.63783,0.208318,0,30.8518,999.9,71.42,30.514,30.8787,29.0546,-100,3,0.351471,0,20.2429,5.20516,11.956,4.96965,3.294,9999,7158,9999,112.3,4.97366,1.873,1.87087,1.87237,1.87286,1.87378,1.8733,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.573,-0.1076,-9.60490363,-0.010281863,2.60765E-06,-1.39012E-10,-1.130213308,-0.176615401,0.01337041,-8.0725E-05,6,2428,1,22,12.3,12.4,0.157471,4.99756,2.64526,2.74902,2.8479,2.21313,34.9444,15.9007,2,380.455,1234.82,31.3557,31.9614,30.0006,31.7896,31.6777,-1,40,10,-999.9,400,20,101.587,94.2552
4,1784210999,360.0999999,20260716 22:09:59,22:09:59,15,,1784210991,0.001477322,1.477322485,2.861546678,426.0874574,294.1811488,29.88218098,43.28089195,0.041751101,1.389825607,0.041066636,0.025727209,287.4294,36.31326425,34.52550667,5.501639433,37.57876524,1.982122079,5.274580115,3.519517354,-65.1499216,-56.67574956,-9.44471732,156.1590115,4.737355928,1.453881503,2.861546678,442.9638735,436.9262485,0.38212959,60.8541633,1.477322485,17.6329083,19.5549497,0.006608331,69.65,47,11,1.003722642,0.37226415,25344.88702,1500,1261.2147,0.8408098,0.1916196,6,0.5,0: Broadleaf,2,TRUE,1784210991,426.1552,433.3928667,19.5134,17.58838667,439.7893333,19.58144,442.6314667,101.4774667,0.100017473,33.76910667,34.52550667,999.9,0,0,5002.792667,0,23.71538,-7.237682,434.6363333,441.1521333,1.925018667,433.3928667,17.58838667,1.98017,1.784822667,17.28666667,15.65446667,1500,0.973004,0.026995673,0,2.005013333,0,19219.6,12843.9,44.625,46.55786667,45.54546667,45.41633333,44.64153333,1459.51,40.49,0,1784210997,0,1784210141,21:55:41,1784210141,1784210135,3,0.186,-0.213,-13.592,-0.546,422,17,0.32,0.01,-5.670257905,-24.12075803,2.733779782,0,1.937992857,-0.253415065,0.026112536,0,0,2,0/2,3.01676,2.75943,0.0983322,0.0981278,0.0967636,0.0885369,31850.1,22912.9,33452.2,25695.3,38620.4,31689,48877.8,40155,1.75758,2.63318,0.207704,0,31.1957,999.9,71.31,30.736,31.2284,28.8446,-100,3,0.362924,0,20.2428,5.20516,11.956,4.96965,3.294,9999,7158,9999,112.4,4.97365,1.87298,1.87083,1.87236,1.87286,1.87375,1.8733,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.655,-0.0586,-9.60490363,-0.010281863,2.60765E-06,-1.39012E-10,-1.130213308,-0.176615401,0.01337041,-8.0725E-05,6,2428,1,22,14.3,14.4,0.157471,4.99756,2.64526,2.74902,2.8479,2.20825,35.1286,15.892,2,381.767,1232.02,31.6081,32.1277,30.0006,31.9721,31.8647,-1,40,10,-999.9,400,20,101.561,94.2355
5,1784211119,480.0999999,20260716 22:11:59,22:11:59,15,,1784211111,0.001536336,1.536335627,2.238055603,419.821388,312.7291585,31.76561608,42.64356128,0.042451864,1.390178354,0.041744615,0.026152947,287.4356067,36.5770541,34.80462667,5.587547472,37.08680952,1.988658397,5.36217168,3.598889075,-67.75240117,-55.49347579,-9.27130071,154.918429,-0.085617731,1.580033522,2.238055603,426.6764332,425.5990182,-0.367582658,60.84976594,1.536335627,17.48150716,19.54215394,-0.003840263,69.65,46,10,1.003645187,0.364518688,25330.76088,1500.032667,1261.24214,0.840809782,0.191619565,6,0.5,0: Broadleaf,2,TRUE,1784211111,419.8744,420.6560667,19.57813333,17.49134,433.4574,19.63304667,443.7509333,101.4754667,0.10001876,34.06419333,34.80462667,999.9,0,0,5004.626667,0,25.21384667,-0.7816668,428.2587333,428.1448667,2.086790667,420.6560667,17.49134,1.986699333,1.774944,17.33870667,15.56784,1500.032667,0.973005333,0.02699426,0,2.066793333,0,19005.18667,12844.18,44.812,46.75,45.7332,45.5248,44.8204,1459.542667,40.49,0,1784211117,0,1784210141,21:55:41,1784210141,1784210135,3,0.186,-0.213,-13.592,-0.546,422,17,0.32,0.01,-0.354269476,-8.028701299,1.357004464,0,2.081395714,0.012672468,0.0154341,1,1,2,1/2,3.01797,2.75947,0.0962999,0.0956624,0.0966545,0.0878754,31909.6,22968,33440.1,25687.6,38613.1,31702.2,48861.7,40144.4,1.75915,2.62978,0.2102,0,31.4252,999.9,70.541,30.947,31.2684,28.8746,-100,3,0.376197,0,20.2427,5.20246,11.956,4.96955,3.294,9999,7158,9999,112.4,4.97365,1.87302,1.87086,1.87239,1.87286,1.87375,1.87332,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.56,-0.0629,-9.60490363,-0.010281863,2.60765E-06,-1.39012E-10,-1.130213308,-0.176615401,0.01337041,-8.0725E-05,6,2428,1,22,16.3,16.4,0.157471,4.99756,2.64526,2.75024,2.8479,2.23389,35.3133,15.892,2,383.653,1230.78,31.873,32.2901,30.0008,32.1443,32.0415,-1,40,10,-999.9,400,20,101.527,94.2094
6,1784211239,600.0999999,20260716 22:13:59,22:13:59,15,,1784211231,0.001468448,1.4684479,2.840623961,421.7327894,285.4758442,28.99614721,42.83593969,0.039992807,1.38993286,0.039364358,0.024658365,287.4318067,36.7971268,34.95372667,5.633913714,36.67437715,1.987045066,5.418074471,3.646868648,-64.75855241,-52.70761893,-8.821835522,161.1437998,6.407110075,1.448605908,2.840623961,441.8494664,434.4024788,0.655878741,60.84976594,1.4684479,17.71962883,19.61046182,0.007568608,69.65,46,10,1.003648402,0.364840245,25308.51635,1500.012667,1261.22534,0.840809793,0.191619586,6,0.5,0: Broadleaf,2,TRUE,1784211231,421.8001333,431.2152667,19.56306,17.65845333,435.3989333,19.62101333,445.7616,101.4712667,0.1000144,34.25034,34.95372667,999.9,0,0,5003.626,0,28.02137333,-9.414966,430.2167333,438.9668667,1.904603333,431.2152667,17.65845333,1.985088667,1.791825333,17.32586667,15.71559333,1500.012667,0.973006667,0.026992893,0,2.066193333,0,18831.99333,12844.02,45,46.9664,45.937,45.80786667,45.062,1459.522667,40.49,0,1784211237,0,1784210141,21:55:41,1784210141,1784210135,3,0.186,-0.213,-13.592,-0.546,422,17,0.32,0.01,-9.336337619,-3.858775325,0.910968833,0,1.932546667,-0.514496104,0.052322206,0,0,2,0/2,3.01947,2.75939,0.0978424,0.0979229,0.0968569,0.0888719,31843,22902.9,33428.3,25679.8,38593.1,31656.9,48846.1,40133.2,1.7606,2.6242,0.211686,0,31.5365,999.9,70.217,31.159,31.5047,28.9646,-100,3,0.389893,0,20.2432,5.20321,11.956,4.96865,3.294,9999,7158,9999,112.4,4.97368,1.87302,1.87088,1.87239,1.87286,1.87376,1.87332,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.636,-0.0463,-9.60490363,-0.010281863,2.60765E-06,-1.39012E-10,-1.130213308,-0.176615401,0.01337041,-8.0725E-05,6,2428,1,22,18.3,18.4,0.157471,4.99756,2.64526,2.74902,2.8479,2.229,35.4754,15.8657,2,385.514,1226.4,32.1098,32.4705,30.0006,32.3222,32.218,-1,40,10,-999.9,400,20,101.493,94.1822
7,1784211359,720.0999999,20260716 22:15:59,22:15:59,15,,1784211351,0.001390905,1.390905233,3.232755433,436.8473419,274.1592324,27.84688187,44.37142684,0.037122061,1.388728197,0.036579473,0.02291026,287.4304133,37.0215257,35.14498667,5.693879987,36.12705011,1.977538404,5.473844109,3.716341583,-61.33892076,-53.20199279,-8.928625833,163.9608739,10.52546095,1.29160016,3.232755433,465.7094191,454.0754848,1.333532551,60.84976594,1.390905233,17.84260082,19.5785697,0.015590617,69.65,46,10,1.003655623,0.365562252,25258.71224,1500.005333,1261.21918,0.840809797,0.191619594,6,0.5,0: Broadleaf,2,TRUE,1784211351,436.9241333,451.7748,19.46934,17.77383333,450.6454667,19.54626667,446.5034,101.4719333,0.099994853,34.43438667,35.14498667,999.9,0,0,4997.667333,0,27.86809333,-14.85065333,445.5999333,459.9501333,1.695512,451.7748,17.77383333,1.975591333,1.803543333,17.24996667,15.81744667,1500.005333,0.973007667,0.02699184,0,1.986513333,0,18689.16,12843.94667,45.187,47.17046667,46.1208,46.0124,45.25,1459.515333,40.49,0,1784211357,0,1784210141,21:55:41,1784210141,1784210135,3,0.186,-0.213,-13.592,-0.546,422,17,0.32,0.01,-14.41139524,-12.57444156,1.841466574,0,1.698192857,-0.013129091,0.008589616,1,1,2,1/2,3.0208,2.75957,0.101115,0.102305,0.0967302,0.0892067,31715.4,22784.4,33416.4,25672.4,38588.4,31636.2,48830.7,40123,1.76165,2.6189,0.212498,0,31.7084,999.9,69.497,31.37,31.5557,28.7246,-100,3,0.40299,0,20.2436,5.20456,11.956,4.96925,3.294,9999,7158,9999,112.5,4.97369,1.87301,1.87088,1.87241,1.87286,1.87375,1.87332,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.795,-0.052,-9.60490363,-0.010281863,2.60765E-06,-1.39012E-10,-1.130213308,-0.176615401,0.01337041,-8.0725E-05,6,2428,1,22,20.3,20.4,0.157471,4.99756,2.64526,2.74902,2.8479,2.22656,35.6613,15.8482,2,387.122,1222.29,32.3227,32.6408,30.0005,32.493,32.3881,-1,40,10,-999.9,400,20,101.459,94.1569
8,1784211479,840.0999999,20260716 22:17:59,22:17:59,15,,1784211471,0.001428145,1.428144986,2.656336498,480.7665602,344.8409577,35.02643892,48.83277401,0.038713525,1.389659323,0.038124205,0.023879829,287.4281333,37.03729633,35.13550667,5.690894684,37.021328,2.030571677,5.484869904,3.660323007,-62.98119387,-49.81584935,-8.355830794,166.2752593,2.032087217,1.424254791,2.656336498,493.0023181,490.005503,-0.116733452,60.84976594,1.428144986,18.12167549,19.99764606,1.78967E-05,69.65,45,10,1.003572496,0.357249621,25282.46897,1499.993333,1261.2091,0.840809804,0.191619607,6,0.5,0: Broadleaf,2,TRUE,1784211471,480.8296,484.4618,19.99130667,18.12712,494.9012,19.96152,447.6092667,101.4727333,0.10000082,34.47058,35.13550667,999.9,0,0,5002.208,0,29.63624,-3.632156667,490.6380667,493.4058,1.86418,484.4618,18.12712,2.028572667,1.839408667,17.66912667,16.12576667,1499.993333,0.973007333,0.026992193,0,2.02292,0,18624.00667,12843.85333,45.30786667,47.1912,46.187,46.1082,45.3498,1459.503333,40.49,0,1784211477,0,1784210141,21:55:41,1784210141,1784210135,3,0.186,-0.213,-13.592,-0.546,422,17,0.32,0.01,-3.90357619,2.839711948,1.279804021,0,1.858466667,0.124501558,0.013503415,0,0,2,0/2,3.02147,2.7595,0.106628,0.1059,0.0979434,0.0900674,31513.4,22688.4,33409,25667.5,38528.7,31600.2,48821.4,40116.5,1.7622,2.6162,0.217512,0,31.6332,999.9,69.943,31.562,32.1049,29.2646,-100,3,0.411822,0,20.2437,5.20441,11.956,4.9692,3.294,9999,7158,9999,112.5,4.97372,1.87302,1.87088,1.8724,1.87288,1.8737,1.87332,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-14.067,0.0308,-9.60490363,-0.010281863,2.60765E-06,-1.39012E-10,-1.130213308,-0.176615401,0.01337041,-8.0725E-05,6,2428,1,22,22.3,22.4,0.157471,4.99756,2.64526,2.7478,2.8479,2.23999,35.8244,15.8569,2,388.23,1221.14,32.4493,32.7676,30.0003,32.6252,32.5212,-1,40,10,-999.9,400,20,101.439,94.1407
9,1784211599,960.0999999,20260716 22:19:59,22:19:59,15,,1784211591,0.00138895,1.388950051,3.034806486,455.0744591,299.7900694,30.44997346,46.2223623,0.03713676,1.390107833,0.036594277,0.022919503,287.43054,37.1536892,35.23940667,5.723687711,36.5456724,2.015391175,5.514719098,3.708296536,-61.25269726,-50.29907511,-8.442449891,167.4363177,8.859815003,1.311379051,3.034806486,476.8827705,469.6737091,0.57075028,60.84430493,1.388950051,18.12587628,19.90255152,0.007345749,69.65,45,10,1.003571798,0.357179779,25287.39505,1500.006,1261.21974,0.840809797,0.191619594,6,0.5,0: Broadleaf,2,TRUE,1784211591,455.1464667,467.7608667,19.84219333,18.12814667,469.0144667,19.84313333,448.3044,101.471,0.09998772,34.56824667,35.23940667,999.9,0,0,5004.5,0,30.3327,-12.61431667,464.3607333,476.3971333,1.714046667,467.7608667,18.12814667,2.013407333,1.839481333,17.55012667,16.12638,1500.006,0.973008,0.0269915,0,2.032406667,0,18476.62667,12843.97333,45.375,47.25,46.25,46.125,45.437,1459.516,40.49,0,1784211597,0,1784210141,21:55:41,1784210141,1784210135,3,0.186,-0.213,-13.592,-0.546,422,17,0.32,0.01,-13.66029762,22.31796312,2.957603243,0,1.709770476,0.240701299,0.037236185,0,0,2,0/2,3.02214,2.7595,0.103543,0.104136,0.0976458,0.0901264,31616.1,22729.9,33403.1,25664.3,38535.9,31593.6,48813.8,40112.1,1.76268,2.61445,0.221156,0,31.6642,999.9,69.283,31.773,32.1852,29.0546,-100,3,0.418592,0,20.2434,5.20426,11.956,4.9691,3.294,9999,7158,9999,112.5,4.97368,1.87302,1.87088,1.87241,1.87287,1.87372,1.8733,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.917,0.0126,-9.60490363,-0.010281863,2.60765E-06,-1.39012E-10,-1.130213308,-0.176615401,0.01337041,-8.0725E-05,6,2428,1,22,24.3,24.4,0.15625,4.99756,2.64526,2.7478,2.8479,2.24121,35.9879,15.8394,2,389.123,1220.82,32.5606,32.8609,30.0005,32.7286,32.6285,-1,40,10,-999.9,400,20,101.422,94.1297
10,1784211719,1080.1,20260716 22:21:59,22:21:59,15,,1784211711,0.001446931,1.446930816,2.264489353,414.4766836,293.6936187,29.82936799,42.09685444,0.037253162,1.388925448,0.036706843,0.022990194,287.4296333,37.39842981,35.58744,5.834733694,35.45789433,1.985263916,5.598933478,3.849469778,-63.80964897,-55.86778053,-9.413541929,158.3386619,0.988973853,1.490686703,2.264489353,424.2005652,421.7038606,-0.108574309,60.84430493,1.446930816,17.59237218,19.51130545,-0.003829988,69.65,45,10,1.003579781,0.35797809,25231.2035,1499.995333,1261.21134,0.840810176,0.191620352,6,0.5,0: Broadleaf,2,TRUE,1784211711,414.5305333,416.6726667,19.54648667,17.60094667,428.0698,19.60781333,449.0984667,101.4662667,0.100012233,34.84134,35.58744,999.9,0,0,4998.916667,0,29.09641333,-2.142278667,422.7946,424.138,1.945541333,416.6726667,17.60094667,1.983308,1.785900667,17.31168,15.66393333,1499.995333,0.972991533,0.02700842,0,2.082806667,0,18350.96667,12843.82,45.437,47.312,46.3498,46.18286667,45.5,1459.486667,40.50866667,0,1784211717,0,1784210141,21:55:41,1784210141,1784210135,3,0.186,-0.213,-13.592,-0.546,422,17,0.32,0.01,-2.736963333,4.613621766,1.219753717,0,1.935949524,0.062943117,0.02224067,1,1,2,1/2,3.02299,2.75954,0.0955034,0.0946876,0.0963808,0.0881718,31894.9,22967.7,33398.6,25662.7,38586.3,31658.6,48807.9,40110.1,1.76425,2.61297,0.223897,0,32.0028,999.9,67.623,31.965,31.7631,29.3246,-100,3,0.424126,0,20.2436,5.20381,11.956,4.969,3.294,9999,7158,9999,112.6,4.9737,1.87302,1.87088,1.87241,1.87286,1.87372,1.87332,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.53,-0.0691,-9.60490363,-0.010281863,2.60765E-06,-1.39012E-10,-1.130213308,-0.176615401,0.01337041,-8.0725E-05,6,2428,1,22,26.3,26.4,0.15625,4.99756,2.64526,2.7478,2.8479,2.2583,36.152,15.8044,2,390.513,1220.58,32.7232,32.9422,30.0003,32.8168,32.7204,-1,40,10,-999.9,400,20,101.409,94.1246
