obs,time,elapsed,date,hhmmss,averaging,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,αVc,Edyn,Hr,Hs,dHs/dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,F:MN,F:SLP,F:SD,F:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
1,1784645031,0,20260721 09:43:50,09:43:50,15,1784645023,0.002667864,2.667864454,7.269619741,417.848,292.7894655,29.61515245,42.2646088,0.106948292,2.946632551,0.104837707,0.065709725,266.1516541,31.19963929,30.42299667,4.365066605,43.07720672,1.870428027,4.342036471,2.494638578,-117.6528224,-14.67114471,-1.111210715,132.7164763,11.72125294,2.699710345,7.269619741,445.8447634,430.5369152,0.743868141,66.78174179,2.667864454,14.71092435,18.46473212,-0.000718863,78.43,0,0,1,0,52809.05355,1500.016333,1273.87333,0.849239639,0.177432504,6,0.5,0: Broadleaf,2,TRUE,1784645023,417.848,436.2412667,18.49194,14.69888,461.2191333,23.45205667,419.153,101.0482667,0.100018843,30.33064333,30.42299667,999.9,0,0,9992.953,0,120.9479,-18.39298333,425.7205333,442.7491667,3.793065333,436.2412667,14.69888,1.868579667,1.485295667,16.37258333,12.81763333,1500.016333,0.692011333,0.307988667,0,2.48647,0,15189.77667,13609.76,42.93286667,44.75,43.7624,43.3372,42.6912,1038.029333,461.987,0,1784644985,0,1784644962,09:42:41,1784644962,1784644962,1,-0.033,0.332,-43.902,-4.236,435,15,0.11,0.04,-17.15176098,-25.82461254,2.630899559,0,2.549702941,-0.347909854,0.229034674,1,3.813906585,-0.440295052,0.043506481,0,1,3,1/3,2.99773,2.76484,0.110526,0.106616,0.114248,0.0822159,27514.2,18297,31698.6,22302.3,37806.4,27807.8,45526.6,32603.1,1.76305,2.6992,0.102248,0,28.7912,999.9,79.5,27.5,28.9974,61.7394,-100,3,0.124477,0,20.3068,5.21804,12.0285,4.95965,3.301,7700.8,9999,9999,118.7,4.97298,1.87516,1.88141,1.88095,1.87866,1.87439,1.87444,1.87672,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-43.533,-4.9534,-27.29005241,-0.03980678,1.13121E-05,-1.30028E-09,-1.464801879,-0.229565736,0.008659861,-0.000222848,3,2129,1,23,1.1,1.1,0.158691,4.99878,2.89795,2.91016,2.99805,2.29492,31.7392,15.892,2,443.763,1370.96,29.1352,28.9012,30.0008,28.5152,28.3359,-1,40,10,-999.9,400,20,99.6156,85.6723
2,1784645156,125.5,20260721 09:45:56,09:45:56,15,1784645148,0.003381288,3.38128838,6.205948771,426.9057667,345.5941465,34.95959876,43.18491636,0.151421255,2.94754267,0.147228724,0.092384966,266.1349362,31.00234284,30.34885,4.346568267,48.33902949,2.097347768,4.338828872,2.249220499,-149.1148176,-4.942566018,-0.374079449,111.7034732,15.61087991,4.185918159,6.205948771,464.5057308,446.2459091,1.435056997,66.79762482,3.38128838,14.89872054,20.16711939,-0.066994823,78.43,0,0,1,0,52837.71336,1499.915333,1273.78818,0.849240055,0.177433306,6,0.5,0: Broadleaf,2,TRUE,1784645148,426.9057667,451.9227667,20.73339333,14.83911333,470.5576,25.62152333,417.2652,101.058,0.09995974,30.31774667,30.34885,999.9,0,0,9997.159667,0,74.30797,-25.01709,435.9421333,458.7303,5.894271667,451.9227667,14.83911333,2.095275333,1.499611333,18.18087,12.96414667,1499.915333,0.691997533,0.3080025,0,2.634116667,0,45443.15333,13608.79,43.125,44.937,44,43.4895,42.875,1037.938667,461.9766667,0,1784645110,0,1784644962,09:42:41,1784644962,1784644962,1,-0.033,0.332,-43.902,-4.236,435,15,0.11,0.04,-20.51064475,-73.99068552,8.720296121,0,2.618344118,0.147482046,0.324269682,1,6.1844895,-6.574807205,0.635173471,0,1,3,1/3,2.99585,2.76481,0.113172,0.110226,0.119626,0.0830033,27424.6,18218.3,31690.6,22297.3,37561.3,27778.2,45510.6,32596.8,1.75532,2.69775,0.10483,0,28.6697,999.9,79.1,27.8,29.3594,61.6194,-100,3,0.141517,0,20.307,5.21714,12.0291,4.95975,3.301,7700.8,9999,9999,118.7,4.97298,1.87516,1.88143,1.88095,1.87869,1.87439,1.8745,1.87678,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-43.993,-4.8881,-27.29005241,-0.03980678,1.13121E-05,-1.30028E-09,-4.888146843,0,0,0,3,2129,1,23,3.2,3.2,0.158691,4.99878,2.89795,2.91138,2.99805,2.26929,31.9805,15.8745,2,441.025,1375.17,29.2895,29.1484,30.0008,28.7721,28.6069,-1,40,10,-999.9,400,20,99.5846,85.6547
3,1784645276,245.5,20260721 09:47:56,09:47:56,15,1784645268,0.002809453,2.809452796,5.629863462,421.3120645,323.3834033,32.71599828,42.62322877,0.111026224,2.947611144,0.108754198,0.068171634,266.1480289,31.48308308,30.70003226,4.434790621,43.03500637,1.903181357,4.422402871,2.531609264,-123.8968683,-7.777441863,-0.590618876,133.8830999,3.472658626,2.885632433,5.629863462,434.2949507,427.0066909,-0.146156623,66.79762482,2.809452796,14.73592559,18.75857939,-0.007205394,78.43,0,0,1,0,52781.88976,1499.983871,1273.846868,0.849240377,0.177433927,6,0.5,0: Broadleaf,2,TRUE,1784645268,421.3120645,428.061129,18.81211935,14.73633548,464.7906129,23.70025806,416.8053548,101.0679032,0.099930206,30.65109032,30.70003226,999.9,0,0,9996.569032,0,101.5245613,-6.748993548,429.3897742,434.4635484,4.075779677,428.061129,14.73633548,1.901301935,1.48937129,16.64547097,12.85946774,1499.983871,0.691988161,0.308011839,0,2.488567742,0,22195.22581,13609.37742,43.312,45.1006129,44.2256129,43.625,43.062,1037.97,462.013871,0,1784645230,0,1784644962,09:42:41,1784644962,1784644962,1,-0.033,0.332,-43.902,-4.236,435,15,0.11,0.04,-6.336892,-21.48613283,2.962097496,0,2.5327,-0.154245989,0.264613205,1,4.07424425,-0.130190206,0.026451629,0,1,3,1/3,2.99496,2.76513,0.109695,0.104624,0.114914,0.0822846,27527.5,18334.2,31686.3,22299.5,37761.4,27803.2,45505.6,32600.9,1.75312,2.69278,0.116508,0,28.809,999.9,78.2,28,29.3618,61.3794,-100,3,0.155691,0,20.3069,5.21789,12.0279,4.95975,3.301,7700.8,9999,9999,118.8,4.97292,1.87515,1.88143,1.88095,1.87866,1.87439,1.87451,1.87681,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-43.409,-4.8881,-27.29005241,-0.03980678,1.13121E-05,-1.30028E-09,-4.888146843,0,0,0,3,2129,1,23,5.2,5.2,0.158691,4.99878,2.89795,2.90894,2.99805,2.23755,32.2005,15.8482,2,441.29,1373.12,29.524,29.357,30.0005,29.0046,28.8361,-1,40,10,-999.9,400,20,99.5727,85.6647
4,1784645396,365.5,20260721 09:49:56,09:49:56,15,1784645388,0.002219162,2.219162497,4.744481755,440.1688387,330.730897,33.46225051,44.53481692,0.08296532,2.948975503,0.081690098,0.051169252,266.1488757,31.92271125,31.01865806,4.516179907,41.24311727,1.854179956,4.495731843,2.661999951,-97.86506613,-12.65162933,-0.963200492,154.6689798,2.380866035,2.269292554,4.744481755,445.4486596,444.4036,-0.919687965,66.79762482,2.219162497,15.07072382,18.27378606,-0.007622442,78.43,0,0,1,0,52771.28506,1500.000645,1273.86001,0.849239641,0.177432507,6,0.5,0: Broadleaf,2,TRUE,1784645388,440.1688387,445.0486129,18.32616129,15.10972903,484.2297097,23.2143129,415.5607742,101.0767097,0.099959381,30.93908065,31.01865806,999.9,0,0,10003.44935,0,53.24666129,-4.879770355,448.3860323,451.8766774,3.216426774,445.0486129,15.10972903,1.852350323,1.527244194,16.2356871,13.24365161,1500.000645,0.692011839,0.307988161,0,2.423954839,0,18089.43871,13609.62903,43.5,45.312,44.375,43.85874194,43.25,1038.018387,461.9822581,0,1784645350,0,1784644962,09:42:41,1784644962,1784644962,1,-0.033,0.332,-43.902,-4.236,435,15,0.11,0.04,-6.701027025,56.50950863,5.629469536,0,2.475085294,-0.626635591,0.21994328,1,3.223084,-0.087345141,0.016464921,1,2,3,2/3,2.99438,2.76515,0.112675,0.104897,0.113214,0.0832926,27432.3,18325,31683.6,22295.5,37832.7,27767.8,45502.6,32595.5,1.75035,2.69005,0.127573,0,28.9688,999.9,78.6,28.2,29.8574,61.6494,-100,3,0.166286,0,20.307,5.21729,12.029,4.95975,3.301,7700.8,9999,9999,118.8,4.97294,1.87519,1.88142,1.88097,1.87867,1.87438,1.87449,1.87683,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-43.927,-4.8882,-27.29005241,-0.03980678,1.13121E-05,-1.30028E-09,-4.888146843,0,0,0,3,2129,1,23,7.2,7.2,0.158691,4.99878,2.89795,2.90771,2.99805,2.27051,32.3991,15.8569,2,440.858,1373.35,29.762,29.5159,30.0005,29.1826,29.0226,-1,40,10,-999.9,400,20,99.5652,85.6501
5,1784645516,485.5,20260721 09:51:56,09:51:56,15,1784645508,0.001775039,1.775039094,4.843668813,438.3949032,297.9238919,30.14595374,44.35976045,0.063252449,2.948947829,0.062508291,0.039133812,266.146931,32.23848719,31.24667742,4.575220612,39.41026809,1.792242439,4.547653508,2.782978173,-78.27922405,-16.87534786,-1.287499604,169.7048595,5.943952875,1.792245979,4.843668813,451.86887,446.3339758,-0.246374702,66.79762482,1.775039094,15.17542486,17.70072848,-5.64403E-05,78.43,0,0,1,0,52735.75113,1499.982258,1273.845077,0.849240096,0.177433386,6,0.5,0: Broadleaf,2,TRUE,1784645508,438.3949032,448.1399032,17.71222258,15.1629,482.4012903,22.49584839,414.3456774,101.0867742,0.099987155,31.14053226,31.24667742,999.9,0,0,10002.29613,0,91.37193548,-9.74493871,446.2999032,455.0395484,2.549316452,448.1399032,15.1629,1.790471613,1.53277,15.70385806,13.29901613,1499.982258,0.691997258,0.308002742,0,2.430577419,0,17335.49032,13609.40645,43.687,45.48780645,44.562,44.002,43.44106452,1037.982903,461.9993548,0,1784645470,0,1784644962,09:42:41,1784644962,1784644962,1,-0.033,0.332,-43.902,-4.236,435,15,0.11,0.04,-8.75889975,-7.42685167,3.580080891,0,2.448926471,-0.351265088,0.200219158,1,2.5494185,-0.112650732,0.017258486,0,1,3,1/3,2.99332,2.76496,0.113115,0.107632,0.110851,0.083918,27416.2,18266.8,31681.2,22293.3,37932.1,27745.8,45499.2,32592.2,1.74688,2.68263,0.132769,0,29.1042,999.9,78,28.4,29.9701,61.3194,-100,3,0.175379,0,20.307,5.21789,12.0282,4.9597,3.301,7700.8,9999,9999,118.8,4.97294,1.87519,1.88146,1.88099,1.87867,1.87439,1.87449,1.8768,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-44.01,-4.781,-27.29005241,-0.03980678,1.13121E-05,-1.30028E-09,-1.464801879,-0.229565736,0.008659861,-0.000222848,3,2129,1,23,9.2,9.2,0.158691,4.99878,2.89795,2.90649,2.99805,2.24487,32.5761,15.8394,2,439.806,1365.9,29.9651,29.6423,30.0004,29.3278,29.1733,-1,40,10,-999.9,400,20,99.5578,85.6413
6,1784645636,605.5,20260721 09:53:56,09:53:56,15,1784645628,0.001551712,1.551712372,4.565360024,418.8758065,265.0890323,26.82447606,42.38622755,0.053476175,2.948435968,0.052943137,0.033136909,266.1522298,32.47798086,31.43976129,4.625739999,38.15971602,1.753429266,4.59497462,2.872310733,-68.43051561,-18.65580341,-1.426219719,177.6396911,-0.497607098,1.6080399,4.565360024,426.091892,421.5057576,-0.331629661,66.79762482,1.551712372,15.0240576,17.28274606,-0.00607968,78.43,0,0,1,0,52689.61701,1500.017097,1273.874206,0.849239791,0.177432798,6,0.5,0: Broadleaf,2,TRUE,1784645628,418.8758065,419.131129,17.3280129,15.03516129,462.2785484,22.02994839,413.5049355,101.0904516,0.099989319,31.32239677,31.43976129,999.9,0,0,9999.024194,0,81.16730968,-0.255273871,426.2622258,425.5290645,2.292845161,419.131129,15.03516129,1.751695806,1.519910968,15.36226452,13.16993548,1500.017097,0.692006839,0.307993161,0,2.490441935,0,16856.65161,13609.74839,43.812,45.56809677,44.687,44.143,43.57622581,1038.022258,461.9948387,0,1784645590,0,1784644962,09:42:41,1784644962,1784644962,1,-0.033,0.332,-43.902,-4.236,435,15,0.11,0.04,1.75721925,-42.64069364,4.648598632,0,2.477767647,0.093156609,0.219037225,1,2.3014055,-0.139073471,0.016616022,0,1,3,1/3,2.99249,2.76491,0.108678,0.103262,0.109044,0.0833011,27553.8,18358,31682.2,22295.8,38011.8,27767.6,45501.3,32596,1.74428,2.6884,0.139624,0,29.2007,999.9,77.2,28.6,30.0069,61.4694,-100,3,0.18187,0,20.307,5.21789,12.0287,4.95975,3.301,7700.8,9999,9999,118.9,4.97298,1.87521,1.88143,1.88098,1.87868,1.87439,1.8745,1.87679,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-43.255,-4.6919,-27.29005241,-0.03980678,1.13121E-05,-1.30028E-09,-1.464801879,-0.229565736,0.008659861,-0.000222848,3,2129,1,23,11.2,11.2,0.158691,4.99878,2.89795,2.90649,2.99805,2.27905,32.7535,15.8132,2,439.048,1377.18,30.1396,29.7414,30.0004,29.4415,29.2931,-1,40,10,-999.9,400,20,99.5618,85.6512
7,1784645756,725.5,20260721 09:55:56,09:55:56,15,1784645748,0.001379952,1.37995207,4.374190251,433.7057419,263.9467783,26.70894656,43.88696677,0.04610443,2.948412025,0.045707631,0.028602636,266.1481695,32.71559289,31.66883548,4.686305513,37.19709798,1.728102291,4.645798689,2.958203223,-60.85588629,-24.3072638,-1.862156686,179.1228628,-1.206873361,1.437506491,4.374190251,438.3341984,435.7019576,-0.591761457,66.79762482,1.37995207,15.05695698,17.03860061,-0.001425624,78.43,0,0,1,0,52655.44994,1499.997742,1273.857445,0.849239575,0.17743238,6,0.5,0: Broadleaf,2,TRUE,1784645748,433.7057419,432.8580645,17.0776871,15.02473226,477.5677742,21.72810968,412.9532258,101.0906452,0.100006755,31.51591613,31.66883548,999.9,0,0,9998.869032,0,64.86279355,0.847668742,441.2413871,439.460871,2.05295129,432.8580645,15.02473226,1.726394516,1.51886,15.13579677,13.15933871,1499.997742,0.692013161,0.307986839,0,2.567206452,0,16482.65484,13609.60968,43.937,45.70732258,44.81606452,44.25,43.72154839,1038.019677,461.9780645,0,1784645710,0,1784644962,09:42:41,1784644962,1784644962,1,-0.033,0.332,-43.902,-4.236,435,15,0.11,0.04,2.918848805,-41.22095546,4.135098713,0,2.525944118,0.414974791,0.233957578,1,2.072115366,-0.497363624,0.055694928,0,1,3,1/3,2.992,2.76496,0.111171,0.104304,0.107996,0.0833907,27474.6,18336.2,31680.3,22295.5,38055,27764.5,45498.6,32595.7,1.74258,2.6833,0.13927,0,29.4053,999.9,76.5,28.8,30.0853,61.7994,-100,3,0.188994,0,20.3069,5.21714,12.0281,4.95975,3.301,7700.8,9999,9999,118.9,4.97299,1.87521,1.88144,1.881,1.8787,1.87439,1.87446,1.87679,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-43.687,-4.6424,-27.29005241,-0.03980678,1.13121E-05,-1.30028E-09,-1.464801879,-0.229565736,0.008659861,-0.000222848,3,2129,1,23,13.2,13.2,0.158691,4.99878,2.89795,2.90771,2.99805,2.27417,32.9092,15.8132,2,438.757,1372.2,30.3262,29.8361,30.0005,29.5479,29.4064,-1,40,10,-999.9,400,20,99.5558,85.6504
8,1784645876,845.5,20260721 09:57:56,09:57:56,15,1784645868,0.001207511,1.207510896,4.464312888,443.8184516,246.9797263,24.99114006,44.90866215,0.03993369,2.949320113,0.03963572,0.024798911,266.1482922,32.86422502,31.74367097,4.706240515,36.83477025,1.721466858,4.673483359,2.984773657,-53.25123052,-19.5759257,-1.500557,191.8205789,4.886088304,1.225564878,4.464312888,456.5271047,451.0222667,-0.171344544,66.79762482,1.207510896,15.29092748,17.02233455,8.16638E-05,78.43,0,0,1,0,52663.33558,1500.000968,1273.859952,0.84923942,0.17743208,6,0.5,0: Broadleaf,2,TRUE,1784645868,443.8184516,451.7420323,17.01272581,15.25478387,487.991129,21.64998387,411.179,101.0870323,0.099977848,31.62055484,31.74367097,999.9,0,0,10004.38613,0,100.6544484,-7.923527419,451.4997419,458.7400645,1.757938065,451.7420323,15.25478387,1.719764516,1.542060645,15.07599355,13.39167742,1500.000968,0.692018161,0.307981839,0,2.555829032,0,16519.92581,13609.66129,44.12093548,45.81606452,45,44.375,43.875,1038.029677,461.9712903,0,1784645830,0,1784644962,09:42:41,1784644962,1784644962,1,-0.033,0.332,-43.902,-4.236,435,15,0.11,0.04,-8.90886122,19.73056871,2.526143725,0,2.530564706,0.669093962,0.190203937,1,1.748338049,0.037838885,0.028595207,1,2,3,2/3,2.98962,2.76474,0.113886,0.108254,0.107907,0.0843685,27388.3,18252.5,31677.9,22292.4,38056.9,27730.6,45496,32590.8,1.73705,2.68438,0.14212,0,29.4499,999.9,76.2,29,30.3164,61.6194,-100,3,0.196458,0,20.3067,5.21789,12.0284,4.9597,3.301,7700.8,9999,9999,118.9,4.97292,1.87525,1.88144,1.88104,1.87871,1.87439,1.87448,1.87682,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-44.16,-4.6395,-27.29005241,-0.03980678,1.13121E-05,-1.30028E-09,-1.464801879,-0.229565736,0.008659861,-0.000222848,3,2129,1,23,15.2,15.2,0.158691,4.99878,2.89795,2.90649,2.99805,2.24609,33.0652,15.7781,2,436.251,1376.13,30.4479,29.9326,30.0004,29.6515,29.5086,-1,40,10,-999.9,400,20,99.5495,85.6378
9,1784645996,965.5,20260721 09:59:56,09:59:56,15,1784645988,0.001092941,1.09294135,4.7390283,445.2972903,214.5105363,21.70331823,45.05339907,0.035557218,2.948561334,0.035320711,0.022096562,266.1501252,33.0704297,31.92936774,4.756026462,36.55497034,1.725582806,4.720514858,3.030443656,-48.19871352,-21.02770685,-1.615132309,195.3085725,3.243471462,1.140469655,4.7390283,458.5243152,451.7315152,-0.036657001,66.79762482,1.09294135,15.50207361,17.06624606,0.000654879,78.43,0,0,1,0,52610.84476,1499.995484,1273.856748,0.849240389,0.177433951,6,0.5,0: Broadleaf,2,TRUE,1784645988,445.2972903,450.7766452,17.05525806,15.41784516,489.5152581,21.70110968,410.7767742,101.076,0.100000961,31.7970871,31.92936774,999.9,0,0,10001.16613,0,87.55431613,-5.479158323,453.0238387,457.8354516,1.637412903,450.7766452,15.41784516,1.723877419,1.558373548,15.11311935,13.55310323,1499.995484,0.691985452,0.308014548,0,2.537919355,0,16131.27742,13609.48387,44.25,45.94512903,45.10467742,44.558,44.004,1037.977419,462.0180645,0,1784645950,0,1784644962,09:42:41,1784644962,1784644962,1,-0.033,0.332,-43.902,-4.236,435,15,0.11,0.04,-3.80269439,-31.4432733,3.212580875,0,2.519308824,0.269718864,0.205587101,1,1.671241707,-0.779241742,0.080134982,0,1,3,1/3,2.98964,2.76488,0.113966,0.108514,0.10806,0.0852206,27385.1,18244.8,31677.5,22289.7,38050.1,27701,45495.6,32586.5,1.73645,2.67835,0.142083,0,29.6307,999.9,76.1,29.2,30.6317,61.8295,-100,3,0.202243,0,20.307,5.21834,12.0288,4.95965,3.301,7700.8,9999,9999,119,4.97298,1.87528,1.88146,1.88102,1.87874,1.87439,1.8745,1.87682,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-44.18,-4.6485,-27.29005241,-0.03980678,1.13121E-05,-1.30028E-09,-1.464801879,-0.229565736,0.008659861,-0.000222848,3,2129,1,23,17.2,17.2,0.158691,4.99878,2.89795,2.90649,2.99805,2.2522,33.2216,15.7694,2,436.472,1369.35,30.6096,30.017,30.0003,29.7399,29.6008,-1,40,10,-999.9,400,20,99.5484,85.6269
10,1784646116,1085.5,20260721 10:01:56,10:01:56,15,1784646108,0.001078857,1.078857229,4.416830797,434.2986129,211.7405253,21.42062278,43.93559876,0.034448905,2.947855181,0.03422681,0.021411591,266.1494269,33.2091658,32.08908387,4.799213051,36.01330519,1.713061101,4.756745021,3.08615195,-47.57760382,-24.95887856,-1.920325222,191.6926193,5.884500299,1.070832899,4.416830797,448.6513615,442.5614485,-0.073599172,66.79281625,1.078857229,15.4601316,16.96850848,0.005822563,78.43,0,0,1,0,52567.08451,1500.00129,1273.860784,0.849239792,0.177432799,6,0.5,0: Broadleaf,2,TRUE,1784646108,434.2986129,443.5951613,16.93342258,15.39213871,478.1790645,21.55474194,409.8012258,101.0644839,0.100008616,31.93203548,32.08908387,999.9,0,0,9998.293548,0,111.4126129,-9.296530645,441.7794194,450.5296452,1.541283548,443.5951613,15.39213871,1.711367097,1.555598387,14.99990968,13.52579355,1500.00129,0.692006,0.307994,0,2.544651613,0,16360.95161,13609.60645,44.34248387,46.058,45.19919355,44.59654839,44.12093548,1038.01129,461.99,0,1784646070,0,1784644962,09:42:41,1784644962,1784644962,1,-0.033,0.332,-43.902,-4.236,435,15,0.11,0.04,-9.16226,10.61439491,2.639526128,0,2.546329412,-0.370038206,0.234108122,1,1.539990732,-0.141589756,0.030701068,0,1,3,1/3,2.98888,2.76467,0.112331,0.106183,0.107618,0.084884,27433.8,18293.2,31675.8,22290.9,38066.7,27713.2,45492.6,32589,1.73425,2.6784,0.141151,0,29.7717,999.9,75.3,29.4,30.6634,61.7395,-100,3,0.209474,0,20.3071,5.21864,12.0287,4.9598,3.301,7700.8,9999,9999,119,4.97296,1.87529,1.88151,1.88109,1.87877,1.87442,1.87454,1.87681,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-43.905,-4.629,-27.29005241,-0.03980678,1.13121E-05,-1.30028E-09,-1.464801879,-0.229565736,0.008659861,-0.000222848,3,2129,1,23,19.2,19.2,0.158691,4.99878,2.89795,2.90527,2.99805,2.25098,33.3784,15.7519,2,435.794,1371.51,30.7427,30.107,30.0003,29.8315,29.6925,-1,40,10,-999.9,400,20,99.5423,85.6327
