obs,time,elapsed,date,hhmmss,averaging,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,_Vc,Edyn,Hr,Hs,dHs/dt,_Vh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,_Pcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,_CO2,CO2_s_d,CO2_r_d,_H2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,_CO2:MN,_CO2:SLP,_CO2:SD,_CO2:OK,F:MN,F:SLP,F:SD,F:OK,_H2O:MN,_H2O:SLP,_H2O:SD,_H2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
1,1784731445,0,20260722 09:44:04,09:44:04,15,1784731437,0.003898313,3.898312802,5.948827973,402.3651333,330.1977508,33.41872498,40.72265695,0.167968754,2.948796228,0.16282869,0.102216643,266.1501078,31.47776976,30.86352333,4.476391463,47.4658452,2.132458104,4.49261589,2.34393336,-171.9155946,10.07957676,0.766796948,105.0808869,3.517470133,3.915235008,5.948827973,412.6665774,407.5252788,-0.584922485,66.77111798,3.898312802,15.28547702,21.03507576,-0.005480424,78.43,0,0,1,0,52768.91318,1499.997333,1273.85814,0.84924027,0.177433721,6,0.5,0: Broadleaf,2,TRUE,1784731437,402.3651333,409.9807333,21.07001,15.33868667,444.9127,25.91858667,401.2414667,101.1082,0.100015077,30.92692667,30.86352333,999.9,0,0,9999.315333,0,461.8156333,-7.615649,411.0255,416.3674333,5.731327333,409.9807333,15.33868667,2.130353333,1.550867667,18.44795667,13.47904333,1499.997333,0.691992,0.308008,0,2.5859,0,16541.18667,13609.51667,43.75,45.6498,44.4916,44.2332,43.4958,1037.984667,462.0126667,0,1784731397,0,1784731414,09:43:33,1784731414,1784731413,2,0.083,0.013,-42.825,-4.269,414,15,0.36,0.02,-9.938301,41.66592765,4.373111693,0,2.55315,0.644854087,0.178571705,1,5.77073625,-0.598004015,0.077553276,0,1,3,1/3,2.97993,2.76476,0.105923,0.0999248,0.122412,0.0842068,27650.1,18419.2,31693.6,22286.2,37446.2,27731.3,45515.9,32585.2,1.72495,2.69782,0.114873,0,29.0144,999.9,80.2,28.1,30.2767,61.6083,-100,3,0.163666,0,20.3062,5.21909,12.0299,4.95975,3.301,7702.5,9999,9999,123.8,4.97295,1.87515,1.88141,1.88095,1.87867,1.87439,1.87447,1.87674,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-42.431,-4.8486,-26.96177666,-0.03980678,1.13121E-05,-1.30028E-09,-4.848578018,0,0,0,3,2129,1,23,0.5,0.5,0.158691,4.99878,2.89795,2.90771,2.99805,2.22656,32.3328,16.0583,2,425.77,1381.96,29.7961,29.4649,30.0008,29.0801,28.8936,-1,40,10,-999.9,400,20,99.5953,85.6194
2,1784731809,363.9000001,20260722 09:50:08,09:50:08,15,1784731801,0.005097276,5.097276118,6.490401736,405.7798065,346.9361148,35.1153204,41.07121544,0.237369419,2.949044463,0.227242933,0.142900657,266.1463111,31.7566577,31.16120645,4.553011458,50.80513496,2.360185364,4.645564599,2.192826094,-224.7898768,56.25385761,4.29785139,101.9081433,7.643230931,5.030726648,6.490401736,426.3175577,416.4206364,-0.001013075,66.78646005,5.097276118,15.89018616,23.35462182,0.001370791,78.43,0,0,1,0,52674.28167,1499.985161,1273.846955,0.849239704,0.177432629,6,0.5,0: Broadleaf,2,TRUE,1784731801,405.7798065,420.3219355,23.3184129,15.94055806,448.4347419,28.16697742,399.5810323,101.1155161,0.100007139,31.51502903,31.16120645,999.9,0,0,10000.00194,0,477.5686129,-14.54213548,415.4679355,427.1306774,7.377847097,420.3219355,15.94055806,2.357854194,1.611838387,20.0771871,14.07239032,1499.985161,0.692010548,0.307989355,0,2.484880645,0,18355.42903,13609.48387,44.508,46.44512903,45.375,45.056,44.25,1038.004516,461.9806452,0,1784731761,0,1784731414,09:43:33,1784731414,1784731413,2,0.083,0.013,-42.825,-4.269,414,15,0.36,0.02,-14.7812925,6.918260038,1.440550269,0,2.526658824,-0.530359055,0.252457803,1,7.3322245,0.935719024,0.091521932,0,1,3,1/3,2.9786,2.76477,0.107254,0.102248,0.129682,0.0863603,27581.9,18362,31665.5,22276.8,37095.4,27654.5,45467.4,32572.8,1.6976,2.67803,0.0928342,0,29.6481,999.9,79.1,28.8,31.0984,61.7484,-100,3,0.217411,0,20.3064,5.21774,12.0296,4.95975,3.301,7702.5,9999,9999,123.9,4.97298,1.87516,1.88145,1.88096,1.87867,1.87439,1.8745,1.87681,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-42.686,-4.8486,-26.96177666,-0.03980678,1.13121E-05,-1.30028E-09,-4.848578018,0,0,0,3,2129,1,23,6.6,6.6,0.158691,4.99878,2.89795,2.90771,2.99805,2.24854,33.0652,16.0233,2,415.067,1369.83,30.4478,30.1695,30.0005,29.8176,29.6412,-1,40,10,-999.9,400,20,99.4966,85.5853
3,1784731929,483.9000001,20260722 09:52:08,09:52:08,15,1784731921,0.005089971,5.089971354,6.242845756,411.8212581,352.5003506,35.67642402,41.6802701,0.228982787,2.948373892,0.219541881,0.138029468,266.149215,32.12081089,31.56835806,4.659655553,50.50461981,2.394938741,4.742019145,2.264716812,-224.4677367,49.10613956,3.76686033,94.55447817,5.733764516,5.040033738,6.242845756,427.8279143,420.5550303,-0.339961668,66.78646005,5.089971354,16.12819368,23.65293273,-0.006767489,78.43,0,0,1,0,52592.34756,1499.996452,1273.85701,0.849240015,0.17743323,6,0.5,0: Broadleaf,2,TRUE,1784731921,411.8212581,423.5625484,23.66315484,16.26482581,454.6654839,28.51172903,399.0715161,101.1096774,0.099935458,31.87729355,31.56835806,999.9,0,0,9996.770323,0,439.8337742,-11.74134452,421.8024839,430.5661935,7.398323226,423.5625484,16.26482581,2.392575161,1.644533548,20.3136129,14.38211935,1499.996452,0.691999806,0.308000194,0,2.601845161,0,17978.17742,13609.54194,44.73170968,46.661,45.562,45.25,44.47764516,1037.996774,461.9996774,0,1784731881,0,1784731414,09:43:33,1784731414,1784731413,2,0.083,0.013,-42.825,-4.269,414,15,0.36,0.02,-15.1144239,68.09906195,7.477567926,0,2.555105882,0.508119169,0.272771466,1,7.327846585,1.743992195,0.177035284,0,1,3,1/3,2.97741,2.76476,0.107868,0.101298,0.130562,0.0875474,27560.2,18377.9,31663,22272.9,37054.6,27613.6,45463.3,32567.1,1.6949,2.67757,0.0957847,0,30.0135,999.9,79,29.1,31.6047,61.8084,-100,3,0.225897,0,20.3065,5.21699,12.0296,4.9597,3.301,7702.5,9999,9999,123.9,4.97297,1.87516,1.88146,1.88095,1.87866,1.87439,1.87445,1.87677,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-42.796,-4.8486,-26.96177666,-0.03980678,1.13121E-05,-1.30028E-09,-4.848578018,0,0,0,3,2129,1,23,8.6,8.6,0.158691,4.99878,2.89795,2.91138,2.99805,2.26929,33.3559,16.0321,2,414.47,1372.79,30.7366,30.2991,30.0005,29.9672,29.8013,-1,40,10,-999.9,400,20,99.488,85.5703
4,1784732049,603.9000001,20260722 09:54:08,09:54:08,15,1784732041,0.00500412,5.004119747,6.115045365,401.2082903,340.3130128,34.44214259,40.60518589,0.216718843,2.949290821,0.208244529,0.130886604,266.1553351,32.30288855,31.73997097,4.705253161,49.27939405,2.358107597,4.785179773,2.347145565,-220.6816808,47.27955074,3.631539825,96.38474482,5.073312621,4.952078508,6.115045365,414.8455989,408.7217152,-0.48668041,66.77455862,5.004119747,15.78430451,23.2537903,-0.011457827,78.43,0,0,1,0,52590.97411,1500.03,1273.885587,0.849240073,0.177433341,6,0.5,0: Broadleaf,2,TRUE,1784732041,401.2082903,411.8674516,23.29979032,15.99749677,443.7196774,28.14835806,397.4118065,101.1072581,0.099987319,32.03732258,31.73997097,999.9,0,0,10002.21839,0,201.1900645,-10.65910129,410.7794516,418.5640323,7.30230129,411.8674516,15.99749677,2.355777419,1.617462258,20.06294516,14.1253,1500.03,0.691997742,0.308002258,0,2.521535484,0,17492.82903,13609.84194,44.875,46.788,45.69512903,45.375,44.625,1038.017097,462.0129032,0,1784732001,0,1784731414,09:43:33,1784731414,1784731413,2,0.083,0.013,-42.825,-4.269,414,15,0.36,0.02,-12.28396439,36.09432711,3.799790461,0,2.494902941,-0.066186403,0.251337931,1,7.207869512,2.272559164,0.227678026,0,1,3,1/3,2.97615,2.76484,0.105752,0.100049,0.129258,0.0857532,27625.8,18409,31663.6,22280,37113,27677.2,45465.5,32578.2,1.69195,2.67605,0.101864,0,30.0896,999.9,77.2,29.4,31.4265,61.8084,-100,3,0.232833,0,20.3067,5.21759,12.0327,4.95975,3.301,7702.5,9999,9999,124,4.97299,1.87519,1.88148,1.88098,1.87871,1.87439,1.87451,1.87681,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-42.444,-4.8486,-26.96177666,-0.03980678,1.13121E-05,-1.30028E-09,-4.848578018,0,0,0,3,2129,1,23,10.6,10.6,0.158691,4.99878,2.89795,2.90894,2.99805,2.26074,33.6029,16.0058,2,413.516,1373.34,30.926,30.3956,30.0005,30.0808,29.9224,-1,40,10,-999.9,400,20,99.4916,85.5988
5,1784732169,723.9000001,20260722 09:56:08,09:56:08,15,1784732161,0.004667568,4.667568287,6.969389741,401.4236129,326.669423,33.06082825,40.62638309,0.191247866,2.949207239,0.184615497,0.115961416,266.1553279,32.64382446,32.02367097,4.78148457,47.63465293,2.312411306,4.854472875,2.469073265,-205.8397614,42.6057312,3.281306679,106.2026044,9.258188943,4.718853781,6.969389741,428.7740045,413.9375212,0.614199876,66.77455862,4.667568287,16.06332112,22.90410121,0.007798407,78.43,0,0,1,0,52544.74134,1500.035806,1273.889981,0.849239715,0.17743265,6,0.5,0: Broadleaf,2,TRUE,1784732161,401.4236129,418.3019677,22.8486129,15.87017419,443.9415484,27.6971871,396.4526774,101.1058065,0.099956694,32.29163548,32.02367097,999.9,0,0,10001.8871,0,476.8837097,-16.87832581,410.8100968,425.0479355,6.978429355,418.3019677,15.87017419,2.310130323,1.604569677,19.74719677,14.0022129,1500.035806,0.692010226,0.307989774,0,2.540658065,0,17242.10968,13609.94839,45.062,46.937,45.883,45.516,44.812,1038.039032,461.9967742,0,1784732121,0,1784731414,09:43:33,1784731414,1784731413,2,0.083,0.013,-42.825,-4.269,414,15,0.36,0.02,-16.26762,-21.51444878,2.456600587,0,2.538479412,-0.261880823,0.237581882,1,7.04147125,-1.235992008,0.140995692,0,1,3,1/3,2.97482,2.76467,0.106771,0.102914,0.128162,0.0879982,27593.2,18345.3,31662.8,22274.1,37160.8,27600.7,45465.7,32568.3,1.6887,2.67378,0.105932,0,30.3425,999.9,76.2,29.7,31.5614,61.7784,-100,3,0.239825,0,20.3069,5.21729,12.0305,4.9598,3.301,7702.5,9999,9999,124,4.97301,1.87523,1.88152,1.88096,1.87871,1.87439,1.87452,1.87682,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-42.622,-4.8486,-26.96177666,-0.03980678,1.13121E-05,-1.30028E-09,-4.848578018,0,0,0,3,2129,1,23,12.6,12.6,0.158691,4.99878,2.89795,2.91016,2.99805,2.27051,33.8283,15.997,2,412.382,1372.55,31.1468,30.4961,30.0005,30.1925,30.0402,-1,40,10,-999.9,400,20,99.4909,85.5742
6,1784732289,843.9000001,20260722 09:58:08,09:58:08,15,1784732281,0.004655466,4.655466161,6.357141207,396.4973548,324.9337554,32.88678914,40.12979472,0.185028149,2.948247246,0.178810664,0.112297877,266.1481377,32.86104297,32.24894839,4.84278121,46.82378159,2.300678044,4.913481923,2.542103166,-205.3060577,40.81371944,3.151112938,104.8069124,6.261434801,4.712256139,6.357141207,416.1973004,405.7989758,0.090485366,66.77455862,4.655466161,15.87214303,22.72932242,0.005021861,78.43,0,0,1,0,52480.56417,1500,1273.859139,0.849239426,0.177432092,6,0.5,0: Broadleaf,2,TRUE,1784732281,396.4973548,408.8212903,22.73155806,15.75067097,438.8599355,27.58013548,395.8069355,101.1107419,0.100008235,32.50572581,32.24894839,999.9,0,0,9995.945806,0,167.197871,-12.32392548,405.7200645,415.363871,6.980880968,408.8212903,15.75067097,2.298407742,1.592563548,19.66522258,13.88673226,1500,0.692017,0.307983,0,2.535364516,0,16974.47097,13609.62903,45.25,47.11890323,46.062,45.75,45,1038.02871,461.9712903,0,1784732241,0,1784731414,09:43:33,1784731414,1784731413,2,0.083,0.013,-42.825,-4.269,414,15,0.36,0.02,-10.627136,-36.10393261,3.610496772,0,2.508752941,0.425127583,0.254941884,1,7.06212675,-1.80302803,0.178781856,0,1,3,1/3,2.9744,2.76471,0.105255,0.100759,0.127563,0.0862441,27639.3,18394.4,31662.4,22280.6,37187.1,27662.4,45465.8,32578.7,1.68743,2.67555,0.106901,0,30.5196,999.9,75.1,29.9,31.4617,61.8385,-100,3,0.246606,0,20.3068,5.21714,12.0296,4.9597,3.301,7702.5,9999,9999,124,4.97299,1.87529,1.8815,1.88096,1.87868,1.87439,1.87451,1.87682,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-42.369,-4.8485,-26.96177666,-0.03980678,1.13121E-05,-1.30028E-09,-4.848578018,0,0,0,3,2129,1,23,14.6,14.6,0.158691,4.99878,2.89795,2.90894,2.99805,2.24487,34.0545,15.997,2,412.25,1377.39,31.3598,30.5916,30.0002,30.2895,30.1377,-1,40,10,-999.9,400,20,99.4905,85.6004
7,1784732409,963.9000001,20260722 10:00:08,10:00:08,15,1784732401,0.004496847,4.496846632,6.135440353,399.0643548,326.390612,33.03618424,40.39198147,0.1758317,2.947609093,0.170205624,0.106869,266.14922,32.95809693,32.29429355,4.85520171,46.15977428,2.275241304,4.929056391,2.579960406,-198.3109365,42.51907898,3.285126674,113.6424892,6.452001804,4.430600579,6.135440353,414.4475729,407.6608606,-0.398644636,66.77455862,4.496846632,15.8546482,22.51498,0.001778939,78.43,0,0,1,0,52452.80129,1499.997419,1273.857745,0.849239958,0.177433119,6,0.5,0: Broadleaf,2,TRUE,1784732401,399.0643548,411.5459355,22.47890968,15.9026129,441.5079032,27.32747742,395.1469032,101.1166774,0.100033568,32.56185806,32.29429355,999.9,0,0,9991.735484,0,134.3617097,-12.48159194,408.2412258,418.1964194,6.576280323,411.5459355,15.9026129,2.272990645,1.60802,19.48625161,14.03583871,1499.997419,0.692001484,0.307998516,0,2.549412903,0,16611.88387,13609.54839,45.312,47.129,46.167,45.75,45.06606452,1038.000323,461.9970968,0,1784732361,0,1784731414,09:43:33,1784731414,1784731413,2,0.083,0.013,-42.825,-4.269,414,15,0.36,0.02,-14.02930075,43.79551351,4.493519116,0,2.543285294,0.325006873,0.217878889,1,6.5712235,0.295036098,0.048097215,0,1,3,1/3,2.97398,2.7646,0.105532,0.0992137,0.126856,0.0864291,27630,18426.5,31661.8,22281.3,37217.7,27657.8,45465.7,32579.9,1.6859,2.676,0.116706,0,30.4044,999.9,74.2,30.2,31.6246,61.8985,-100,3,0.251123,0,20.3071,5.21729,12.0288,4.9596,3.301,7702.5,9999,9999,124.1,4.97299,1.87519,1.88152,1.88098,1.87867,1.87439,1.87448,1.87682,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-42.418,-4.8486,-26.96177666,-0.03980678,1.13121E-05,-1.30028E-09,-4.848578018,0,0,0,3,2129,1,23,16.6,16.6,0.157471,4.99878,2.89795,2.90894,2.99805,2.26929,34.2133,15.997,2,411.841,1379.8,31.4443,30.654,30.0003,30.3628,30.2128,-1,40,10,-999.9,400,20,99.4896,85.6035
8,1784732529,1083.9,20260722 10:02:08,10:02:08,15,1784732521,0.004196395,4.196395321,6.637384847,381.4931613,298.2020832,30.18363675,38.61425407,0.158858202,2.949898145,0.154254043,0.096811327,266.1468355,33.10164695,32.35547419,4.872003648,44.76539749,2.214800706,4.947572971,2.657202941,-185.0610337,43.4037047,3.352975013,127.8424816,8.203021926,4.426071659,6.637384847,406.9404085,392.6803333,0.594885244,66.77455862,4.196395321,15.77328238,21.90530303,0.014155922,78.43,0,0,1,0,52506.87995,1499.989032,1273.850158,0.849239648,0.177432521,6,0.5,0: Broadleaf,2,TRUE,1784732521,381.4931613,396.5408065,21.88133226,15.29543871,423.3793226,26.72991613,394.4087419,101.1188065,0.099925587,32.62839355,32.35547419,999.9,0,0,10004.52677,0,207.930871,-15.04760968,390.0275161,402.701871,6.58588871,396.5408065,15.29543871,2.212615484,1.546657419,19.05389032,13.4335,1499.989032,0.692011129,0.307988871,0,2.509174194,0,16705.82258,13609.53226,45.379,47.171,46.25,45.75,45.137,1038.01,461.9790323,0,1784732481,0,1784731414,09:43:33,1784731414,1784731413,2,0.083,0.013,-42.825,-4.269,414,15,0.36,0.02,-11.9242161,-61.33458878,6.441557362,0,2.536085294,-0.462088619,0.218445473,1,6.725762439,-4.168939233,0.427829456,0,1,3,1/3,2.97275,2.76488,0.102894,0.0984083,0.124931,0.0866772,27713.1,18444,31663.9,22282.8,37303.7,27651.6,45469.3,32581.5,1.68292,2.66775,0.119478,0,30.4209,999.9,72.6,30.4,31.2986,61.6885,-100,3,0.255485,0,20.3068,5.21714,12.0303,4.9597,3.301,7702.5,9999,9999,124.1,4.97299,1.87521,1.88151,1.88102,1.87867,1.87439,1.8745,1.87682,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-41.976,-4.8486,-26.96177666,-0.03980678,1.13121E-05,-1.30028E-09,-4.848578018,0,0,0,3,2129,1,23,18.6,18.6,0.157471,4.99878,2.89795,2.90527,2.99805,2.25586,34.3497,15.9883,2,410.604,1369.29,31.5391,30.7166,30.0004,30.4317,30.2894,-1,40,10,-999.9,400,20,99.497,85.6083
9,1784732649,1203.9,20260722 10:04:08,10:04:08,15,1784732641,0.004212864,4.212864277,6.655192947,406.6300968,322.7291015,32.66687925,41.15940028,0.16024393,2.948407519,0.155558078,0.09763339,266.1492976,33.21491013,32.46503226,4.902217878,45.3357678,2.257887347,4.980366401,2.644330531,-185.7873146,44.61341354,3.452010997,128.4274076,8.020686183,4.15169793,6.655192947,429.678023,417.7607152,0.235568428,66.7692431,4.212864277,16.20981075,22.38188485,0.014532485,78.43,0,0,1,0,52444.16447,1500.005161,1273.863648,0.84923951,0.177432255,6,0.5,0: Broadleaf,2,TRUE,1784732641,406.6300968,421.4516129,22.30656774,16.10999677,449.3117097,27.15514194,393.0323226,101.1207097,0.100032729,32.7457,32.46503226,999.9,0,0,9995.870645,0,591.8133226,-14.82160613,415.9075484,428.3525484,6.196557742,421.4516129,16.10999677,2.255655806,1.629055161,19.36316129,14.23618387,1500.005161,0.692016161,0.307983839,0,2.55403871,0,17127.89677,13609.7,45.5,47.20325806,46.312,45.87093548,45.25,1038.028065,461.9770968,0,1784732601,0,1784731414,09:43:33,1784731414,1784731413,2,0.083,0.013,-42.825,-4.269,414,15,0.36,0.02,-14.4788,-4.311944948,1.945368404,0,2.573120588,-0.03913064,0.171786707,1,6.273743659,-1.45347993,0.157267454,0,1,3,1/3,2.97214,2.76459,0.107361,0.101469,0.126403,0.0869826,27573.3,18379.5,31662.3,22280.7,37239.1,27640.5,45467.3,32579.4,1.68102,2.671,0.11716,0,30.59,999.9,73.1,30.6,31.8747,61.7185,-100,3,0.262012,0,20.3068,5.21759,12.0311,4.95975,3.301,7702.5,9999,9999,124.1,4.973,1.87527,1.88146,1.88102,1.87868,1.87439,1.87453,1.87682,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-42.736,-4.8486,-26.96177666,-0.03980678,1.13121E-05,-1.30028E-09,-4.848578018,0,0,0,3,2129,1,23,20.6,20.6,0.157471,4.99878,2.89795,2.90771,2.99805,2.27173,34.4636,15.9883,2,410.047,1375.94,31.6328,30.7983,30.0003,30.5156,30.3715,-1,40,10,-999.9,400,20,99.4923,85.6018
10,1784732769,1323.9,20260722 10:06:08,10:06:08,15,1784732761,0.00443435,4.434350179,6.176675798,400.3285161,322.2932894,32.6234026,40.52234032,0.163697967,2.948359455,0.15881117,0.099683889,266.1504674,33.35715159,32.69357097,4.965770271,44.47544016,2.240014332,5.036519761,2.725755938,-195.5548429,39.96769995,3.099093288,113.6624177,3.483214722,4.383241542,6.176675798,412.2387024,406.3163333,-0.540106559,66.7692431,4.434350179,15.49714042,22.1109,-0.000700982,78.43,0,0,1,0,52408.66777,1499.999032,1273.859613,0.84924029,0.177433759,6,0.5,0: Broadleaf,2,TRUE,1784732761,400.3285161,408.3107742,22.12956129,15.59763871,442.8119355,26.97814194,393.7195161,101.1227097,0.10000789,32.94501613,32.69357097,999.9,0,0,9995.4,0,1235.158065,-7.982306516,409.3880323,414.7808387,6.53193129,408.3107742,15.59763871,2.237799355,1.577272903,19.23551935,13.73827419,1499.999032,0.691990613,0.308009387,0,2.576716129,0,17858.78065,13609.52581,45.51,47.379,46.395,45.937,45.312,1037.984839,462.0141935,0,1784732721,0,1784731414,09:43:33,1784731414,1784731413,2,0.083,0.013,-42.825,-4.269,414,15,0.36,0.02,-9.651404927,47.52552334,4.958215543,0,2.546694118,0.05740565,0.228776229,1,6.482518049,1.162516516,0.119024607,0,1,3,1/3,2.97232,2.76453,0.105194,0.0973816,0.12549,0.0841503,27636.9,18470.3,31659,22289.8,37275.1,27738,45463,32593.5,1.68205,2.66563,0.113703,0,30.8774,999.9,71.1,30.8,31.3576,61.8085,-100,3,0.270666,0,20.3068,5.21789,12.0323,4.95985,3.301,7702.5,9999,9999,124.1,4.973,1.87527,1.88152,1.881,1.8787,1.87439,1.87451,1.87682,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-42.372,-4.8486,-26.96177666,-0.03980678,1.13121E-05,-1.30028E-09,-4.848578018,0,0,0,3,2129,1,23,22.6,22.6,0.157471,4.99878,2.89795,2.90649,2.99805,2.25952,34.5777,15.9708,2,411.197,1370.33,31.788,30.9063,30.0006,30.6159,30.4756,-1,40,10,-999.9,400,20,99.4824,85.6379
