obs,time,elapsed,date,hhmmss,averaging,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,αVc,Edyn,Hr,Hs,dHs/dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,Tled,Pc,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
1,1784907145,0,20260724 11:32:25,11:32:25,15,1784907137,0.000513464,0.513464322,1.25050755,419.3697,320.1161395,32.82782636,43.00625302,0.023300825,3.14567041,0.023205363,0.014511896,261.4500074,27.3953714,26.59835667,3.495593353,37.74170352,1.279305593,3.389633944,2.216287759,-22.64377661,-88.44142859,-6.027509562,144.3372926,1.248022927,0.539136971,1.25050755,427.5467106,424.5298667,-0.001750237,92.61463517,0.513464322,11.17012465,12.45805944,-0.006733684,96.30052311,0,0,1,0,54323.48563,1500,1273.859925,0.84923995,0.174300005,9,0.5,0: Broadleaf,2,TRUE,1784907137,419.3697,422.9069333,12.47497667,11.19742667,422.1357,12.42597667,375.0695667,102.4498,0.099938377,26.07685333,26.59835667,999.9,0,0,9996.876,688.9521,0.218638,-3.595566,424.6198667,427.6960333,1.304424,422.9069333,11.19742667,1.280812333,1.147174333,10.57553,8.933080333,1500,0.691999733,0.3080002,28,28282.51667,1784907168,11:32:47,1784907161,1784907168,2,0.067,-0.005,-2.766,0.049,424,11,0.41,0.1,-3.616026098,-0.751252265,0.423875638,0,1.305649512,-0.003489617,0.012992497,1,1,2,1/2,2.63827,2.71265,0.0998876,0.100031,0.0749282,0.0696399,25355.6,25052.7,25618.4,25584.9,32751.4,32443.9,39351.2,38491.7,1.72523,2.201,0.0563264,0,25.6902,999.9,56.8,25.9,18.5972,63.2299,19.7556,1,-0.0353913,0,20.4178,5.21969,11.98,4.97,3.29593,9103.2,9999,9999,233,4.96995,1.87507,1.87112,1.87423,1.87423,1.87227,1.87357,1.87484,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-2.766,0.049,-1.766488244,-0.002774575,7.27494E-07,-2.16226E-10,-0.039246369,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,3.9,4.1,0.157471,4.99756,1.49902,2.28394,1.49902,2.32056,30.0718,15.8219,3,350.287,689.643,25.792,26.6551,30.0013,26.4184,26.4076,-1,40,10,-999.9,400,20,101.152,107.58
2,1784907288,143.0999999,20260724 11:34:48,11:34:48,15,1784907280,0.000437065,0.437064647,1.238938592,414.7157097,298.6129854,30.62310964,42.52957932,0.019277949,3.145903161,0.019212559,0.012013706,261.4493597,27.6207894,26.79847419,3.537014581,36.68027757,1.258635925,3.431369685,2.278378656,-19.27455092,-87.26566464,-5.959081294,148.9500629,1.555701522,0.435970298,1.238938592,423.9895662,420.3458,0.062767021,92.61896535,0.437064647,11.24905856,12.28538601,-6.39318E-05,96.39707478,0,0,1,0,54291.43926,1499.996452,1273.856978,0.849239994,0.174299985,9,0.5,0: Broadleaf,2,TRUE,1784907280,414.7157097,418.8816452,12.27324839,11.24017742,417.4297097,12.22724839,375.1509677,102.4511613,0.100004071,26.28394194,26.79847419,999.9,0,0,9997.801613,690.986871,0.218638,-4.19883129,419.8446774,423.6435484,1.054411613,418.8816452,11.24017742,1.259595161,1.151569677,10.32519032,8.989732903,1499.996452,0.692000194,0.307999806,28,28282.46129,1784907309,11:35:08,1784907307,1784907309,3,0.051,-0.004,-2.714,0.046,423,11,0.28,0.08,-3.675821707,-7.493349617,0.829159713,0,1.070493415,-0.270226829,0.028416289,0,0,2,0/2,2.63759,2.71249,0.0990465,0.0991145,0.0741104,0.0700044,25360.3,25058,25600.9,25565.6,32759,32407.4,39325.2,38464.4,1.72195,2.1936,0.0657812,0,25.7392,999.9,56.3,26.1,18.6528,63.4554,20.2404,1,-0.00464939,0,20.4172,5.22223,11.98,4.96955,3.29598,9103.2,9999,9999,233,4.96996,1.8751,1.87119,1.87423,1.87424,1.87229,1.87361,1.87485,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-2.714,0.046,-1.699747102,-0.002774575,7.27494E-07,-2.16226E-10,-0.043971481,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,2.1,2,0.157471,4.99756,1.49902,2.28271,1.49902,2.31079,30.3079,15.7869,3,351.052,688.31,26.0366,27.0479,30.001,26.8284,26.82,-1,40,10,-999.9,400,20,101.084,107.501
3,1784907408,263.0999999,20260724 11:36:48,11:36:48,15,1784907400,0.000312001,0.312001304,0.919491305,414.4029667,289.8678072,29.72146486,42.49062125,0.01325146,3.145657804,0.013220525,0.008265602,261.4497264,27.82760378,26.98402333,3.575802566,34.97016037,1.212512738,3.467278175,2.363289828,-13.75925752,-88.8068205,-6.075794692,152.8078536,0.226412404,0.326379378,0.919491305,419.7902936,418.5055212,-0.093258257,92.53018606,0.312001304,11.06167983,11.81111329,-0.000929585,95.16882502,0,0,1,0,54253.28749,1499.998667,1273.858851,0.849239989,0.174299973,9,0.5,0: Broadleaf,2,TRUE,1784907400,414.4029667,415.2707,11.82540667,11.05159333,417.0579667,11.77940667,375.1135,102.4345667,0.099982243,26.46036333,26.98402333,999.9,0,0,9998.305333,691.7462667,0.218638,-0.908036933,419.3252333,419.9113667,0.7828933,415.2707,11.05159333,1.212261,1.132063667,9.752963333,8.736919667,1499.998667,0.692000367,0.307999633,28,28282.49667,1784907427,11:37:07,1784907425,1784907427,4,0.043,0.001,-2.655,0.046,419,11,0.46,0.14,-0.944193561,-0.444563707,0.430268335,0,0.803156195,-0.369500341,0.039356062,0,0,2,0/2,2.63746,2.71265,0.0986448,0.098207,0.071936,0.069146,25361.1,25071.7,25591.3,25554.6,32824.8,32424.2,39310.5,38449.1,1.71945,2.18907,0.0702515,0,25.8437,999.9,55.5,26.2,18.4997,62.1354,19.1386,1,0.0121113,0,20.4173,5.22208,11.98,4.96945,3.29588,9103.2,9999,9999,233,4.96997,1.87511,1.87119,1.87424,1.87424,1.87228,1.87361,1.87485,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-2.655,0.046,-1.648925279,-0.002774575,7.27494E-07,-2.16226E-10,-0.047874437,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,1.7,1.7,0.157471,4.99756,1.4978,2.28271,1.49902,2.36206,30.5015,15.7694,3,351.362,687.76,26.2217,27.2899,30.0007,27.0946,27.0952,-1,40,10,-999.9,400,20,101.046,107.457
4,1784907528,383.0999999,20260724 11:38:48,11:38:48,15,1784907520,0.000195964,0.195963816,0.664858774,423.1719032,279.4079689,28.64969051,43.39083136,0.008175691,3.145694279,0.008163904,0.005103498,261.449483,28.02562881,27.1579,3.612486971,34.52380751,1.209085391,3.502178579,2.403401579,-8.642004305,-89.47439626,-6.131935728,157.2011467,0.026078692,0.244698596,0.664858774,426.6930945,427.1466182,-0.203856407,92.5346937,0.195963816,11.121534,11.72926783,-0.013723698,95.21209745,0,0,1,0,54223.43265,1499.997097,1273.857492,0.849239972,0.174299993,9,0.5,0: Broadleaf,2,TRUE,1784907520,423.1719032,423.482871,11.79168387,11.21159355,425.8679032,11.75068387,375.1689355,102.4370645,0.100062897,26.63030968,27.1579,999.9,0,0,9998.227419,692.243,0.218638,-0.287097885,428.2519355,428.2847419,0.595137258,423.482871,11.21159355,1.209445484,1.148482258,9.718274839,8.949532581,1499.997097,0.692,0.307999968,28,28282.4871,1784907547,11:39:06,1784907544,1784907547,5,-0.032,-0.002,-2.696,0.041,418,11,0.47,0.15,-0.815406993,14.56939587,1.761765609,0,0.58540135,0.44782791,0.059299614,0,0,2,0/2,2.63739,2.71244,0.100117,0.099393,0.0714956,0.0691014,25312,25030,25584.4,25546.4,32832.1,32415.8,39300.2,38437.3,1.7177,2.1854,0.0721402,0,25.9754,999.9,55.5,26.4,18.7183,62.5854,19.4992,1,0.0243293,0,20.4172,5.21864,11.98,4.96925,3.2959,9103.2,9999,9999,233.1,4.97002,1.87514,1.87119,1.87424,1.87424,1.87229,1.8736,1.87485,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-2.696,0.041,-1.60580257,-0.002774575,7.27494E-07,-2.16226E-10,-0.04638619,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,1.7,1.7,0.157471,4.99756,1.49902,2.28149,1.4978,2.2998,30.6956,15.7256,3,351.729,687.27,26.3965,27.4817,30.0005,27.3089,27.3166,-1,40,10,-999.9,400,20,101.019,107.424
5,1784907648,503.0999999,20260724 11:40:48,11:40:48,15,1784907640,0.000139652,0.139652474,0.254415924,419.9884667,334.2749211,34.27783753,43.06723453,0.005737242,3.146834631,0.005731437,0.003582669,261.450255,28.16062838,27.26762667,3.635805726,33.90842712,1.196084461,3.527395879,2.439721265,-6.15867412,-87.4455035,-5.997660484,161.8484168,1.812712701,0.073409775,0.254415924,429.1380448,426.6422424,0.185339895,92.53654999,0.139652474,11.50769393,11.73591189,0.00986466,95.22980841,0,0,1,0,54228.50096,1500.000667,1273.860622,0.849240037,0.174300093,9,0.5,0: Broadleaf,2,TRUE,1784907640,419.9884667,424.4112333,11.66412667,11.49006667,422.5774667,11.61312667,375.1474333,102.4438333,0.100017143,26.75218667,27.26762667,999.9,0,0,10002.75333,692.6486667,0.218638,-4.530574667,424.8362333,429.3444667,0.174342233,424.4112333,11.49006667,1.194946333,1.177086667,9.538628,9.314800667,1500.000667,0.691998767,0.308001233,28,28282.52667,1784907686,11:41:25,1784907686,1784907681,6,0.114,0.006,-2.589,0.051,424,11,0.25,0.21,-4.316288293,1.179227247,1.343768104,0,0.210496585,-0.413945352,0.072613069,0,0,2,0/2,2.63738,2.71268,0.100022,0.100035,0.0715475,0.0709171,25309.3,25004.9,25579.5,25539.5,32823.8,32343.9,39292.6,38427.8,1.71655,2.18132,0.0761412,0,26.039,999.9,55.5,26.6,18.939,62.7354,19.367,1,0.0342988,0,20.4173,5.21969,11.98,4.96945,3.29598,9103.2,9999,9999,233.1,4.96996,1.87514,1.87119,1.87424,1.87424,1.87228,1.87363,1.87485,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-2.589,0.051,-1.637904054,-0.002774575,7.27494E-07,-2.16226E-10,-0.048649335,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,1.7,1.7,0.157471,4.99756,1.4978,2.28149,1.49902,2.30103,30.8902,15.7169,3,352.135,685.913,26.5249,27.6279,30.0005,27.4798,27.4979,-1,40,10,-999.9,400,20,101,107.396
6,1784907768,623.0999999,20260724 11:42:48,11:42:48,15,1784907760,0.000136237,0.136237273,0.138498381,414.6216333,359.1622965,36.82924497,42.51616012,0.005520935,3.145381183,0.005515557,0.003447706,261.4503954,28.19380418,27.28377,3.639247517,32.98662726,1.165745409,3.533993943,2.473502108,-6.00806375,-84.75637189,-5.817299056,164.8686608,-0.494520245,0.224609876,0.138498381,418.2199625,418.6409091,-0.074685152,92.53936074,0.136237273,10.75641087,11.26612308,-0.017882312,95.25610042,0,0,1,0,54188.34731,1500.002333,1273.861977,0.849239997,0.174299993,9,0.5,0: Broadleaf,2,TRUE,1784907760,414.6216333,413.6586333,11.36846,10.83571333,417.2306333,11.33246,375.1328333,102.4420667,0.100002293,26.78395,27.28377,999.9,0,0,9996.315333,693.8122667,0.218638,1.001267767,419.4349,418.1899667,0.5486849,413.6586333,10.83571333,1.166242,1.110033667,9.177255,8.445921333,1500.002333,0.6920001,0.3079999,28,28282.55667,1784907792,11:43:12,1784907792,1784907787,7,-0.045,-0.006,-2.609,0.036,412,11,0.22,0.18,0.79596582,0.473619773,0.720711671,0,0.490275725,1.065321557,0.108667401,0,0,2,0/2,2.63704,2.71267,0.0985598,0.0977653,0.0692949,0.0670554,25342.6,25060.2,25572.2,25532,32894.9,32469.8,39281.5,38417,1.71528,2.17943,0.0755787,0,26.0206,999.9,53.9,26.8,18.6112,62.9153,19.4431,1,0.043689,0,20.4178,5.21834,11.98,4.96875,3.29575,9103.2,9999,9999,233.1,4.97002,1.87515,1.87119,1.87424,1.87424,1.87231,1.87363,1.87485,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-2.609,0.036,-1.524021583,-0.002774575,7.27494E-07,-2.16226E-10,-0.04298576,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,1.4,1.5,0.157471,4.99756,1.49902,2.28149,1.49902,2.28882,31.0636,15.6818,3,352.306,685.996,26.6051,27.7518,30.0003,27.6197,27.6402,-1,40,10,-999.9,400,20,100.971,107.365
7,1784907888,743.0999999,20260724 11:44:48,11:44:48,15,1784907880,0.000111978,0.111978069,0.133876962,412.9206129,350.7442095,35.96620942,42.34193704,0.004548485,3.146761745,0.004544835,0.00284085,261.4503212,28.15551348,27.21861935,3.625374666,32.84610361,1.157801769,3.524928809,2.467572898,-4.93823284,-81.14657401,-5.564067108,169.8014473,-0.191347547,0.201167835,0.133876962,417.0300739,417.2019394,-0.048991568,92.53803468,0.111978069,10.78570854,11.19031189,-0.013317336,95.24155929,0,0,1,0,54228.90179,1500.001613,1273.861499,0.849240086,0.174300027,9,0.5,0: Broadleaf,2,TRUE,1784907880,412.9206129,412.6608065,11.29093871,10.8137129,415.4766129,11.24493871,375.0987742,102.4426129,0.099947865,26.74029677,27.21861935,999.9,0,0,10002.54097,694.4327097,0.218638,0.204567187,417.5798387,417.1719355,0.476088032,412.6608065,10.8137129,1.156555484,1.107782581,9.053530968,8.416687097,1500.001613,0.691999935,0.308000161,28,28282.56129,1784907904,11:45:04,1784907901,1784907904,8,0.06,0.005,-2.556,0.046,416,11,0.34,0.21,0.394723395,-3.516737061,0.450109588,0,0.435035175,0.419816904,0.10435673,0,0,2,0/2,2.63683,2.71265,0.0983007,0.0975578,0.0689847,0.0678285,25348.8,25063.8,25571.3,25530,32904.6,32440.3,39279.9,38414.3,1.71497,2.177,0.080023,0,25.9121,999.9,53.2,27,18.5861,62.4053,19.6474,1,0.0471646,0,20.4197,5.22163,11.98,4.96925,3.2959,9103.2,9999,9999,233.2,4.96996,1.87515,1.87121,1.87425,1.87424,1.87235,1.87363,1.87485,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-2.556,0.046,-1.568512091,-0.002774575,7.27494E-07,-2.16226E-10,-0.048523274,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,1.6,1.7,0.157471,4.99756,1.49902,2.28027,1.49902,2.38159,31.1939,15.6731,3,352.629,685.001,26.586,27.8089,30.0002,27.7035,27.7337,-1,40,10,-999.9,400,20,100.967,107.357
8,1784908008,863.0999999,20260724 11:46:48,11:46:48,15,1784908000,0.000107429,0.107429243,0.163489618,422.5559677,348.4120608,35.72844276,43.33164205,0.004424668,3.148317665,0.004421216,0.00276357,261.4503828,28.1918812,27.27636452,3.6376683,34.10624461,1.204766413,3.53239246,2.432901887,-4.73762961,-84.88630933,-5.82034348,166.0061004,-0.473246833,0.156622895,0.163489618,425.7764791,426.7013818,-0.130358826,92.57382127,0.107429243,11.30371992,11.68496993,-0.01208269,95.61218136,0,0,1,0,54259.2793,1500.000968,1273.860945,0.849240082,0.174300143,9,0.5,0: Broadleaf,2,TRUE,1784908000,422.5559677,421.5793548,11.7484871,11.37713871,425.1379677,11.7004871,375.1316452,102.4465484,0.099967016,26.77624516,27.27636452,999.9,0,0,10009.23452,694.788129,0.218638,0.985529742,427.5925161,426.4309355,0.38096671,421.5793548,11.37713871,1.204577742,1.16554871,9.65817129,9.168272258,1500.000968,0.691998194,0.308001839,28,28282.52258,1784908026,11:47:06,1784908026,1784908024,9,-0.008,-0.003,-2.582,0.048,423,11,0.59,0.15,0.794247488,4.29462324,0.569972045,0,0.329968415,0.884170787,0.089338858,0,0,2,0/2,2.63634,2.7125,0.0999183,0.0990256,0.0712092,0.06978,25300.4,25020.1,25568.5,25527.1,32821.6,32368.5,39275.6,38410.2,1.71425,2.17518,0.0808947,0,25.966,999.9,54.2,27.1,19.0452,63.0353,19.4872,1,0.0509197,0,20.4186,5.21864,11.98,4.9692,3.29593,9103.2,9999,9999,233.2,4.97002,1.87515,1.87119,1.87425,1.87424,1.87235,1.87363,1.87485,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-2.582,0.048,-1.508339583,-0.002774575,7.27494E-07,-2.16226E-10,-0.043905155,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,1.8,1.7,0.15625,4.99756,1.4978,2.28027,1.49902,2.37427,31.2809,15.6468,3,352.657,684.309,26.6052,27.8564,30.0003,27.7709,27.8088,-1,40,10,-999.9,400,20,100.956,107.346
9,1784908128,983.0999999,20260724 11:48:48,11:48:48,15,1784908120,0.000119312,0.119311556,0.132848488,423.1042581,363.5359743,37.27891769,43.38736721,0.004832301,3.147089828,0.004828183,0.003017984,261.4498077,28.26565136,27.36240323,3.65605297,33.30590161,1.181780718,3.548262202,2.474272252,-5.261639623,-86.51976089,-5.939473454,163.7289337,0.733060074,0.107470995,0.132848488,429.7174368,428.7027879,0.068289247,92.58843569,0.119311556,11.2338504,11.52008601,-0.000312925,95.8226843,0,0,1,0,54216.4319,1499.999355,1273.85942,0.849239979,0.174299947,9,0.5,0: Broadleaf,2,TRUE,1784908120,423.1042581,424.9720968,11.52447097,11.2696,425.6752581,11.47547097,375.127871,102.4453226,0.100010823,26.85246129,27.36240323,999.9,0,0,10003.76871,695.1061613,0.218638,-1.878635323,428.0266452,429.8159032,0.255946581,424.9720968,11.2696,1.180738387,1.154518065,9.360879032,9.027597742,1499.999355,0.69200071,0.30799929,28,28282.52903,1784908145,11:49:05,1784908145,1784908145,10,0.021,0.002,-2.571,0.049,427,11,0.34,0.1,-2.00153622,3.954123408,0.597134018,0,0.239078146,0.396092341,0.041069298,0,0,2,0/2,2.63661,2.71255,0.100286,0.0999006,0.0704822,0.0696951,25287.6,24993.2,25566.3,25524.6,32844.8,32368.5,39272.2,38406.6,1.71395,2.17338,0.0817031,0,26.0388,999.9,53.6,27.3,19.0583,62.6454,20.2885,1,0.0544665,0,20.4185,5.22118,11.98,4.96925,3.29583,9103.2,9999,9999,233.2,4.97001,1.87515,1.87119,1.87425,1.87424,1.87233,1.87362,1.87485,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-2.571,0.049,-1.515953249,-0.002774575,7.27494E-07,-2.16226E-10,-0.047393927,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,1.7,1.7,0.15625,4.99756,1.49902,2.28027,1.49902,2.33032,31.3898,15.6118,3,352.839,683.47,26.6817,27.9095,30.0002,27.8297,27.8702,-1,40,10,-999.9,400,20,100.948,107.336
10,1784908248,1103.1,20260724 11:50:48,11:50:48,15,1784908240,0.000104374,0.104374489,-0.083779295,421.9861613,436.8079549,44.7925034,43.2726015,0.004208505,3.145573986,0.004205379,0.002628642,261.4500998,28.39970748,27.49886129,3.68537751,33.58789516,1.200919568,3.575453484,2.484457942,-4.602914972,-87.59023142,-6.023870199,163.2330832,-0.173701831,0.088408594,-0.083779295,425.4738047,426.7501273,-0.105893919,92.57566755,0.104374489,11.57639872,11.73882448,0.008126548,95.63712156,0,0,1,0,54157.1281,1500.000323,1273.860291,0.849240012,0.174300029,9,0.5,0: Broadleaf,2,TRUE,1784908240,421.9861613,421.6589032,11.71113871,11.5015,424.5511613,11.65913871,375.1020323,102.4450968,0.099975716,26.98236129,27.49886129,999.9,0,0,9996.896452,695.1377419,0.218638,0.334055113,426.9948065,426.565129,0.212613065,421.6589032,11.5015,1.200053548,1.178272903,9.602212581,9.329573871,1500.000323,0.691999613,0.308000387,28,28282.52258,1784908265,11:51:05,1784908265,1784908264,11,-0.001,-0.002,-2.565,0.052,426,12,0.32,0.16,1.774362183,-20.0401087,2.762519699,0,0.241118366,-0.61959416,0.076195762,0,0,2,0/2,2.63648,2.71264,0.0998912,0.0991196,0.0714674,0.0710976,25296.8,25011.3,25564.6,25521.2,32806.8,32314.9,39269,38401.6,1.71373,2.17132,0.0794455,0,26.1961,999.9,54,27.4,19.3147,63.0353,20.3806,1,0.0583968,0,20.4201,5.22208,11.98,4.9693,3.29583,9103.2,9999,9999,233.3,4.97,1.87515,1.8712,1.87425,1.87425,1.87239,1.87363,1.87485,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-2.565,0.052,-1.494915045,-0.002774575,7.27494E-07,-2.16226E-10,-0.045796625,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,1.7,1.7,0.15625,4.99756,1.49902,2.27905,1.49902,2.29614,31.4988,15.5768,3,353.083,682.474,26.8041,27.9725,30.0003,27.8931,27.9368,-1,40,10,-999.9,400,20,100.94,107.321
