obs,time,elapsed,date,hhmmss,averaging,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,αVc,Edyn,Hr,Hs,dHs/dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,F:MN,F:SLP,F:SD,F:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
1,1785336759,0,20260729 09:52:39,09:52:39,15,1785336751,0.001115019,1.115018716,4.099524964,381.3952333,205.3311266,20.67543662,38.40388499,0.040490835,2.940198528,0.040183585,0.025142151,266.149458,30.10746445,28.89337,3.997024295,32.0375295,1.27613959,3.983264658,2.720884705,-49.17232537,-9.436746724,-0.705649618,206.8347363,7.801377313,1.054259663,4.099524964,401.4801864,390.7938303,0.777630422,66.81089624,1.115018716,11.28093772,12.75406182,0.009741134,78.43,0,0,1,0,52875.27912,1499.988667,1273.85124,0.849240576,0.177434313,6,0.5,0: Broadleaf,2,TRUE,1785336751,381.3952333,392.9069,12.67355,11.21289,422.4261,16.49657333,427.5732,100.5932,0.099943583,28.83383667,28.89337,999.9,0,0,10001.50067,0,34.01398333,-11.51164867,386.2909667,397.3625333,1.460662,392.9069,11.21289,1.274873,1.127941333,10.50575333,8.68285,1499.988667,0.691981,0.308019,0,2.598183333,0,19997.97333,13609.39333,41.625,43.1124,42.3162,41.833,41.375,1037.963333,462.0253333,0,1785336706,0,1785336720,09:52:00,1785336696,1785336720,1,4.345,0.699,-41.031,-3.823,388,11,0.34,0.54,-10.05023675,-27.74410908,2.944097105,0,2.555585294,0.41214209,0.216028058,1,1.5371085,-1.002667317,0.130319242,0,1,3,1/3,3.00582,2.76512,0.103308,0.0979573,0.0892077,0.0675624,27802.3,18554.8,31765.8,22394.3,38970.6,28391.1,45625.1,32761,1.78878,2.72358,0.126198,0,26.8445,999.9,64,27.5,23.4485,61.7602,-100,3,0.00599339,0,20.3075,5.21729,12.0282,4.95975,3.301,7707.5,9999,9999,133,4.97293,1.87507,1.88141,1.88095,1.87866,1.87432,1.87442,1.87669,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-41.031,-3.8231,-41.0309,0,0,0,-3.823019048,0,0,0,-1,-1,-1,-1,1.1,0.7,0.158691,4.99878,2.89795,2.90894,2.99805,2.28027,31.1722,16.0846,2,447.931,1370.6,27.653,27.2804,30.0008,26.9564,26.7981,-1,40,10,-999.9,400,20,99.8293,86.0624
2,1785336884,125,20260729 09:54:44,09:54:44,15,1785336876,0.001227661,1.227660502,4.197538979,378.9837419,214.0476178,21.55289366,38.16065029,0.044569411,2.939517226,0.044197367,0.027656522,266.149681,30.22715276,28.99994194,4.021759258,32.32565788,1.298751735,4.017711687,2.723007524,-54.13982812,-2.757469397,-0.206504226,209.0458792,5.600414672,1.201351024,4.197538979,393.4491962,385.6434606,0.306458871,66.81089624,1.227660502,11.33556904,12.95314242,0.009327004,78.43,0,0,1,0,52829.57013,1499.993871,1273.855297,0.849240335,0.177433846,6,0.5,0: Broadleaf,2,TRUE,1785336876,378.9837419,387.406871,12.89825484,11.2488,420.0146129,16.72127419,431.3627742,100.5920323,0.1000188,28.98254194,28.99994194,999.9,0,0,9997.740323,0,14.38357419,-8.423228387,383.9357742,391.8144194,1.649449032,387.406871,11.2488,1.297461613,1.131540323,10.76944516,8.729896129,1499.993871,0.691989194,0.308010806,0,2.517758065,0,19035.03226,13609.47097,41.75,43.125,42.437,41.82012903,41.437,1037.979032,462.0148387,0,1785336831,0,1785336720,09:52:00,1785336696,1785336720,1,4.345,0.699,-41.031,-3.823,388,11,0.34,0.54,-8.1968675,-6.979332383,0.995957351,0,2.561035294,-0.445014511,0.252272926,1,1.6598695,-0.185025141,0.041286737,0,1,3,1/3,3.01031,2.76515,0.102284,0.0966602,0.0899331,0.0676906,27825.1,18578.2,31756.7,22391.1,38926.5,28383.5,45610.1,32757.2,1.79635,2.7163,0.125386,0,26.9675,999.9,64,27.6,23.5863,61.8902,-100,3,0.0222561,0,20.3077,5.21924,12.0279,4.95965,3.301,7707.5,9999,9999,133,4.97293,1.87514,1.88141,1.88095,1.87866,1.87433,1.8744,1.87669,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-41.031,-3.823,-41.0309,0,0,0,-3.823019048,0,0,0,-1,-1,-1,-1,3.1,2.7,0.158691,4.99878,2.89795,2.90894,2.99805,2.25586,31.2156,16.0758,2,453.871,1365.19,27.7585,27.5081,30.0006,27.1807,27.0229,-1,40,10,-999.9,400,20,99.7983,86.0514
3,1785337004,245,20260729 09:56:44,09:56:44,15,1785336996,0.00133678,1.336780345,4.629288125,376.2353871,207.6621246,20.907751,37.87997357,0.048012667,2.939796184,0.047581259,0.029776724,266.1478017,30.36571777,29.18788387,4.065705265,32.35714017,1.312639684,4.056723422,2.753065581,-58.95201322,-6.065065589,-0.454965152,200.6757577,3.832820414,1.455372031,4.629288125,387.8199329,380.8041939,0.08091095,66.81089624,1.336780345,11.05814419,12.96452424,-0.009649195,78.43,0,0,1,0,52808.17309,1499.988065,1273.849926,0.849240041,0.17743328,6,0.5,0: Broadleaf,2,TRUE,1785336996,376.2353871,382.3310968,13.03753548,11.03865484,417.2662581,16.86054839,431.1605806,100.5815806,0.100000271,29.14961613,29.18788387,999.9,0,0,10000.36645,0,15.6866,-6.095790968,381.2054516,386.5987419,1.99886871,382.3310968,11.03865484,1.311337419,1.110286452,10.92933226,8.450010968,1499.988065,0.691999419,0.308000581,0,2.515670968,0,18714.91613,13609.45806,41.86687097,43.278,42.562,42,41.56606452,1037.989677,461.9983871,0,1785336951,0,1785336720,09:52:00,1785336696,1785336720,1,4.345,0.699,-41.031,-3.823,388,11,0.34,0.54,-5.26765525,-21.69975006,2.147385883,0,2.491388235,-0.200513374,0.263981162,1,2.0463375,-1.020738011,0.1078714,0,1,3,1/3,3.00985,2.76501,0.101337,0.0954513,0.0898975,0.0665845,27850.2,18604.3,31752.7,22393.3,38922.8,28421.4,45603.9,32762.4,1.79422,2.71378,0.123166,0,27.1858,999.9,63.5,27.7,23.5423,61.6502,-100,3,0.0357368,0,20.307,5.22028,12.0285,4.9598,3.301,7707.5,9999,9999,133,4.97294,1.87511,1.88141,1.88095,1.87866,1.8743,1.87441,1.87669,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-41.031,-3.823,-41.0309,0,0,0,-3.823019048,0,0,0,-1,-1,-1,-1,5.1,4.7,0.158691,4.99878,2.89795,2.90894,2.99805,2.27783,31.2591,16.0583,2,453.996,1366.17,27.9081,27.6968,30.0006,27.3741,27.2175,-1,40,10,-999.9,400,20,99.7851,86.0629
4,1785337124,365,20260729 09:58:44,09:58:44,15,1785337116,0.0013632,1.363199589,4.162555057,382.6446129,232.4725812,23.40486437,38.52387762,0.049205167,2.939890648,0.048752186,0.030510467,266.1492648,30.61124341,29.4745129,4.133533205,33.90635328,1.395698508,4.116333292,2.737834697,-60.11710188,-11.45819376,-0.861800712,193.7121685,5.710848828,1.269599235,4.162555057,396.8960211,389.5931515,0.227541547,66.81089624,1.363199589,12.18107048,13.95873455,0.013754597,78.43,0,0,1,0,52766.70389,1500.004839,1273.863387,0.849239519,0.177432271,6,0.5,0: Broadleaf,2,TRUE,1785337116,382.6446129,391.3027419,13.863,12.11367419,423.6755484,17.68602581,429.4221613,100.5779677,0.099988561,29.40221935,29.4745129,999.9,0,0,10001.26323,0,15.45559355,-8.658147419,388.023871,396.1010323,1.749329032,391.3027419,12.11367419,1.394312903,1.218369032,11.85582258,9.827680323,1500.004839,0.692016452,0.307983548,0,2.539051613,0,18236.97742,13609.67097,42,43.5,42.794,42.125,41.7113871,1038.027419,461.9774194,0,1785337071,0,1785336720,09:52:00,1785336696,1785336720,1,4.345,0.699,-41.031,-3.823,388,11,0.34,0.54,-7.819512439,-13.03212753,1.477261106,0,2.476708824,0.628420158,0.233192457,1,1.757904146,-0.208847038,0.032913324,0,1,3,1/3,3.00836,2.76512,0.102831,0.0971519,0.0937143,0.0711913,27799.7,18553.8,31748.5,22374.9,38752.1,28254.5,45597.2,32731.8,1.7897,2.71578,0.12438,0,27.4687,999.9,66.5,27.8,24.8005,61.5902,-100,3,0.0459782,0,20.3072,5.21819,12.0279,4.95975,3.301,7707.5,9999,9999,133.1,4.97298,1.87513,1.88141,1.88095,1.87866,1.87433,1.87441,1.87668,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-41.031,-3.823,-41.0309,0,0,0,-3.823019048,0,0,0,-1,-1,-1,-1,7.1,6.7,0.158691,4.99878,2.89795,2.90894,2.99805,2.27905,31.3244,16.0496,2,452.544,1373.1,28.0832,27.8501,30.0004,27.5426,27.386,-1,40,10,-999.9,400,20,99.7711,85.9866
5,1785337244,485,20260729 10:00:44,10:00:44,15,1785337236,0.001429476,1.42947568,4.287981678,385.7771935,234.7758792,23.63667172,38.83912144,0.050544583,2.939830538,0.050066725,0.03133426,266.1514305,30.73918811,29.59726452,4.162881514,32.94055111,1.367341763,4.150937726,2.795539751,-63.03987751,-7.90313407,-0.595217788,194.6132011,2.117188317,1.564822728,4.287981678,393.3612449,388.7948303,-0.240436564,66.81089624,1.42947568,11.4492028,13.48603455,-0.009050069,78.43,0,0,1,0,52739.64555,1500.002258,1273.862555,0.849240425,0.17743402,6,0.5,0: Broadleaf,2,TRUE,1785337236,385.7771935,389.5796129,13.58139032,11.42424194,426.808,17.40439677,429.3363226,100.5776129,0.099985694,29.5474,29.59726452,999.9,0,0,10000.95645,0,16.32596774,-3.802470645,391.0886452,394.0816129,2.157130968,389.5796129,11.42424194,1.365982258,1.149022903,11.54499677,8.956947742,1500.002258,0.691986677,0.308013323,0,2.4634,0,17951.40323,13609.54194,42.177,43.69106452,42.937,42.282,41.875,1037.980323,462.0219355,0,1785337191,0,1785336720,09:52:00,1785336696,1785336720,1,4.345,0.699,-41.031,-3.823,388,11,0.34,0.54,-3.36428125,-8.668639587,0.970299548,0,2.489038235,-0.135665387,0.258231442,1,2.18033425,-0.583538724,0.078682324,0,1,3,1/3,3.00806,2.76522,0.102644,0.0965105,0.0918423,0.068145,27802.3,18574.5,31745.5,22384.4,38830,28361.4,45593.6,32748.4,1.78863,2.71125,0.120193,0,27.6408,999.9,64.6,27.9,24.2315,61.6502,-100,3,0.0552591,0,20.3073,5.22058,12.0293,4.95975,3.301,7707.5,9999,9999,133.1,4.97292,1.87509,1.88141,1.88095,1.87866,1.87434,1.8744,1.87668,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-41.031,-3.8231,-41.0309,0,0,0,-3.823019048,0,0,0,-1,-1,-1,-1,9.1,8.7,0.157471,4.99878,2.89795,2.90894,2.99805,2.30103,31.4115,16.0233,2,452.891,1369.93,28.2561,27.9816,30.0005,27.6822,27.5349,-1,40,10,-999.9,400,20,99.7625,86.0274
6,1785337364,605,20260729 10:02:44,10:02:44,15,1785337356,0.001400369,1.400368504,4.558697116,382.6373871,217.4120149,21.88933387,38.52444642,0.048592828,2.938736674,0.048150824,0.030133642,266.1461597,30.86263361,29.69568065,4.186542555,32.03829351,1.33877737,4.178678772,2.847765186,-61.75625102,-5.173609664,-0.390204782,198.8260943,5.234076575,1.403868272,4.558697116,396.1333526,388.8295879,0.137295353,66.81089624,1.400368504,11.42483731,13.31510485,0.005795818,78.43,0,0,1,0,52688.11021,1499.98,1273.842968,0.849239968,0.177433139,6,0.5,0: Broadleaf,2,TRUE,1785337356,382.6373871,390.7095806,13.29717419,11.35970645,423.6682581,17.12018387,428.9725484,100.5813548,0.09998921,29.66302581,29.69568065,999.9,0,0,9994.36129,0,16.60508387,-8.072152258,387.7939355,395.198871,1.937469032,390.7095806,11.35970645,1.337448387,1.142576129,11.22641613,8.873491935,1499.98,0.692000548,0.307999452,0,2.511819355,0,17699.12258,13609.39355,42.312,43.812,43.008,42.437,42.004,1037.987742,461.9922581,0,1785337311,0,1785336720,09:52:00,1785336696,1785336720,1,4.345,0.699,-41.031,-3.823,388,11,0.34,0.54,-7.926994,-4.174437974,1.112878131,0,2.482582353,0.027077156,0.209257825,1,1.9415165,-0.377266266,0.053743165,0,1,3,1/3,3.00738,2.76499,0.102645,0.0965898,0.091172,0.0676397,27798,18573.6,31741.2,22385.9,38853.8,28379,45587.4,32751.3,1.78647,2.70845,0.122324,0,27.7349,999.9,63.7,28,24.0333,61.6503,-100,3,0.0650381,0,20.307,5.21954,12.0279,4.9598,3.301,7707.5,9999,9999,133.1,4.97292,1.87514,1.88141,1.88095,1.87866,1.87432,1.87441,1.87669,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-41.031,-3.823,-41.0309,0,0,0,-3.823019048,0,0,0,-1,-1,-1,-1,11.1,10.7,0.157471,4.99878,2.89795,2.90894,2.99805,2.30225,31.4988,16.0321,2,452.656,1369.27,28.3743,28.1202,30.0005,27.8286,27.6824,-1,40,10,-999.9,400,20,99.749,86.0341
7,1785337484,725,20260729 10:04:44,10:04:44,15,1785337476,0.001455856,1.455856309,4.20730076,385.7212903,236.7877409,23.84056367,38.83568021,0.050476118,2.939065956,0.049999424,0.031292094,266.1468477,30.98152603,29.82821935,4.218592479,32.4939444,1.36828919,4.210905188,2.850303288,-64.20326322,-5.024427682,-0.379410451,196.5397464,4.676729886,1.366547189,4.20730076,395.8389985,390.7743273,-0.14425895,66.81089624,1.455856309,11.61632098,13.61888606,0.001228646,78.43,0,0,1,0,52674.39088,1499.984194,1273.8465,0.849239949,0.177433102,6,0.5,0: Broadleaf,2,TRUE,1785337476,385.7212903,393.0106774,13.59003548,11.70182903,426.7522581,17.41305484,428.3352903,100.5832258,0.100042606,29.79650968,29.82821935,999.9,0,0,9996.048387,0,20.14177097,-7.289335161,391.0354194,397.6640323,1.888195161,393.0106774,11.70182903,1.366929355,1.177009032,11.55563871,9.313750645,1499.984194,0.692001,0.307999,0,2.515816129,0,17556.2,13609.42903,42.375,43.937,43.125,42.562,42.125,1037.991613,461.9925806,0,1785337431,0,1785336720,09:52:00,1785336696,1785336720,1,4.345,0.699,-41.031,-3.823,388,11,0.34,0.54,-7.71938225,9.317442889,1.400576409,0,2.524282353,0.174386554,0.183050998,1,1.88573575,0.414690169,0.063920964,0,1,3,1/3,3.00726,2.76493,0.102948,0.0973882,0.0922988,0.0687013,27786.4,18553.5,31739.2,22381.8,38802.5,28340.3,45584.2,32744.1,1.78515,2.7023,0.123665,0,27.8293,999.9,64.1,28.2,24.4677,61.6203,-100,3,0.0738034,0,20.3071,5.22028,12.0285,4.95975,3.301,7707.5,9999,9999,133.2,4.97291,1.87512,1.88141,1.88095,1.87866,1.8743,1.87446,1.87668,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-41.031,-3.823,-41.0309,0,0,0,-3.823019048,0,0,0,-1,-1,-1,-1,13.1,12.7,0.157471,4.99878,2.89795,2.90771,2.99805,2.29492,31.608,16.0321,2,452.82,1363.47,28.5168,28.2481,30.0004,27.9636,27.8191,-1,40,10,-999.9,400,20,99.7423,86.0165
8,1785337604,845,20260729 10:06:44,10:06:44,15,1785337596,0.001513528,1.513528089,3.850161707,391.2812581,258.2656221,26.0018232,39.3936522,0.05266987,2.939438132,0.052151135,0.03264064,266.1484981,31.14907321,30.0133,4.263705589,33.4718795,1.424354497,4.255376508,2.839351092,-66.74658871,-5.394659168,-0.408058832,193.5991914,0.385066707,1.650039601,3.850161707,394.0472641,392.6554606,-0.653441303,66.81089624,1.513528089,11.74717846,13.99144121,-0.020733403,78.43,0,0,1,0,52653.21518,1500.002258,1273.861035,0.849239412,0.177432065,6,0.5,0: Broadleaf,2,TRUE,1785337596,391.2812581,392.7265161,14.14753871,11.86656129,432.3120645,17.97054194,427.8943548,100.5785806,0.100026852,29.97925806,30.0133,999.9,0,0,9998.627419,0,19.94969677,-1.445225226,396.8964516,397.4430323,2.280966452,392.7265161,11.86656129,1.422938065,1.193522581,12.16402903,9.520431613,1500.002258,0.692019774,0.307980226,0,2.50996129,0,17411.7871,13609.69032,42.532,44.10874194,43.312,42.73170968,42.266,1038.030968,461.9712903,0,1785337551,0,1785336720,09:52:00,1785336696,1785336720,1,4.345,0.699,-41.031,-3.823,388,11,0.34,0.54,-2.5299968,23.87268848,2.432331913,0,2.513070588,0.146554614,0.198099503,1,2.262881,0.367514747,0.042599647,0,1,3,1/3,3.00686,2.76505,0.103144,0.0957465,0.0936582,0.0689131,27777.4,18585.1,31736.5,22379.6,38740.3,28331.8,45580.1,32742,1.78345,2.70248,0.119314,0,28.0576,999.9,64.9,28.3,24.9201,61.5603,-100,3,0.0821189,0,20.3071,5.21954,12.0279,4.9597,3.301,7707.5,9999,9999,133.2,4.97294,1.87515,1.88141,1.88095,1.87866,1.87431,1.8744,1.87671,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-41.031,-3.823,-41.0309,0,0,0,-3.823019048,0,0,0,-1,-1,-1,-1,15.1,14.7,0.158691,4.99878,2.89795,2.90771,2.99805,2.24731,31.7173,16.0058,2,452.703,1366.74,28.694,28.373,30.0004,28.0901,27.9484,-1,40,10,-999.9,400,20,99.7334,86.0097
9,1785337724,965,20260729 10:08:44,10:08:44,15,1785337716,0.001417455,1.417455383,4.695250637,379.629129,207.4053313,20.87899664,38.21635279,0.047852605,2.940016343,0.047424086,0.029678234,266.1497609,31.31632178,30.16974194,4.302165364,32.12313333,1.378208269,4.290391771,2.923957095,-62.50978237,-7.570267731,-0.573360322,195.4963505,6.124925472,1.429755001,4.695250637,396.2450212,387.0086,0.410512021,66.81089624,1.417455383,11.73505627,13.69805818,0.00016435,78.43,0,0,1,0,52644.79943,1499.992581,1273.854361,0.849240441,0.177434052,6,0.5,0: Broadleaf,2,TRUE,1785337716,379.629129,388.9970645,13.69068387,11.70941935,420.6600323,17.51371613,427.0547419,100.5676452,0.099953474,30.12198065,30.16974194,999.9,0,0,10003.00516,0,18.18114516,-9.367882903,384.8988065,393.6060323,1.981276774,388.9970645,11.70941935,1.37684,1.177588065,11.66493548,9.321178065,1499.992581,0.691985355,0.308014645,0,2.490770968,0,17240.39355,13609.45161,42.673,44.25,43.437,42.87093548,42.403,1037.972581,462.0196774,0,1785337671,0,1785336720,09:52:00,1785336696,1785336720,1,4.345,0.699,-41.031,-3.823,388,11,0.34,0.54,-8.7999705,-15.30648811,1.639852575,0,2.467120588,0.61506952,0.168330637,1,1.9876645,-0.126382964,0.020315592,0,1,3,1/3,3.0055,2.76505,0.102192,0.0965429,0.0925384,0.0689184,27804.6,18567.5,31734.3,22378.5,38785.7,28329.8,45576.5,32740,1.7798,2.70058,0.118777,0,28.2038,999.9,63.9,28.4,24.6796,61.5903,-100,3,0.0914228,0,20.3072,5.22014,12.0279,4.95985,3.301,7707.5,9999,9999,133.2,4.97291,1.87515,1.88141,1.88095,1.87866,1.87434,1.87442,1.8767,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-41.031,-3.823,-41.0309,0,0,0,-3.823019048,0,0,0,-1,-1,-1,-1,17.1,16.7,0.157471,4.99878,2.89795,2.90771,2.99805,2.27295,31.8049,16.0146,2,451.457,1366.98,28.8222,28.4956,30.0004,28.2183,28.0783,-1,40,10,-999.9,400,20,99.7261,86.005
10,1785337844,1085,20260729 10:10:44,10:10:44,15,1785337836,0.001492207,1.492206864,4.42065216,385.7163226,229.908959,23.14321003,38.82716838,0.050522304,2.939710248,0.050044845,0.03132055,266.1567151,31.29994637,30.12290323,4.29061893,32.00989908,1.373571277,4.29108281,2.917047653,-65.8063227,0.298566532,0.022610393,200.6715693,3.535820383,1.485255909,4.42065216,394.7720085,389.8199576,-0.213853237,66.81089624,1.492206864,11.4641327,13.60033818,-0.009153039,78.43,0,0,1,0,52635.4093,1500.036774,1273.891432,0.849240135,0.17743346,6,0.5,0: Broadleaf,2,TRUE,1785337836,385.7163226,391.4920968,13.6453129,11.58591935,426.7471613,17.46832258,426.8215161,100.5625161,0.099981429,30.1247871,30.12290323,999.9,0,0,10001.77323,0,19.69702581,-5.775713226,391.0523226,396.081129,2.059382581,391.4920968,11.58591935,1.372207097,1.16511129,11.61393226,9.162634516,1500.036774,0.691995903,0.308004097,0,2.519070968,0,17264.1,13609.9,42.754,44.312,43.5,42.937,42.5,1038.01871,462.0180645,0,1785337791,0,1785336720,09:52:00,1785336696,1785336720,1,4.345,0.699,-41.031,-3.823,388,11,0.34,0.54,-6.42721525,13.79048071,1.428293028,0,2.517011765,-0.466343781,0.228763562,1,2.04312975,0.707600263,0.076733347,0,1,3,1/3,3.00546,2.76495,0.102631,0.0963033,0.0921119,0.0677872,27787,18575.2,31730.4,22382.3,38799.6,28369.9,45571.1,32746.8,1.77932,2.7037,0.121862,0,28.1293,999.9,63,28.5,24.4767,61.6203,-100,3,0.0990244,0,20.3074,5.21969,12.0282,4.95975,3.301,7707.5,9999,9999,133.3,4.97293,1.87515,1.88141,1.88095,1.87866,1.87432,1.87441,1.87671,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-41.03,-3.8231,-41.0309,0,0,0,-3.823019048,0,0,0,-1,-1,-1,-1,19.1,18.7,0.157471,4.99878,2.89795,2.90649,2.99805,2.29492,31.9146,16.0146,2,451.963,1374.21,28.8708,28.608,30.0002,28.3326,28.1903,-1,40,10,-999.9,400,20,99.714,86.0215
