obs,time,elapsed,date,hhmmss,averaging,kam,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,αVc,Edyn,Hr,Hs,dHs/dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,CO2_hrs,AccH2O_hum,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
1,1785336236,0,20260729 22:43:56,22:43:56,15,,1785336228,0.001527973,1.527973455,5.046645214,419.9450601,269.5983408,27.13573869,42.26850723,0.060547471,1.381596807,0.059111055,0.037070627,287.43228,32.86812357,29.33936667,4.101430264,36.2395862,1.57298404,4.340513247,2.528446224,-67.38362936,73.37879833,11.78980662,305.2172556,2.255522472,1.625437684,5.046645214,431.3138637,424.3576303,-0.107597753,60.85350742,1.527973455,13.14479727,15.50547152,-0.018108513,69.65,50,12,1.003947947,0.394794697,25429.62087,1500.012,1261.22508,0.840809994,0.191619987,6,0.5,0: Broadleaf,2,TRUE,1785336228,420.0641333,424.4188,15.62787333,13.25889333,433.8891333,16.57170667,403.6278,100.5524667,0.100002547,30.32452,29.33936667,999.9,0,0,5008.001333,0,19.7546,-4.354668933,426.7332667,430.1215333,2.368983333,424.4188,13.25889333,1.571420667,1.333213333,13.68122,11.17815333,1500.012,0.973003,0.0269971,0,2.023106667,0,12699.58667,12844,41.3204,43.125,42.25,41.958,41.3498,1459.512,40.5,0,1785336233,0,1785336093,22:41:33,1785336080,1785336093,1,0.501,-0.914,-13.825,-0.944,430,13,0.07,0.14,-2.227154857,-36.87008065,4.63563079,0,2.30859619,0.966972468,0.104382521,0,0,2,0/2,2.97947,2.75946,0.0966692,0.0971436,0.0841173,0.0715125,32178.7,23127.8,33716.4,25890.5,39469.5,32558,49223,40426.2,1.7164,2.71627,0.142306,0,27.0185,999.9,67.727,27.825,25.2992,28.97,-100,3,0.0677261,0,20.2433,5.20501,11.9529,4.9697,3.294,7163.4,9999,130.8,9999,4.97352,1.87286,1.87063,1.87229,1.87282,1.87378,1.8732,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.825,-0.9438,-13.8248,0,0,0,-0.943836364,0,0,0,-1,-1,-1,-1,2.6,2.4,0.157471,4.99756,2.64526,2.76001,2.8479,2.229,31.6298,16.0233,2,338.764,1270.37,28.4251,28.3006,30.0004,28.1681,28.0698,-1,40,10,-999.9,400,20,102.313,94.9031
2,1785336356,120,20260729 22:45:56,22:45:56,15,,1785336348,0.001532182,1.532181992,4.488628673,410.2742468,271.2482863,27.30154192,41.29471084,0.058833726,1.380812781,0.057475739,0.036041736,287.42848,32.91815101,29.3849,4.112221988,34.54711368,1.503923032,4.353252333,2.608298955,-67.56922585,73.75552364,11.86274364,305.4775214,5.794213523,1.528713935,4.488628673,426.0833789,418.0634788,0.214725641,60.85350742,1.532181992,12.71802036,14.95214121,0.000220699,69.65,49,12,1.003872816,0.387281631,25402.58254,1499.992,1261.20828,0.840810004,0.191620009,6,0.5,0: Broadleaf,2,TRUE,1785336348,410.3802667,419.8592,14.94188667,12.72002667,424.2049333,15.88572667,405.0591333,100.5514667,0.10001502,30.37567333,29.3849,999.9,0,0,5004.166667,0,22.14438,-9.479028667,416.6049333,425.2684667,2.221858667,419.8592,12.72002667,1.502430667,1.279018667,12.99291333,10.55452667,1499.992,0.973002333,0.02699778,0,1.97386,0,12464.54,12843.82667,41.312,43.0956,42.1912,41.93706667,41.312,1459.492,40.5,0,1785336353,0,1785336093,22:41:33,1785336080,1785336093,1,0.501,-0.914,-13.825,-0.944,430,13,0.07,0.14,-9.2915495,-2.668892481,0.528573455,0,2.234234,-0.160597895,0.031837475,0,0,2,0/2,2.9809,2.75939,0.0955354,0.0954991,0.0818628,0.0696044,32211.4,23166.7,33709,25887.6,39569.2,32622.7,49213.6,40422.3,1.71887,2.7125,0.142448,0,27.0592,999.9,65.364,27.956,24.6049,29.12,-100,3,0.0753862,0,20.2436,5.20426,11.9544,4.9697,3.294,7163.4,9999,130.8,9999,4.97354,1.87286,1.87065,1.87228,1.8728,1.87378,1.87322,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.825,-0.9439,-13.8248,0,0,0,-0.943836364,0,0,0,-1,-1,-1,-1,4.6,4.4,0.157471,4.99756,2.64526,2.75879,2.8479,2.26929,31.6736,15.997,2,340.661,1267.86,28.4723,28.416,30.0004,28.2957,28.2036,-1,40,10,-999.9,400,20,102.293,94.8932
3,1785336476,240,20260729 22:47:56,22:47:56,15,,1785336468,0.001543536,1.543535862,4.527361799,409.8831231,269.341123,27.10873826,41.25405797,0.05867046,1.380352284,0.057319466,0.035943457,287.4310133,32.96877683,29.43766667,4.124759022,34.11876359,1.490034332,4.367199088,2.634724689,-68.06993153,73.96062858,11.90610357,305.227814,5.160847765,1.57259739,4.527361799,425.4411313,417.223903,0.242314016,60.85350742,1.543535862,12.54972662,14.79715879,-0.000221794,69.65,49,12,1.003875563,0.387556317,25384.64755,1500.005333,1261.21948,0.840809997,0.191619994,6,0.5,0: Broadleaf,2,TRUE,1785336468,409.9901333,418.535,14.80436,12.52514,423.815,15.7482,406.2560667,100.5483333,0.100011633,30.43152667,29.43766667,999.9,0,0,5002.041333,0,20.80802667,-8.544864667,416.1509333,423.8436,2.279218667,418.535,12.52514,1.488552,1.259381333,12.85108,10.32262667,1500.005333,0.973002667,0.026997447,0,1.922306667,0,12314.18667,12843.94,41.2748,43.0662,42.187,41.9246,41.312,1459.505333,40.5,0,1785336473,0,1785336093,22:41:33,1785336080,1785336093,1,0.501,-0.914,-13.825,-0.944,430,13,0.07,0.14,-8.0018945,-15.29564887,1.583758566,0,2.300629,-0.462717293,0.048636319,0,0,2,0/2,2.98217,2.75945,0.0953721,0.0955742,0.0811994,0.0690243,32211.3,23161.2,33703.4,25884.1,39595,32638.9,49206.7,40417.7,1.72115,2.70872,0.140779,0,27.1356,999.9,64.327,28.067,24.3742,29.12,-100,3,0.0817378,0,20.2431,5.20471,11.9533,4.96955,3.294,7163.4,9999,130.8,9999,4.97353,1.87286,1.87063,1.87229,1.87278,1.87378,1.87318,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.825,-0.9438,-13.8248,0,0,0,-0.943836364,0,0,0,-1,-1,-1,-1,6.6,6.4,0.15625,4.99756,2.64526,2.75879,2.8479,2.19482,31.6955,15.9533,2,342.381,1264.97,28.5262,28.5151,30.0005,28.4077,28.3207,-1,40,10,-999.9,400,20,102.277,94.8816
4,1785336597,360.9000001,20260729 22:49:57,22:49:57,15,,1785336589,0.001654844,1.654844289,3.991526062,408.3813181,291.5580809,29.34616616,41.10476369,0.063978842,1.37880793,0.062374169,0.039124677,287.4279733,32.81542222,29.32756,4.098636034,34.60093145,1.502523666,4.342437048,2.596112368,-72.97863315,74.68316874,12.02340994,301.1559189,3.535325659,1.578407771,3.991526062,418.1312063,413.6563212,-0.248698164,60.86183289,1.654844289,12.45600694,14.89955636,-0.006129335,69.65,49,12,1.003881206,0.388120576,25347.88521,1499.989333,1261.20604,0.840810006,0.191620012,6,0.5,0: Broadleaf,2,TRUE,1785336589,408.4758,414.6142,14.92777333,12.64599333,422.3006667,15.8716,407.2460667,100.5528667,0.10003264,30.33225333,29.32756,999.9,0,0,4994.167333,0,23.43607333,-6.138322,414.6659333,419.9248667,2.281775333,414.6142,12.64599333,1.501032,1.271592,12.97866,10.46593333,1499.989333,0.973001333,0.026998813,0,1.993966667,0,12211.10667,12843.81333,41.2038,43.0372,42.125,41.8874,41.312,1459.489333,40.5,0,1785336594,0,1785336093,22:41:33,1785336080,1785336093,1,0.501,-0.914,-13.825,-0.944,430,13,0.07,0.14,-6.467912381,9.218693766,1.305494233,0,2.278971429,0.77156961,0.146426575,0,0,2,0/2,2.98351,2.75945,0.0946681,0.0942035,0.0815071,0.0673136,32228.7,23191.9,33695.7,25879.6,39572.5,32695.1,49197.3,40411.8,1.7236,2.70665,0.136998,0,27.0651,999.9,64.021,28.188,24.4292,29.01,-100,3,0.088717,0,20.2435,5.20486,11.9536,4.9696,3.294,7163.4,9999,130.9,9999,4.97355,1.87286,1.87064,1.87232,1.87284,1.87378,1.8732,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.825,-0.9438,-13.8248,0,0,0,-0.943836364,0,0,0,-1,-1,-1,-1,8.6,8.4,0.15625,4.99756,2.64526,2.75757,2.84912,2.27905,31.7611,15.9795,2,344.138,1264.27,28.5242,28.601,30.0004,28.5102,28.4244,-1,40,10,-999.9,400,20,102.256,94.8669
5,1785336717,480.9000001,20260729 22:51:57,22:51:57,15,,1785336709,0.00154081,1.540810128,4.395065329,400.6647294,264.7533453,26.64787391,40.32758558,0.058947996,1.379385546,0.057583419,0.036109608,287.4226533,32.79259009,29.25051333,4.080442472,33.80836416,1.461359999,4.32248065,2.619082473,-67.94972663,74.4675621,11.97433711,305.9148259,4.520630765,1.562662326,4.395065329,413.8292517,406.8993818,0.06349799,60.86183289,1.540810128,12.29159351,14.52577515,0.000237791,69.65,48,12,1.003798153,0.379815323,25371.44156,1499.961333,1261.18252,0.840810021,0.191620042,6,0.5,0: Broadleaf,2,TRUE,1785336709,400.7686667,408.322,14.51898,12.26016,414.5934667,15.46282,407.4856667,100.5517333,0.099965273,30.25188667,29.25051333,999.9,0,0,4997.084,0,24.70687333,-7.553325333,406.6732,413.3902,2.258812667,408.322,12.26016,1.459908667,1.232782,12.55463333,10.003388,1499.961333,0.972999667,0.02700056,0,2.067226667,0,12126.35333,12843.55333,41.1622,42.875,42.05786667,41.74993333,41.187,1459.461333,40.5,0,1785336714,0,1785336093,22:41:33,1785336080,1785336093,1,0.501,-0.914,-13.825,-0.944,430,13,0.07,0.14,-7.42592619,-3.618121558,0.637036138,0,2.27982619,-0.410175584,0.042511378,0,0,2,0/2,2.98261,2.75944,0.0935753,0.0934981,0.0800428,0.0677352,32263.7,23207.4,33692,25876.9,39637.6,32676.3,49192.5,40408.4,1.72117,2.7056,0.140969,0,26.9562,999.9,62.733,28.288,24.0773,28.89,-100,3,0.0923908,0,20.2437,5.20231,11.9542,4.9696,3.294,7163.4,9999,130.9,9999,4.97354,1.87286,1.87065,1.87231,1.87284,1.87378,1.87323,1.87776,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.825,-0.9438,-13.8248,0,0,0,-0.943836364,0,0,0,-1,-1,-1,-1,10.6,10.4,0.15625,4.99756,2.64526,2.75879,2.8479,2.22168,31.783,15.9358,2,343.373,1264.42,28.4545,28.6499,30.0003,28.5773,28.4995,-1,40,10,-999.9,400,20,102.246,94.8582
6,1785336837,600.9000001,20260729 22:53:57,22:53:57,15,,1785336829,0.00137475,1.374749725,4.515584231,407.4357241,253.3816887,25.5032938,41.00909198,0.052549927,1.380066915,0.051463071,0.032260197,287.4256933,32.98523801,29.39624667,4.114915078,34.51278402,1.501186324,4.349652939,2.613728754,-60.62646286,71.79709964,11.5538157,310.1501458,2.442957776,1.323454762,4.515584231,417.9207787,412.1151576,-0.155207993,60.86183289,1.374749725,13.06142294,14.99173394,0.008984528,69.65,49,12,1.003875954,0.387595353,25382.10086,1499.977333,1261.19596,0.840810012,0.191620024,6,0.5,0: Broadleaf,2,TRUE,1785336829,407.5424667,411.9144667,14.91466667,13.00490667,421.3673333,15.85848667,407.9903333,100.5517333,0.099951213,30.36123333,29.39624667,999.9,0,0,5000.458667,0,23.67357333,-4.372066667,413.7128,417.3418667,1.909739333,411.9144667,13.00490667,1.499694,1.307666667,12.96494667,10.88704667,1499.977333,0.973000667,0.026999507,0,1.893793333,0,12056.02,12843.7,41.14153333,42.875,42.062,41.7248,41.187,1459.477333,40.5,0,1785336834,0,1785336093,22:41:33,1785336080,1785336093,1,0.501,-0.914,-13.825,-0.944,430,13,0.07,0.14,-5.245039048,11.30554208,1.855443926,0,1.934289524,-0.302456104,0.079890284,0,0,2,0/2,2.98297,2.7595,0.0943438,0.0932658,0.0820286,0.0710598,32232,23210.7,33687.6,25874.1,39539.3,32551.8,49187,40405.1,1.7211,2.70653,0.142746,0,27.0747,999.9,64.406,28.389,24.8651,28.74,-100,3,0.0961712,0,20.2439,5.20456,11.9538,4.9698,3.294,7163.4,9999,130.9,9999,4.97353,1.87286,1.87068,1.87228,1.87285,1.87378,1.87321,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.824,-0.9439,-13.8248,0,0,0,-0.943836364,0,0,0,-1,-1,-1,-1,12.6,12.4,0.15625,4.99756,2.64526,2.75757,2.8479,2.24731,31.8488,15.927,2,343.715,1267.35,28.5004,28.71,30.0003,28.6428,28.5688,-1,40,10,-999.9,400,20,102.233,94.8494
7,1785336957,720.9000001,20260729 22:55:57,22:55:57,15,,1785336949,0.001393191,1.393191206,4.410894851,400.8990497,253.417435,25.50638557,40.35036397,0.053775015,1.380037686,0.052637461,0.032998614,287.42886,33.01258056,29.44027333,4.125379212,35.24665932,1.536342324,4.358831031,2.589036888,-61.43973217,71.25791075,11.47188103,308.7189196,4.307612227,1.304392715,4.410894851,414.2021969,407.3548788,0.047271193,60.86183289,1.393191206,13.37689821,15.33313818,0.008645463,69.65,48,12,1.00379713,0.379712978,25378.25414,1499.994,1261.20996,0.840810003,0.191620006,6,0.5,0: Broadleaf,2,TRUE,1785336949,401.0033333,408.0748,15.26425333,13.38482667,414.8283333,16.20808667,408.4909333,100.5496667,0.10002058,30.39803333,29.44027333,999.9,0,0,5000.416667,0,23.40890667,-7.07142,407.2192667,413.611,1.879426667,408.0748,13.38482667,1.534816,1.34584,13.31942,11.32073333,1499.994,0.973001,0.026999173,0,2.056313333,0,11992.78667,12843.82667,41.187,42.93286667,42.062,41.77893333,41.1996,1459.494,40.5,0,1785336954,0,1785336093,22:41:33,1785336080,1785336093,1,0.501,-0.914,-13.825,-0.944,430,13,0.07,0.14,-5.884907143,-17.81462026,2.097570637,0,1.879829524,0.304692468,0.058368799,0,0,2,0/2,2.98433,2.75941,0.0935655,0.0932529,0.0833577,0.0713801,32253.1,23206.4,33681.2,25869.4,39469.4,32534.1,49178.6,40398.9,1.72362,2.70345,0.141613,0,27.1276,999.9,65.212,28.5,25.3397,28.68,-100,3,0.102403,0,20.2433,5.20441,11.9535,4.96945,3.294,7163.4,9999,131,9999,4.97355,1.87286,1.8707,1.8723,1.87286,1.87378,1.87328,1.87776,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.825,-0.9438,-13.8248,0,0,0,-0.943836364,0,0,0,-1,-1,-1,-1,14.6,14.4,0.15625,4.99756,2.64526,2.75757,2.8479,2.27417,31.9146,15.9358,2,345.373,1264.56,28.5553,28.7893,30.0004,28.7213,28.6456,-1,40,10,-999.9,400,20,102.215,94.8336
8,1785337077,840.9000001,20260729 22:57:57,22:57:57,15,,1785337069,0.001509105,1.509105188,4.365825672,413.6503462,276.6486724,27.84520495,41.63467899,0.0582126,1.381136122,0.056883089,0.035668853,287.42658,33.04453685,29.54317333,4.149926709,35.49211857,1.555318254,4.38215107,2.594608455,-66.5515388,70.59236806,11.36672608,302.8341353,2.797448096,1.587744436,4.365825672,424.4895791,418.7787394,-0.130487769,60.86183289,1.509105188,13.13251653,15.37982182,-0.010292535,69.65,48,12,1.003793523,0.379352337,25402.28934,1499.982,1261.19988,0.84081001,0.191620019,6,0.5,0: Broadleaf,2,TRUE,1785337069,413.7534667,418.8003333,15.45245333,13.17038,427.5783333,16.39632,409.4196667,100.5518667,0.099998773,30.49123333,29.54317333,999.9,0,0,5005.748667,0,24.12438,-5.046698,420.2474667,424.3896,2.282094667,418.8003333,13.17038,1.553776,1.324308,13.50780667,11.07746,1499.982,0.973000333,0.026999873,0,1.96694,0,11942.57333,12843.72667,41.25,43,42.1374,41.86653333,41.312,1459.482,40.5,0,1785337074,0,1785336093,22:41:33,1785336080,1785336093,1,0.501,-0.914,-13.825,-0.944,430,13,0.07,0.14,-5.488173333,-2.460679481,2.109166788,0,2.255267143,0.324377922,0.053960858,0,0,2,0/2,2.98466,2.75937,0.0954489,0.0952998,0.0834844,0.0711706,32177.5,23148.9,33672.7,25864.2,39454.8,32534.8,49167.4,40391.5,1.7231,2.70117,0.14564,0,27.1775,999.9,65.297,28.591,25.5036,28.98,-100,3,0.110249,0,20.2436,5.20396,11.955,4.9693,3.294,7163.4,9999,131,9999,4.97357,1.87286,1.87066,1.87225,1.87284,1.87378,1.87323,1.87777,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.825,-0.9438,-13.8248,0,0,0,-0.943836364,0,0,0,-1,-1,-1,-1,16.6,16.4,0.15625,4.99756,2.64526,2.75879,2.8479,2.25586,31.9805,15.9095,2,345.68,1263.31,28.6203,28.8961,30.0003,28.8174,28.7385,-1,40,10,-999.9,400,20,102.191,94.8156
9,1785337197,960.9000001,20260729 22:59:57,22:59:57,15,,1785337189,0.001630347,1.630347255,4.429282235,414.3030674,281.4866904,28.33219952,41.70043404,0.061462604,1.381676072,0.059983092,0.037619395,287.4327867,33.11076562,29.65756,4.177363781,34.40903352,1.519045414,4.41467039,2.658318367,-71.89831393,71.72687122,11.55881947,298.8201634,3.722594801,1.599682847,4.429282235,424.3685575,419.5348909,-0.291991114,60.86183289,1.630347255,12.7203518,15.07200606,-0.00072772,69.65,48,12,1.003792794,0.379279436,25407.15346,1500.014667,1261.22732,0.840809992,0.191619984,6,0.5,0: Broadleaf,2,TRUE,1785337189,414.4076667,420.7962667,15.09205333,12.79833333,428.2324,16.03589333,410.5547333,100.552,0.100004107,30.62048,29.65756,999.9,0,0,5008.417333,0,25.12832,-6.388694667,420.7575333,426.2516667,2.293722,420.7962667,12.79833333,1.517537333,1.286899333,13.14600667,10.64652,1500.014667,0.973001333,0.02699882,0,2.042646667,0,11896.12667,12844.03333,41.312,43.125,42.2164,41.9664,41.3708,1459.514667,40.5,0,1785337194,0,1785336093,22:41:33,1785336080,1785336093,1,0.501,-0.914,-13.825,-0.944,430,13,0.07,0.14,-6.954773333,12.37019844,1.635554464,0,2.258756667,0.726314026,0.075833091,0,0,2,0/2,2.98596,2.7594,0.0955972,0.0947889,0.082183,0.0691282,32166.4,23159.1,33667.1,25861.4,39510.6,32604.8,49160.5,40387.8,1.7254,2.69835,0.141073,0,27.3698,999.9,63.594,28.681,24.9691,28.92,-100,3,0.116319,0,20.2433,5.20456,11.9542,4.96935,3.294,7163.4,9999,131,9999,4.97356,1.87286,1.87068,1.87232,1.87286,1.87378,1.87325,1.87777,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.825,-0.9438,-13.8248,0,0,0,-0.943836364,0,0,0,-1,-1,-1,-1,18.6,18.4,0.15625,4.99756,2.64526,2.75635,2.8479,2.24731,32.0464,15.892,2,347.302,1261.18,28.7204,28.9878,30.0003,28.907,28.8276,-1,40,10,-999.9,400,20,102.175,94.8063
10,1785337317,1080.9,20260729 23:01:57,23:01:57,15,,1785337309,0.001644577,1.644577239,4.867586114,409.8002753,263.2594559,26.49714633,41.24652551,0.060420287,1.379775186,0.058987982,0.036993348,287.4348133,33.25904385,29.81410667,4.215169669,33.42483834,1.488561748,4.453459829,2.726607921,-72.52585622,71.37081355,11.5349407,297.8147114,3.824774932,1.609509025,4.867586114,422.3305852,415.3014909,-0.026630799,60.8612438,1.644577239,12.43054462,14.79571212,-0.000466171,69.65,48,12,1.003802999,0.380299908,25339.23511,1500.025333,1261.23628,0.840809986,0.191619973,6,0.5,0: Broadleaf,2,TRUE,1785337309,409.9155333,416.4320667,14.78944,12.48665333,423.7402667,15.73328,411.5728667,100.5503333,0.099978533,30.77356667,29.81410667,999.9,0,0,4999.083333,0,25.84626667,-6.516734,416.0688,421.6976667,2.30278,416.4320667,12.48665333,1.487083333,1.255538667,12.836,10.27674667,1500.025333,0.973002,0.02699814,0,1.994886667,0,11841.9,12844.10667,41.375,43.25,42.312,42.083,41.4496,1459.525333,40.5,0,1785337314,0,1785336093,22:41:33,1785336080,1785336093,1,0.501,-0.914,-13.825,-0.944,430,13,0.07,0.14,-6.576014762,-1.355637662,1.929896624,0,2.333726667,-0.191923636,0.079516468,0,0,2,0/2,2.98698,2.75967,0.0948843,0.0944745,0.0810743,0.0685527,32187.1,23164.4,33662.7,25858.8,39558.2,32621.9,49155.2,40384.5,1.72717,2.69742,0.139542,0,27.5494,999.9,62.209,28.782,24.5709,29.1,-100,3,0.121806,0,20.2439,5.20501,11.9556,4.9698,3.294,7163.4,9999,131.1,9999,4.97354,1.87286,1.87071,1.87231,1.87285,1.87378,1.87328,1.87776,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.825,-0.9438,-13.8248,0,0,0,-0.943836364,0,0,0,-1,-1,-1,-1,20.6,20.4,0.15625,4.99756,2.64526,2.75757,2.84912,2.26685,32.1344,15.8745,2,348.64,1261.72,28.8315,29.0706,30.0003,28.9901,28.9126,-1,40,10,-999.9,400,20,102.163,94.798
