obs,time,elapsed,date,hhmmss,averaging,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,αVc,Edyn,Hr,Hs,dHs/dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,Tled,Pc,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
1,1785427326,0,20260730 12:02:05,12:02:05,15,1785427318,0.00097492,0.974920177,2.324042318,407.2233871,291.6969944,29.53200349,41.22813303,0.037114348,3.121245054,0.036870905,0.023066055,261.4514836,30.26211402,29.59370645,4.162028278,38.69540054,1.560700183,4.033296363,2.601328095,-42.99397979,-91.58261402,-6.480435262,120.3944546,-1.170275588,1.024960865,2.324042318,408.8013037,408.9705636,-0.585287814,92.63821744,0.974920177,12.86434422,15.34601212,-0.017149994,97.01138086,3,1,1,0,53188.63452,1500.008387,1273.867131,0.849240006,0.174300015,9,0.5,0: Broadleaf,2,TRUE,1785427318,407.2233871,405.4170645,15.41553226,12.99436129,409.8473871,15.35453226,375.126129,101.1420968,0.099959387,29.04945484,29.59370645,999.9,0,0,10013.82742,698.3992581,0.218638,1.857560452,413.6731935,410.7548065,2.473062903,405.4170645,12.99436129,1.564407742,1.314277097,13.61251935,10.96206774,1500.008387,0.691999806,0.308000194,30,28282.67097,1785427366,12:02:46,1785427296,1785427358,3,0.076,-0.001,-2.624,0.061,427,13,2.64,0.05,2.03453761,-6.389248511,1.024261195,0,2.421053171,1.058644558,0.109901496,0,0,2,0/2,2.63404,2.71258,0.0948004,0.0940766,0.0855088,0.0750002,25332,25053.4,25464.4,25428.4,32182.9,32065.7,39120.6,38270.7,1.67455,2.12587,0.0721887,0,28.4264,999.9,57.1,28.1,21.5489,62.0563,19.9559,1,0.212048,0,20.4084,5.21804,11.98,4.96925,3.2955,9109.1,9999,9999,242.1,4.97001,1.87515,1.87122,1.87436,1.87427,1.87239,1.87363,1.87485,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-2.624,0.061,-1.542946001,-0.002774575,7.27494E-07,-2.16226E-10,-0.064956131,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,0.5,0.6,0.157471,4.99756,1.4978,2.28638,1.4978,2.31689,32.7535,15.9182,3,344.824,665.383,28.8541,29.9831,30.0005,29.8408,29.8582,-1,40,10,-999.9,400,20,100.553,106.946
2,1785427499,173.5,20260730 12:04:59,12:04:59,15,1785427491,0.001027819,1.027819119,2.507594411,413.7460645,295.6457589,29.93365694,41.89112268,0.039143645,3.118722427,0.038872741,0.024319646,261.4498658,30.42242603,29.70334839,4.188390934,38.9738164,1.587682854,4.073716666,2.60070808,-45.32682315,-80.93985692,-5.740007467,129.4431782,6.403400976,0.920295818,2.507594411,437.2590732,425.3696727,0.582847467,92.62299927,1.027819119,13.46083585,15.80180699,0.00831799,96.49946787,0,0,1,0,53099.48854,1499.999355,1273.859443,0.849239994,0.174299985,9,0.5,0: Broadleaf,2,TRUE,1785427491,413.7460645,430.0232581,15.68106774,13.50763548,416.3336452,15.60406774,375.1109032,101.1483871,0.100002371,29.22195484,29.70334839,999.9,0,0,10001.63065,699.5555806,0.218638,-16.27719677,420.3549355,435.9112581,2.213993226,430.0232581,13.50763548,1.590216774,1.366274839,13.86420645,11.54837742,1499.999355,0.692000194,0.307999806,30.40725161,28282.51613,1785427522,12:05:22,1785427296,1785427522,4,0.076,0,-2.624,0.077,427,14,2.64,0.04,-16.41093415,5.769008362,2.19491321,0,2.183993902,0.734410871,0.094891258,0,0,2,0/2,2.63384,2.7126,0.0977147,0.0998246,0.0873694,0.0784766,25243.2,24887.3,25457.8,25421.7,32108.5,31935.9,39110.1,38260.1,1.68352,2.1198,0.0831038,0,28.3566,999.9,57.3,28.4,22.0038,63.2262,19.8317,1,0.222729,0,20.4077,5.22103,11.98,4.9695,3.29533,9109.1,9999,9999,242.2,4.97001,1.87519,1.87125,1.87437,1.87428,1.87241,1.87363,1.87485,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-2.599,0.077,-1.542946001,-0.002774575,7.27494E-07,-2.16226E-10,-0.066202781,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,3.4,2.4,0.15625,4.99756,1.49902,2.28516,1.49902,2.36572,32.9983,15.9182,3,349.991,662.031,29.0532,30.1418,30.0002,30.0058,30.0274,-1,40,10,-999.9,400,20,100.526,106.917
3,1785427619,293.5,20260730 12:06:59,12:06:59,15,1785427611,0.001013617,1.013617032,2.391531179,401.7611935,285.5352373,28.91198722,40.68049395,0.037935779,3.119472099,0.037681337,0.023573554,261.4501669,30.53125615,29.79555806,4.21067468,38.17371115,1.564610338,4.098659236,2.646064342,-44.70051113,-78.69000884,-5.584591554,132.4750554,2.855552907,1.059552303,2.391531179,421.8445508,409.9177212,0.615561956,92.61106417,1.013617032,13.0715273,15.45822098,0.000753128,96.22677174,0,0,1,0,53098.57905,1500.000645,1273.86057,0.849240015,0.174300036,9,0.5,0: Broadleaf,2,TRUE,1785427611,401.7611935,409.6341613,15.45211613,12.94912258,404.3212581,15.37711613,375.0956452,101.1554194,0.099989577,29.32765806,29.79555806,999.9,0,0,10004.37419,699.6647742,0.218638,-7.872922968,408.0823871,415.0092581,2.540651935,409.6341613,12.94912258,1.566874839,1.309873548,13.6367129,10.91160323,1500.000645,0.691999516,0.308000484,31,28282.5129,1785427642,12:07:22,1785427296,1785427642,5,0.076,0.002,-2.624,0.075,427,14,2.64,0.05,-4.574386878,-84.38416974,8.576965225,0,2.654197073,-2.793838537,0.276802363,0,0,2,0/2,2.63385,2.71251,0.0950191,0.0970496,0.0859906,0.077135,25315.4,24960,25454.8,25417.8,32153.5,31978.1,39105.5,38254.9,1.68275,2.1182,0.0941232,0,28.2771,999.9,56.4,28.6,21.9113,62.2362,19.6234,1,0.227706,0,20.4084,5.21669,11.98,4.9683,3.29483,9109.1,9999,9999,242.2,4.96997,1.87516,1.87123,1.87436,1.87426,1.87232,1.87363,1.87485,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-2.565,0.075,-1.542946001,-0.002774575,7.27494E-07,-2.16226E-10,-0.065719402,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,5.4,1.6,0.15625,4.99756,1.4978,2.28516,1.4978,2.40967,33.1099,15.9182,3,350.05,661.68,29.1558,30.2154,30.0003,30.0881,30.1184,-1,40,10,-999.9,400,20,100.515,106.902
4,1785427739,413.5,20260730 12:08:59,12:08:59,15,1785427731,0.001052791,1.052791116,2.298992307,410.7075484,302.4805476,30.62890283,41.58786966,0.039777513,3.119519955,0.039497869,0.024711129,261.4497787,30.68433873,29.96331935,4.251481641,39.41853603,1.630879115,4.137340649,2.620602527,-46.42808822,-79.52180606,-5.652791675,129.8470928,0.357240728,1.11011331,2.298992307,416.5417695,414.6828909,-0.375896253,92.64005284,1.052791116,13.37337825,16.06255758,-0.019606687,97.11290375,0,0,1,0,53071.19271,1499.99871,1273.858906,0.849240001,0.174300002,9,0.5,0: Broadleaf,2,TRUE,1785427731,410.7075484,412.6583871,16.10600323,13.48568387,413.2645484,16.06200323,375.1490968,101.1590645,0.10001831,29.49048065,29.96331935,999.9,0,0,10004.23323,699.6401613,0.218638,-1.974456258,417.4435806,418.2997742,2.706997097,412.6583871,13.48568387,1.638037097,1.364199355,14.32123226,11.52466129,1499.99871,0.691999968,0.308000032,31,28282.50645,1785427757,12:09:17,1785427756,1785427757,6,0.006,-0.017,-2.557,0.044,402,13,0.47,0.06,-2.204474073,5.77694308,1.178820511,0,2.641143659,1.26634223,0.139854507,0,0,2,0/2,2.63426,2.71276,0.0956906,0.0950546,0.088312,0.0775058,25291.1,25007.7,25449.8,25410.7,32064.7,31956.5,39097.6,38244.9,1.6823,2.11542,0.0928864,0,28.4571,999.9,56.7,28.8,22.2823,62.6562,18.9824,1,0.237497,0,20.4109,5.22103,11.98,4.9691,3.29542,9109.1,9999,9999,242.3,4.96999,1.8752,1.87125,1.87435,1.87429,1.87239,1.87363,1.87485,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-2.557,0.044,-1.542946001,-0.002774575,7.27494E-07,-2.16226E-10,-0.064145194,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,7.4,1.6,0.15625,4.99756,1.4978,2.28516,1.4978,2.37427,33.2663,15.9095,3,350.45,660.608,29.3011,30.3334,30.0005,30.2054,30.2362,-1,40,10,-999.9,400,20,100.495,106.873
5,1785427859,533.5,20260730 12:10:59,12:10:59,15,1785427851,0.001131883,1.131883048,2.282438859,422.5217419,319.4490892,32.34773103,42.78496989,0.04221887,3.11643177,0.041903683,0.026217924,261.4500508,30.77046399,30.06617097,4.27666976,38.94713877,1.621108421,4.162329949,2.655561339,-49.91604239,-79.16884234,-5.639067256,126.7260988,1.198555506,1.074549307,2.282438859,418.8130441,425.5680606,-1.240271157,92.60773894,1.131883048,13.50477455,16.10001818,0.007436367,96.16005251,0,0,1,0,52980.86412,1500,1273.86002,0.849240014,0.174300034,9,0.5,0: Broadleaf,2,TRUE,1785427851,422.5217419,426.4865484,16.00920968,13.47245806,425.0137419,15.95020968,375.130129,101.161,0.099990006,29.59496452,30.06617097,999.9,0,0,9989.879032,700.0535484,0.218638,-4.073622645,429.3082903,432.3111935,2.589060968,426.4865484,13.47245806,1.624799677,1.362887742,14.19600323,11.51050968,1500,0.691999548,0.308000452,31,28282.5,1785427884,12:11:24,1785427884,1785427881,7,0.068,0.009,-2.492,0.059,403,13,0.3,0.04,-4.1177763,47.42696359,11.6282427,0,2.602575,-0.200193771,0.102838291,0,0,2,0/2,2.63348,2.71284,0.0975355,0.0978667,0.0885251,0.0778162,25231,24920.8,25441.8,25401.7,32047.6,31935.1,39085.6,38232.1,1.68065,2.1118,0.0929311,0,28.568,999.9,55.9,29,22.2253,62.6863,18.8942,1,0.249703,0,20.4077,5.21954,11.98,4.9688,3.2951,9109.1,9999,9999,242.3,4.97,1.87523,1.87124,1.87439,1.87429,1.87239,1.87363,1.87486,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-2.492,0.059,-1.536357823,-0.002774575,7.27494E-07,-2.16226E-10,-0.080759876,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,1.7,1.7,0.15625,4.99756,1.4978,2.28516,1.4978,2.30469,33.4008,15.8745,3,350.376,659.05,29.4097,30.4743,30.0007,30.3436,30.3764,-1,40,10,-999.9,400,20,100.463,106.836
6,1785427979,653.5,20260730 12:12:59,12:12:59,15,1785427971,0.001176236,1.176236472,2.439743863,404.0463226,298.9752105,30.27410269,40.91355881,0.043737536,3.120063531,0.043399754,0.027154977,261.449639,30.88165788,30.18966774,4.307085574,39.20177575,1.643345885,4.192018994,2.663739689,-51.8720284,-79.27303985,-5.646817388,124.6577533,3.624771536,1.150376201,2.439743863,419.315793,412.0441879,0.134879744,92.61396609,1.176236472,13.59635899,16.3066972,0.00637522,96.28822238,0,0,1,0,53043.92413,1499.998387,1273.858561,0.849239954,0.174299947,9,0.5,0: Broadleaf,2,TRUE,1785427971,404.0463226,413.8582903,16.22904194,13.51378065,406.5369677,16.14704194,375.1152903,101.1595806,0.099994129,29.71839032,30.18966774,999.9,0,0,10006.67581,700.5212258,0.218638,-9.812029677,410.7298387,419.5279677,2.758260645,413.8582903,13.51378065,1.646071935,1.367047742,14.39699677,11.55644194,1499.998387,0.692000613,0.307999355,31.02016452,28282.49355,1785428006,12:13:25,1785427884,1785428006,8,0.068,0.008,-2.492,0.082,403,14,0.3,0.06,-8.45573561,-18.47300634,2.834936116,0,2.789948537,-1.010660279,0.132490863,0,0,2,0/2,2.63326,2.71282,0.0951966,0.0965892,0.089295,0.0789476,25286.8,24945.5,25432.9,25391.5,32009.1,31882.8,39072,38217.1,1.6796,2.10785,0.0907257,0,28.7218,999.9,55.6,29.2,22.3619,63.1062,19.7997,1,0.264225,0,20.4068,5.21729,11.98,4.96875,3.29542,9109.1,9999,9999,242.3,4.97,1.87528,1.87123,1.87439,1.87435,1.87241,1.87363,1.87486,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-2.494,0.082,-1.468338975,-0.002774575,7.27494E-07,-2.16226E-10,-0.071896884,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,1.6,1.6,0.15625,4.99756,1.4978,2.28394,1.4978,2.40967,33.558,15.9007,3,350.761,657.468,29.5388,30.6569,30.0004,30.5139,30.5398,-1,40,10,-999.9,400,20,100.428,106.794
7,1785428099,773.5,20260730 12:14:59,12:14:59,15,1785428091,0.001178343,1.178342726,2.748626022,428.4932,315.1010823,31.90754423,43.38977712,0.04527633,3.117151011,0.044914133,0.028103633,261.4501178,30.91759177,30.19376,4.308096668,41.20084191,1.730675389,4.200582582,2.577421279,-51.9649142,-73.92768728,-5.272006755,130.2855096,3.109826774,1.115922461,2.748626022,439.9891915,435.7195697,-0.244175294,92.61713498,1.178342726,14.40736647,17.18776853,-0.000182627,96.3582317,0,0,1,0,52969.83633,1500.001,1273.860671,0.849239881,0.174299962,9,0.5,0: Broadleaf,2,TRUE,1785428091,428.4932,437.1016,17.09118333,14.45959333,430.9852,17.02518333,375.1211333,101.1613,0.099996837,29.75385,30.19376,999.9,0,0,9993.147333,700.8471667,0.218638,-8.662732333,435.9280667,443.5149333,2.720283333,437.1016,14.45959333,1.737937667,1.462751,15.23948333,12.584,1500.001,0.6920001,0.307999767,31,28282.54667,1785428140,12:15:39,1785427884,1785428121,9,0.068,-0.015,-2.492,0.066,403,14,0.3,0.04,-8.444967073,14.37135596,3.618980217,0,2.713616341,0.599285226,0.092297819,0,0,2,0/2,2.63318,2.71258,0.0991866,0.0997582,0.0926347,0.0815369,25174.1,24856,25431.9,25389.7,31889.9,31790.9,39070.5,38214.6,1.67925,2.10585,0.0980869,0,28.5965,999.9,57.3,29.4,23.3121,62.5362,19.5353,1,0.267149,0,20.4104,5.21939,11.98,4.96835,3.29525,9109.1,9999,9999,242.4,4.96999,1.87523,1.87124,1.87439,1.87431,1.87239,1.87363,1.87486,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-2.492,0.066,-1.468338975,-0.002774575,7.27494E-07,-2.16226E-10,-0.064327134,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,3.6,1.6,0.15625,4.99756,1.49902,2.28271,1.4978,2.33032,33.693,15.8657,3,350.988,656.506,29.6206,30.7279,30,30.5898,30.6083,-1,40,10,-999.9,400,20,100.425,106.787
8,1785428219,893.5,20260730 12:16:59,12:16:59,15,1785428211,0.001233062,1.233061732,1.870207226,421.5015,339.6934372,34.39790241,42.68191809,0.046077438,3.118597938,0.04570254,0.028597516,261.4500674,31.03008207,30.34,4.344364912,40.02987097,1.693765725,4.231254521,2.650599186,-54.37802237,-77.28256778,-5.516138195,124.2733391,6.39735506,1.146543554,1.870207226,449.898516,436.3657333,0.906001905,92.61873237,1.233061732,14.21946482,16.91174825,0.020938719,96.39546459,0,0,1,0,52981.44518,1500.000667,1273.860547,0.849239987,0.174299968,9,0.5,0: Broadleaf,2,TRUE,1785428211,421.5015,438.0095,16.72663333,14.02185667,424.0175,16.68263333,375.1249333,101.1616,0.100004263,29.88034,30.34,999.9,0,0,9999.753333,701.0155667,0.218638,-16.52250333,428.695,444.2398667,2.791841333,438.0095,14.02185667,1.700899333,1.418473,14.90459333,12.11561667,1500.000667,0.692000433,0.307999567,31.95,28282.54,1785428246,12:17:26,1785428246,1785428236,10,-0.024,-0.01,-2.516,0.044,400,13,0.47,0.07,-11.74725624,-63.06991754,14.05778722,0,2.876399512,-1.732221533,0.187799553,0,0,2,0/2,2.63383,2.71266,0.0992839,0.0979493,0.091666,0.0806286,25175,24909.7,25435.5,25393.5,31928.5,31826.7,39075.8,38219.8,1.6799,2.10532,0.0992045,0,28.7296,999.9,56.2,29.6,23.1315,62.6263,18.8982,1,0.263011,0,20.4122,5.21729,11.98,4.969,3.29573,9109.1,9999,9999,242.4,4.97001,1.87525,1.87133,1.87439,1.87431,1.87241,1.87365,1.87486,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-2.516,0.044,-1.468338975,-0.002774575,7.27494E-07,-2.16226E-10,-0.079197793,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,5.6,1.6,0.15625,4.99756,1.49902,2.28271,1.4978,2.2644,33.8283,15.8482,3,351.271,656.139,29.7154,30.7011,30.0002,30.5836,30.6162,-1,40,10,-999.9,400,20,100.438,106.802
9,1785428339,1013.5,20260730 12:18:59,12:18:59,15,1785428331,0.001317649,1.317648683,3.686086591,398.5272258,263.4836653,26.68117998,40.35611325,0.04920675,3.118417263,0.048779431,0.030525228,261.4497606,30.96328833,30.27504839,4.328223882,39.6662994,1.673931761,4.220035109,2.654292121,-58.10830691,-74.12144554,-5.287906425,123.9321018,7.430700684,1.184033863,3.686086591,442.7454415,413.4350606,2.052165016,92.59346497,1.317648683,13.8239876,16.74079231,0.018666908,95.90455186,0,0,1,0,52985.34467,1499.998065,1273.858396,0.849240026,0.174300065,9,0.5,0: Broadleaf,2,TRUE,1785428331,398.5272258,417.4876129,16.53051613,13.73666129,401.0292903,16.46451613,375.1143548,101.163129,0.099998394,29.83416452,30.27504839,999.9,0,0,9998.773548,701.9887742,0.218638,-18.96023548,405.2462903,423.3056129,2.843016774,417.4876129,13.73666129,1.677252581,1.389643871,14.68735484,11.80329032,1499.998065,0.691999129,0.308000871,31,28282.48387,1785428359,12:19:18,1785428246,1785428359,11,-0.024,0.012,-2.516,0.066,400,14,0.47,0.1,-15.8261825,-104.2942602,11.80588379,0,2.86923625,-0.962772946,0.13606895,0,0,2,0/2,2.63342,2.71258,0.0955429,0.099228,0.0910911,0.0810054,25276.4,24870.4,25432.4,25389.5,31944.3,31808.8,39070.6,38213.9,1.67935,2.10345,0.0958629,0,28.7167,999.9,54.6,29.7,22.5996,62.7462,19.1867,1,0.267325,0,20.42,5.21804,11.98,4.9677,3.29523,9109.1,9999,9999,242.4,4.97,1.87527,1.87133,1.87439,1.87428,1.8724,1.87365,1.87485,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-2.523,0.066,-1.49237396,-0.002774575,7.27494E-07,-2.16226E-10,-0.089617541,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,1.6,1.7,0.15625,4.99756,1.49902,2.28271,1.49902,2.30103,33.9639,15.8394,3,351.192,654.978,29.6847,30.7225,30.0004,30.6195,30.6576,-1,40,10,-999.9,400,20,100.425,106.785
10,1785428459,1133.5,20260730 12:20:59,12:20:59,15,1785428451,0.001373499,1.373498928,2.721494849,407.1515667,307.8528981,31.17436744,41.22973218,0.052175121,3.118540824,0.051694981,0.032352134,261.4502715,30.98251455,30.29102333,4.332188939,40.730667,1.722109786,4.228042192,2.610079153,-60.57130272,-71.26781818,-5.085355477,124.5257951,2.503558419,1.319422961,2.721494849,419.9434845,413.8432485,-0.052567755,92.64201754,1.373498928,13.87296083,17.08879879,0.002230032,97.27622703,0,0,1,0,52982.47331,1500.003,1273.862369,0.849239881,0.174299832,9,0.5,0: Broadleaf,2,TRUE,1785428451,407.1515667,414.4471333,17.00616667,13.89437,409.5645667,16.92616667,375.1164667,101.1638667,0.09997599,29.86713,30.29102333,999.9,0,0,9999.267333,701.9892667,0.218638,-7.404127,414.1097667,420.2867,3.170711667,414.4471333,13.89437,1.726371667,1.405611,15.13559333,11.97818,1500.003,0.692002033,0.3079979,31,28282.60333,1785428486,12:21:26,1785428477,1785428486,12,0.137,0.009,-2.413,0.08,421,14,0.41,0.06,-8.07678375,10.82153415,1.310201405,0,3.10969,1.153603227,0.112207237,0,0,2,0/2,2.63361,2.71266,0.0953993,0.0959255,0.0922965,0.0792476,25277.7,24959,25429.8,25386.9,31898.3,31866.5,39066.6,38210.2,1.67977,2.10275,0.0978857,0,28.6971,999.9,54.2,29.9,22.6958,62.3562,19.0905,1,0.269535,0,20.415,5.21894,11.98,4.96855,3.29535,9109.1,9999,9999,242.5,4.97001,1.87531,1.87133,1.8744,1.87435,1.87241,1.87366,1.8749,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-2.413,0.08,-1.49237396,-0.002774575,7.27494E-07,-2.16226E-10,-0.077541339,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,3.5,1.7,0.15625,4.99756,1.49902,2.28271,1.49902,2.28638,34.0771,15.8219,3,351.535,654.652,29.7143,30.7493,30.0001,30.6457,30.6824,-1,40,10,-999.9,400,20,100.415,106.775
