obs,time,elapsed,date,hhmmss,averaging,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,αVc,Edyn,Hr,Hs,dHs/dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,F:MN,F:SLP,F:SD,F:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
1,1786208558,0,20260808 12:02:38,12:02:38,15,1786208550,1.85332E-05,0.018533189,-0.344092892,425.3249,1183.718914,120.747035,43.38590856,0.000694561,2.962312519,0.00069447,0.000434052,266.14579,27.82271753,26.92099,3.562584372,26.24208323,0.899902347,3.429233645,2.662682025,-0.81731363,-103.4233704,-7.504344265,154.4007617,-8.146220583,0.015377226,-0.344092892,416.0450766,421.7831818,-0.795901608,66.80110017,0.018533189,8.802739743,8.82918097,1.02261E-05,78.43,0,0,1,0,54002.46408,1499.986,1273.84732,0.849239473,0.177432183,6,0.5,0: Broadleaf,2,TRUE,1786208550,425.3249,413.5736,8.822009,8.800004667,466.5539,12.30223,415.5972667,101.9065,0.10000976,26.27339667,26.92099,999.9,0,0,9997.367667,0,0.282719,11.75123767,429.1104667,417.2454,0.02200463,413.5736,8.800004667,0.8990193,0.896776867,5.375051667,5.339120333,1499.986,0.692017433,0.307982567,0,2.446076667,0,76.60948667,13609.53333,39.02473333,40.8456,39.8998,39.7122,38.7706,1038.016667,461.9693333,0,1786208497,0,1786208397,11:59:57,1786208397,1786208396,2,-2.566,0.004,-41.229,-3.48,412,9,0.91,0.08,9.813966175,19.51961121,4.87363314,0,2.444111765,-0.071984719,0.18023092,1,0.021102688,0.00967588,0.002440495,1,2,3,2/3,2.9939,2.76491,0.110828,0.102184,0.0727153,0.0565673,27580.4,18496.5,31772.2,22424.1,39696.1,28779.3,45637.9,32819.1,1.77705,2.7608,0.101496,0,25.2894,999.9,61.1,24.5,18.5036,62.2099,-100,3,-0.120526,0,20.289,5.22178,12.0279,4.95975,3.301,7713.5,9999,9999,146.1,4.97309,1.87514,1.8815,1.88099,1.87875,1.87439,1.87454,1.87683,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-41.229,-3.4803,-41.229,0,0,0,-3.4802265,0,0,0,-1,-1,-1,-1,2.7,2.7,0.159912,4.99878,2.89795,2.91138,2.99805,2.2937,28.7323,24.14,2,430.174,1385.23,25.4889,25.7247,30.0005,25.3346,25.1507,-1,40,10,-999.9,400,20,99.854,86.1994
2,1786208678,120,20260808 12:04:38,12:04:38,15,1786208670,4.28722E-05,0.042872234,1.05887846,425.3973548,-654.373151,-66.75114581,43.39383549,0.001562161,2.962680583,0.001561703,0.000976106,266.1499614,28.22126267,27.30698065,3.644201056,25.80502736,0.906321595,3.51219002,2.737879461,-1.890665521,-100.3376087,-7.308419336,156.6132679,-9.967570491,0.040728011,1.05887846,418.4376911,420.4852424,-0.54575191,66.80110017,0.042872234,8.8239967,8.88543697,2.06541E-06,78.43,0,0,1,0,53940.2316,1500.007097,1273.865458,0.849239621,0.177432468,6,0.5,0: Broadleaf,2,TRUE,1786208670,425.3973548,411.0060645,8.884829032,8.826446452,466.6263548,12.36505806,414.8444516,101.9077742,0.0999957,26.6787871,27.30698065,999.9,0,0,9999.328387,0,0.244461355,14.39132935,429.210871,414.6661613,0.058383048,411.0060645,8.826446452,0.90543329,0.899483645,5.477390323,5.382480968,1500.007097,0.692012645,0.307987355,0,2.404980645,0,82.21831935,13609.68387,39.99770968,41.79806452,40.90090323,40.63077419,39.69732258,1038.023871,461.9832258,0,1786208617,0,1786208397,11:59:57,1786208397,1786208396,2,-2.566,0.004,-41.229,-3.48,412,9,0.91,0.08,14.77817975,-31.0155331,6.285572968,0,2.443561765,-0.434146676,0.173739032,1,0.05383475,0.066217497,0.01095169,1,2,3,2/3,2.99337,2.76482,0.110563,0.101525,0.0729349,0.0567406,27588.9,18511.3,31772.9,22425.9,39687.6,28776.2,45639.1,32821.8,1.77483,2.75675,0.104383,0,25.627,999.9,60.8,24.7,18.6337,61.9399,-100,3,-0.112353,0,20.2889,5.22088,12.0279,4.9594,3.301,7713.5,9999,9999,146.2,4.97304,1.87515,1.8815,1.88102,1.87874,1.87439,1.87454,1.87683,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-41.229,-3.4803,-41.229,0,0,0,-3.4802265,0,0,0,-1,-1,-1,-1,4.7,4.7,0.159912,4.99878,2.89795,2.91138,2.99805,2.2583,29.0071,24.1313,2,430.076,1383.91,25.8083,25.8354,30.0003,25.4997,25.338,-1,40,10,-999.9,400,20,99.8566,86.2065
3,1786208798,240,20260808 12:06:38,12:06:38,15,1786208790,3.24894E-05,0.03248943,0.608271208,405.3345806,-438.5701664,-44.73954701,41.3491088,0.001152441,2.962651884,0.001152192,0.000720142,266.1471792,28.56480444,27.64564839,3.717150692,25.27768137,0.905792725,3.583369501,2.811357967,-1.432783881,-99.92754105,-7.30339333,157.4834609,4.548132441,0.035003169,0.608271208,424.1200636,414.8929455,1.264636347,66.80110017,0.03248943,8.840334927,8.886969455,7.40613E-06,78.43,0,0,1,0,53878.13872,1499.996452,1273.855955,0.849239312,0.177431873,6,0.5,0: Broadleaf,2,TRUE,1786208790,405.3345806,411.9500645,8.879250968,8.828946129,446.5635806,12.35948387,413.7856452,101.9122581,0.100031965,27.02001613,27.64564839,999.9,0,0,9998.725806,0,0.282719,-6.615429806,408.9658065,415.6195806,0.05030441,411.9500645,8.828946129,0.904904323,0.899777645,5.46897129,5.387180968,1499.996452,0.692023129,0.307976871,0,2.391632258,0,84.66503871,13609.63548,40.25,41.98170968,41.183,40.524,39.95732258,1038.031935,461.9645161,0,1786208737,0,1786208397,11:59:57,1786208397,1786208396,2,-2.566,0.004,-41.229,-3.48,412,9,0.91,0.08,-4.2221296,-69.61411072,7.38488985,0,2.384358824,0.431893048,0.18786031,1,0.051814695,-0.050297876,0.005376775,1,2,3,2/3,2.99241,2.76491,0.109655,0.104362,0.0729222,0.0567192,27618,18454.7,31774.5,22428.4,39690.1,28780.1,45641.4,32825.7,1.77215,2.75472,0.106871,0,25.9072,999.9,60.3,24.8,18.5901,61.97,-100,3,-0.103963,0,20.2883,5.21909,12.0279,4.95975,3.301,7713.5,9999,9999,146.2,4.97305,1.87516,1.88151,1.88103,1.87878,1.87439,1.87456,1.87683,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-41.229,-3.4802,-41.229,0,0,0,-3.4802265,0,0,0,-1,-1,-1,-1,6.7,6.7,0.158691,4.99878,2.89795,2.91138,2.99805,2.26685,29.219,24.14,2,429.584,1384.81,26.105,25.9471,30.0003,25.6439,25.4961,-1,40,10,-999.9,400,20,99.8616,86.2164
4,1786208918,360,20260808 12:08:38,12:08:38,15,1786208910,5.44094E-05,0.054409428,-0.846210788,422.6808065,1103.377459,112.5609375,43.11973881,0.001892036,2.963871752,0.001891365,0.001182164,266.152718,28.8216589,27.91160968,3.77532933,24.95089218,0.908002115,3.639156904,2.867327214,-2.399455753,-100.38929,-7.35352634,156.0104459,-2.037964017,0.046048125,-0.846210788,419.9057128,423.3311636,-0.33077829,66.79752685,0.054409428,8.820113316,8.898533818,-3.46411E-06,78.43,0,0,1,0,53866.65109,1500.011613,1273.870306,0.849240296,0.177433772,6,0.5,0: Broadleaf,2,TRUE,1786208910,422.6808065,419.7464194,8.900681613,8.834335161,463.9098065,12.38090323,412.7268065,101.9149355,0.099961229,27.28334516,27.91160968,999.9,0,0,10005.37742,0,0.239946968,2.934378065,426.4766129,423.4875806,0.066346474,419.7464194,8.834335161,0.907111839,0.900350097,5.504064516,5.396332903,1500.011613,0.69199029,0.30800971,0,2.429116129,0,84.93365806,13609.63871,40.32012903,42.12093548,41.274,40.62093548,40.1006129,1037.993226,462.0183871,0,1786208857,0,1786208397,11:59:57,1786208397,1786208396,2,-2.566,0.004,-41.229,-3.48,412,9,0.91,0.08,2.408849225,-21.01016896,6.503924586,0,2.445597059,-0.038941178,0.158840544,1,0.063841605,0.092051446,0.010042703,1,2,3,2/3,2.99137,2.765,0.111155,0.105644,0.072948,0.0566525,27572.8,18429.9,31776.4,22430.8,39691.2,28785.3,45644.1,32829.5,1.7695,2.75213,0.10927,0,26.149,999.9,59.9,25,18.6886,61.7,-100,3,-0.0966387,0,20.2886,5.22043,12.0279,4.9598,3.301,7713.5,9999,9999,146.2,4.9731,1.87517,1.88153,1.88106,1.8788,1.8744,1.87456,1.87685,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-41.229,-3.4802,-41.229,0,0,0,-3.4802265,0,0,0,-1,-1,-1,-1,8.7,8.7,0.158691,4.99878,2.89795,2.91138,2.99805,2.29126,29.4101,24.14,2,428.96,1384.27,26.3654,26.0507,30.0003,25.7674,25.6278,-1,40,10,-999.9,400,20,99.8675,86.2262
5,1786209038,480,20260808 12:10:38,12:10:38,15,1786209030,3.63232E-05,0.036323165,0.38709107,392.1207742,-113.3255561,-11.56043038,40.00055294,0.00124162,2.961583925,0.001241331,0.000775858,266.1463183,29.04343113,28.1229871,3.822132884,24.59144357,0.906327732,3.685540988,2.915805151,-1.601851571,-99.52995601,-7.311793131,157.7027175,0.008538827,0.035886167,0.38709107,395.3886381,395.1788182,-0.054244418,66.79752685,0.036323165,8.837056982,8.889367091,3.44849E-06,78.43,0,0,1,0,53760.89109,1499.979355,1273.842561,0.849240063,0.177433321,6,0.5,0: Broadleaf,2,TRUE,1786209030,392.1207742,392.1536452,8.884625484,8.832918065,433.3498065,12.36485161,412.7144516,101.9107742,0.100023442,27.49961935,28.1229871,999.9,0,0,9992.820645,0,0.339263,-0.03281425,395.6359677,395.6483548,0.051708629,392.1536452,8.832918065,0.905439452,0.900169871,5.477489032,5.393453871,1499.979355,0.691997323,0.308002677,0,2.352112903,0,86.00056129,13609.37419,40.4613871,42.30806452,41.433,40.782,40.25,1037.982581,461.9967742,0,1786208977,0,1786208397,11:59:57,1786208397,1786208396,2,-2.566,0.004,-41.229,-3.48,412,9,0.91,0.08,-0.068331095,0.557682829,0.075846016,0,2.372182353,-0.044849501,0.160381551,1,0.04538202,0.071790048,0.012296169,1,2,3,2/3,2.99097,2.76493,0.105939,0.0984157,0.0728842,0.0566651,27737.4,18580.7,31780.2,22433.3,39698.4,28788.2,45649.4,32833.5,1.76812,2.74965,0.109568,0,26.3502,999.9,59.4,25.1,18.6448,61.82,-100,3,-0.0903227,0,20.2885,5.21849,12.0279,4.9596,3.301,7713.5,9999,9999,146.3,4.97306,1.87517,1.88153,1.88106,1.87876,1.87439,1.87454,1.87683,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-41.229,-3.4802,-41.229,0,0,0,-3.4802265,0,0,0,-1,-1,-1,-1,10.7,10.7,0.158691,4.99878,2.89795,2.91016,2.99805,2.28638,29.5804,24.1313,2,428.915,1383.21,26.5931,26.144,30.0003,25.873,25.7386,-1,40,10,-999.9,400,20,99.8792,86.2364
6,1786209158,600,20260808 12:12:38,12:12:38,15,1786209150,4.43188E-05,0.044318813,0.568698379,388.5537419,-225.8186421,-23.03570584,39.63627456,0.0014908,2.964192184,0.001490383,0.000931527,266.1497833,29.23204083,28.32398387,3.867106639,24.27144149,0.904639117,3.727175074,2.962467522,-1.954459659,-101.0373035,-7.430543418,155.7274767,0.59928546,0.044794492,0.568698379,392.8167311,391.9885697,-0.001210111,66.79752685,0.044318813,8.798897968,8.862929818,-2.02238E-06,78.43,0,0,1,0,53802.74619,1500.005161,1273.8639,0.849239678,0.177432578,6,0.5,0: Broadleaf,2,TRUE,1786209150,388.5537419,389.4524839,8.868162258,8.803459355,429.7827419,12.34839032,411.7025161,101.9097419,0.100019603,27.69173226,28.32398387,999.9,0,0,10007.70419,0,0.339263,-0.898672129,392.0303548,392.9114194,0.064702926,389.4524839,8.803459355,0.903751968,0.897158129,5.450625484,5.345234194,1500.005161,0.692010645,0.307989355,0,2.404396774,0,86.99078387,13609.67097,40.57825806,42.45325806,41.562,40.937,40.375,1038.019677,461.9854839,0,1786209097,0,1786208397,11:59:57,1786208397,1786208396,2,-2.566,0.004,-41.229,-3.48,412,9,0.91,0.08,-0.98053215,2.031322672,0.312730964,0,2.427388235,-0.394884644,0.213524701,1,0.062719965,0.043835214,0.005001347,1,2,3,2/3,2.99048,2.76487,0.105336,0.0978934,0.0727488,0.0564447,27757.8,18593.8,31782.4,22436.4,39707.3,28799,45653,32838.2,1.76658,2.75275,0.111952,0,26.5082,999.9,58.9,25.3,18.7084,61.79,-100,3,-0.0850559,0,20.2888,5.22043,12.0279,4.9598,3.301,7713.5,9999,9999,146.3,4.97307,1.87519,1.88153,1.88108,1.8788,1.87439,1.87455,1.87684,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-41.229,-3.4802,-41.229,0,0,0,-3.4802265,0,0,0,-1,-1,-1,-1,12.7,12.7,0.158691,4.99878,2.89795,2.91016,2.99805,2.29248,29.7297,24.1313,2,428.641,1390.04,26.7891,26.2213,30.0003,25.9591,25.8286,-1,40,10,-999.9,400,20,99.8867,86.2486
7,1786209278,720,20260808 12:14:38,12:14:38,15,1786209270,1.09953E-05,0.010995335,0.700854057,386.8998065,-2634.730977,-268.773041,39.46825632,0.000364591,2.96152261,0.000364566,0.000227856,266.1493235,29.41569046,28.49582581,3.905922225,23.94924509,0.90174423,3.765230288,3.004177995,-0.484894284,-100.6068988,-7.418328823,157.6392015,0.677612299,0.015805975,0.700854057,391.3651019,390.3333091,-0.000197212,66.79752685,0.010995335,8.839360615,8.855236727,5.97698E-06,78.43,0,0,1,0,53693.70339,1499.999355,1273.859265,0.849239875,0.177432959,6,0.5,0: Broadleaf,2,TRUE,1786209270,386.8998065,387.8987742,8.839627097,8.816737742,428.1288065,12.31985484,410.6604839,101.9115484,0.100020655,27.8657,28.49582581,999.9,0,0,9992.397419,0,0.339263,-0.999017839,390.3503871,391.3492903,0.022889997,387.8987742,8.816737742,0.900859871,0.898527129,5.404480968,5.367135484,1499.999355,0.692004516,0.307995484,0,2.449590323,0,87.78287742,13609.60323,40.74390323,42.60467742,41.687,41.11483871,40.512,1038.005806,461.9935484,0,1786209217,0,1786208397,11:59:57,1786208397,1786208396,2,-2.566,0.004,-41.229,-3.48,412,9,0.91,0.08,-0.941276976,-0.901261861,0.111925638,0,2.445558824,0.066881593,0.193366054,1,0.03212789,-0.197507467,0.020312827,0,1,3,1/3,2.98878,2.76463,0.105012,0.0976396,0.0727093,0.0566791,27769.7,18600.4,31784.9,22438.3,39711.9,28794.2,45656.4,32841,1.76305,2.74692,0.113294,0,26.6371,999.9,58.5,25.5,18.8047,61.85,-100,3,-0.0802439,0,20.2887,5.22088,12.0279,4.95935,3.301,7713.5,9999,9999,146.3,4.97307,1.87517,1.88155,1.88107,1.87877,1.87439,1.87455,1.87683,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-41.229,-3.4802,-41.229,0,0,0,-3.4802265,0,0,0,-1,-1,-1,-1,14.7,14.7,0.158691,4.99878,2.89795,2.91016,2.99805,2.26562,29.8578,24.1313,2,427.207,1383.35,26.9652,26.29,30.0002,26.0344,25.907,-1,40,10,-999.9,400,20,99.8943,86.2559
8,1786209398,840,20260808 12:16:38,12:16:38,15,1786209390,2.10423E-05,0.021042261,0.693742696,386.3355161,-1201.909352,-122.6087118,39.4107092,0.00069031,2.962282066,0.00069022,0.000431396,266.150532,29.55762518,28.63178387,3.936872733,23.71883422,0.900655201,3.797215297,3.036217532,-0.927963696,-99.18301155,-7.321699048,158.7178577,0.606982861,0.028651242,0.693742696,390.5793535,389.6311212,-0.011423163,66.79752685,0.021042261,8.80201809,8.832506788,3.18099E-06,78.43,0,0,1,0,53689.99992,1499.997097,1273.858181,0.849240431,0.177434031,6,0.5,0: Broadleaf,2,TRUE,1786209390,386.3355161,387.2397419,8.828947742,8.787400323,427.5645161,12.30917742,410.1089677,101.9116129,0.10000021,28.01073548,28.63178387,999.9,0,0,9996.693548,0,0.339263,-0.90423229,389.7769032,390.6728065,0.041547274,387.2397419,8.787400323,0.899772323,0.895538129,5.387100323,5.31922129,1499.997097,0.691985258,0.308014742,0,2.496329032,0,88.31927419,13609.48387,40.86280645,42.758,41.81606452,41.25,40.645,1037.976452,462.0206452,0,1786209337,0,1786208397,11:59:57,1786208397,1786208396,2,-2.566,0.004,-41.229,-3.48,412,9,0.91,0.08,-0.981282976,1.436599401,0.161000871,0,2.450088235,1.025818186,0.239072887,0,0.049020761,-0.174171673,0.018704631,0,0,3,0/3,2.98834,2.76479,0.104868,0.0974505,0.0725919,0.05649,27776.5,18606.1,31787.8,22440.7,39720.9,28803.2,45661,32844.9,1.76157,2.74727,0.116162,0,26.7516,999.9,58,25.6,18.7551,61.97,-100,3,-0.0758969,0,20.289,5.22223,12.0279,4.9598,3.301,7713.5,9999,9999,146.4,4.97308,1.87519,1.88154,1.88103,1.87879,1.87439,1.87455,1.87683,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-41.229,-3.4803,-41.229,0,0,0,-3.4802265,0,0,0,-1,-1,-1,-1,16.7,16.7,0.158691,4.99878,2.89795,2.90771,2.99805,2.27295,29.9861,24.14,2,426.846,1385.68,27.1176,26.3555,30.0003,26.1018,25.9759,-1,40,10,-999.9,400,20,99.904,86.2656
9,1786209518,960,20260808 12:18:38,12:18:38,15,1786209510,1.88395E-05,0.018839456,0.798041533,385.5597097,-1669.581568,-170.3133481,39.33079181,0.000611947,2.963344271,0.000611877,0.000382429,266.1497799,29.69212845,28.76636774,3.967720856,23.56478324,0.901850356,3.827110764,3.065870501,-0.830820026,-99.21599947,-7.331324226,158.7716361,0.80968953,0.018379871,0.798041533,390.163251,388.9521697,0.004573035,66.79752685,0.018839456,8.822084696,8.849451818,2.0272E-06,78.43,0,0,1,0,53696.95552,1499.996129,1273.857058,0.84924023,0.177433644,6,0.5,0: Broadleaf,2,TRUE,1786209510,385.5597097,386.7574839,8.840838065,8.814122903,426.7887097,12.32106129,409.1469355,101.9096452,0.099954974,28.14533548,28.76636774,999.9,0,0,10002.90645,0,0.339263,-1.197704194,388.9988387,390.1967097,0.026715684,386.7574839,8.814122903,0.900966323,0.898243742,5.406183871,5.362628387,1499.996129,0.691992839,0.308007161,0,2.396096774,0,89.37398387,13609.5,40.94919355,42.875,41.937,41.37093548,40.766,1037.985806,462.0103226,0,1786209457,0,1786208397,11:59:57,1786208397,1786208396,2,-2.566,0.004,-41.229,-3.48,412,9,0.91,0.08,-1.1882355,-0.628216435,0.115664019,0,2.439014706,-0.229373564,0.20571859,1,0.03186174,-0.102319484,0.011680063,0,1,3,1/3,2.98768,2.76482,0.104726,0.0974415,0.072658,0.056524,27781.2,18607.5,31788.5,22442.3,39718.7,28804.4,45661.8,32847.5,1.76007,2.7427,0.117958,0,26.8514,999.9,57.6,25.8,18.8477,61.88,-100,3,-0.0717327,0,20.2891,5.22283,12.0279,4.9597,3.301,7713.5,9999,9999,146.4,4.97303,1.87516,1.88151,1.88104,1.87879,1.87439,1.87454,1.87683,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-41.229,-3.4802,-41.229,0,0,0,-3.4802265,0,0,0,-1,-1,-1,-1,18.7,18.7,0.158691,4.99878,2.89795,2.90894,2.99805,2.26196,30.0932,24.1313,2,426.415,1380.26,27.2555,26.4128,30.0002,26.1608,26.0355,-1,40,10,-999.9,400,20,99.9059,86.2722
10,1786209638,1080,20260808 12:20:38,12:20:38,15,1786209630,1.79616E-05,0.01796164,0.847522475,384.96,-1923.94136,-196.2575185,39.26902133,0.000577784,2.962104787,0.000577721,0.000361081,266.146614,29.82085465,28.89897097,3.998320949,23.42044592,0.903032011,3.855742174,3.095288938,-0.792108314,-99.90136089,-7.394638819,158.058506,0.816456032,0.011396272,0.847522475,389.6470111,388.3803939,0.001765513,66.79752685,0.01796164,8.836562443,8.862675697,1.67903E-06,78.43,0,0,1,0,53637.94577,1499.983548,1273.84589,0.849239908,0.177433022,6,0.5,0: Broadleaf,2,TRUE,1786209630,384.96,386.1646452,8.852555806,8.835979032,426.189,12.33278387,408.8389677,101.9080323,0.100023977,28.2733871,28.89897097,999.9,0,0,9996.040323,0,0.339263,-1.204643548,388.3982903,389.6072581,0.016575938,386.1646452,8.835979032,0.902146194,0.900457032,5.425019032,5.398045484,1499.983548,0.69200329,0.30799671,0,2.456670968,0,89.68566129,13609.45484,41.062,42.94106452,42.058,41.437,40.875,1037.993226,461.9903226,0,1786209577,0,1786208397,11:59:57,1786208397,1786208396,2,-2.566,0.004,-41.229,-3.48,412,9,0.91,0.08,-1.193969268,-0.363001463,0.052104925,1,2.428641176,0.529121475,0.169233122,1,0.020868163,-0.038885088,0.009631714,1,3,3,3/3,2.9876,2.76481,0.104605,0.0972577,0.0727055,0.0566137,27787.7,18613.7,31791.8,22445.4,39720.5,28805.7,45666.3,32852.2,1.75965,2.74608,0.11865,0,26.9717,999.9,57.3,25.9,18.8614,61.8801,-100,3,-0.0693496,0,20.2893,5.22313,12.0279,4.95985,3.301,7713.5,9999,9999,146.4,4.97306,1.8752,1.88153,1.88107,1.87879,1.87439,1.87456,1.87684,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-41.229,-3.4802,-41.229,0,0,0,-3.4802265,0,0,0,-1,-1,-1,-1,20.7,20.7,0.158691,4.99878,2.89795,2.90771,2.99805,2.28149,30.179,24.1313,2,426.497,1386.45,27.3821,26.4569,30.0001,26.2084,26.0839,-1,40,10,-999.9,400,20,99.9161,86.2844
