obs,time,elapsed,date,hhmmss,averaging,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,αVc,Edyn,Hr,Hs,dHs/dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,Tled,Pc,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
1,1786208869,0,20260808 13:07:49,13:07:49,15,1786208861,1.45467E-05,0.014546655,0.039212411,436.4506774,333.4213471,34.03348274,44.55004675,0.000695983,3.133809164,0.000695897,0.000434944,261.4499474,26.98254188,26.09079032,3.392428763,39.83875738,1.307866724,3.282900398,2.084562039,-0.641507486,-93.57264051,-6.367810917,160.8679884,-0.776047761,0.01769697,0.039212411,439.8990207,441.0460424,-0.122664811,92.52166098,0.014546655,12.77314377,12.80749161,1.00055E-05,95.09829176,0,0,1,0,54129.99984,1500.000323,1273.86023,0.849239971,0.174299927,9,0.5,0: Broadleaf,2,TRUE,1786208861,436.4506774,434.6073871,12.81299032,12.77107742,439.7036774,12.73699032,375.1397742,101.9734516,0.100045013,25.53694194,26.09079032,999.9,0,0,9989.432258,692.8875161,0.218638,1.71717871,441.9845484,440.2295161,0.034696671,434.6073871,12.77107742,1.305849677,1.302310645,10.86634194,10.82554839,1500.000323,0.692000968,0.307999032,27.45699032,28282.52903,1786208885,13:08:05,1786208885,1786208884,3,0.119,0.007,-3.253,0.076,433,13,0.31,0.09,1.90111375,-3.611833283,0.360122928,0,0.03700733,-0.020827641,0.005764422,1,1,2,1/2,2.63897,2.71235,0.102492,0.10141,0.0762774,0.0765174,25352.1,25116.6,25686.8,25687.6,32796.8,32324.9,39464,38638.1,1.7341,2.21228,0.078734,0,24.8159,999.9,59.7,25.2,18.8384,63.0009,22.6122,1,-0.0940295,0,20.3862,5.22148,11.9755,4.96965,3.29595,9112.5,9999,9999,250.2,4.97008,1.87522,1.87129,1.87438,1.87439,1.87241,1.8737,1.875,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-3.253,0.076,-2.281412001,-0.002774575,7.27494E-07,-2.16226E-10,-0.052411253,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,2.2,2.4,0.157471,4.99756,1.49902,2.28882,1.49902,2.34375,29.9433,24.2101,3,351.791,694.164,25.4102,26.0713,30.0003,25.9489,25.9788,-1,40,10,-999.9,400,20,101.434,107.998
2,1786208989,120,20260808 13:09:49,13:09:49,15,1786208981,1.38684E-05,0.013868381,-0.124821556,430.5496774,714.8053639,72.96136565,43.94691763,0.000657949,3.135399684,0.000657872,0.000411177,261.449436,27.07605376,26.18254516,3.410878885,39.64778262,1.308889512,3.3012931,2.101989374,-0.611595622,-93.21989912,-6.346506107,161.2714352,-0.205364105,0.012876062,-0.124821556,435.4657691,435.9915576,-0.021947725,92.60886816,0.013868381,12.79233164,12.82519371,-1.43111E-06,96.18129079,0,0,1,0,54150.59804,1499.997097,1273.857587,0.849240035,0.174299961,9,0.5,0: Broadleaf,2,TRUE,1786208981,430.5496774,430.0702581,12.82324194,12.79274516,433.7916774,12.74724194,375.116871,101.9716774,0.0999764,25.63106452,26.18254516,999.9,0,0,9996.860645,693.1766452,0.218638,0.475020839,436.1382258,435.6434194,0.030831887,430.0702581,12.79274516,1.307642581,1.304499355,10.8869871,10.85079032,1499.997097,0.69200071,0.307999355,28,28282.49355,1786209006,13:10:06,1786209006,1786209005,4,0.002,0.001,-3.242,0.076,430,13,0.4,0.19,0.449057951,0.755266056,0.095816446,0,0.02847369,0.053695332,0.006122985,1,1,2,1/2,2.639,2.71272,0.101582,0.100644,0.0763082,0.0765993,25377.6,25137.1,25686.8,25686.8,32794.9,32321.5,39463.1,38637.7,1.73358,2.21073,0.0806488,0,24.8698,999.9,59.2,25.4,18.904,62.8509,22.9928,1,-0.0913389,0,20.3858,5.22178,11.9757,4.9698,3.296,9112.5,9999,9999,250.2,4.97008,1.87521,1.87134,1.87437,1.87439,1.87246,1.87372,1.875,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-3.242,0.076,-2.161890242,-0.002774575,7.27494E-07,-2.16226E-10,-0.045060675,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,1.7,1.8,0.157471,4.99756,1.49902,2.28882,1.49902,2.30713,30.0504,24.2101,3,351.867,693.551,25.5019,26.1184,30.0001,26.0051,26.0381,-1,40,10,-999.9,400,20,101.433,107.996
3,1786209109,240,20260808 13:11:49,13:11:49,15,1786209101,2.2718E-05,0.022717988,-0.049658588,428.6681613,487.4743135,49.75691935,43.75452519,0.001068146,3.136093267,0.001067944,0.000667483,261.4498784,27.15364093,26.26349677,3.427229388,39.38054452,1.306260641,3.317020262,2.120968747,-1.001863258,-93.38123274,-6.361222856,160.7055595,-0.075718158,0.02250644,-0.049658588,434.097816,434.2140667,0.000437074,92.60933442,0.022717988,12.7335446,12.7877,-3.30091E-05,96.18998267,0,0,1,0,54152.49179,1499.999677,1273.859662,0.849239957,0.174299956,9,0.5,0: Broadleaf,2,TRUE,1786209101,428.6681613,428.5096452,12.7975871,12.74428065,431.9061613,12.7215871,375.1247742,101.9709032,0.09995051,25.71118387,26.26349677,999.9,0,0,10000.10065,693.4284839,0.218638,0.156567023,434.2234839,434.0412903,0.053867129,428.5096452,12.74428065,1.30504,1.299547097,10.85702258,10.79361935,1499.999677,0.692000484,0.307999484,28,28282.51613,1786209132,13:12:11,1786209132,1786209125,5,0.001,0,-3.238,0.076,428,13,0.33,0.08,0.201791944,-0.942843828,0.101045744,0,0.050131754,0.047174446,0.010498176,1,1,2,1/2,2.63879,2.71276,0.101268,0.100407,0.0761378,0.0764412,25386.3,25142.4,25686.7,25685.6,32800.9,32325.2,39463,38635.5,1.73285,2.2095,0.0819564,0,24.9138,999.9,58.6,25.6,18.937,63.4808,22.484,1,-0.0898476,0,20.3863,5.22193,11.9781,4.96965,3.29598,9112.5,9999,9999,250.2,4.97007,1.87521,1.87134,1.87438,1.87439,1.87241,1.87372,1.87498,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-3.238,0.076,-2.159931424,-0.002774575,7.27494E-07,-2.16226E-10,-0.044322672,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,1.7,1.7,0.157471,4.99756,1.49902,2.28882,1.49902,2.27173,30.1147,24.2013,3,351.727,692.967,25.5809,26.1461,30.0003,26.0404,26.0774,-1,40,10,-999.9,400,20,101.432,107.99
4,1786209229,360,20260808 13:13:49,13:13:49,15,1786209221,1.45278E-05,0.014527781,-0.066004876,427.9403333,566.6834723,57.8411004,43.67965716,0.000677927,3.137017452,0.000677846,0.000423661,261.4498501,27.22930043,26.33562,3.441854357,39.17426624,1.305141301,3.331629221,2.136713056,-0.640675133,-93.07001479,-6.342806116,161.396354,-0.093522861,0.012572154,-0.066004876,433.2448269,433.4050364,1.89421E-05,92.52731772,0.014527781,12.75464632,12.78899091,6.13398E-06,95.14509574,0,0,1,0,54160.9209,1499.999333,1273.85942,0.849239991,0.174299978,9,0.5,0: Broadleaf,2,TRUE,1786209221,427.9403333,427.7288667,12.78679,12.75701333,431.1133333,12.71079,375.1345667,101.9695333,0.09996972,25.78531,26.33562,999.9,0,0,10004.45167,693.6489667,0.218638,0.14741621,433.4186333,433.256,0.030419577,427.7288667,12.75701333,1.303927667,1.300826,10.84420667,10.80839667,1499.999333,0.6920003,0.3079997,28,28282.52333,1786209246,13:14:06,1786209246,1786209246,6,0.063,0.001,-3.173,0.076,428,13,0.38,0.17,0.147696176,0.021569624,0.044901743,1,0.031800488,-0.009326128,0.005038528,1,2,2,2/2,2.63881,2.71292,0.101115,0.100242,0.0761326,0.0764266,25390.7,25146,25687,25684.6,32801.1,32324.9,39463,38634.5,1.73275,2.20837,0.0832789,0,24.9735,999.9,58.1,25.7,18.8869,63.0008,22.476,1,-0.0878887,0,20.3885,5.22193,11.9787,4.9696,3.296,9112.5,9999,9999,250.3,4.97009,1.87524,1.87134,1.87439,1.87439,1.87247,1.87376,1.875,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-3.173,0.076,-2.158823251,-0.002774575,7.27494E-07,-2.16226E-10,-0.044039146,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,1.6,1.7,0.15625,4.99756,1.49902,2.2876,1.49902,2.33765,30.2005,24.2101,3,351.868,692.402,25.6534,26.1737,30.0002,26.0732,26.1113,-1,40,10,-999.9,400,20,101.433,107.987
5,1786209349,480,20260808 13:15:49,13:15:49,15,1786209341,1.29822E-05,0.012982156,-0.096674908,427.1553871,665.1804495,67.89167313,43.59763421,0.00060224,3.137907744,0.000602176,0.000376366,261.4497497,27.29444595,26.39889677,3.454730316,39.03839384,1.30564998,3.344527915,2.149080337,-0.572513095,-92.76894615,-6.324568419,161.783722,-0.10088107,0.012932142,-0.096674908,432.3968404,432.6451758,-0.001324643,92.52619562,0.012982156,12.76429256,12.79487692,1.56737E-05,95.13667888,0,0,1,0,54170.09128,1499.99871,1273.858894,0.849239993,0.174299983,9,0.5,0: Broadleaf,2,TRUE,1786209341,427.1553871,426.9266129,12.79233226,12.76170323,430.3403871,12.71533226,375.1355484,101.9650645,0.099981419,25.85052258,26.39889677,999.9,0,0,10008.9529,693.854,0.218638,0.241352677,432.7035806,432.4454194,0.031141468,426.9266129,12.76170323,1.304423871,1.301249355,10.84992903,10.8133,1499.99871,0.692000226,0.307999774,28,28282.50645,1786209368,13:16:08,1786209368,1786209365,7,-0.013,0,-3.185,0.077,427,13,0.38,0.09,0.25446,0.017797108,0.063975442,1,0.03000548,0.019085015,0.002869504,1,2,2,2/2,2.63854,2.71238,0.100961,0.100083,0.0761463,0.0764376,25394.6,25148.9,25686.6,25683.1,32799.7,32322.6,39462,38632.3,1.7326,2.20718,0.0848211,0,25.0162,999.9,57.8,25.8,18.9029,62.5808,22.9968,1,-0.0864202,0,20.3882,5.22118,11.9779,4.96975,3.296,9112.5,9999,9999,250.3,4.97008,1.87529,1.87133,1.87439,1.87437,1.87245,1.87377,1.875,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-3.185,0.077,-2.095870681,-0.002774575,7.27494E-07,-2.16226E-10,-0.043256135,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,1.7,1.7,0.15625,4.99756,1.4978,2.2876,1.49902,2.38647,30.2649,24.2101,3,351.936,691.659,25.7171,26.1975,30.0001,26.0974,26.1364,-1,40,10,-999.9,400,20,101.43,107.981
6,1786209469,600,20260808 13:17:49,13:17:49,15,1786209461,1.56048E-05,0.015604789,-0.102547344,426.6047419,636.3581503,64.94872689,43.54063017,0.000719046,3.134337662,0.000718954,0.000449355,261.4500055,27.35869744,26.46310645,3.467839085,38.85377337,1.304364615,3.357111811,2.16347447,-0.688171186,-92.79858315,-6.337849344,161.6254018,-0.107575037,0.01553051,-0.102547344,431.7978481,432.0658667,-0.001860294,92.52694434,0.015604789,12.74311134,12.78008881,-1.69951E-06,95.14116918,0,0,1,0,54074.02311,1499.999677,1273.859751,0.849240016,0.174300041,9,0.5,0: Broadleaf,2,TRUE,1786209461,426.6047419,426.3625484,12.77997419,12.74319032,429.7937419,12.70397419,375.1325484,101.9631613,0.10000371,25.91393226,26.46310645,999.9,0,0,9992.850968,694.0144516,0.218638,0.246396935,432.1322581,431.8660968,0.038102552,426.3625484,12.74319032,1.30322,1.299335161,10.83604194,10.79117097,1499.999677,0.691999452,0.308000548,28,28282.5129,1786209484,13:18:04,1786209483,1786209484,8,-0.005,-0.001,-3.189,0.076,426,13,0.3,0.14,0.263035525,-0.25181848,0.062731616,0,0.037618403,0.008756165,0.002900648,1,1,2,1/2,2.63884,2.71247,0.100858,0.0999872,0.076081,0.0763503,25398.3,25152.2,25687.5,25683.7,32803,32326.5,39463.1,38633.3,1.733,2.20643,0.0849254,0,25.0768,999.9,57.4,25.9,18.8833,63.0009,22.6002,1,-0.0863821,0,20.3887,5.22313,11.979,4.9697,3.29598,9112.5,9999,9999,250.3,4.97006,1.87527,1.87134,1.87439,1.87439,1.87242,1.87375,1.875,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-3.189,0.076,-2.10932712,-0.002774575,7.27494E-07,-2.16226E-10,-0.043225176,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,1.7,1.7,0.15625,4.99756,1.49902,2.2876,1.49902,2.25952,30.3294,24.2013,3,352.199,691.19,25.7746,26.2067,30.0001,26.1105,26.1517,-1,40,10,-999.9,400,20,101.434,107.983
7,1786209590,720.4000001,20260808 13:19:49,13:19:49,15,1786209582,1.13282E-05,0.01132823,-0.027958686,425.8524516,495.8945276,50.61347271,43.46462855,0.00051945,3.132253341,0.000519402,0.000324631,261.4500617,27.41203121,26.51377742,3.47821449,38.73423677,1.304317221,3.36734974,2.173897269,-0.499574951,-92.6077717,-6.332266772,162.0104483,-0.061188641,0.010546549,-0.027958686,431.2384861,431.3048848,0.000153049,92.5513419,0.01132823,12.75493029,12.78172587,3.50032E-06,95.37457298,0,0,1,0,54015.41623,1500,1273.860025,0.849240016,0.174300041,9,0.5,0: Broadleaf,2,TRUE,1786209582,425.8524516,425.7164194,12.77928065,12.7543,428.9864516,12.70228065,375.1141935,101.965,0.099995471,25.96536774,26.51377742,999.9,0,0,9983.165161,694.1569677,0.218638,0.082230139,431.3102903,431.216129,0.024557235,425.7164194,12.7543,1.302996774,1.300491935,10.83345806,10.80454194,1500,0.691999452,0.308000548,28,28282.51613,1786209606,13:20:05,1786209605,1786209606,9,0.054,0.001,-3.134,0.077,426,13,0.17,0.16,0.102441568,-0.474070233,0.061724756,0,0.023563312,0.01570356,0.003466468,1,1,2,1/2,2.63863,2.71255,0.100726,0.0998712,0.0760915,0.0764086,25401.8,25154.3,25687.3,25682.7,32802.1,32323,39462.6,38631.6,1.73293,2.20557,0.0856295,0,25.1146,999.9,57.1,26,18.8955,63.1809,23.3133,1,-0.0857393,0,20.3865,5.22328,11.979,4.96985,3.29593,9112.5,9999,9999,250.4,4.97007,1.87529,1.87134,1.87439,1.87438,1.87242,1.87375,1.875,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-3.134,0.077,-2.114350092,-0.002774575,7.27494E-07,-2.16226E-10,-0.043938988,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,1.8,1.8,0.15625,4.99756,1.4978,2.28638,1.4978,2.39502,30.3939,24.2101,3,352.238,690.603,25.8252,26.2199,30.0001,26.1237,26.1648,-1,40,10,-999.9,400,20,101.432,107.979
8,1786209710,840.4000001,20260808 13:21:49,13:21:49,15,1786209702,1.52285E-05,0.015228493,-0.047819729,425.8366129,519.284152,53.00140173,43.46355903,0.000695623,3.136377884,0.000695537,0.000434718,261.4500362,27.45817492,26.55955806,3.487611847,38.65381553,1.305382946,3.377112784,2.182228901,-0.671576521,-92.1984525,-6.298977341,162.2810299,-0.036708389,0.014088051,-0.047819729,431.2720594,431.3875394,7.23117E-05,92.55350553,0.015228493,12.75337714,12.78946713,-2.02384E-06,95.39801768,0,0,1,0,54104.23536,1499.999355,1273.859436,0.849239989,0.174300099,9,0.5,0: Broadleaf,2,TRUE,1786209702,425.8366129,425.7629355,12.78956129,12.75619355,428.9796129,12.71356129,375.1252903,101.9662903,0.099989832,26.01429032,26.55955806,999.9,0,0,10001.85161,694.2726129,0.218638,0.082836542,431.3633548,431.2642258,0.034832029,425.7629355,12.75619355,1.304254516,1.300702903,10.84798065,10.80697419,1499.999355,0.691998484,0.308001452,28,28282.50323,1786209726,13:22:05,1786209726,1786209725,10,-0.01,-0.001,-3.143,0.076,425,13,0.33,0.13,0.0518883,0.630803334,0.067867099,0,0.034286928,0.007360454,0.004044434,1,1,2,1/2,2.63872,2.71271,0.100725,0.0998853,0.0761175,0.0764442,25401.6,25152.9,25687.1,25681.6,32800.8,32320.4,39462,38630.1,1.73235,2.20482,0.0865161,0,25.1436,999.9,56.9,26.1,18.9396,63.0009,22.7244,1,-0.0846418,0,20.3767,5.22103,11.9775,4.9697,3.29593,9112.5,9999,9999,250.4,4.97005,1.87528,1.87133,1.87439,1.87438,1.87242,1.87377,1.875,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-3.143,0.076,-2.0605,-0.00277457,7.27494E-07,-2.16226E-10,-0.043253258,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,1.8,1.7,0.15625,4.99756,1.4978,2.28638,1.49902,2.2998,30.4369,24.2101,3,352.032,690.103,25.8698,26.2332,30.0001,26.1348,26.1778,-1,40,10,-999.9,400,20,101.431,107.974
9,1786209830,960.4000001,20260808 13:23:49,13:23:49,15,1786209822,1.41942E-05,0.01419422,-0.024854373,425.0728387,471.0084665,48.0719981,43.38372269,0.000644261,3.134508573,0.000644188,0.000402624,261.449931,27.50296683,26.60810968,3.497602213,38.44258147,1.301615586,3.385869357,2.195986626,-0.625965088,-92.95082612,-6.357107279,161.5160325,-0.063529185,0.017493407,-0.024854373,430.4773479,430.5356121,0.000211111,92.55242928,0.01419422,12.71608017,12.74978252,-7.80173E-06,95.38859188,0,0,1,0,54051.97967,1499.99871,1273.858891,0.849239991,0.174300104,9,0.5,0: Broadleaf,2,TRUE,1786209822,425.0728387,424.9382581,12.75320323,12.71176774,428.1788387,12.67820323,375.12,101.9619032,0.09995239,26.05806452,26.60810968,999.9,0,0,9993.753871,694.3765484,0.218638,0.098467467,430.5276129,430.4095161,0.042219968,424.9382581,12.71176774,1.300422258,1.296117742,10.80372581,10.7539,1499.99871,0.691998419,0.308001516,28,28282.46129,1786209846,13:24:05,1786209846,1786209846,11,0.036,0,-3.106,0.075,425,13,0.31,0.22,0.145872541,-0.896433145,0.118776857,0,0.039830466,0.008928259,0.007516459,1,1,2,1/2,2.63835,2.71266,0.100577,0.0997463,0.07594,0.0762443,25405,25155.6,25686.3,25680.6,32805.8,32326.3,39460.4,38628.6,1.7322,2.204,0.0868365,0,25.1863,999.9,56.5,26.2,18.9204,62.8509,23.3694,1,-0.0833206,0,20.3774,5.22208,11.9785,4.9696,3.296,9112.5,9999,9999,250.4,4.97011,1.87529,1.87135,1.87439,1.87439,1.87244,1.87377,1.875,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-3.106,0.075,-2.070420352,-0.002774575,7.27494E-07,-2.16226E-10,-0.044241607,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,1.7,1.8,0.15625,4.99756,1.4978,2.28638,1.49902,2.36084,30.48,24.2101,3,352.049,689.544,25.9119,26.2496,30.0002,26.1502,26.1912,-1,40,10,-999.9,400,20,101.428,107.97
10,1786209950,1080.4,20260808 13:25:49,13:25:49,15,1786209942,9.81657E-06,0.009816567,-0.073822644,424.8810968,671.3852483,68.51883789,43.3616304,0.00044427,3.136897957,0.000444235,0.00027765,261.4498024,27.54285145,26.64417419,3.505039299,38.39166894,1.302961404,3.39386497,2.202077895,-0.43291061,-92.37576528,-6.31536823,162.3257582,-0.09940382,0.011012766,-0.073822644,430.126269,430.3124667,-0.00067282,92.53040713,0.009816567,12.74536962,12.76856993,4.83947E-06,95.17102119,0,0,1,0,54101.18451,1499.999677,1273.859745,0.849240013,0.174299906,9,0.5,0: Broadleaf,2,TRUE,1786209942,424.8810968,424.6538387,12.76713226,12.74104839,427.9930968,12.69113226,375.1340323,101.9559355,0.099982584,26.09794839,26.64417419,999.9,0,0,10005.24065,694.4771935,0.218638,0.233387645,430.3820323,430.1342903,0.026135629,424.6538387,12.74104839,1.301689032,1.299024516,10.81837742,10.78757097,1499.999677,0.692001452,0.307998613,28,28282.53548,1786209969,13:26:08,1786209969,1786209965,12,-0.007,0.001,-3.112,0.076,425,13,0.3,0.15,0.260758561,-0.358025603,0.040819005,0,0.028731744,-0.050565627,0.005838485,1,1,2,1/2,2.63867,2.7128,0.10052,0.0996847,0.0760183,0.0763998,25406.4,25155.7,25686.2,25678.9,32802.5,32319,39459.9,38626.6,1.73205,2.20303,0.086695,0,25.2182,999.9,56.3,26.3,18.9659,63.0609,22.7244,1,-0.0819461,0,20.377,5.22118,11.9782,4.96975,3.29598,9112.5,9999,9999,250.5,4.9701,1.87528,1.87134,1.87439,1.87439,1.87249,1.87378,1.875,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-3.112,0.076,-2.034680739,-0.002774575,7.27494E-07,-2.16226E-10,-0.044244958,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,1.7,1.7,0.15625,4.99756,1.49902,2.28638,1.49902,2.28882,30.5446,24.2101,3,352.079,688.885,25.9503,26.2686,30.0002,26.1679,26.2073,-1,40,10,-999.9,400,20,101.427,107.964
