obs,time,elapsed,date,hhmmss,averaging,kam,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,αVc,Edyn,Hr,Hs,dHs/dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,CO2_hrs,AccH2O_des,AccH2O_hum,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
1,1786208779,0,20260809 01:06:19,01:06:19,15,,1786208771,2.39265E-05,0.023926542,0.480083986,436.2277241,-416.542395,-42.47802348,44.4854875,0.000901471,1.393859872,0.000901147,0.000563246,287.4227112,30.44783808,27.30495333,3.64376816,27.63477556,0.997757763,3.610515167,2.646010397,-1.055160483,-11.74979313,-1.823352339,272.7944052,-2.194144065,0.024456635,0.480083986,438.2169208,438.3222182,-0.133723479,60.8729115,0.023926542,9.749761128,9.785963273,8.77904E-06,69.65,44,11,1.003395213,0.339521342,26006.84194,1499.963333,1261.184039,0.840809912,0.191619825,6,0.5,0: Broadleaf,2,TRUE,1786208771,436.2388,432.9079333,9.784080667,9.747138,449.8591333,10.97474667,391.9792,101.8776667,0.100004727,27.14859333,27.30495333,999.9,0,0,5002.918,0,7.922336,3.330862333,440.5492,437.1691333,0.036943187,432.9079333,9.747138,0.996779933,0.9930162,6.869396667,6.814312,1499.963333,0.973003333,0.02699682,0,2.559666667,0,146.9886667,12843.58,40.0248,41.99153333,41.02893333,40.81626667,39.80793333,1459.47,40.49466667,0,1786208776,0,1786208628,01:03:48,1786208628,1786208626,1,-0.831,-0.057,-13.62,-1.191,430,10,0.3,0.08,4.16537525,-33.99615722,3.875273439,0,0.037069135,-0.005922329,0.001515192,1,1,2,1/2,2.96795,2.75938,0.100998,0.100412,0.0615334,0.057598,32166.8,23133.2,33857.2,25981.9,40707,33191,49399.1,40542.6,1.72622,2.75695,0.126027,0,25.2579,999.9,57.234,25.589,18.5015,29.35,-100,3,-0.0791336,0,20.218,5.20516,11.9501,4.9698,3.294,7166.8,144.4,9999,9999,4.9737,1.87302,1.87073,1.87244,1.87298,1.87395,1.8734,1.87799,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.62,-1.1906,-13.6203,0,0,0,-1.190665,0,0,0,-1,-1,-1,-1,2.5,2.5,0.157471,4.99756,2.64526,2.74902,2.8479,2.25098,29.751,24.2101,2,331.963,1284.74,25.8255,26.3459,30.0005,26.2037,26.1074,-1,40,10,-999.9,400,20,102.704,95.2004
2,1786208899,120,20260809 01:08:19,01:08:19,15,,1786208891,3.53255E-05,0.035325521,0.047964374,421.0915588,346.1529827,35.30015233,42.94227384,0.001314007,1.393374993,0.001313319,0.000820886,287.42582,30.63367434,27.47792667,3.680865419,27.41027522,1.000822233,3.651266634,2.680043185,-1.557855459,-10.35799574,-1.610859614,273.8991092,-0.653568862,0.033479889,0.047964374,424.1365126,424.6168121,-0.087661824,60.8729115,0.035325521,9.758166138,9.811679212,-6.96065E-06,69.65,44,11,1.003399265,0.339926468,25975.95171,1499.978,1261.19652,0.840810012,0.191620024,6,0.5,0: Broadleaf,2,TRUE,1786208891,421.0926667,420.1186667,9.814054,9.763558,434.7128,11.00472,392.5605333,101.8784667,0.10000558,27.34004,27.47792667,999.9,0,0,5000.500667,0,7.978669333,0.973674667,425.2660667,424.2611333,0.050495207,420.1186667,9.763558,0.999842333,0.994698067,6.914083333,6.838947333,1499.978,0.972998067,0.02700224,0,2.276666667,0,146.0726667,12843.67333,39.8372,41.6954,40.89566667,40.17873333,39.6912,1459.478,40.5,0,1786208896,0,1786208628,01:03:48,1786208628,1786208626,1,-0.831,-0.057,-13.62,-1.191,430,10,0.3,0.08,1.100346,-2.901276632,0.282110725,0,0.04942588,0.04033514,0.005474019,1,1,2,1/2,2.96906,2.75948,0.0985895,0.097027,0.0616291,0.0576497,32244,23216.1,33848.4,25977.8,40691,33183.1,49387.8,40538.4,1.72755,2.75485,0.128359,0,25.3806,999.9,56.818,25.75,18.5411,28.9899,-100,3,-0.0697154,0,20.2182,5.20531,11.9501,4.9698,3.294,7166.8,144.4,9999,9999,4.97372,1.87302,1.87076,1.87249,1.873,1.87398,1.87341,1.87797,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.62,-1.1906,-13.6203,0,0,0,-1.190665,0,0,0,-1,-1,-1,-1,4.5,4.5,0.157471,4.99756,2.64526,2.74902,2.8479,2.22046,29.9433,24.2188,2,333.45,1285.53,25.9784,26.4697,30.0005,26.3552,26.2707,-1,40,10,-999.9,400,20,102.679,95.1886
3,1786209019,240,20260809 01:10:19,01:10:19,15,,1786209011,3.44253E-05,0.03442525,0.099699542,416.216627,275.5856507,28.10425849,42.44582272,0.00127034,1.392405982,0.001269696,0.000793618,287.43194,30.7550172,27.58404,3.703786098,27.26780034,1.0026033,3.676876343,2.701182798,-1.518153535,-9.356399651,-1.457745494,275.0996413,-0.12935851,0.033310245,0.099699542,420.0495749,420.1232485,-0.036041173,60.86975235,0.03442525,9.778781746,9.830714364,-1.00886E-06,69.65,44,11,1.003404382,0.340438179,25937.03967,1500.01,1261.22342,0.840810008,0.191620016,6,0.5,0: Broadleaf,2,TRUE,1786209011,416.2189333,416.0436667,9.83136,9.781288667,429.8390667,11.02202667,393.875,101.8801333,0.099989433,27.4594,27.58404,999.9,0,0,4995.667333,0,8.08911,0.1751526,420.3516667,420.1534,0.050068793,416.0436667,9.781288667,1.001619333,0.9965198,6.939977333,6.865594667,1500.01,0.972998867,0.027001413,0,2.365666667,0,144.5023333,12843.96667,39.7038,41.75,40.812,40.104,39.625,1459.509333,40.50066667,0,1786209016,0,1786208628,01:03:48,1786208628,1786208626,1,-0.831,-0.057,-13.62,-1.191,430,10,0.3,0.08,0.1779114,-0.072157444,0.026722906,1,0.049177315,0.021176991,0.002318672,1,2,2,2/2,2.9699,2.75938,0.0977986,0.0963397,0.0616966,0.0576929,32263.4,23229.5,33839.7,25973.6,40677,33175.7,49376.8,40533.5,1.72838,2.75303,0.12923,0,25.4753,999.9,56.452,25.921,18.6087,29.2899,-100,3,-0.0607825,0,20.218,5.20486,11.9501,4.96955,3.294,7166.8,144.5,9999,9999,4.97375,1.87302,1.8708,1.87244,1.873,1.87397,1.87341,1.87797,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.62,-1.1907,-13.6203,0,0,0,-1.190665,0,0,0,-1,-1,-1,-1,6.5,6.5,0.157471,4.99756,2.64526,2.74658,2.8479,2.24976,30.1361,24.2101,2,334.593,1286.06,26.1194,26.5833,30.0004,26.4863,26.408,-1,40,10,-999.9,400,20,102.655,95.1755
4,1786209140,360.9000001,20260809 01:12:20,01:12:20,15,,1786209132,2.70266E-05,0.027026557,0.132032069,414.7833869,187.9761831,19.17003629,42.30010659,0.000989208,1.393745924,0.000988818,0.000618046,287.4357365,30.84725844,27.67805,3.724196385,27.08971801,1.001407558,3.696633378,2.722788827,-1.191871166,-9.54742927,-1.487455295,275.2089808,0.13213318,0.03583055,0.132032069,419.1106294,418.9090606,-0.000253174,60.86975235,0.027026557,9.778211935,9.818976061,1.71671E-06,69.65,43,11,1.003322705,0.332270469,25968.52887,1500.03,1261.240218,0.840809996,0.191619992,6,0.5,0: Broadleaf,2,TRUE,1786209132,414.7864375,415.00975,9.81953125,9.7656525,428.4068125,11.01020625,393.773625,101.8811875,0.100010206,27.5509875,27.67805,999.9,0,0,5002.18625,0,8.10296,-0.22332,418.8999375,419.1025625,0.053879675,415.00975,9.7656525,1.000425625,0.994936,6.92257625,6.842424375,1500.03,0.972999,0.027001275,0,2.67375,0,144.24625,12844.1375,39.687,41.812,40.792625,40.125,39.5659375,1459.53,40.500625,0,1786209137,0,1786208628,01:03:48,1786208628,1786208626,1,-0.831,-0.057,-13.62,-1.191,430,10,0.3,0.08,-0.206377333,-0.206820907,0.05310657,0,0.056770143,-0.069402188,0.009848642,1,1,2,1/2,2.97065,2.75949,0.0975669,0.0961351,0.0616272,0.0577464,32263.1,23229.8,33831.2,25968.4,40670,33167,49365.9,40527.1,1.72925,2.75007,0.131011,0,25.543,999.9,55.976,26.062,18.608,29.09,-100,3,-0.0525915,0,20.2184,5.20426,11.9501,4.96965,3.294,7166.8,144.5,9999,9999,4.97373,1.87302,1.87078,1.87247,1.87301,1.87398,1.87341,1.87799,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.621,-1.1907,-13.6203,0,0,0,-1.190665,0,0,0,-1,-1,-1,-1,8.5,8.6,0.157471,4.99756,2.64526,2.7478,2.8479,2.2583,30.2864,24.2188,2,335.652,1284.45,26.2427,26.6832,30.0004,26.5985,26.5246,-1,40,10,-999.9,400,20,102.631,95.159
5,1786209260,480.9000001,20260809 01:14:20,01:14:20,15,,1786209252,4.0284E-05,0.040283955,0.050376366,413.8313677,342.1766128,34.8963796,42.2039846,0.001465621,1.392669508,0.001464765,0.000915555,287.4240467,30.92171796,27.75702,3.741417153,26.97714762,1.001891727,3.713853448,2.739525425,-1.776522434,-9.501826567,-1.48266636,274.6630313,0.05661638,0.040132032,0.050376366,417.9289408,417.8560424,-0.000703287,60.86975235,0.040283955,9.761416694,9.822050121,-1.6314E-06,69.65,43,11,1.003327671,0.332767129,25929.89879,1499.968667,1261.18868,0.840810017,0.191620034,6,0.5,0: Broadleaf,2,TRUE,1786209252,413.8325333,413.9435333,9.824054,9.763863333,427.4526667,11.01472667,394.7921333,101.8835333,0.09999884,27.63046667,27.75702,999.9,0,0,4996.792667,0,8.0337,-0.111283287,417.9381333,418.0251333,0.060190253,413.9435333,9.763863333,1.000909333,0.994777133,6.929625333,6.840105333,1499.968667,0.972997667,0.027002613,0,2.786666667,0,144.1943333,12843.6,39.625,41.854,40.7624,40.18286667,39.562,1459.468667,40.5,0,1786209257,0,1786208628,01:03:48,1786208628,1786208626,1,-0.831,-0.057,-13.62,-1.191,430,10,0.3,0.08,-0.142463615,0.728490862,0.07569119,0,0.057922545,0.040503388,0.004634159,1,1,2,1/2,2.97075,2.75945,0.0973658,0.0959264,0.0616159,0.0575627,32265.4,23233.3,33826.5,25966.9,40664.8,33171.3,49360.3,40525.8,1.72862,2.7491,0.131533,0,25.5964,999.9,55.53,26.203,18.6138,29,-100,3,-0.0472027,0,20.2181,5.20441,11.9501,4.96945,3.294,7166.8,144.5,9999,9999,4.97376,1.87303,1.8708,1.8725,1.87301,1.87394,1.87343,1.87803,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.621,-1.1907,-13.6203,0,0,0,-1.190665,0,0,0,-1,-1,-1,-1,10.5,10.6,0.157471,4.99756,2.64526,2.7478,2.8479,2.26685,30.4369,24.2101,2,335.909,1285.31,26.3454,26.766,30.0003,26.6916,26.6208,-1,40,10,-999.9,400,20,102.618,95.1548
6,1786209380,600.9000001,20260809 01:16:20,01:16:20,15,,1786209372,3.52103E-05,0.035210307,0.128225441,413.004569,237.5139677,24.22219506,42.11911126,0.001274039,1.393709656,0.001273392,0.000795928,287.4301178,31.00019227,27.82941333,3.757264766,26.88881827,1.003191276,3.730886446,2.75407349,-1.552774551,-9.065110027,-1.414528172,275.3977051,0.128870623,0.033180771,0.128225441,417.2923225,417.0981576,-0.000386319,60.86975235,0.035210307,9.785055976,9.837979697,6.43359E-07,69.65,43,11,1.003324597,0.332459708,25953.7963,1500,1261.215059,0.840810039,0.191620079,6,0.5,0: Broadleaf,2,TRUE,1786209372,413.0075333,413.2233333,9.836926,9.787215333,426.6278667,11.0276,395.2201333,101.8822,0.099992013,27.70876667,27.82941333,999.9,0,0,5001.958667,0,8.087632667,-0.215938333,417.1105333,417.3076,0.049710787,413.2233333,9.787215333,1.002208667,0.997144333,6.948529333,6.874718667,1500,0.972997333,0.02700296,0,2.706666667,0,144.374,12843.86667,39.62913333,41.875,40.76653333,40.1954,39.562,1459.499333,40.502,0,1786209377,0,1786208628,01:03:48,1786208628,1786208626,1,-0.831,-0.057,-13.62,-1.191,430,10,0.3,0.08,-0.21500705,-0.037106391,0.018741763,1,0.04981046,0.011418568,0.002606028,1,2,2,2/2,2.97093,2.75941,0.0972185,0.0958134,0.0616799,0.0577054,32264.9,23233.5,33820.9,25964.1,40654.9,33162.5,49353.3,40522.9,1.72855,2.74713,0.132851,0,25.6596,999.9,55.201,26.344,18.6584,29.1799,-100,3,-0.0410976,0,20.2181,5.20426,11.9501,4.9699,3.294,7166.8,144.6,9999,9999,4.97374,1.87302,1.87083,1.8725,1.87302,1.87393,1.87341,1.87799,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.621,-1.1907,-13.6203,0,0,0,-1.190665,0,0,0,-1,-1,-1,-1,12.5,12.6,0.157471,4.99756,2.64526,2.74658,2.8479,2.25342,30.5662,24.2101,2,336.366,1284.39,26.442,26.8438,30.0003,26.7759,26.7077,-1,40,10,-999.9,400,20,102.603,95.1467
7,1786209500,720.9000001,20260809 01:18:20,01:18:20,15,,1786209492,4.23963E-05,0.042396288,0.149022607,412.4092145,241.7539985,24.65470244,42.05856586,0.00152799,1.392082131,0.001527059,0.000954496,287.4290978,31.05714812,27.87716,3.767749006,26.78252481,1.002589966,3.743448286,2.76515904,-1.869676288,-8.319034776,-1.300310131,275.9400766,0.126786067,0.039365643,0.149022607,416.6473703,416.4282424,-0.001410732,60.86975235,0.042396288,9.763224066,9.826838788,-3.77092E-06,69.65,43,11,1.003331403,0.333140283,25900.95078,1499.994,1261.210079,0.840810083,0.191620165,6,0.5,0: Broadleaf,2,TRUE,1786209492,412.4126667,412.6286667,9.83099,9.772146,426.0328,11.02164,396.1110667,101.8826,0.1000046,27.76631333,27.87716,999.9,0,0,4993.958667,0,8.198258,-0.216162067,416.5072,416.7007333,0.05884164,412.6286667,9.772146,1.001606,0.995611333,6.939767333,6.852308667,1499.994,0.972996933,0.027003413,0,2.149,0,144.9373333,12843.83333,39.62913333,41.87913333,40.7872,40.2164,39.5746,1459.491333,40.504,0,1786209497,0,1786208628,01:03:48,1786208628,1786208626,1,-0.831,-0.057,-13.62,-1.191,430,10,0.3,0.08,-0.2143005,0.03011206,0.033978815,1,0.05698595,0.061695744,0.007563352,1,2,2,2/2,2.97216,2.75943,0.0970848,0.0956696,0.0616132,0.0576238,32264.6,23234.6,33815.9,25961.6,40652,33162,49347.1,40519.9,1.73057,2.74385,0.132158,0,25.6967,999.9,54.755,26.465,18.638,29.2099,-100,3,-0.0358003,0,20.2182,5.20321,11.9501,4.9698,3.294,7166.8,144.6,9999,9999,4.97375,1.87303,1.8708,1.87244,1.87301,1.87396,1.87341,1.87793,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.621,-1.1906,-13.6203,0,0,0,-1.190665,0,0,0,-1,-1,-1,-1,14.5,14.6,0.157471,4.99756,2.64526,2.74658,2.8479,2.27539,30.6956,24.2101,2,337.738,1281.32,26.5227,26.9132,30.0003,26.8502,26.7838,-1,40,10,-999.9,400,20,102.589,95.1389
8,1786209620,840.9000001,20260809 01:20:20,01:20:20,15,,1786209612,3.46772E-05,0.034677193,0.143905256,411.6962718,212.5915933,21.68147739,41.98747124,0.00124393,1.393676365,0.001243314,0.000777127,287.4284535,31.11748448,27.94162667,3.781945127,26.73154593,1.004190104,3.756573252,2.777755023,-1.529264189,-8.668176046,-1.354172682,275.8768406,0.143687735,0.034447734,0.143905256,415.9805292,415.7642545,-0.000557418,60.86975235,0.034677193,9.793760572,9.845682485,-2.30383E-07,69.65,43,11,1.003326048,0.332604845,25942.50852,1499.99,1261.206777,0.840810123,0.191620246,6,0.5,0: Broadleaf,2,TRUE,1786209612,411.6996,411.9376,9.846302,9.794898,425.3197333,11.03696667,396.7904,101.8865333,0.099989547,27.82626,27.94162667,999.9,0,0,5001.582667,0,7.713277333,-0.2380432,415.7934667,416.0123333,0.051404693,411.9376,9.794898,1.003206,0.9979684,6.963024,6.886753333,1499.99,0.972996667,0.027003707,0,1.925333333,0,144.8533333,12843.79333,39.6374,41.92873333,40.80786667,40.25,39.625,1459.488,40.506,0,1786209617,0,1786208628,01:03:48,1786208628,1786208626,1,-0.831,-0.057,-13.62,-1.191,430,10,0.3,0.08,-0.2491577,0.277247098,0.029920338,0,0.049236625,0.035392967,0.004204611,1,1,2,1/2,2.9726,2.75948,0.09696,0.0955459,0.0616974,0.0577156,32264.8,23235.9,33811.8,25959.8,40643.4,33156.6,49342.5,40518.6,1.73095,2.7444,0.13449,0,25.7414,999.9,54.468,26.606,18.6957,28.7899,-100,3,-0.0314736,0,20.2183,5.20486,11.9501,4.96975,3.294,7166.8,144.6,9999,9999,4.97377,1.87303,1.87083,1.87246,1.87302,1.87395,1.87339,1.87796,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.62,-1.1907,-13.6203,0,0,0,-1.190665,0,0,0,-1,-1,-1,-1,16.5,16.6,0.157471,4.99756,2.64526,2.74536,2.8479,2.23389,30.8037,24.2013,2,338.294,1283.72,26.5962,26.9742,30.0002,26.9153,26.8505,-1,40,10,-999.9,400,20,102.578,95.1343
9,1786209740,960.9000001,20260809 01:22:20,01:22:20,15,,1786209732,2.92862E-05,0.029286236,0.166889817,411.6960767,144.0086477,14.68705262,41.98776974,0.001046531,1.394558671,0.001046095,0.000653849,287.4313568,31.16633882,27.99453333,3.793630478,26.69395865,1.005597053,3.767133477,2.788033425,-1.291522999,-9.035045445,-1.411303711,275.6934846,0.161053293,0.032103241,0.166889817,416.0159306,415.7660121,-0.000753729,60.86975235,0.029286236,9.816956994,9.860759333,6.35661E-07,69.65,43,11,1.003323251,0.33232511,25964.27322,1500.004,1261.218658,0.840810197,0.191620394,6,0.5,0: Broadleaf,2,TRUE,1786209732,411.6999333,411.9624,9.860022667,9.812162667,425.3202,11.05068667,397.163,101.8872667,0.100029587,27.87436,27.99453333,999.9,0,0,5005.874,0,8.14451,-0.262605733,415.7997333,416.0448667,0.047860087,411.9624,9.812162667,1.004611333,0.999735667,6.983434667,6.912522,1500.004,0.972996133,0.027004267,0,2.406666667,0,145.1846667,12843.91333,39.65806667,41.93286667,40.80786667,40.25,39.625,1459.496,40.51,0,1786209737,0,1786208628,01:03:48,1786208628,1786208626,1,-0.831,-0.057,-13.62,-1.191,430,10,0.3,0.08,-0.2763687,0.377824331,0.039268164,0,0.05009408,-0.054287251,0.005432272,1,1,2,1/2,2.97398,2.75943,0.0969393,0.0955152,0.0617589,0.0577899,32261.3,23235.1,33807.6,25958.2,40635.3,33151.9,49337.1,40517.1,1.73337,2.74252,0.13537,0,25.7792,999.9,54.181,26.747,18.751,29.12,-100,3,-0.0273171,0,20.2182,5.20516,11.9502,4.96965,3.294,7166.8,144.7,9999,9999,4.97378,1.87304,1.87085,1.87248,1.87301,1.87396,1.8734,1.87795,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.62,-1.1907,-13.6203,0,0,0,-1.190665,0,0,0,-1,-1,-1,-1,18.5,18.6,0.157471,4.99756,2.64526,2.74658,2.8479,2.24731,30.9335,24.2013,2,339.756,1282.31,26.6604,27.0261,30.0003,26.9721,26.9094,-1,40,10,-999.9,400,20,102.566,95.1301
10,1786209860,1080.9,20260809 01:24:20,01:24:20,15,,1786209852,3.43441E-05,0.034344124,0.202695834,411.0349105,133.4791855,13.61252583,41.91832095,0.001222874,1.393669382,0.001222278,0.000763977,287.4286189,31.21248084,28.03160667,3.801837522,26.5732329,1.003805624,3.777506589,2.798031899,-1.514575854,-8.273420769,-1.293702909,276.3469194,0.2240859,0.03464029,0.202695834,415.4714943,415.162497,-6.9212E-05,60.86975235,0.034344124,9.792572317,9.843973212,4.76822E-07,69.65,43,11,1.00332711,0.332711018,25934.2573,1499.99,1261.206859,0.840810178,0.191620357,6,0.5,0: Broadleaf,2,TRUE,1786209852,411.0396,411.3987333,9.842931333,9.791257333,424.6598667,11.0336,396.9244667,101.8824,0.0999861,27.92149333,28.03160667,999.9,0,0,5001.751333,0,8.266771333,-0.35919,415.1255333,415.4667333,0.051671867,411.3987333,9.791257333,1.002823333,0.997557667,6.957446,6.880756667,1499.99,0.972996,0.0270044,0,2.362,0,144.512,12843.8,39.687,41.937,40.812,40.2624,39.625,1459.482,40.50866667,0,1786209857,0,1786208628,01:03:48,1786208628,1786208626,1,-0.831,-0.057,-13.62,-1.191,430,10,0.3,0.08,-0.360592857,0.145224545,0.058492217,0,0.052687333,-0.017069969,0.002949005,1,1,2,1/2,2.97269,2.75942,0.0968242,0.0954016,0.0616668,0.057654,32262.2,23236.4,33804.4,25956.7,40636,33155,49333.4,40515.8,1.73043,2.74005,0.136308,0,25.8034,999.9,53.748,26.888,18.7569,28.8199,-100,3,-0.0240447,0,20.2181,5.20501,11.9501,4.96955,3.294,7166.8,144.7,9999,9999,4.97374,1.87304,1.87086,1.87249,1.87302,1.87396,1.87343,1.87794,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.621,-1.1906,-13.6203,0,0,0,-1.190665,0,0,0,-1,-1,-1,-1,20.5,20.6,0.157471,4.99756,2.64526,2.74658,2.8479,2.25952,31.0202,24.2101,2,338.679,1279.85,26.7196,27.0737,30.0003,27.0226,26.9611,-1,40,10,-999.9,400,20,102.558,95.1259
