obs,time,elapsed,date,hhmmss,averaging,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,αVc,Edyn,Hr,Hs,dHs/dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,Tled,Pc,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
1,1784210608,0,20260716 10:03:27,10:03:27,15,1784210600,0.000970719,0.970718676,2.224890305,433.5227742,347.1158178,35.29820655,44.08492971,0.048569863,3.130903226,0.048155129,0.030133923,261.4492672,30.69452363,29.25763226,4.082120555,50.64102016,2.094492143,4.135959617,1.987628412,-42.8086936,38.32586972,2.704922009,259.6713653,1.487220404,0.869019386,2.224890305,447.2938591,442.0833212,-0.022920888,92.63952209,0.970718676,18.58613823,20.71354061,0.014679692,97.08153409,0,0,1,0,53347.36039,1499.995484,1273.856149,0.849239989,0.174300036,9,0.5,0: Broadleaf,2,TRUE,1784210600,433.5227742,437.9949677,20.59683548,18.55474516,436.0525806,20.34660645,375.1099032,101.59,0.099997235,29.48469032,29.25763226,999.9,0,0,10013.83774,697.3313226,0.218638,-4.472185,442.6397419,446.2756129,2.042087097,437.9949677,18.55474516,2.092431935,1.884976774,18.16160645,16.50983226,1499.995484,0.691999419,0.308000548,32,28282.44839,1784209618,09:46:58,1784209618,1784209618,2,0.469,-0.016,-2.592,0.19,461,18,0.82,0.08,-3.106861707,-26.70124775,2.998043369,0,1.996316341,0.822052683,0.089699965,0,0,2,0/2,2.63364,2.7128,0.100496,0.100513,0.106185,0.0989898,25136.1,24832.7,25430,25386.8,31406.3,31178.8,39067.9,38209.5,1.69485,2.10302,0.0267103,0,28.9615,999.9,70.1,30.4,30.08,62.6419,18.0809,1,0.264929,0,20.4372,5.22073,11.98,4.9688,3.29528,9097.5,9999,9999,218.5,4.97002,1.87531,1.87134,1.87446,1.87439,1.87241,1.87368,1.87486,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-2.528,0.2538,-1.440409575,-0.002774575,7.27494E-07,-2.16226E-10,-0.061552631,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,16.5,16.5,0.158691,4.99756,1.49902,2.28394,1.4978,2.28882,34.8525,15.5242,3,357.57,651.683,29.18,30.6,30.0009,30.394,30.3965,-1,40,10,-999.9,400,20,100.417,106.773
2,1784210728,120,20260716 10:05:27,10:05:27,15,1784210720,0.00098256,0.982559545,2.497956928,458.5244516,358.9239428,36.49686587,46.62465613,0.046911116,3.127206719,0.046523651,0.029111827,261.4494451,30.94478404,29.87092258,4.228964231,51.20498917,2.148786891,4.196440476,2.08017734,-43.33087592,-22.62802985,-1.605777643,193.8847617,2.689768908,0.983900626,2.497956928,476.7977899,468.8736303,0.182267921,92.63952209,0.982559545,18.85173421,21.15765333,0.00015817,97.08153409,0,0,1,0,53216.50546,1499.996774,1273.857339,0.849240052,0.174300005,9,0.5,0: Broadleaf,2,TRUE,1784210720,458.5244516,466.0604194,21.13198065,18.8212,461.1106774,20.8659871,375.1104516,101.584129,0.099992652,29.73670645,29.87092258,999.9,0,0,9997.506129,698.576,0.218638,-7.536078387,468.423129,475.0006129,2.310757419,466.0604194,18.8212,2.146672581,1.911937097,18.5698,16.73326774,1499.996774,0.692000129,0.307999935,32,28282.47419,1784209618,09:46:58,1784209618,1784209618,2,0.469,-0.016,-2.592,0.19,461,18,0.82,0.08,-8.164236829,0.438340976,2.173344852,0,2.329086341,-0.409676237,0.04102646,0,0,2,0/2,2.63317,2.71278,0.104931,0.10602,0.107678,0.0998618,24999.6,24667.3,25418.3,25373.8,31340.5,31133.8,39050.7,38190.9,1.6929,2.09792,0.0478141,0,29.1082,999.9,70.2,30.6,30.4729,62.0719,18.9463,1,0.285117,0,20.4414,5.22043,11.9801,4.9687,3.29545,9097.5,9999,9999,218.5,4.97004,1.87531,1.87135,1.87448,1.87438,1.87241,1.87373,1.87488,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-2.587,0.2668,-1.440409575,-0.002774575,7.27494E-07,-2.16226E-10,-0.061552631,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,18.5,18.5,0.157471,4.99756,1.49902,2.28271,1.4978,2.40723,35.0364,15.5242,3,358.086,650.388,29.4602,30.8663,30.0009,30.6693,30.6739,-1,40,10,-999.9,400,20,100.372,106.72
3,1784210848,240,20260716 10:07:27,10:07:27,15,1784210840,0.001023367,1.023367009,2.352807968,447.2949032,353.3874584,35.9344308,45.48346968,0.04740703,3.126127271,0.047011231,0.029417305,261.4496608,31.15554993,30.10548387,4.286331695,50.41789594,2.142757255,4.249993411,2.14357444,-45.13048511,-24.98678757,-1.777778731,189.5546094,1.581496964,1.023145874,2.352807968,462.2538717,456.4139576,0.008790001,92.63952209,1.023367009,18.65234283,21.05735455,-0.000132707,97.08153409,0,0,1,0,53152.61486,1499.997742,1273.858066,0.849239989,0.174300036,9,0.5,0: Broadleaf,2,TRUE,1784210840,447.2949032,452.1873548,21.07236774,18.66929677,449.8559355,20.80815161,375.1146774,101.5856452,0.099997465,29.95722581,30.10548387,999.9,0,0,9992.420645,699.9106452,0.218638,-4.892529581,456.9232258,460.79,2.403060645,452.1873548,18.66929677,2.140652581,1.896535484,18.52494516,16.60599355,1499.997742,0.691999419,0.308000548,32,28282.48065,1784209618,09:46:58,1784209618,1784209618,2,0.469,-0.016,-2.592,0.19,461,18,0.82,0.08,-4.9336291,0.43845618,1.462797952,0,2.39131075,0.192581651,0.024970069,0,0,2,0/2,2.63288,2.71243,0.102748,0.101737,0.107259,0.0989813,25051.8,24775.2,25410.1,25364,31345.8,31152.9,39038.3,38177.1,1.69118,2.0944,0.0535324,0,29.2465,999.9,69.4,30.8,30.4695,62.8519,18.3934,1,0.299621,0,20.4361,5.21999,11.9801,4.9685,3.29528,9097.5,9999,9999,218.5,4.97,1.87532,1.87134,1.87446,1.87438,1.87241,1.87372,1.87485,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-2.559,0.2637,-1.440409575,-0.002774575,7.27494E-07,-2.16226E-10,-0.061552631,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,20.5,20.5,0.157471,4.99756,1.4978,2.28271,1.4978,2.30835,35.2209,15.5067,3,358.382,649.81,29.6943,31.0636,30.0006,30.8839,30.8951,-1,40,10,-999.9,400,20,100.34,106.68
4,1784210968,360,20260716 10:09:27,10:09:27,15,1784210960,0.001003234,1.00323432,2.093630985,447.728,359.6674007,36.57374263,45.52842045,0.045713935,3.127542421,0.045345949,0.028374033,261.4499438,31.355062,30.30436129,4.335501907,50.20092579,2.157589131,4.297907054,2.177912776,-44.24263353,-25.60890952,-1.82477291,189.7736279,1.821169372,0.989222331,2.093630985,459.623476,456.7786061,-0.228676177,92.63952209,1.00323432,18.87498316,21.22932364,0.000159579,97.08153409,0,0,1,0,53151.42354,1499.999032,1273.859223,0.84924003,0.174300075,9,0.5,0: Broadleaf,2,TRUE,1784210960,447.728,453.1602903,21.21780323,18.89467742,450.2900968,20.94927097,375.1023226,101.5877097,0.099967774,30.15248065,30.30436129,999.9,0,0,9998.689032,701.3056452,0.218638,-5.432233871,457.4337742,461.8875484,2.323122258,453.1602903,18.89467742,2.155469677,1.919469032,18.63512903,16.7952129,1499.999032,0.691999,0.308001,32,28282.48065,1784209618,09:46:58,1784209618,1784209618,2,0.469,-0.016,-2.592,0.19,461,18,0.82,0.08,-6.628170488,22.95839561,2.671389956,0,2.300917561,0.523772195,0.053170917,0,0,2,0/2,2.63271,2.7127,0.102767,0.102575,0.107826,0.0996805,25043,24742.6,25402.5,25354.8,31316.9,31118.2,39026.8,38164.2,1.68983,2.09075,0.0536069,0,29.448,999.9,69.2,31,30.7293,62.0719,18.6338,1,0.313074,0,20.4439,5.21804,11.9801,4.968,3.29535,9097.5,9999,9999,218.6,4.97002,1.87531,1.87134,1.87451,1.87439,1.87241,1.87371,1.87492,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-2.56,0.2689,-1.440409575,-0.002774575,7.27494E-07,-2.16226E-10,-0.061552631,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,22.5,22.5,0.157471,4.99756,1.4978,2.28271,1.4978,2.35229,35.3596,15.498,3,358.704,648.752,29.9061,31.2364,30.0006,31.0695,31.0837,-1,40,10,-999.9,400,20,100.311,106.644
5,1784211088,480,20260716 10:11:27,10:11:27,15,1784211080,0.001002709,1.002708961,2.289188721,459.0441613,362.4689895,36.85866755,46.67918256,0.045056031,3.127453445,0.044698506,0.027968452,261.4500925,31.55764977,30.50156774,4.384743577,50.07251604,2.177211512,4.34811686,2.207532064,-44.21946519,-24.70096507,-1.76361031,190.7660519,4.334412314,0.999528353,2.289188721,480.7117287,471.7761333,0.33554325,92.63952209,1.002708961,19.05535922,21.40986667,-1.56552E-05,97.08153409,0,0,1,0,53113.85649,1500.000323,1273.860288,0.84924001,0.174300024,9,0.5,0: Broadleaf,2,TRUE,1784211080,459.0441613,470.5448387,21.41074839,19.06387419,461.6316129,21.13643226,375.1010323,101.5878065,0.099975452,30.35506774,30.50156774,999.9,0,0,9998.272581,702.302,0.218638,-11.50059032,469.0876452,479.6894839,2.34687129,470.5448387,19.06387419,2.175069677,1.936656129,18.77985806,16.93574194,1500.000323,0.691999677,0.308000323,32.33467742,28282.50645,1784209618,09:46:58,1784209618,1784209618,2,0.469,-0.016,-2.592,0.19,461,18,0.82,0.08,-12.25460976,13.51783066,1.533715105,0,2.342067561,0.120453659,0.012131531,0,0,2,0/2,2.63244,2.71264,0.105258,0.106538,0.108428,0.100367,24966.4,24624.7,25395.9,25346.5,31288.3,31085.2,39016.9,38152.6,1.68843,2.0875,0.0579469,0,29.5689,999.9,69.1,31.2,31.0395,62.2519,19.0865,1,0.324184,0,20.441,5.21714,11.9801,4.96775,3.29505,9097.5,9999,9999,218.6,4.97002,1.87535,1.87136,1.8745,1.87439,1.87241,1.87374,1.87495,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-2.594,0.2743,-1.440409575,-0.002774575,7.27494E-07,-2.16226E-10,-0.061552631,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,24.5,24.5,0.157471,4.99756,1.49902,2.28271,1.4978,2.41333,35.4986,15.4892,3,358.85,647.726,30.1162,31.3891,30.0006,31.2273,31.2446,-1,40,10,-999.9,400,20,100.285,106.61
6,1784211208,600,20260716 10:13:27,10:13:27,15,1784211200,0.001022301,1.022301295,2.17610106,440.2511935,347.4013524,35.32649114,44.7681904,0.04473874,3.128868677,0.04438637,0.027772909,261.4496989,31.75524693,30.70257097,4.435434021,49.31704899,2.169433842,4.398953073,2.266000179,-45.08348712,-24.36715762,-1.742465878,190.2565883,-1.740741892,1.041410681,2.17610106,443.8266524,444.5410303,-0.607485246,92.63952209,1.022301295,18.87008002,21.29630121,-0.002459154,97.08153409,0,0,1,0,53111.28828,1499.99871,1273.858911,0.849240005,0.174299949,9,0.5,0: Broadleaf,2,TRUE,1784211200,440.2511935,437.1746129,21.33425161,18.88885806,442.7961935,21.06222903,375.1026774,101.587871,0.09996329,30.55811613,30.70257097,999.9,0,0,10004.73935,702.8200323,0.218638,3.076618742,449.8485484,445.5912258,2.445383871,437.1746129,18.88885806,2.167298387,1.918876452,18.72260323,16.79036129,1499.99871,0.692000774,0.307999258,33,28282.5129,1784209618,09:46:58,1784209618,1784209618,2,0.469,-0.016,-2.592,0.19,461,18,0.82,0.08,2.973207463,-8.76806561,1.868196975,0,2.440066341,0.020664042,0.015606448,1,1,2,1/2,2.63253,2.71271,0.100598,0.100212,0.107983,0.0997413,25090.5,24793.3,25390.5,25341,31297.2,31100,39008.4,38144.8,1.6873,2.08477,0.0623055,0,29.7031,999.9,68.5,31.4,31.1199,62.6419,18.133,1,0.333786,0,20.4393,5.21774,11.98,4.96815,3.29548,9097.5,9999,9999,218.6,4.97,1.87531,1.87134,1.87453,1.87439,1.87241,1.87375,1.87492,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-2.533,0.2709,-1.440409575,-0.002774575,7.27494E-07,-2.16226E-10,-0.061552631,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,26.5,26.5,0.157471,4.99756,1.49902,2.28027,1.4978,2.32178,35.6148,15.4629,3,359.032,646.961,30.3148,31.5235,30.0004,31.3669,31.3887,-1,40,10,-999.9,400,20,100.263,106.588
7,1784211328,720,20260716 10:15:27,10:15:27,15,1784211320,0.001004399,1.004398904,2.18851963,428.4895806,330.3554066,33.59165996,43.57027614,0.04216413,3.126236293,0.041850734,0.026184672,261.4495629,31.95410806,30.89870645,4.485388239,47.76034865,2.124347553,4.447931419,2.361040685,-44.29399167,-24.7565938,-1.775219136,190.6237583,4.765699698,0.871151283,2.18851963,450.8670828,440.8571152,0.469186246,92.63952209,1.004398904,18.92457206,21.05683818,0.021790737,97.08153409,0,0,1,0,53016.06054,1499.997742,1273.858103,0.849240014,0.174299971,9,0.5,0: Broadleaf,2,TRUE,1784211320,428.4895806,440.8189355,20.89178387,18.84539677,431.0079032,20.63291613,375.1275806,101.5833871,0.1000099,30.75181935,30.89870645,999.9,0,0,9993.14129,703.6522258,0.218638,-12.32945226,437.6326452,449.286129,2.046390968,440.8189355,18.84539677,2.122258387,1.91437871,18.38706774,16.75318065,1499.997742,0.692000484,0.307999548,33,28282.49032,1784209618,09:46:58,1784209618,1784209618,2,0.469,-0.016,-2.592,0.19,461,18,0.82,0.08,-11.42330634,-16.10237477,2.696637303,0,2.05987561,-0.228249617,0.02606472,0,0,2,0/2,2.63211,2.71261,0.100049,0.10248,0.107137,0.100186,25097.9,24720.9,25383.1,25331.4,31318.7,31073.9,38997.4,38131.3,1.6859,2.08075,0.0593439,0,29.9419,999.9,67.4,31.5,30.7994,62.3419,19.0986,1,0.346466,0,20.4427,5.21714,11.9807,4.9676,3.29535,9097.5,9999,9999,218.7,4.97003,1.87534,1.87134,1.87453,1.87439,1.87241,1.87376,1.87489,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-2.527,0.2641,-1.440409575,-0.002774575,7.27494E-07,-2.16226E-10,-0.061552631,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,28.5,28.5,0.157471,4.99756,1.4978,2.28027,1.4978,2.42432,35.7311,15.4629,3,359.146,645.191,30.5137,31.676,30.0005,31.5197,31.5437,-1,40,10,-999.9,400,20,100.235,106.549
8,1784211448,840,20260716 10:17:27,10:17:27,15,1784211440,0.000966626,0.966625578,2.253050159,493.3888065,389.771771,39.63345523,50.16962393,0.041643457,3.127792106,0.041337874,0.02586344,261.4501487,32.06688197,31.00166774,4.511807317,49.45170855,2.212703341,4.474472987,2.299103976,-42.62818801,-24.56112408,-1.762127511,192.4987091,3.646557874,0.963345856,2.253050159,513.5158136,506.0931636,0.192358124,92.63952209,0.966625578,19.50048045,21.76818364,0.000101695,97.08153409,0,0,1,0,53034.08446,1500.000645,1273.860562,0.84924001,0.174300024,9,0.5,0: Broadleaf,2,TRUE,1784211440,493.3888065,503.2784839,21.76063871,19.49955806,496.052871,21.47574839,375.1058387,101.5837742,0.099975558,30.8560129,31.00166774,999.9,0,0,10000.21839,704.7851935,0.218638,-9.889655806,504.3640968,513.2872903,2.261091613,503.2784839,19.49955806,2.210530323,1.980838387,19.03882581,17.29200323,1500.000645,0.691999677,0.308000323,33,28282.52581,1784209618,09:46:58,1784209618,1784209618,2,0.469,-0.016,-2.592,0.19,461,18,0.82,0.08,-9.839252683,2.196494634,0.548844534,0,2.255139268,0.106687944,0.012132747,0,0,2,0/2,2.63219,2.7127,0.110674,0.11144,0.109573,0.101947,24796.1,24467.1,25378.1,25324.5,31227.3,31005.2,38989.2,38121,1.68485,2.07822,0.0618771,0,30.0052,999.9,68.5,31.7,31.6577,61.7419,18.8582,1,0.355879,0,20.439,5.21744,11.9809,4.96775,3.29528,9097.5,9999,9999,218.7,4.97001,1.87531,1.87139,1.87453,1.87439,1.87241,1.87378,1.87488,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-2.668,0.2851,-1.440409575,-0.002774575,7.27494E-07,-2.16226E-10,-0.061552631,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,30.5,30.5,0.157471,4.99756,1.4978,2.28027,1.4978,2.3938,35.8711,15.4454,3,359.323,644.422,30.6432,31.8077,30.0004,31.652,31.6724,-1,40,10,-999.9,400,20,100.214,106.52
9,1784211568,960,20260716 10:19:27,10:19:27,15,1784211560,0.000942098,0.942097911,1.893496524,459.832129,367.5614395,37.37461739,46.75694466,0.039831815,3.126925095,0.039552068,0.024745013,261.4500689,32.16697088,31.09042258,4.534689802,48.74544043,2.192814332,4.498501425,2.34187547,-41.54651786,-23.69293263,-1.701843732,194.5087747,2.759372442,0.938811798,1.893496524,474.1448487,470.7258,-0.122305962,92.63952209,0.942097911,19.38818663,21.5911297,0.000823313,97.08153409,0,0,1,0,52997.51824,1500.000645,1273.86053,0.849239988,0.174299971,9,0.5,0: Broadleaf,2,TRUE,1784211560,459.832129,467.4882258,21.56527742,19.36142903,462.4215161,21.28629677,375.1208387,101.5826452,0.099994455,30.94987742,31.09042258,999.9,0,0,9996.364194,705.7896129,0.218638,-7.656044839,469.9670645,476.7181935,2.203844194,467.4882258,19.36142903,2.19066,1.966787097,18.89417419,17.17945161,1500.000645,0.692000387,0.307999613,33,28282.52903,1784209618,09:46:58,1784209618,1784209618,2,0.469,-0.016,-2.592,0.19,461,18,0.82,0.08,-8.178193415,21.36153094,2.889264586,0,2.200690244,0.120242509,0.020832178,0,0,2,0/2,2.63177,2.71257,0.104877,0.104798,0.108925,0.101187,24952.4,24645.1,25373,25319.8,31244.1,31025.6,38981.9,38114.3,1.68362,2.0762,0.0624545,0,30.0796,999.9,67.8,31.9,31.6944,62.8219,18.9984,1,0.363326,0,20.4419,5.21729,11.9804,4.9678,3.29518,9097.5,9999,9999,218.7,4.97001,1.87536,1.87138,1.87453,1.87439,1.87241,1.87378,1.8749,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-2.591,0.2797,-1.440409575,-0.002774575,7.27494E-07,-2.16226E-10,-0.061552631,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,32.5,32.5,0.157471,4.99756,1.4978,2.28027,1.4978,2.39868,35.9879,15.4367,3,359.256,643.823,30.7517,31.9041,30.0003,31.755,31.7777,-1,40,10,-999.9,400,20,100.195,106.501
10,1784211688,1080,20260716 10:21:27,10:21:27,15,1784211680,0.000967164,0.967163675,2.116996453,431.8499032,331.4762707,33.70539258,43.91165163,0.039870138,3.12797239,0.039589948,0.024768727,261.4499946,32.31222678,31.2463,4.575122335,47.89948576,2.17349563,4.537617879,2.401626705,-42.65191808,-24.37595303,-1.752977344,192.6691461,1.074650814,0.979139258,2.116996453,446.7403755,440.5953394,0.097506926,92.63952209,0.967163675,19.09227312,21.36278303,3.79364E-05,97.08153409,0,0,1,0,52995.39615,1500.000323,1273.860287,0.849240009,0.174299959,9,0.5,0: Broadleaf,2,TRUE,1784211680,431.8499032,435.4427742,21.37528065,19.0762871,434.3759355,21.10201613,375.1158387,101.5826774,0.099993587,31.10175161,31.2463,999.9,0,0,10001.15097,706.4519032,0.218638,-3.592902539,441.2823226,443.9110323,2.298986452,435.4427742,19.0762871,2.171354194,1.937817419,18.75250645,16.94519032,1500.000323,0.692000645,0.307999387,33,28282.53226,1784209618,09:46:58,1784209618,1784209618,2,0.469,-0.016,-2.592,0.19,461,18,0.82,0.08,-1.123332895,-48.86008177,5.108831937,0,2.30404,-0.262817979,0.033722283,0,0,2,0/2,2.63186,2.71266,0.0998354,0.0999441,0.108098,0.100434,25088.4,24773,25368.8,25314.3,31268.1,31045,38975.7,38106.7,1.68277,2.07415,0.0619702,0,30.2589,999.9,67,32.1,31.6744,62.8219,18.2131,1,0.370356,0,20.4407,5.21729,11.9815,4.96775,3.29528,9097.5,9999,9999,218.8,4.97002,1.87536,1.87141,1.87454,1.87439,1.87241,1.87374,1.87494,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-2.524,0.2729,-1.440409575,-0.002774575,7.27494E-07,-2.16226E-10,-0.061552631,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,34.5,34.5,0.157471,4.99756,1.49902,2.28027,1.4978,2.28149,36.1285,15.4104,3,359.321,643.083,30.8814,31.9955,30.0003,31.8476,31.872,-1,40,10,-999.9,400,20,100.179,106.479
