obs,time,elapsed,date,hhmmss,averaging,kam,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,αVc,Edyn,Hr,Hs,dHs/dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
1,1784644723,0,20260721 22:38:43,22:38:43,15,,1784644715,0.001842233,1.842232618,4.368249934,449.6986425,325.7191289,32.94149551,45.48012228,0.067101457,1.384043051,0.065345128,0.040994675,287.4260733,33.39488599,31.5215,4.647272421,41.81197121,1.888173437,4.515868022,2.759098983,-81.24245844,-37.61071016,-6.118551059,162.4543537,4.11068667,1.859985147,4.368249934,466.5543722,458.8354485,0.241513097,60.8620497,1.842232618,16.06586419,18.64482121,-0.000528609,69.65,43,10,1.003394151,0.339415145,25423.7026,1499.979333,1261.19764,0.840810011,0.191620022,6,0.5,0: Broadleaf,2,TRUE,1784644715,449.8017333,456.8297333,18.66989333,16.07864,463.4496667,19.27188667,421.1786667,101.0346667,0.09999992,31.01744667,31.5215,999.9,0,0,4996.166667,0,73.49527333,-7.028106667,458.3591333,464.2949333,2.591246,456.8297333,16.07864,1.886306667,1.624500667,16.52095333,14.19318667,1499.979333,0.973001667,0.02699838,0,1.966706667,0,16552.16,12843.72667,42.312,44.375,43.25,43.1374,42.312,1459.479333,40.5,0,1784644721,0,0,--:--:--,1784215291,1784215309,0,0.224,-0.519,-13.306,-0.669,421,19,0.58,0.15,-7.795624762,-0.176814545,2.395101271,0,2.590531429,-0.011882338,0.005647087,1,1,2,1/2,2.99645,2.7594,0.102149,0.102331,0.0955517,0.0828489,31892.1,22923.8,33625.9,25815.9,38836.9,32050.7,49102.9,40323.4,1.75298,2.68817,0.181999,0,28.5588,999.9,82.499,28.026,31.033,29.34,-100,3,0.164408,0,20.2436,5.20396,11.9536,4.96935,3.294,7158.8,9999,9999,116,4.97361,1.87288,1.87073,1.8723,1.87285,1.87378,1.8733,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.654,-0.6074,-9.42914493,-0.010281863,2.60765E-06,-1.39012E-10,-1.586332408,-0.176615401,0.01337041,-8.0725E-05,6,2428,1,22,7157.2,7156.9,0.158691,4.99756,2.64526,2.75635,2.8479,2.24609,32.4433,15.8657,2,363.699,1256.45,29.0699,29.5651,30.0008,29.3947,29.2848,-1,40,10,-999.9,400,20,102.053,94.6491
2,1784644804,81,20260721 22:40:04,22:40:04,15,,1784644796,0.002222687,2.222687085,4.136286856,443.8175664,342.7685088,34.66242065,44.88099339,0.081553472,1.384291225,0.078975229,0.049584373,287.42202,33.3447197,31.63119333,4.676306055,42.23722575,1.923104448,4.553103132,2.753201607,-98.02050044,-35.0486927,-5.707872451,148.6449544,9.664978927,2.267405532,4.136286856,468.5150727,458.3232788,0.734872381,60.84861724,2.222687085,15.90130254,19.00060667,-0.000564362,69.65,42,10,1.003315539,0.331553935,25419.24445,1499.958,1261.17972,0.840810023,0.191620045,6,0.5,0: Broadleaf,2,TRUE,1784644796,443.9152,459.0202,19.01712667,15.86994667,457.7064,19.12938,422.6246667,101.0248667,0.10000262,31.16156,31.63119333,999.9,0,0,4997.876,0,122.5375333,-15.10496,452.5208667,466.4223333,3.147176,459.0202,15.86994667,1.921202667,1.603260667,16.80944667,13.99014,1499.958,0.973001667,0.026998367,0,2.054146667,0,16314.99333,12843.54,42.437,44.4538,43.375,43.2122,42.437,1459.458,40.5,0,1784644802,0,1784644771,22:39:31,1784644771,1784644765,1,-0.189,0.525,-13.682,-0.661,428,16,0.7,0.03,-14.76357143,-1.88421039,1.615839223,0,3.17138619,-0.389980519,0.041417963,0,0,2,0/2,2.99727,2.75943,0.102068,0.102553,0.0949845,0.0823047,31883.9,22911.5,33615.1,25809.3,38853.6,32061.6,49088.6,40314.3,1.7538,2.6829,0.190549,0,28.5502,999.9,81.107,28.188,30.8032,29.13,-100,3,0.177226,0,20.2433,5.20441,11.9554,4.9694,3.29398,7158.8,9999,9999,116,4.97358,1.8729,1.87073,1.87235,1.87286,1.87378,1.87326,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.842,-0.1149,-9.618116613,-0.010281863,2.60765E-06,-1.39012E-10,-1.061312389,-0.176615401,0.01337041,-8.0725E-05,6,2428,1,22,0.6,0.7,0.158691,4.99756,2.64526,2.75513,2.8479,2.24976,32.6426,15.8745,2,365.175,1252.62,29.2135,29.7305,30.0007,29.5698,29.4602,-1,40,10,-999.9,400,20,102.022,94.6267
3,1784644933,210.0999999,20260721 22:42:13,22:42:13,15,,1784644925,0.00226174,2.261740012,4.128576114,437.0173918,335.2883776,33.90628851,44.19371132,0.080850218,1.385426908,0.078317512,0.04916939,287.4357667,33.62008564,31.934325,4.75736178,41.75413564,1.933554038,4.630808441,2.823807742,-99.74273451,-35.50022987,-5.793782361,146.39902,4.895774121,2.318664786,4.128576114,455.3604955,447.2323394,0.38632653,60.84861724,2.261740012,15.93471584,19.08295333,-0.002536302,69.65,42,10,1.003314485,0.331448518,25427.30236,1500.033125,1261.242561,0.840809806,0.191619613,6,0.5,0: Broadleaf,2,TRUE,1784644925,437.1148125,445.4333125,19.12029375,15.92075,450.851125,19.212125,425.0615,101.02575,0.099999575,31.45903125,31.934325,999.9,0,0,5003.4375,0,67.78125,-8.318580625,445.6354375,452.63975,3.1995575,445.4333125,15.92075,1.931645,1.608406875,16.89486875,14.03958125,1500.033125,0.973004063,0.026995894,0,1.8983625,0,16030.3125,12844.1875,42.628875,44.70275,43.617125,43.4685,42.683125,1459.543125,40.49125,0,1784644931,0,1784644771,22:39:31,1784644771,1784644765,1,-0.189,0.525,-13.682,-0.661,428,16,0.7,0.03,-6.961487619,-26.84780416,2.952764758,0,3.210711429,-0.244135325,0.032633833,0,0,2,0/2,3.00007,2.75947,0.100168,0.10084,0.0951659,0.0823239,31934.1,22945.5,33598.1,25799.6,38829.2,32047.4,49066.6,40301,1.75753,2.6791,0.187822,0,28.8929,999.9,80.271,28.47,30.9867,29.1791,-100,3,0.196039,0,20.2434,5.20501,11.9554,4.9697,3.294,7158.8,9999,9999,116,4.97359,1.87294,1.87073,1.87233,1.87286,1.87378,1.87329,1.87777,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.752,-0.0995,-9.618116613,-0.010281863,2.60765E-06,-1.39012E-10,-1.061312389,-0.176615401,0.01337041,-8.0725E-05,6,2428,1,22,2.7,2.8,0.158691,4.99756,2.64526,2.75513,2.8479,2.24121,32.9537,15.8394,2,368.68,1253.08,29.4985,29.9912,30.0007,29.837,29.7335,-1,40,10,-999.9,400,20,101.974,94.5937
4,1784645053,330.0999999,20260721 22:44:13,22:44:13,15,,1784645045,0.002232395,2.232394723,3.583377818,455.5053649,362.1605782,36.62370651,46.06325426,0.079159568,1.383023108,0.076725882,0.048166101,287.4364933,33.80619392,32.08332667,4.797650416,41.78414958,1.953543706,4.675322403,2.84410671,-98.44860727,-33.98813322,-5.565331407,149.4344214,5.66431629,2.209700624,3.583377818,472.6935335,466.7172667,0.149218174,60.84861724,2.232394723,16.28063764,19.34796121,0.002146454,69.65,42,10,1.003325469,0.33254693,25343.59269,1500.037333,1261.24606,0.84080978,0.19161956,6,0.5,0: Broadleaf,2,TRUE,1784645045,455.5902,464.9532667,19.31799333,16.27822667,469.4750667,19.37036667,426.2872667,101.0256,0.100002047,31.62748667,32.08332667,999.9,0,0,4991.582667,0,82.81492,-9.36301,464.5649333,472.6470667,3.03975,464.9532667,16.27822667,1.951614,1.644520667,17.05710667,14.38242,1500.037333,0.973004667,0.026995253,0,1.84672,0,15812.24,12844.2,42.75,44.75413333,43.6912,43.604,42.812,1459.547333,40.49,0,1784645051,0,1784644771,22:39:31,1784644771,1784644765,1,-0.189,0.525,-13.682,-0.661,428,16,0.7,0.03,-10.4631225,35.88738812,3.915110731,0,3.037823,0.125585865,0.016952883,0,0,2,0/2,3.00096,2.75945,0.103098,0.102145,0.0959667,0.0834646,31819.6,22905.7,33588,25793.1,38783.5,31998,49053.6,40292.5,1.75742,2.67413,0.193283,0,28.9624,999.9,80.131,28.721,31.389,29.2091,-100,3,0.208389,0,20.2437,5.20306,11.956,4.9693,3.294,7158.8,9999,9999,116.1,4.97358,1.87292,1.87073,1.87233,1.87286,1.87378,1.87328,1.87776,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.897,-0.0455,-9.618116613,-0.010281863,2.60765E-06,-1.39012E-10,-1.061312389,-0.176615401,0.01337041,-8.0725E-05,6,2428,1,22,4.7,4.8,0.157471,4.99756,2.64526,2.75513,2.8479,2.24365,33.1992,15.8482,2,369.826,1250.18,29.7026,30.1713,30.0005,30.0326,29.9325,-1,40,10,-999.9,400,20,101.946,94.5722
5,1784645173,450.0999999,20260721 22:46:13,22:46:13,15,,1784645165,0.002274179,2.27417904,3.854565238,457.924135,359.2388523,36.33067835,46.31095537,0.079678289,1.384628019,0.077215899,0.048474834,287.42598,33.92438327,32.18989333,4.826646901,41.32753936,1.947836513,4.713168369,2.878810388,-100.2912957,-31.37308908,-5.137461821,150.6241334,4.838336815,2.215150037,3.854565238,472.0331349,467.2725758,-0.131495888,60.84861724,2.27417904,16.23243163,19.31682545,0.007787729,69.65,41,10,1.003241621,0.324162061,25377.98923,1499.982,1261.19958,0.84080981,0.191619619,6,0.5,0: Broadleaf,2,TRUE,1784645165,458.0152667,466.2206667,19.26026667,16.21648667,471.9194667,19.32420667,426.8366667,101.0324,0.099975073,31.76961333,32.18989333,999.9,0,0,4999.165333,0,111.5138667,-8.205568,467.01,473.9059333,3.0438,466.2206667,16.21648667,1.945912667,1.63839,17.01094,14.32468667,1499.982,0.973004333,0.026995593,0,1.993133333,0,15633.48,12843.74,42.8708,44.812,43.7996,43.65393333,42.8874,1459.492,40.49,0,1784645171,0,1784644771,22:39:31,1784644771,1784644765,1,-0.189,0.525,-13.682,-0.661,428,16,0.7,0.03,-10.551236,54.99732902,5.899860365,0,3.048043,0.051372632,0.02336297,1,1,2,1/2,3.00157,2.75944,0.103203,0.102047,0.0958354,0.0831874,31806.4,22902.7,33578.6,25787.5,38781.1,32000.5,49041.6,40284.8,1.75758,2.67127,0.197001,0,28.9987,999.9,78.916,28.973,31.3651,29.1491,-100,3,0.218755,0,20.2434,5.20486,11.956,4.96925,3.294,7158.8,9999,9999,116.1,4.97362,1.87292,1.87073,1.87232,1.87286,1.87376,1.8733,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.904,-0.0518,-9.618116613,-0.010281863,2.60765E-06,-1.39012E-10,-1.061312389,-0.176615401,0.01337041,-8.0725E-05,6,2428,1,22,6.7,6.8,0.157471,4.99756,2.64526,2.75391,2.8479,2.25952,33.4232,15.8219,2,370.842,1249.5,29.878,30.3062,30.0005,30.1863,30.0919,-1,40,10,-999.9,400,20,101.919,94.5532
6,1784645293,570.0999999,20260721 22:48:13,22:48:13,15,,1784645285,0.002350167,2.350167232,3.929987628,450.6580772,352.7348558,35.67546879,45.57938605,0.081874,1.384464051,0.079276112,0.049774113,287.4291467,34.06980946,32.37544,4.877497765,41.59117055,1.98083831,4.762641406,2.896659455,-103.6423749,-31.46242411,-5.162079612,147.162268,2.788616825,2.347564436,3.929987628,464.5439914,458.9534121,-0.001882463,60.85965276,2.350167232,16.34386315,19.57522667,-0.000169276,69.65,41,10,1.003244233,0.324423256,25357.62324,1499.998667,1261.21358,0.840809801,0.191619601,6,0.5,0: Broadleaf,2,TRUE,1784645285,450.7510667,456.1313333,19.58518667,16.36917333,464.5972,19.58374,427.9824667,101.0396,0.100018607,31.95391333,32.37544,999.9,0,0,4998,0,64.03672667,-5.380322,459.7552667,463.7220667,3.216004667,456.1313333,16.36917333,1.978879333,1.653935333,17.27634,14.47068667,1499.998667,0.973006333,0.026993533,0,1.90522,0,15478.58,12843.89333,42.9958,44.9496,43.937,43.7038,43.00413333,1459.508667,40.49,0,1784645291,0,1784644771,22:39:31,1784644771,1784644765,1,-0.189,0.525,-13.682,-0.661,428,16,0.7,0.03,-5.253808,-12.86774707,1.924109266,0,3.2087,0.208181955,0.021714497,0,0,2,0/2,3.003,2.75946,0.101869,0.101878,0.0965976,0.0836983,31843.8,22901,33568.9,25781.4,38736.6,31974.2,49029.2,40276.5,1.75957,2.66665,0.201382,0,29.1014,999.9,78.714,29.215,31.7236,29.0591,-100,3,0.229378,0,20.2438,5.20471,11.9557,4.96955,3.294,7158.8,9999,9999,116.2,4.97361,1.87295,1.87075,1.87241,1.87286,1.87378,1.87331,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.84,-0.0007,-9.618116613,-0.010281863,2.60765E-06,-1.39012E-10,-1.061312389,-0.176615401,0.01337041,-8.0725E-05,6,2428,1,22,8.7,8.8,0.157471,4.99756,2.64526,2.75391,2.8479,2.24609,33.6479,15.8044,2,372.762,1246.07,30.0508,30.4438,30.0005,30.3332,30.2441,-1,40,10,-999.9,400,20,101.892,94.5326
7,1784645413,690.0999999,20260721 22:50:13,22:50:13,15,,1784645405,0.002326466,2.326466237,3.481843891,456.3932907,365.4946217,36.96901247,46.16322171,0.080263651,1.385645253,0.077767332,0.048822399,287.4326933,34.20399976,32.48544,4.907863964,41.38813259,1.985054458,4.796192372,2.922809506,-102.5971611,-30.44043852,-4.99588632,149.3992074,2.337100437,2.320700491,3.481843891,468.1507391,464.4195091,-0.216019838,60.85965276,2.326466237,16.4673535,19.65381515,0.000567989,69.65,41,10,1.003241213,0.324121344,25381.16699,1500.017333,1261.22926,0.840809791,0.191619581,6,0.5,0: Broadleaf,2,TRUE,1784645405,456.4756,461.2157333,19.62526667,16.45343333,470.3675333,19.6157,428.9617333,101.0479333,0.099964007,32.07795333,32.48544,999.9,0,0,5003.416667,0,107.1558667,-4.740088,465.6133333,468.9312,3.171839333,461.2157333,16.45343333,1.983092667,1.662586,17.31,14.55143333,1500.017333,0.973007,0.026992853,0,1.929453333,0,15332.45333,12844.06667,43.125,45.125,44.083,43.854,43.1746,1459.527333,40.49,0,1784645411,0,1784644771,22:39:31,1784644771,1784644765,1,-0.189,0.525,-13.682,-0.661,428,16,0.7,0.03,-4.3275205,-2.968910526,1.66197039,0,3.1817745,-0.115497293,0.020611851,0,0,2,0/2,3.00358,2.75939,0.102625,0.101889,0.096829,0.084041,31808.1,22895.1,33560.1,25775.6,38718.4,31954.5,49018.2,40268.9,1.7595,2.66528,0.202447,0,29.2198,999.9,78.012,29.416,31.805,29.2392,-100,3,0.239426,0,20.2436,5.20486,11.956,4.9692,3.294,7158.8,9999,9999,116.2,4.97361,1.87294,1.87075,1.87239,1.87286,1.87378,1.87331,1.87776,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.878,0.0161,-9.618116613,-0.010281863,2.60765E-06,-1.39012E-10,-1.061312389,-0.176615401,0.01337041,-8.0725E-05,6,2428,1,22,10.7,10.8,0.157471,4.99756,2.64526,2.75391,2.8479,2.23877,33.8509,15.7781,2,373.584,1247.12,30.2196,30.5788,30.0004,30.4733,30.3853,-1,40,10,-999.9,400,20,101.868,94.5135
8,1784645533,810.0999999,20260721 22:52:13,22:52:13,15,,1784645525,0.002339042,2.339041891,3.785491516,452.7273851,355.4352127,35.9510834,45.79186134,0.079926513,1.386071526,0.077451508,0.048623178,287.4249667,34.3256532,32.60528667,4.941135562,41.21392707,1.991176453,4.831319398,2.949959109,-103.1517474,-29.76132855,-4.888902762,149.622988,2.004340831,2.399048533,3.785491516,465.9218455,460.8035455,-0.045703955,60.85965276,2.339041891,16.47396145,19.67630727,0.000106542,69.65,41,10,1.003241002,0.324100238,25382.81452,1499.976667,1261.1951,0.840809813,0.191619625,6,0.5,0: Broadleaf,2,TRUE,1784645525,452.8168667,457.1250667,19.68603333,16.41168667,466.6794,19.66409333,429.5337333,101.0466667,0.099989907,32.20701333,32.60528667,999.9,0,0,5005.583333,0,96.67621333,-4.308338,461.9101333,464.7524667,3.274344667,457.1250667,16.41168667,1.989209333,1.658348667,17.3587,14.51185333,1499.976667,0.973006667,0.026993207,0,1.99484,0,15207.42,12843.69333,43.312,45.30373333,44.25,43.937,43.312,1459.486667,40.49,0,1784645531,0,1784644771,22:39:31,1784644771,1784644765,1,-0.189,0.525,-13.682,-0.661,428,16,0.7,0.03,-3.38792308,-14.68206251,2.229539201,0,3.2802775,-0.436135489,0.058839591,0,0,2,0/2,3.00418,2.75937,0.102008,0.100809,0.0968678,0.0842,31821.2,22917.3,33551.5,25770.3,38708.7,31941.7,49007.1,40261.6,1.75975,2.66243,0.205878,0,29.2738,999.9,77.298,29.658,31.957,29.3591,-100,3,0.2489,0,20.2436,5.20022,11.956,4.9693,3.294,7158.8,9999,9999,116.2,4.97362,1.873,1.87077,1.87238,1.87286,1.87375,1.87331,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.849,0.0211,-9.618116613,-0.010281863,2.60765E-06,-1.39012E-10,-1.061312389,-0.176615401,0.01337041,-8.0725E-05,6,2428,1,22,12.7,12.8,0.157471,4.99756,2.64526,2.75269,2.8479,2.22412,34.0318,15.7519,2,374.497,1245.77,30.3639,30.7029,30.0005,30.6012,30.5145,-1,40,10,-999.9,400,20,101.843,94.4955
9,1784645653,930.0999999,20260721 22:54:13,22:54:13,15,,1784645645,0.002405622,2.405622007,3.521661863,466.1458132,374.3057177,37.85786748,47.14671882,0.081161875,1.384382768,0.078608079,0.049352804,287.4326667,34.47070272,32.75448,4.982828471,40.86953818,1.994380926,4.879871451,2.988447545,-106.0879305,-27.64623884,-4.554285666,149.1442116,2.70460854,2.374084709,3.521661863,474.6747476,473.2532727,-0.635020631,60.85965276,2.405622007,16.4432166,19.7321097,0.000316752,69.65,40,9,1.003169638,0.316963766,25319.47801,1500.014667,1261.22726,0.840809952,0.191619904,6,0.5,0: Broadleaf,2,TRUE,1784645645,466.2292667,471.5364667,19.71870667,16.48134,480.1988667,19.69012,429.9364,101.0416,0.099968747,32.38406,32.75448,999.9,0,0,4997.5,0,72.21771333,-5.307118267,475.6076667,479.4385333,3.237342,471.5364667,16.48134,1.992407333,1.665303333,17.38413333,14.5767,1500.014667,0.973003533,0.026996453,0,2.014886667,0,15072.66667,12844.02667,43.4122,45.39566667,44.375,44.1166,43.437,1459.516667,40.498,0,1784645651,0,1784644771,22:39:31,1784644771,1784644765,1,-0.189,0.525,-13.682,-0.661,428,16,0.7,0.03,-7.8866637,59.47664274,5.962907379,0,3.222307,0.473152782,0.048357251,0,0,2,0/2,3.00401,2.75949,0.103988,0.103167,0.0969816,0.0838436,31743.4,22853.1,33544,25766.2,38697.2,31949.5,48997.6,40256.2,1.7587,2.66135,0.205059,0,29.4252,999.9,76.456,29.87,31.9985,29.2391,-100,3,0.257259,0,20.2435,5.20426,11.9557,4.96945,3.294,7158.8,9999,9999,116.3,4.97363,1.87296,1.87078,1.87239,1.87287,1.87378,1.87332,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.948,0.0307,-9.618116613,-0.010281863,2.60765E-06,-1.39012E-10,-1.061312389,-0.176615401,0.01337041,-8.0725E-05,6,2428,1,22,14.7,14.8,0.157471,4.99756,2.64526,2.75269,2.8479,2.21924,34.2133,15.7431,2,374.668,1246.71,30.5118,30.8162,30.0004,30.7172,30.6308,-1,40,10,-999.9,400,20,101.822,94.4818
10,1784645773,1050.1,20260721 22:56:13,22:56:13,15,,1784645765,0.002384859,2.384859036,3.961127266,455.7874063,353.2854636,35.73076983,46.09766487,0.078971797,1.384875541,0.076552585,0.048056549,287.4336467,34.63028576,32.88924,5.020750709,40.21224033,1.978992979,4.921369619,3.041757731,-105.1722835,-26.50977803,-4.371625085,151.3799601,7.919873193,2.378090366,3.961127266,476.7466023,468.7046242,0.433834138,60.85965276,2.384859036,16.32702912,19.58068909,0.000246071,69.65,40,9,1.003169397,0.316939686,25321.39561,1500.020667,1261.23222,0.840809896,0.191619791,6,0.5,0: Broadleaf,2,TRUE,1784645765,455.8812667,468.382,19.56715333,16.33156667,469.7683333,19.56936667,430.9656667,101.0385333,0.099989213,32.53417333,32.88924,999.9,0,0,5000.083333,0,95.57373333,-12.50073333,464.9795333,476.1584,3.2356,468.382,16.33156667,1.977038,1.650114667,17.26162,14.43494667,1500.020667,0.973004533,0.026995387,0,1.987873333,0,14965.12667,12844.09333,43.52893333,45.5,44.4832,44.2122,43.55786667,1459.525333,40.49533333,0,1784645771,0,1784644771,22:39:31,1784644771,1784644765,1,-0.189,0.525,-13.682,-0.661,428,16,0.7,0.03,-13.237245,18.5095985,1.863928419,0,3.238349,0.023536241,0.013260261,1,1,2,1/2,3.00549,2.75946,0.103364,0.104092,0.0964972,0.0835719,31759.3,22825.3,33537.9,25761.8,38714,31953.7,48989.8,40250.1,1.7611,2.6577,0.205133,0,29.5652,999.9,75.253,30.101,31.9197,29.3291,-100,3,0.264129,0,20.2437,5.20246,11.956,4.96915,3.294,7158.8,9999,9999,116.3,4.97361,1.87296,1.87075,1.8724,1.87286,1.87377,1.87332,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.92,0.001,-9.618116613,-0.010281863,2.60765E-06,-1.39012E-10,-1.061312389,-0.176615401,0.01337041,-8.0725E-05,6,2428,1,22,16.7,16.8,0.157471,4.99756,2.64526,2.75269,2.8479,2.2168,34.3725,15.7081,2,376.496,1243.52,30.6616,30.9066,30.0004,30.8133,30.7301,-1,40,10,-999.9,400,20,101.805,94.4669
