obs,time,elapsed,date,hhmmss,averaging,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,αVc,Edyn,Hr,Hs,dHs/dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,Tled,Pc,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
1,1784644851,0,20260721 10:40:50,10:40:50,15,1784644843,0.001788354,1.788353739,4.329227215,448.8896774,369.9187149,37.43361682,45.42501772,0.104176079,3.115115106,0.102278632,0.064091744,261.449124,29.65392524,29.00224839,4.02229605,58.60948364,2.308249433,3.938354835,1.714046617,-78.86639989,-61.12712691,-4.312373969,117.1432232,9.75736603,1.732346071,4.329227215,491.2056022,467.9332848,1.274978448,92.62443737,1.788353739,18.79662182,22.88517622,0.010066753,96.53661349,7,2,1,0,53116.6649,1499.995161,1273.855878,0.849239991,0.174299978,9,0.5,0: Broadleaf,2,TRUE,1784644843,448.8896774,474.1683871,22.81010323,18.74815806,451.8651613,22.51351613,375.0784194,101.0941935,0.099975103,28.63827097,29.00224839,999.9,0,0,9990.440323,696.1424839,0.218638,-25.27854839,459.3681613,483.2283871,4.061937097,474.1683871,18.74815806,2.305969032,1.89533129,19.71811613,16.59590968,1499.995161,0.69200029,0.30799971,30.13843871,28282.43548,1784644830,10:40:30,1784644819,1784644830,2,0.062,0.008,-2.978,0.17,453,19,0.09,0.02,-20.38566452,-85.66409098,9.838839598,0,3.336727729,10.1689291,1.372966272,0,0,2,0/2,2.63504,2.71248,0.104659,0.106988,0.113631,0.0996169,25125.5,24762.3,25532.3,25494.2,31270.9,31284.1,39235.1,38365,1.6825,2.1314,0.0671148,0,27.9333,999.9,79.9,27.9,29.8194,62.71,19.1787,1,0.159078,0,20.4253,5.22268,11.98,4.96955,3.29558,9099.6,9999,9999,222.2,4.97004,1.87529,1.87132,1.87439,1.87438,1.87241,1.87363,1.87491,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-2.995,0.2991,-1.85027867,-0.002774575,7.27494E-07,-2.16226E-10,-0.083083531,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,0.5,0.3,0.157471,4.99756,1.49902,2.29004,1.49902,2.34985,32.3549,15.8482,3,345.295,662.74,28.4221,29.3726,30.0006,29.207,29.2153,-1,40,10,-999.9,400,20,100.837,107.215
2,1784644977,126.5,20260721 10:42:57,10:42:57,15,1784644969,0.001588938,1.588938126,4.266527867,446.6956,356.4362133,36.07188434,45.2062709,0.088110481,3.115738165,0.086749285,0.05433885,261.4500356,29.86447737,29.17274333,4.06214955,57.01045308,2.266456814,3.975510966,1.795692735,-70.07217137,-62.57653848,-4.421039959,124.3802858,3.701412115,1.648535595,4.266527867,467.2659453,456.510703,0.032715394,92.62443737,1.588938126,18.52602988,22.3344,-0.00783321,96.53661349,4,1,1,0,53102.89028,1500.000333,1273.860274,0.849239994,0.174299985,9,0.5,0: Broadleaf,2,TRUE,1784644969,446.6956,457.3432,22.39548333,18.52874333,449.6661333,22.11190333,375.1103667,101.1015,0.100013743,28.80021,29.17274333,999.9,0,0,9992.576333,697.0288667,0.218638,-10.64749567,456.9288667,465.9770333,3.866753667,457.3432,18.52874333,2.264219,1.873283,19.42405667,16.41208333,1500.000333,0.6920002,0.3079998,31,28282.53667,1784644830,10:40:30,1784644819,1784644830,2,0.062,0.008,-2.978,0.17,453,19,0.09,0.02,-9.639418049,-19.56040746,2.042297238,0,3.888717561,-0.373124111,0.040013508,0,0,2,0/2,2.6349,2.71255,0.102689,0.103914,0.111675,0.0984657,25172.7,24838.2,25524.8,25485.2,31332.1,31314,39223.5,38352.5,1.68545,2.12915,0.0728965,0,27.9866,999.9,79.2,28.1,29.9011,62.07,19.4231,1,0.172091,0,20.4248,5.21729,11.98,4.96945,3.29538,9099.6,9999,9999,222.2,4.97002,1.87529,1.87132,1.87439,1.87435,1.8724,1.87363,1.87491,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-2.97,0.2816,-1.85027867,-0.002774575,7.27494E-07,-2.16226E-10,-0.083083531,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,2.6,2.5,0.157471,4.99756,1.49902,2.28882,1.4978,2.2644,32.5761,15.8482,3,347.599,662.87,28.6148,29.5415,30.0006,29.3775,29.3947,-1,40,10,-999.9,400,20,100.807,107.179
3,1784645097,246.5,20260721 10:44:57,10:44:57,15,1784645089,0.001332114,1.332114006,4.184393012,465.1472903,356.9824188,36.12810826,47.07484397,0.070751539,3.117554335,0.069871472,0.043747829,261.4496989,30.04153572,29.29123548,4.090049683,55.49007721,2.220729562,4.002030045,1.869320121,-58.74622765,-63.23795905,-4.47034228,134.9951699,-0.460818841,1.41695833,4.184393012,472.8670434,469.4544303,-0.685789555,92.62443737,1.332114006,18.57790161,21.84604685,-0.013697261,96.53661349,4,1,1,0,53125.2173,1499.99871,1273.858874,0.84923998,0.174299949,9,0.5,0: Broadleaf,2,TRUE,1784645089,465.1472903,465.623,21.94306452,18.61804516,468.1591935,21.67346774,375.1194194,101.1041613,0.100005532,28.91498387,29.29123548,999.9,0,0,10000.64548,697.7460968,0.218638,-0.475732726,475.5832581,474.4565161,3.32502,465.623,18.61804516,2.218534194,1.882362581,19.09675161,16.48801935,1499.99871,0.692000677,0.307999323,31,28282.5129,1784644830,10:40:30,1784644819,1784644830,2,0.062,0.008,-2.978,0.17,453,19,0.09,0.02,-0.565855434,-6.501076173,1.471406791,0,3.330358049,-0.110582509,0.012260075,0,0,2,0/2,2.6349,2.71259,0.104784,0.104174,0.109943,0.0983908,25108.9,24824,25520.3,25478.5,31389.1,31308.8,39216.4,38342.9,1.68477,2.12635,0.0807494,0,27.9866,999.9,78.8,28.3,30.0983,62.52,20,1,0.180897,0,20.4226,5.22088,11.98,4.96865,3.2953,9099.6,9999,9999,222.2,4.97,1.8753,1.87133,1.87439,1.87435,1.87239,1.87364,1.87486,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-2.997,0.2665,-1.85027867,-0.002774575,7.27494E-07,-2.16226E-10,-0.083083531,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,4.6,4.5,0.157471,4.99756,1.4978,2.28882,1.49902,2.32056,32.7758,15.8569,3,347.948,661.938,28.7377,29.6603,30.0005,29.5047,29.5244,-1,40,10,-999.9,400,20,100.789,107.151
4,1784645217,366.5,20260721 10:46:57,10:46:57,15,1784645209,0.001130734,1.130733819,3.960031386,461.6723871,337.253137,34.13455521,46.72745737,0.057228574,3.117948583,0.056651368,0.03545848,261.4493851,30.23609451,29.46612903,4.131535328,53.8743844,2.174294539,4.035859645,1.957240788,-49.86536143,-68.1944515,-4.827782363,138.5617899,4.718190113,1.138459414,3.960031386,485.8914378,473.4084424,0.281744496,92.62443737,1.130733819,18.84385962,21.4967,0.000171525,96.53661349,4,1,1,0,53109.04722,1499.996452,1273.856988,0.849240001,0.174300002,9,0.5,0: Broadleaf,2,TRUE,1784645209,461.6723871,474.2536452,21.48226774,18.80947419,464.6765806,21.22667742,375.1140645,101.1134516,0.100003381,29.06043871,29.46612903,999.9,0,0,10001.53548,698.2536452,0.218638,-12.58129484,471.8078065,483.3451935,2.672799677,474.2536452,18.80947419,2.172146129,1.901889677,18.75834516,16.65028065,1499.996452,0.691999968,0.308000032,31,28282.47742,1784644830,10:40:30,1784644819,1784644830,2,0.062,0.008,-2.978,0.17,453,19,0.09,0.02,-11.37355854,-25.37486969,2.858261259,0,2.706977073,-0.608598397,0.06236335,0,0,2,0/2,2.63444,2.71256,0.105513,0.106568,0.108725,0.0999124,25083.8,24753,25515.9,25474,31427.7,31250.4,39209.7,38336.3,1.68365,2.1232,0.0846609,0,28.0938,999.9,78.4,28.5,30.2921,62.73,20.1202,1,0.188056,0,20.4203,5.21849,11.98,4.9695,3.29553,9099.6,9999,9999,222.3,4.97001,1.87531,1.87134,1.87439,1.87438,1.8724,1.87364,1.87493,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-3.007,0.2561,-1.85027867,-0.002774575,7.27494E-07,-2.16226E-10,-0.083083531,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,6.6,6.5,0.157471,4.99756,1.4978,2.2876,1.4978,2.37061,32.9537,15.8569,3,347.978,660.489,28.8732,29.7613,30.0002,29.6123,29.636,-1,40,10,-999.9,400,20,100.772,107.132
5,1784645337,486.5,20260721 10:48:57,10:48:57,15,1784645329,0.001021569,1.021569158,3.806690807,463.9681935,329.5201068,33.35595488,46.96557756,0.050510682,3.119463657,0.050060678,0.03132802,261.4501506,30.37771841,29.586,4.160180767,53.13886628,2.15897967,4.062901264,2.001201097,-45.05119987,-68.9615977,-4.885422976,142.55193,3.223409258,1.078896731,3.806690807,481.7296193,473.4125818,-0.099825086,92.62443737,1.021569158,18.7845376,21.26670909,-0.008028308,96.53661349,3,1,1,0,53124.4051,1500.000323,1273.860312,0.849240025,0.174300063,9,0.5,0: Broadleaf,2,TRUE,1784645329,463.9681935,472.9035806,21.32834194,18.79483226,466.9775161,21.0773871,375.0911613,101.1259032,0.099952794,29.17594516,29.586,999.9,0,0,10007.25548,699.0041613,0.218638,-8.935351935,474.0795806,481.9619677,2.533515161,472.9035806,18.79483226,2.15684871,1.900644839,18.64531613,16.64004516,1500.000323,0.691999161,0.308000839,31,28282.52903,1784644830,10:40:30,1784644819,1784644830,2,0.062,0.008,-2.978,0.17,453,19,0.09,0.02,-8.510022195,-7.034776098,1.085074628,0,2.542167073,-0.185176934,0.021324601,0,0,2,0/2,2.63452,2.71269,0.105495,0.106157,0.107888,0.09922,25081.7,24760.8,25513.6,25470.6,31455,31270.9,39206.2,38331.7,1.68358,2.12178,0.0869408,0,28.1735,999.9,77.9,28.8,30.6229,62.31,19.3309,1,0.192998,0,20.419,5.21894,11.98,4.9685,3.29545,9099.6,9999,9999,222.3,4.97,1.87531,1.87134,1.87439,1.87436,1.8724,1.87364,1.87488,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-3.008,0.249,-1.85027867,-0.002774575,7.27494E-07,-2.16226E-10,-0.083083531,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,8.6,8.4,0.157471,4.99756,1.49902,2.2876,1.49902,2.28149,33.1322,15.8307,3,348.366,660.205,28.9984,29.8333,30.0003,29.6927,29.7188,-1,40,10,-999.9,400,20,100.763,107.119
6,1784645457,606.5,20260721 10:50:57,10:50:57,15,1784645449,0.000908583,0.908582575,3.64296579,468.6809355,321.5286577,32.54875152,47.44516219,0.043804312,3.117022866,0.043465174,0.027195985,261.4499598,30.49620886,29.69205161,4.185667992,52.29159451,2.1356302,4.084079325,2.050037793,-40.06849156,-71.60611587,-5.08167887,144.6936736,4.488133039,0.9179673,3.64296579,488.2949942,479.7018364,-0.031775988,92.62443737,0.908582575,18.96842802,21.10044266,0.000174938,96.53661349,3,1,1,0,53051.7039,1500,1273.859833,0.849239889,0.174299973,9,0.5,0: Broadleaf,2,TRUE,1784645449,468.6809355,480.4808065,21.09654839,18.94067419,471.7007097,20.85251613,375.1337742,101.1312258,0.100035377,29.26593871,29.69205161,999.9,0,0,9995.53129,699.5072903,0.219387355,-11.79994355,478.7815161,489.7570968,2.155867742,480.4808065,18.94067419,2.13351871,1.915493548,18.47166774,16.76255484,1500,0.691999968,0.307999903,31,28282.53226,1784644830,10:40:30,1784644819,1784644830,2,0.062,0.008,-2.978,0.17,453,19,0.09,0.02,-12.6321455,23.03257936,2.522181479,0,2.17705075,-0.447880188,0.044411102,0,0,2,0/2,2.63435,2.71264,0.10653,0.106973,0.107305,0.0999013,25051.7,24736.4,25512.7,25468.9,31474.9,31245,39204.7,38329.1,1.68307,2.11993,0.089623,0,28.2424,999.9,77.5,29,30.8215,62.88,19.2668,1,0.195661,0,20.4196,5.21744,11.98,4.96915,3.29555,9099.6,9999,9999,222.3,4.97001,1.87531,1.87134,1.87439,1.87438,1.87241,1.87365,1.87489,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-3.021,0.2442,-1.85027867,-0.002774575,7.27494E-07,-2.16226E-10,-0.083083531,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,10.6,10.4,0.15625,4.99756,1.49902,2.28638,1.49902,2.3584,33.3111,15.8307,3,348.402,659.246,29.0883,29.879,30.0003,29.7453,29.775,-1,40,10,-999.9,400,20,100.759,107.112
7,1784645577,726.5,20260721 10:52:57,10:52:57,15,1784645569,0.000826819,0.826819414,3.325802134,456.9995484,306.6480472,31.04245795,46.26277386,0.038982295,3.117162314,0.038713477,0.024219921,261.4504554,30.62744475,29.82157742,4.21698128,51.64046952,2.122636912,4.110413658,2.094344368,-36.46273617,-74.6657056,-5.304903696,145.0171099,3.736078597,0.863685031,3.325802134,473.8780941,466.8421273,-0.110543996,92.62443737,0.826819414,18.91589938,20.9211951,-0.006093489,96.53661349,3,1,1,0,53035.43179,1500.001613,1273.861477,0.849240072,0.174300116,9,0.5,0: Broadleaf,2,TRUE,1784645569,456.9995484,466.9103226,20.96813548,18.93939032,459.9932581,20.72789677,375.1174194,101.1315484,0.10000431,29.37727742,29.82157742,999.9,0,0,9996.139032,700.1361613,0.218638,-9.910822581,466.7872581,475.9241613,2.02874129,466.9103226,18.93939032,2.120540645,1.915369677,18.37430323,16.76153226,1500.001613,0.691998548,0.308001484,31,28282.55161,1784644830,10:40:30,1784644819,1784644830,2,0.062,0.008,-2.978,0.17,453,19,0.09,0.02,-9.93189375,7.648693846,1.643842326,0,2.01845525,0.216255647,0.021343677,0,0,2,0/2,2.63422,2.7125,0.104428,0.105523,0.106641,0.099512,25110.2,24775,25512.4,25467.3,31497.5,31257,39203.5,38327.3,1.68303,2.11865,0.0887737,0,28.3705,999.9,76.9,29.2,30.9361,63.09,20.2043,1,0.19766,0,20.4219,5.22118,11.98,4.9693,3.29528,9099.6,9999,9999,222.4,4.97,1.87531,1.87134,1.87439,1.87437,1.87241,1.87363,1.87485,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-2.994,0.2388,-1.85027867,-0.002774575,7.27494E-07,-2.16226E-10,-0.083083531,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,12.6,12.4,0.15625,4.99756,1.49902,2.28638,1.4978,2.30591,33.4456,15.8219,3,348.576,658.589,29.1831,29.9109,30.0003,29.7827,29.8142,-1,40,10,-999.9,400,20,100.757,107.106
8,1784645697,846.5,20260721 10:54:57,10:54:57,15,1784645689,0.000726652,0.726651737,3.132034,477.4485806,314.9037306,31.8782652,48.33296971,0.03383745,3.117851697,0.033634752,0.02103983,261.4496153,30.72152541,29.89163226,4.234002192,51.26127971,2.115559701,4.127013044,2.118442492,-32.04534159,-74.71475194,-5.310896429,149.3786253,1.304757235,0.734426554,3.132034,485.2559842,484.2207152,-0.66756065,92.62443737,0.726651737,19.20053339,20.9070042,4.97088E-05,96.53661349,3,1,1,0,53039.276,1499.998065,1273.858224,0.849239912,0.174299968,9,0.5,0: Broadleaf,2,TRUE,1784645689,477.4485806,481.4203548,20.89817742,19.1729129,480.4880645,20.66001935,375.1138065,101.1318065,0.099973626,29.44713871,29.89163226,999.9,0,0,9999.275806,700.2235806,0.218638,-3.971829116,487.6394516,490.8310323,1.725261935,481.4203548,19.1729129,2.11347,1.938990645,18.32106774,16.95473226,1499.998065,0.692000129,0.307999774,31,28282.49355,1784644830,10:40:30,1784644819,1784644830,2,0.062,0.008,-2.978,0.17,453,19,0.09,0.02,-4.615190844,21.43218084,3.192690341,0,1.743227073,-0.352287596,0.03721831,0,0,2,0/2,2.63422,2.71268,0.107213,0.106781,0.106595,0.100641,25028.7,24737.3,25509.1,25464.5,31495.6,31214.1,39198.6,38323,1.68305,2.1163,0.0927672,0,28.3972,999.9,76.7,29.3,31.0349,62.82,19.355,1,0.201435,0,20.4266,5.21729,11.98,4.96835,3.29542,9099.6,9999,9999,222.4,4.97002,1.87531,1.87134,1.87444,1.87432,1.87241,1.87363,1.87492,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-3.032,0.2384,-1.85027867,-0.002774575,7.27494E-07,-2.16226E-10,-0.083083531,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,14.6,14.4,0.15625,4.99756,1.49902,2.28516,1.4978,2.36694,33.6029,15.8219,3,348.83,657.088,29.2584,29.9565,30.0002,29.8287,29.8608,-1,40,10,-999.9,400,20,100.744,107.094
9,1784645817,966.5,20260721 10:56:57,10:56:57,15,1784645809,0.000652542,0.652541699,3.129189602,479.2689032,297.7375442,30.13986258,48.51621558,0.029951105,3.11602076,0.029792083,0.018634269,261.4499148,30.80750911,29.9780129,4.255072122,50.86858862,2.1075004,4.143029042,2.147571722,-28.77708891,-77.89738554,-5.544596471,149.2308439,1.944537588,0.647117369,3.129189602,494.778766,488.0366727,-0.092019927,92.62443737,0.652541699,19.29667488,20.82894895,6.59815E-05,96.53661349,3,1,1,0,52984.73033,1499.999032,1273.859249,0.849240047,0.174300056,9,0.5,0: Broadleaf,2,TRUE,1784645809,479.2689032,484.6782903,20.81900645,19.29877742,482.3124194,20.58317742,375.1280323,101.1296129,0.100020932,29.5143129,29.9780129,999.9,0,0,9991.094516,700.6382581,0.218638,-5.409433871,489.4589355,494.216129,1.520233226,484.6782903,19.29877742,2.105418387,1.951677419,18.26023548,17.05765484,1499.999032,0.691999355,0.308000677,31,28282.49032,1784644830,10:40:30,1784644819,1784644830,2,0.062,0.008,-2.978,0.17,453,19,0.09,0.02,-5.808163171,-5.091979443,1.920023628,0,1.524281707,-0.010954077,0.015423855,1,1,2,1/2,2.63426,2.71259,0.107878,0.108444,0.106309,0.101162,25008.6,24689.2,25507.8,25462.5,31504.3,31193.7,39196.5,38320.1,1.68353,2.11415,0.0972673,0,28.4045,999.9,76.3,29.5,31.2339,61.98,20.2804,1,0.203986,0,20.4258,5.22028,11.98,4.9685,3.29545,9099.6,9999,9999,222.4,4.97001,1.87531,1.87134,1.8744,1.87436,1.8724,1.87364,1.87487,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-3.041,0.2361,-1.85027867,-0.002774575,7.27494E-07,-2.16226E-10,-0.083083531,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,16.6,16.4,0.15625,4.99756,1.4978,2.28638,1.4978,2.35474,33.7381,15.8132,3,349.263,655.679,29.3289,29.9963,30.0001,29.8676,29.9003,-1,40,10,-999.9,400,20,100.739,107.086
10,1784645937,1086.5,20260721 10:58:57,10:58:57,15,1784645929,0.000597822,0.597821633,2.70313545,485.6467419,311.0600065,31.48687309,49.15931657,0.027066605,3.118659588,0.026936776,0.016847097,261.4500036,30.91982313,30.09471613,4.283683417,50.59029432,2.108085695,4.166976538,2.175597722,-26.363934,-80.7684658,-5.750260756,148.5673431,-1.687702853,0.653342285,2.70313545,486.3180152,489.4538242,-0.982768473,92.62443737,0.597821633,19.25029771,20.75142797,-0.009337278,96.53661349,3,1,1,0,53028.65952,1500,1273.860001,0.849240001,0.174300002,9,0.5,0: Broadleaf,2,TRUE,1784645929,485.6467419,482.3587097,20.82585806,19.29093548,488.7043548,20.58980968,375.1083548,101.1244839,0.099950106,29.61433226,30.09471613,999.9,0,0,10003.70645,701.1470645,0.218638,3.288016452,495.9759677,491.8471935,1.534902903,482.3587097,19.29093548,2.106002903,1.950786129,18.26462258,17.05034839,1500,0.691999968,0.308000032,31,28282.54194,1784644830,10:40:30,1784644819,1784644830,2,0.062,0.008,-2.978,0.17,453,19,0.09,0.02,2.151826849,19.76788074,2.83770952,0,1.498607805,0.565265854,0.057589879,0,0,2,0/2,2.63393,2.71276,0.108025,0.106597,0.105994,0.100593,25002.6,24738.4,25506.1,25460.7,31513.4,31211.5,39193.7,38317.7,1.68298,2.1133,0.0945404,0,28.5603,999.9,75.9,29.7,31.4323,61.74,20.2724,1,0.206778,0,20.4256,5.22148,11.98,4.96935,3.29518,9099.6,9999,9999,222.5,4.97002,1.87531,1.87134,1.87441,1.87439,1.87241,1.87366,1.87487,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-3.043,0.2337,-1.85027867,-0.002774575,7.27494E-07,-2.16226E-10,-0.083083531,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,18.6,18.4,0.15625,4.99756,1.49902,2.28516,1.4978,2.32544,33.8961,15.7957,3,349.194,655.37,29.4133,30.0343,30.0003,29.9048,29.9378,-1,40,10,-999.9,400,20,100.732,107.079
