obs,time,elapsed,date,hhmmss,averaging,kam,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,αVc,Edyn,Hr,Hs,dHs/dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,CO2_hrs,AccH2O_hum,AccH2O_des,AccCO2_soda,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
1,1784730897,0,20260722 22:34:57,22:34:57,15,,1784730889,0.003043188,3.043188064,4.828638939,425.6470859,339.6945205,34.37211287,43.06925428,0.115990126,1.385977599,0.11085459,0.069726577,287.4301802,33.48344626,31.9727125,4.767713125,44.34016894,2.084012442,4.700055258,2.683700683,-134.2045936,-18.84692692,-3.079212572,131.2994471,6.043511491,3.154830275,4.828638939,445.8218271,436.5150788,0.385486132,60.86002276,3.043188064,16.20496043,20.53565818,-0.006212061,69.65,49,12,1.003870289,0.387028945,25419.10359,1500.003125,1261.217418,0.84080986,0.191619721,6,0.5,0: Broadleaf,2,TRUE,1784730889,425.7610625,436.35725,20.5959875,16.16709375,439.5040625,20.35028125,416.9470625,101.085375,0.099986544,31.72048125,31.9727125,999.9,0,0,5003.203125,0,30.925525,-10.59621063,434.71425,443.5278125,4.428896875,436.35725,16.16709375,2.08195125,1.634255625,18.081725,14.28561875,1500.003125,0.973006438,0.02699325,0,1.929925,0,16957.9125,12843.93125,42.425375,44.378875,43.375,43.00775,42.4685,1459.510625,40.493125,0,1784730894,0,1784730648,22:30:48,1784730642,1784730648,1,0.032,-0.09,-13.928,-0.577,447,16,0.08,0.01,-7.675413381,-48.02011551,4.921899903,0,4.476714762,-0.84577013,0.087755509,0,0,2,0/2,2.9922,2.75941,0.0985377,0.100092,0.0996847,0.0835161,32010.5,22973.3,33615.5,25807.5,38636,32021.2,49096.8,40317.7,1.7302,2.68668,0.165831,0,29.2967,999.9,79.227,28.873,31.2909,29.0027,-100,3,0.163829,0,20.2414,5.20321,11.956,4.9694,3.294,121.4,9999,9999,7159.6,4.97358,1.87288,1.87073,1.87227,1.87284,1.87378,1.87325,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.764,0.2326,-9.716223725,-0.010281863,2.60765E-06,-1.39012E-10,-1.016938244,-0.176615401,0.01337041,-8.0725E-05,6,2428,1,22,4.2,4.1,0.157471,4.99756,2.64526,2.75391,2.8479,2.2229,33.3111,16.0671,2,352.775,1255.46,29.6696,29.6091,30.0008,29.4472,29.3399,-1,40,10,-999.9,400,20,102.033,94.629
2,1784731021,124,20260722 22:37:01,22:37:01,15,,1784731013,0.003071144,3.071144135,4.218334562,436.4424903,357.2197524,36.14928211,44.16632228,0.11409874,1.38482866,0.109121531,0.068630046,287.4299067,33.69405523,32.1996,4.829295622,43.66294594,2.078410093,4.760123368,2.750885529,-135.4374564,-19.040006,-3.120252496,129.8321918,3.083783386,3.122211268,4.218334562,450.0887067,444.6550061,-0.120480711,60.86002276,3.071144135,16.15715633,20.49362667,-0.005399833,69.65,48,11,1.003798861,0.37988606,25366.73514,1500.002667,1261.21694,0.840809799,0.191619597,6,0.5,0: Broadleaf,2,TRUE,1784731013,436.5422667,442.883,20.53842,16.18324667,450.3728,20.30482667,419.6760667,101.0962,0.1000017,31.94457333,32.1996,999.9,0,0,4997,0,31.94413333,-6.340875333,445.6958,450.1681333,4.355169333,442.883,16.18324667,2.076356,1.636064667,18.03891333,14.30274,1500.002667,0.973009,0.0269906,0,1.96828,0,16501.97333,12843.94667,42.562,44.562,43.562,43.12913333,42.625,1459.512667,40.49,0,1784731018,0,1784730648,22:30:48,1784730642,1784730648,1,0.032,-0.09,-13.928,-0.577,447,16,0.08,0.01,-5.302462524,-15.59569036,2.401279849,0,4.361977143,-0.120558701,0.028720763,0,0,2,0/2,2.99491,2.75952,0.0996151,0.0992464,0.0994842,0.0829652,31954.2,22984.6,33597.8,25797.2,38630.4,32027.1,49073.7,40303.3,1.73515,2.6793,0.166241,0,29.514,999.9,78.226,29.094,31.2884,29.0427,-100,3,0.183122,0,20.2407,5.20351,11.956,4.96955,3.294,121.4,9999,9999,7159.6,4.9736,1.87289,1.87073,1.87226,1.87284,1.87377,1.87328,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.819,0.2226,-9.716223725,-0.010281863,2.60765E-06,-1.39012E-10,-1.016938244,-0.176615401,0.01337041,-8.0725E-05,6,2428,1,22,6.3,6.2,0.157471,4.99756,2.64526,2.75269,2.8479,2.229,33.558,16.0671,2,356.719,1250.34,29.9045,29.8635,30.0006,29.7052,29.5957,-1,40,10,-999.9,400,20,101.983,94.5936
3,1784731141,244,20260722 22:39:01,22:39:01,15,,1784731133,0.003085593,3.085593428,5.269814825,431.175505,336.0950863,34.00818967,43.62901736,0.112789485,1.386476779,0.107928743,0.067874726,287.4288733,33.89008063,32.36811333,4.875481014,43.23460211,2.082106723,4.815834126,2.793374291,-136.0746702,-16.28703338,-2.67083336,132.3963364,10.17149589,3.10183178,5.269814825,458.2957317,445.6968667,0.865535869,60.85871049,3.085593428,16.30338968,20.6022297,0.000260455,69.65,47,11,1.003714869,0.371486916,25397.71753,1499.991333,1261.20798,0.840810178,0.191620356,6,0.5,0: Broadleaf,2,TRUE,1784731133,431.3,447.625,20.57698,16.27002,445.0880667,20.33529333,421.6234,101.0862,0.100015013,32.15022,32.36811333,999.9,0,0,5005.625333,0,31.15156,-16.32502667,440.3613333,455.0284,4.306960667,447.625,16.27002,2.080046667,1.644672,18.06719333,14.38383333,1499.991333,0.9729922,0.02700788,0,1.979866667,0,16204.72667,12843.79333,42.7458,44.7206,43.75,43.2748,42.812,1459.482667,40.50866667,0,1784731138,0,1784730648,22:30:48,1784730642,1784730648,1,0.032,-0.09,-13.928,-0.577,447,16,0.08,0.01,-15.3807885,-28.80823624,2.965623626,0,4.322953,-0.308639098,0.031406252,0,0,2,0/2,2.99741,2.75955,0.0999899,0.102415,0.0997802,0.0837233,31925.7,22894.2,33583,25787.4,38603.6,31987.1,49054,40289.5,1.7395,2.6762,0.1649,0,29.6984,999.9,77.53,29.296,31.3787,29.0427,-100,3,0.200203,0,20.2411,5.20471,11.956,4.96925,3.294,121.5,9999,9999,7159.6,4.97362,1.8729,1.87073,1.87231,1.87284,1.87376,1.87329,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.84,0.248,-9.716223725,-0.010281863,2.60765E-06,-1.39012E-10,-1.016938244,-0.176615401,0.01337041,-8.0725E-05,6,2428,1,22,8.3,8.2,0.157471,4.99756,2.64526,2.75391,2.8479,2.25586,33.7606,16.0496,2,360.249,1250.98,30.1234,30.0882,30.0007,29.9375,29.8307,-1,40,10,-999.9,400,20,101.94,94.5598
4,1784731261,364,20260722 22:41:01,22:41:01,15,,1784731253,0.003139791,3.139791327,3.151181663,464.0714074,399.9290691,40.46701481,46.9572881,0.116946387,1.383487448,0.11171893,0.070274524,287.4280667,33.97841245,32.43121333,4.892873848,44.32038419,2.148059134,4.846661809,2.744814714,-138.4647975,-12.53700882,-2.062109137,134.3641512,-1.363988901,3.079285134,3.151181663,460.9754082,466.4262727,-1.746886657,60.85871049,3.139791327,16.9410128,21.27062424,0.003534843,69.65,47,11,1.00372899,0.372899002,25301.898,1499.986667,1261.2041,0.840810207,0.191620414,6,0.5,0: Broadleaf,2,TRUE,1784731253,464.1461333,464.2457333,21.22892667,16.97608,478.198,20.84810667,423.5951333,101.0854667,0.100013313,32.26312667,32.43121333,999.9,0,0,4990.916,0,33.17364667,-0.099509333,474.2132,472.2632667,4.252864667,464.2457333,16.97608,2.145938,1.716035333,18.56432,15.04222667,1499.986667,0.972991333,0.02700876,0,2.076126667,0,16009.10667,12843.74667,42.875,44.812,43.875,43.3624,42.92873333,1459.476667,40.51,0,1784731258,0,1784730648,22:30:48,1784730642,1784730648,1,0.032,-0.09,-13.928,-0.577,447,16,0.08,0.01,-7.708792,159.7570322,15.80397703,0,4.209368,0.991877594,0.096461482,0,0,2,0/2,2.99852,2.75943,0.102773,0.10031,0.101741,0.085949,31815.1,22939.4,33571.3,25778.8,38502.8,31895.8,49039.3,40278,1.74102,2.67243,0.164881,0,29.7548,999.9,78.501,29.557,32.2523,29.1327,-100,3,0.213791,0,20.2406,5.20471,11.956,4.96945,3.294,121.5,9999,9999,7159.6,4.97364,1.87291,1.87074,1.87231,1.87286,1.87376,1.87326,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.977,0.3903,-9.716223725,-0.010281863,2.60765E-06,-1.39012E-10,-1.016938244,-0.176615401,0.01337041,-8.0725E-05,6,2428,1,22,10.3,10.2,0.157471,4.99756,2.64526,2.75269,2.8479,2.28027,34.0318,16.0496,2,362.195,1249.87,30.306,30.2745,30.0006,30.1366,30.0323,-1,40,10,-999.9,400,20,101.908,94.5311
5,1784731381,484,20260722 22:43:01,22:43:01,15,,1784731373,0.003260271,3.260270653,4.028070298,454.2831172,378.8757439,38.33555264,45.96545078,0.118941525,1.384403005,0.11354201,0.071428453,287.4327533,34.11707231,32.59466667,4.938179353,43.54015479,2.134346696,4.902019081,2.803832657,-143.7779358,-9.729042891,-1.602057936,132.3237167,-0.732401835,3.094504141,4.028070298,456.6616619,457.7199394,-1.200613363,60.85871049,3.260270653,16.80430985,21.21822667,0.015706357,69.65,46,11,1.003647926,0.364792557,25311.81281,1500.011333,1261.22482,0.840810194,0.191620388,6,0.5,0: Broadleaf,2,TRUE,1784731373,454.3786,455.3358667,21.09405333,16.82249333,468.3526667,20.74226667,423.9174,101.0824,0.099988327,32.46431333,32.59466667,999.9,0,0,4995.582667,0,33.31447333,-0.957233067,464.1697333,463.1268,4.271574667,455.3358667,16.82249333,2.132238,1.700457333,18.46194667,14.90054667,1500.011333,0.972992,0.02700808,0,2.051293333,0,15835.52,12843.95333,43,44.9622,44,43.51653333,43.062,1459.501333,40.51,0,1784731378,0,1784730648,22:30:48,1784730642,1784730648,1,0.032,-0.09,-13.928,-0.577,447,16,0.08,0.01,-7.4050548,123.28755,12.6666027,0,4.259799,0.695282707,0.091312693,0,0,2,0/2,2.99854,2.75946,0.101392,0.0995433,0.101549,0.085161,31852.3,22953.2,33559.8,25773.2,38501.9,31916.1,49024.5,40270,1.7403,2.6684,0.16503,0,29.9304,999.9,76.889,29.809,32.0537,28.8627,-100,3,0.226545,0,20.2411,5.20456,11.956,4.9695,3.294,121.5,9999,9999,7159.6,4.97363,1.87292,1.87073,1.87232,1.87285,1.87377,1.87328,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.912,0.38,-9.716223725,-0.010281863,2.60765E-06,-1.39012E-10,-1.016938244,-0.176615401,0.01337041,-8.0725E-05,6,2428,1,22,12.3,12.2,0.157471,4.99756,2.64526,2.75269,2.8479,2.23022,34.3952,16.0058,2,362.9,1248.02,30.4962,30.4456,30.0006,30.316,30.2166,-1,40,10,-999.9,400,20,101.875,94.5116
6,1784731501,604,20260722 22:45:01,22:45:01,15,,1784731493,0.003422895,3.422894932,5.190667694,435.7087366,346.7043788,35.07975359,44.08526702,0.122296244,1.385246015,0.116598989,0.073364123,287.43782,34.21733143,32.77802,4.989434739,42.87345865,2.123569453,4.953109733,2.865865286,-150.9496665,-9.691652034,-1.597807368,125.1986941,4.555362372,3.541402547,5.190667694,454.1333882,445.3062,0.247229043,60.85793963,3.422894932,16.14809076,20.91732727,-0.008188853,69.65,45,11,1.00356704,0.356704009,25321.0032,1500.038,1261.24722,0.840810179,0.191620359,6,0.5,0: Broadleaf,2,TRUE,1784731493,435.8317333,444.3914,20.98791333,16.12664667,449.6566667,20.65891333,426.3689333,101.0805333,0.100056633,32.64824667,32.77802,999.9,0,0,4999.833333,0,131.0175933,-8.559646,445.1751333,451.6755333,4.861279333,444.3914,16.12664667,2.121471333,1.630089333,18.38127333,14.24622667,1500.038,0.972992333,0.02700774,0,2.029573333,0,15711.34,12844.18667,43.1374,45.125,44.12913333,43.6746,43.208,1459.528,40.51,0,1784731498,0,1784730648,22:30:48,1784730642,1784730648,1,0.032,-0.09,-13.928,-0.577,447,16,0.08,0.01,-5.864199048,-42.26223592,4.353921969,0,4.884174762,-0.420829091,0.061542998,0,0,2,0/2,3.00167,2.75942,0.099635,0.100656,0.100562,0.0830924,31902.1,22918.1,33547.5,25766.4,38536.6,31981.3,49008.3,40260.3,1.74643,2.66385,0.163894,0,30.1195,999.9,74.869,30.091,31.7215,29.0427,-100,3,0.239093,0,20.2412,5.20441,11.956,4.9693,3.294,121.6,9999,9999,7159.6,4.97368,1.87288,1.87075,1.87237,1.87286,1.87377,1.87328,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.829,0.3129,-9.716223725,-0.010281863,2.60765E-06,-1.39012E-10,-1.016938244,-0.176615401,0.01337041,-8.0725E-05,6,2428,1,22,14.3,14.2,0.157471,4.99756,2.64526,2.75146,2.8479,2.30347,34.8755,16.0233,2,366.962,1244.97,30.6859,30.6059,30.0005,30.4795,30.3817,-1,40,10,-999.9,400,20,101.84,94.4879
7,1784731621,724,20260722 22:47:01,22:47:01,15,,1784731613,0.003254621,3.254621018,4.958248798,440.4326257,350.3479969,35.44795245,44.56264889,0.115302351,1.38385634,0.110218693,0.06932475,287.4224933,34.38663509,32.83899333,5.006581751,42.68565289,2.124164887,4.976297054,2.882416863,-143.5287869,-8.043571462,-1.328366885,134.5217681,3.726482551,3.338767027,4.958248798,453.91955,448.0498606,-0.212910801,60.85793963,3.254621018,16.58132318,21.01545515,0.00574268,69.65,45,11,1.00357369,0.357368955,25274.05661,1499.957333,1261.17946,0.840810223,0.191620446,6,0.5,0: Broadleaf,2,TRUE,1784731613,440.5503333,447.8253333,20.99407333,16.42374,454.4132,20.66375333,427.5552667,101.0792667,0.099997287,32.73118,32.83899333,999.9,0,0,4993.041333,0,41.96353333,-7.275102667,449.9976,455.3033333,4.570338667,447.8253333,16.42374,2.122066667,1.660098667,18.38579333,14.52785333,1499.957333,0.972991,0.027009087,0,1.996713333,0,15590.01333,12843.47333,43.2748,45.28306667,44.312,43.75,43.333,1459.447333,40.51,0,1784731618,0,1784730648,22:30:48,1784730642,1784730648,1,0.032,-0.09,-13.928,-0.577,447,16,0.08,0.01,-6.7247495,-25.62422391,3.566369305,0,4.607595,-1.248208421,0.131530873,0,0,2,0/2,3.00219,2.75944,0.100088,0.102271,0.100873,0.0849047,31875.8,22870.8,33537.5,25760.1,38513.8,31908.4,48995.3,40251.9,1.74635,2.65858,0.163484,0,30.1606,999.9,74.423,30.383,32.0674,29.0427,-100,3,0.250788,0,20.2414,5.20396,11.956,4.96915,3.294,121.6,9999,9999,7159.6,4.97366,1.87296,1.87077,1.87237,1.87286,1.87375,1.87329,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.853,0.3381,-9.716223725,-0.010281863,2.60765E-06,-1.39012E-10,-1.016938244,-0.176615401,0.01337041,-8.0725E-05,6,2428,1,22,16.3,16.2,0.157471,4.99756,2.64526,2.75269,2.8479,2.22778,35.3596,15.9795,2,367.882,1240.79,30.8517,30.766,30.0005,30.6388,30.5436,-1,40,10,-999.9,400,20,101.812,94.467
8,1784731741,844,20260722 22:49:01,22:49:01,15,,1784731733,0.003310442,3.310442037,4.712072598,450.3137565,363.2800738,36.75624603,45.56221059,0.11579662,1.385549703,0.110676293,0.069613855,287.4293333,34.52835677,33.01719333,5.056989684,42.55444913,2.138235428,5.024704752,2.918754256,-145.9904938,-8.512058239,-1.406431482,131.5203498,5.442441047,3.321156034,4.712072598,468.3884812,461.2253576,0.079295494,60.85793963,3.310442037,16.6203376,21.15659697,0.000794206,69.65,45,11,1.003568776,0.356877624,25308.72874,1499.993333,1261.2097,0.840810204,0.191620407,6,0.5,0: Broadleaf,2,TRUE,1784731733,450.4254667,460.1224,21.13323333,16.59358667,464.368,20.77304,428.116,101.0788,0.1000113,32.90324,33.01719333,999.9,0,0,5001.417333,0,46.53545333,-9.696819333,460.1500667,467.8864,4.539653333,460.1224,16.59358667,2.136119333,1.677256667,18.4911,14.68752667,1499.993333,0.972991667,0.027008413,0,2.069373333,0,15484.16,12843.81333,43.40393333,45.375,44.43286667,43.90393333,43.4412,1459.483333,40.51,0,1784731738,0,1784730648,22:30:48,1784730642,1784730648,1,0.032,-0.09,-13.928,-0.577,447,16,0.08,0.01,-9.902378571,1.043885455,1.810456862,0,4.572476667,-0.474484675,0.051101626,0,0,2,0/2,3.00304,2.75952,0.102004,0.100793,0.101225,0.0845452,31798.2,22901.9,33528,25753.5,38490,31912.3,48983.2,40242.7,1.74723,2.6576,0.173189,0,30.2248,999.9,73.489,30.696,32.2344,29.0127,-100,3,0.262104,0,20.2415,5.20396,11.956,4.9694,3.294,121.6,9999,9999,7159.6,4.97369,1.873,1.87084,1.87241,1.87286,1.87376,1.87331,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.948,0.3659,-9.716223725,-0.010281863,2.60765E-06,-1.39012E-10,-1.016938244,-0.176615401,0.01337041,-8.0725E-05,6,2428,1,22,18.3,18.2,0.157471,4.99756,2.64526,2.75146,2.8479,2.26685,35.8944,15.997,2,369.219,1242.54,31.0008,30.9137,30.0004,30.7871,30.6908,-1,40,10,-999.9,400,20,101.785,94.4444
9,1784731861,964,20260722 22:51:01,22:51:01,15,,1784731853,0.003269406,3.269406095,5.483410985,433.2061858,332.7505692,33.66652167,43.83026444,0.111365264,1.386885404,0.106625062,0.067049739,287.42414,34.74169205,33.24072,5.120843216,41.92344632,2.129665816,5.079892048,2.991177401,-144.1808088,-10.69755964,-1.769456122,130.7763155,14.13976317,3.332927788,5.483410985,467.1975099,451.5641394,1.382518006,60.85793963,3.269406095,16.62097117,21.06829273,0.006696543,69.65,44,10,1.003486077,0.348607715,25331.27378,1499.966,1261.18674,0.840810218,0.191620437,6,0.5,0: Broadleaf,2,TRUE,1784731853,433.3360667,455.1329333,21.04902667,16.48731333,447.1406,20.70694667,427.6280667,101.0764667,0.099984353,33.09764667,33.24072,999.9,0,0,5008.124,0,92.68494,-21.79698,442.6533333,462.7638667,4.561733333,455.1329333,16.48731333,2.127562667,1.666479333,18.42704667,14.58726,1499.966,0.972991667,0.027008427,0,2.076713333,0,15389.15333,12843.57333,43.562,45.5,44.55373333,44.0998,43.625,1459.456,40.51,0,1784731858,0,1784730648,22:30:48,1784730642,1784730648,1,0.032,-0.09,-13.928,-0.577,447,16,0.08,0.01,-15.95076205,-75.78105117,7.993197343,0,4.659172381,-1.554621039,0.165451092,0,0,2,0/2,3.00203,2.75937,0.1008,0.105936,0.100924,0.0849131,31831.5,22765.1,33518.9,25747.6,38495.6,31892.6,48971,40235,1.74437,2.65252,0.171419,0,30.4643,999.9,72.537,31.018,32.4054,28.8927,-100,3,0.273079,0,20.2419,5.20531,11.956,4.9686,3.294,121.7,9999,9999,7159.6,4.97369,1.87302,1.87086,1.87239,1.87286,1.87374,1.87331,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.892,0.3472,-9.716223725,-0.010281863,2.60765E-06,-1.39012E-10,-1.016938244,-0.176615401,0.01337041,-8.0725E-05,6,2428,1,22,20.3,20.2,0.157471,4.99756,2.64526,2.75146,2.8479,2.24487,36.4343,15.9883,2,368.624,1238.27,31.1768,31.0552,30.0004,30.9297,30.8349,-1,40,10,-999.9,400,20,101.759,94.4249
10,1784731981,1084,20260722 22:53:01,22:53:01,15,,1784731973,0.003165756,3.165755925,5.080829558,426.1216285,326.414586,33.02223641,43.10925357,0.104237481,1.386043147,0.100070019,0.062904308,287.4247733,34.91143747,33.36677333,5.157160512,40.50347096,2.071049168,5.113263428,3.086111344,-139.6098363,-11.39247564,-1.887788596,134.5346728,9.028084524,3.190906521,5.080829558,450.2748962,439.501497,0.630761596,60.85793963,3.165755925,16.24099699,20.52126061,0.008801885,69.65,44,10,1.003490716,0.349071649,25297.72418,1499.969333,1261.18954,0.840810217,0.191620433,6,0.5,0: Broadleaf,2,TRUE,1784731973,426.2421333,440.7278,20.47168,16.11556,439.9892667,20.25214,428.9804,101.0665333,0.100013227,33.21431333,33.36677333,999.9,0,0,5004.459333,0,51.16405333,-14.48562,435.1504667,447.9471333,4.356127333,440.7278,16.11556,2.069002667,1.628743333,17.98250667,14.23314,1499.969333,0.972991667,0.027008413,0,2.057513333,0,15300.52667,12843.60667,43.64153333,45.6166,44.63326667,44.12906667,43.6996,1459.459333,40.51,0,1784731978,0,1784730648,22:30:48,1784730642,1784730648,1,0.032,-0.09,-13.928,-0.577,447,16,0.08,0.01,-13.662085,-12.6941188,1.845867912,0,4.3770565,-0.816002256,0.087527235,0,0,2,0/2,3.00412,2.75943,0.0986236,0.0995947,0.0992625,0.0835094,31900.1,22922.1,33510.7,25743.2,38564.4,31935.4,48960.4,40228.6,1.74813,2.65075,0.173338,0,30.5678,999.9,70.12,31.32,31.8758,29.0727,-100,3,0.282419,0,20.2421,5.20456,11.956,4.9693,3.294,121.7,9999,9999,7159.6,4.97374,1.87302,1.87088,1.87241,1.87286,1.87376,1.8733,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.788,0.2333,-9.716223725,-0.010281863,2.60765E-06,-1.39012E-10,-1.016938244,-0.176615401,0.01337041,-8.0725E-05,6,2428,1,22,22.3,22.2,0.157471,4.99756,2.64526,2.75146,2.8479,2.2229,36.9556,15.9708,2,371.276,1238.35,31.3226,31.173,30.0004,31.0524,30.9595,-1,40,10,-999.9,400,20,101.736,94.4093
