obs,time,elapsed,date,hhmmss,averaging,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,αVc,Edyn,Hr,Hs,dHs/dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,F:MN,F:SLP,F:SD,F:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
1,1785427490,0,20260730 11:04:49,11:04:49,15,1785427482,0.002724798,2.724797749,5.418423451,352.0540333,234.7815505,23.75843202,35.62567758,0.08600983,2.948448993,0.084639892,0.053021198,266.1489414,31.83504419,31.06551333,4.5282576,30.29763812,1.365410341,4.506656047,3.16284726,-120.1635807,-13.33329489,-1.015726677,131.6363391,4.894544497,2.706027729,5.418423451,363.4843143,356.2538061,-0.107164854,66.79645832,2.724797749,9.733160342,13.54651394,0.010333203,78.43,0,0,1,0,52749.12783,1500.000667,1273.86006,0.849239663,0.177432549,6,0.5,0: Broadleaf,2,TRUE,1785427482,352.0540333,360.5196667,13.49302667,9.628084667,390.7833667,17.07102667,414.4199667,101.0938,0.099977667,30.98163333,31.06551333,999.9,0,0,9998.767,0,61.93564667,-8.465632,356.8694333,364.0245667,3.864937667,360.5196667,9.628084667,1.364060667,0.973339033,11.52388333,6.522937,1500.000667,0.6920105,0.3079895,0,2.62349,0,17394.65,13609.61,43.4664,44.937,44.25,43.687,43.25,1038.017333,461.9833333,0,1785427435,0,1785427240,11:00:39,1785427240,1785427236,1,1.636,0.249,-38.729,-3.578,364,10,0.56,0.03,-9.254039268,13.58120822,1.405202707,0,2.5636,0.826924365,0.228046857,1,3.873290976,-0.32172899,0.053445494,0,1,3,1/3,2.99217,2.76512,0.0962044,0.0911788,0.0911851,0.0596189,27927.7,18674.4,31670.4,22379.6,38766.8,28623.2,45485.2,32754.7,1.73272,2.67622,0.113875,0,29.2276,999.9,55,28,20.6455,61.6603,-100,3,0.208948,0,20.3078,5.21759,12.0318,4.95975,3.301,7709.5,9999,9999,138.1,4.97294,1.87515,1.88141,1.88095,1.87867,1.87433,1.87444,1.87675,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-38.729,-3.578,-38.7293,0,0,0,-3.578004286,0,0,0,-1,-1,-1,-1,4.2,4.2,0.158691,4.99878,2.89795,2.90649,2.99805,2.27051,32.6426,16.0408,2,433.649,1362.83,29.8566,29.9929,30.0006,29.6315,29.4535,-1,40,10,-999.9,400,20,99.5259,86.0295
2,1785427610,120,20260730 11:06:49,11:06:49,15,1785427602,0.002893118,2.893118255,5.226362856,369.6405484,260.7552551,26.3832128,37.40022513,0.091528531,2.947992487,0.089978625,0.056373707,266.1501987,31.96068755,31.22066452,4.568451338,31.01585612,1.411306083,4.550272858,3.157145255,-127.5865151,-11.12884076,-0.849280104,126.5855628,11.46687435,2.757028302,5.226362856,389.0652106,380.1750909,0.189794494,66.79645832,2.893118255,9.882257071,14.00023152,0.003107664,78.43,0,0,1,0,52706.40882,1500.004839,1273.863871,0.849239841,0.177432893,6,0.5,0: Broadleaf,2,TRUE,1785427602,369.6405484,387.7681935,13.94847097,10.00154065,408.3697419,17.52647742,413.2688065,101.08,0.099984971,31.15064194,31.22066452,999.9,0,0,9997.53871,0,34.00837097,-18.12757129,374.8695484,391.6859355,3.946920323,387.7681935,10.00154065,1.409912258,1.010956968,12.02459032,7.074797419,1500.004839,0.692005645,0.307994355,0,2.733358065,0,16399.39677,13609.63871,43.657,45.12296774,44.437,43.75,43.379,1038.01129,461.9935484,0,1785427555,0,1785427240,11:00:39,1785427240,1785427236,1,1.636,0.249,-38.729,-3.578,364,10,0.56,0.03,-16.67261585,10.01751157,8.646186563,0,2.736764706,-0.347089387,0.169913009,1,3.947921463,0.204316934,0.091092288,0,1,3,1/3,2.99117,2.76488,0.100541,0.0937759,0.092851,0.0605643,27788.9,18617.1,31665.7,22375.4,38690.2,28588.6,45479.1,32748.2,1.7294,2.67188,0.113979,0,29.3584,999.9,55.3,28.3,21.1268,61.9903,-100,3,0.22143,0,20.3076,5.21744,12.0311,4.95975,3.301,7709.5,9999,9999,138.1,4.97287,1.87515,1.88141,1.88095,1.87866,1.87434,1.8744,1.87672,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-38.729,-3.578,-38.7293,0,0,0,-3.578004286,0,0,0,-1,-1,-1,-1,6.2,6.2,0.158691,4.99878,2.89795,2.90527,2.99805,2.30347,32.8647,16.0496,2,432.993,1361.03,30.0482,30.1661,30.0004,29.8274,29.6557,-1,40,10,-999.9,400,20,99.5119,86.013
3,1785427730,240,20260730 11:08:49,11:08:49,15,1785427722,0.002959762,2.959762434,5.579637852,349.4734516,237.3487063,24.01663694,35.36221931,0.093397583,2.948426962,0.091784565,0.057507956,266.1497535,32.03631756,31.27579032,4.582806949,30.96721702,1.416571661,4.574423527,3.166235288,-130.5255233,-5.11426806,-0.390514923,130.1194472,4.486996998,3.179952155,5.579637852,360.9741561,353.4418061,-0.10332249,66.79645832,2.959762434,9.435980804,13.82264061,-0.017996701,78.43,0,0,1,0,52702.92963,1500.000645,1273.860465,0.849239944,0.177433093,6,0.5,0: Broadleaf,2,TRUE,1785427722,349.4734516,357.6245806,13.99952258,9.434332581,388.2028065,17.57753226,412.088129,101.0870645,0.100076158,31.24361613,31.27579032,999.9,0,0,9999.308065,0,64.44307742,-8.151109032,354.4355484,361.0307742,4.565186774,357.6245806,9.434332581,1.415169032,0.953688355,12.08059355,6.227312258,1500.000645,0.692002613,0.307997387,0,2.629922581,0,17013.45806,13609.58387,43.8,45.25,44.562,43.923,43.558,1038.003226,461.9974194,0,1785427675,0,1785427240,11:00:39,1785427240,1785427236,1,1.636,0.249,-38.729,-3.578,364,10,0.56,0.03,-7.588859512,-10.87804432,1.178190535,0,2.667811765,-0.356039724,0.217695956,1,4.533306341,0.054215331,0.126170141,1,2,3,2/3,2.99036,2.76484,0.0955846,0.0900325,0.0921312,0.0585534,27941.3,18697.7,31665.4,22380.2,38720.6,28657.6,45478.6,32757.4,1.72765,2.66727,0.123873,0,29.2697,999.9,53.7,28.6,20.876,62.0204,-100,3,0.229096,0,20.3079,5.21879,12.0293,4.96,3.301,7709.5,9999,9999,138.2,4.97295,1.87516,1.88145,1.88095,1.87867,1.87435,1.87444,1.87675,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-38.729,-3.578,-38.7293,0,0,0,-3.578004286,0,0,0,-1,-1,-1,-1,8.2,8.2,0.158691,4.99878,2.89795,2.90405,2.99805,2.27295,33.0429,16.0321,2,432.856,1357.67,30.1632,30.2789,30.0004,29.964,29.8018,-1,40,10,-999.9,400,20,99.5108,86.0348
4,1785427850,360,20260730 11:10:49,11:10:49,15,1785427842,0.003033595,3.033594789,5.453370939,360.2185806,251.989422,25.4993599,36.45130482,0.09580374,2.94893614,0.094107642,0.058967163,266.1497212,32.20948087,31.47633548,4.635363972,31.82499716,1.471830194,4.624761432,3.163533778,-133.7815302,-6.406503873,-0.490051076,125.4716361,9.651436978,2.971010943,5.453370939,379.2767296,369.6574182,0.242855775,66.79119883,3.033594789,10.12631408,14.54746424,-0.007475195,78.43,0,0,1,0,52684.34295,1500.007419,1273.865578,0.849239518,0.17743227,6,0.5,0: Broadleaf,2,TRUE,1785427842,360.2185806,375.8707097,14.5449,10.27071935,398.9478387,18.12290645,410.9977742,101.0922258,0.099958,31.43603871,31.47633548,999.9,0,0,10001.69032,0,59.41756774,-15.65219355,365.5351935,379.7712903,4.274187419,375.8707097,10.27071935,1.470377419,1.038290645,12.66353226,7.464323871,1500.007419,0.692016935,0.307983065,0,2.773677419,0,16851.66774,13609.7129,43.937,45.383,44.69919355,44.03,43.661,1038.029677,461.9783871,0,1785427795,0,1785427240,11:00:39,1785427240,1785427236,1,1.636,0.249,-38.729,-3.578,364,10,0.56,0.03,-15.39839268,1.560537282,3.228478213,0,2.771191176,0.407732621,0.229269377,1,4.218421707,1.099756098,0.126133681,0,1,3,1/3,2.98878,2.76486,0.098578,0.0935163,0.0948835,0.0617199,27845.7,18619.4,31662.3,22372.5,38598.6,28548.8,45473.9,32743.4,1.7238,2.66782,0.122607,0,29.5141,999.9,54.8,28.8,21.5502,62.1104,-100,3,0.237383,0,20.3078,5.21729,12.0312,4.95975,3.301,7709.5,9999,9999,138.2,4.97295,1.87515,1.88149,1.88095,1.87866,1.87437,1.87442,1.87674,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-38.729,-3.578,-38.7293,0,0,0,-3.578004286,0,0,0,-1,-1,-1,-1,10.2,10.2,0.158691,4.99878,2.89795,2.90405,2.99805,2.30591,33.1992,16.0321,2,431.482,1361.53,30.3257,30.3864,30.0006,30.0951,29.9423,-1,40,10,-999.9,400,20,99.5008,86.0008
5,1785427970,480,20260730 11:12:49,11:12:49,15,1785427962,0.003061454,3.061454445,5.792104462,353.6291613,238.9574695,24.18120413,35.78535944,0.094902237,2.948934563,0.09323761,0.058420634,266.1504061,32.3304988,31.57542258,4.661524975,30.88832073,1.438957749,4.658581997,3.222567226,-135.010141,-1.768300796,-0.13541382,129.2365505,6.153419421,3.028571016,5.792104462,367.7704756,359.1771394,0.005800785,66.79119883,3.061454445,9.841324866,14.24610667,0.001181818,78.43,0,0,1,0,52662.1609,1500.01,1273.867887,0.849239596,0.177432421,6,0.5,0: Broadleaf,2,TRUE,1785427962,353.6291613,364.1953548,14.21970968,9.853203871,392.3584194,17.79771935,410.2372581,101.0945806,0.100013448,31.5643,31.57542258,999.9,0,0,10001.44839,0,72.53219032,-10.56621581,358.7301935,367.8195806,4.36650871,364.1953548,9.853203871,1.437537097,0.996106161,12.31947419,6.859516129,1500.01,0.692014,0.307986,0,2.698196774,0,16777.74194,13609.72581,44,45.49593548,44.774,44.187,43.794,1038.027097,461.9829032,0,1785427915,0,1785427240,11:00:39,1785427240,1785427236,1,1.636,0.249,-38.729,-3.578,364,10,0.56,0.03,-10.86429537,6.109787038,0.715710524,0,2.719258824,-0.619126047,0.209176365,1,4.350476341,0.261916934,0.037257788,0,1,3,1/3,2.9882,2.76479,0.0965868,0.0911269,0.0937277,0.0605416,27906.7,18671.1,31662.1,22376,38648.3,28590.7,45474,32750.5,1.72253,2.66472,0.120945,0,29.6227,999.9,53,29,21.0838,61.9904,-100,3,0.245478,0,20.3077,5.21729,12.0324,4.9598,3.301,7709.5,9999,9999,138.2,4.97286,1.87517,1.88149,1.88096,1.87866,1.87439,1.87448,1.87678,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-38.729,-3.578,-38.7293,0,0,0,-3.578004286,0,0,0,-1,-1,-1,-1,12.2,12.2,0.158691,4.99878,2.89795,2.90405,2.99805,2.31812,33.3784,16.0321,2,431.51,1359.83,30.47,30.4966,30.0004,30.2159,30.0671,-1,40,10,-999.9,400,20,99.5007,86.0175
6,1785428090,600,20260730 11:14:49,11:14:49,15,1785428082,0.003066333,3.066333181,5.709073095,359.0954839,245.4898311,24.84309451,36.33976612,0.094888878,2.949201591,0.093224862,0.058412614,266.1487835,32.45026751,31.73172258,4.703052708,31.46820723,1.476088279,4.690728862,3.226964428,-135.2252933,-7.354909959,-0.563946907,123.0046334,7.924635258,2.962647469,5.709073095,376.8046094,366.7495576,0.246077422,66.79119883,3.066333181,10.31750747,14.67308242,0.009442052,78.43,0,0,1,0,52648.95265,1499.99129,1273.852877,0.849240183,0.177433553,6,0.5,0: Broadleaf,2,TRUE,1785428082,359.0954839,372.268,14.58613226,10.30774839,397.8249677,18.16413548,409.4210323,101.0980968,0.099962658,31.68546452,31.73172258,999.9,0,0,10002.61774,0,52.74419355,-13.17241516,364.4109677,376.1453226,4.278385161,372.268,10.30774839,1.474629355,1.042093548,12.70750645,7.51848129,1499.99129,0.691994323,0.308005677,0,2.714667742,0,16462.93548,13609.47742,44.133,45.562,44.895,44.25,43.875,1037.984839,462.0064516,0,1785428035,0,1785427240,11:00:39,1785427240,1785427236,1,1.636,0.249,-38.729,-3.578,364,10,0.56,0.03,-13.3225405,13.60502206,2.417647888,0,2.670802941,0.165211613,0.231588454,1,4.302941,-0.179224841,0.071333112,0,1,3,1/3,2.98713,2.76474,0.0979452,0.0921982,0.095336,0.0623171,27860.7,18644.1,31658,22370.4,38574.3,28528.1,45468,32740.8,1.71928,2.66182,0.118896,0,29.8071,999.9,53.6,29.3,21.695,61.8405,-100,3,0.255142,0,20.3076,5.21549,12.0333,4.95945,3.30063,7709.5,9999,9999,138.3,4.97294,1.87518,1.88144,1.88096,1.87866,1.87438,1.87448,1.87676,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-38.73,-3.578,-38.7293,0,0,0,-3.578004286,0,0,0,-1,-1,-1,-1,14.2,14.2,0.158691,4.99878,2.89795,2.90527,2.99805,2.27661,33.558,16.0146,2,430.445,1358.44,30.6042,30.6143,30.0005,30.3426,30.197,-1,40,10,-999.9,400,20,99.4877,85.9936
7,1785428210,720,20260730 11:16:49,11:16:49,15,1785428202,0.003020469,3.02046879,5.860714114,382.1833871,265.742978,26.8926488,38.67618134,0.095422031,2.949426981,0.093739569,0.058735922,266.146664,32.57543743,31.81723226,4.725908011,33.18126802,1.566491953,4.721012927,3.159416058,-133.2026737,-2.907309316,-0.223122963,129.8135581,6.551872821,3.027531351,5.860714114,400.7380689,389.9234788,0.321663496,66.79119883,3.02046879,11.20587777,15.5155103,0.008230935,78.43,0,0,1,0,52635.81088,1499.98,1273.843229,0.849240143,0.177433475,6,0.5,0: Broadleaf,2,TRUE,1785428202,382.1833871,393.5194839,15.47948065,11.09637419,420.9127097,19.0574871,408.021129,101.098,0.0999658,31.79894839,31.81723226,999.9,0,0,10003.90806,0,71.18626129,-11.33603806,388.1924194,397.935129,4.383107742,393.5194839,11.09637419,1.564944194,1.121820645,13.61788387,8.602375161,1499.98,0.69199571,0.30800429,0,2.68566129,0,16639.79032,13609.36774,44.383,45.802,45.169,44.437,44.09858065,1037.979032,462.0009677,0,1785428155,0,1785427240,11:00:39,1785427240,1785427236,1,1.636,0.249,-38.729,-3.578,364,10,0.56,0.03,-10.91727268,-11.0431407,1.494083385,0,2.691767647,-0.171763179,0.232021288,1,4.383370732,-0.312054774,0.054541889,0,1,3,1/3,2.98602,2.76466,0.102135,0.0967146,0.0984613,0.0663839,27729.4,18541.1,31656.3,22358.4,38438.3,28385.1,45465.6,32718.8,1.7164,2.66295,0.126045,0,29.7814,999.9,55.9,29.5,22.8886,61.8705,-100,3,0.263069,0,20.3077,5.21729,12.0321,4.95975,3.301,7709.5,9999,9999,138.3,4.97297,1.87519,1.88145,1.88096,1.87866,1.87439,1.8744,1.87676,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-38.729,-3.578,-38.7293,0,0,0,-3.578004286,0,0,0,-1,-1,-1,-1,16.2,16.2,0.157471,4.99878,2.89795,2.90405,2.99805,2.31323,33.7381,16.0146,2,429.52,1362.64,30.7379,30.7309,30.0002,30.4579,30.3091,-1,40,10,-999.9,400,20,99.4824,85.9404
8,1785428330,840.0999999,20260730 11:18:49,11:18:49,15,1785428322,0.003177014,3.177013503,5.387900647,365.7036333,259.4671746,26.25737199,37.00821251,0.097613848,2.948823487,0.095853622,0.060064019,266.1498683,32.75382584,32.00771667,4.777169227,31.95764324,1.527526034,4.779845693,3.249643193,-140.1062955,1.573342098,0.121015002,127.7379299,0.15999062,3.319723684,5.387900647,369.2532614,365.8147697,-0.701098912,66.79119883,3.177013503,10.31927917,14.9969297,-0.008786554,78.43,0,0,1,0,52580.7713,1500.002,1273.86155,0.849239901,0.177433009,6,0.5,0: Broadleaf,2,TRUE,1785428322,365.7036333,367.7278667,15.09453667,10.27769667,404.4330333,18.67255,407.2729,101.0973333,0.099945377,32.01761333,32.00771667,999.9,0,0,10000.545,0,61.88240667,-2.024234267,371.3086333,371.5465333,4.816854667,367.7278667,10.27769667,1.526018667,1.039048,13.2312,7.475661667,1500.002,0.6920021,0.3079979,0,2.681786667,0,16640.61667,13609.60667,44.54546667,45.9748,45.312,44.6208,44.25826667,1038.006333,461.9956667,0,1785428275,0,1785427240,11:00:39,1785427240,1785427236,1,1.636,0.249,-38.729,-3.578,364,10,0.56,0.03,-2.88667995,14.02666377,2.6428844,0,2.703547059,-0.00717188,0.233046517,1,4.79997375,-0.030105478,0.112001906,1,2,3,2/3,2.9847,2.76479,0.0976524,0.0914491,0.0964896,0.0627744,27867.5,18657.3,31656.3,22368.3,38522.9,28511.4,45465.7,32737.9,1.7135,2.66268,0.127733,0,29.9415,999.9,53.2,29.7,22.0359,61.6496,-100,3,0.266921,0,20.3078,5.21699,12.0303,4.95985,3.301,7709.5,9999,9999,138.3,4.97293,1.87526,1.88148,1.881,1.87869,1.87439,1.87444,1.87677,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-38.729,-3.578,-38.7293,0,0,0,-3.578004286,0,0,0,-1,-1,-1,-1,18.2,18.2,0.157471,4.99878,2.89795,2.90405,2.99805,2.2876,33.8961,15.9795,2,428.311,1363.96,30.8763,30.7948,30.0003,30.5295,30.3878,-1,40,10,-999.9,400,20,99.4824,85.9858
9,1785428450,960.0999999,20260730 11:20:49,11:20:49,15,1785428442,0.003090344,3.090343595,5.594780417,351.1368387,239.0764499,24.19331535,35.53325421,0.094315575,2.948541313,0.092671057,0.058064776,266.1493987,32.6854569,31.87847419,4.742336326,30.94102463,1.471349889,4.755336665,3.270986437,-136.2841526,7.682980773,0.590360504,138.1385874,5.653578716,2.958079301,5.594780417,364.0645896,356.2123152,-0.076513658,66.78637241,3.090343595,10.24544,14.64667879,0.012865307,78.43,0,0,1,0,52588.29042,1500.000645,1273.860281,0.849239822,0.177432856,6,0.5,0: Broadleaf,2,TRUE,1785428442,351.1368387,361.0272903,14.53976452,10.23160645,389.8660645,18.11776774,405.9836452,101.0948387,0.100052539,31.92680645,31.87847419,999.9,0,0,9999.18871,0,116.8708548,-9.890453226,356.3176774,364.7592581,4.308154516,361.0272903,10.23160645,1.469893871,1.03436129,12.65837742,7.409409032,1500.000645,0.692005968,0.307994032,0,2.619232258,0,16081.80645,13609.6129,44.48787097,45.893,45.24193548,44.70541935,44.304,1038.009355,461.9912903,0,1785428395,0,1785427240,11:00:39,1785427240,1785427236,1,1.636,0.249,-38.729,-3.578,364,10,0.56,0.03,-10.32285829,9.097223624,0.946414337,0,2.649679412,0.11467227,0.181130299,1,4.311235366,0.075394077,0.045713712,1,2,3,2/3,2.98418,2.7649,0.0959076,0.0903276,0.0951748,0.0621723,27921.3,18682.8,31656.5,22371.5,38579.4,28534.8,45465.7,32743.9,1.71215,2.65945,0.123583,0,29.8779,999.9,51.5,29.9,21.5784,61.6496,-100,3,0.271471,0,20.3079,5.21684,12.0306,4.95965,3.301,7709.5,9999,9999,138.4,4.97285,1.8752,1.8815,1.88098,1.87868,1.87439,1.87445,1.87678,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-38.729,-3.578,-38.7293,0,0,0,-3.578004286,0,0,0,-1,-1,-1,-1,20.2,20.2,0.157471,4.99878,2.89795,2.90527,2.99805,2.28271,34.0545,15.997,2,427.958,1360.78,30.9048,30.8469,30.0004,30.5969,30.4565,-1,40,10,-999.9,400,20,99.4828,86.0002
10,1785428570,1080.1,20260730 11:22:49,11:22:49,15,1785428562,0.003053161,3.053161269,5.542689198,352.1854839,239.8579252,24.27318816,35.64053391,0.093203126,2.948844455,0.091596979,0.057390112,266.1551498,32.79634798,31.99940968,4.774923682,31.49709826,1.506416034,4.7827137,3.268507649,-134.644412,4.579082178,0.352205632,136.4420256,6.919826231,2.907455132,5.542689198,368.1146456,358.7216303,0.168366341,66.78637241,3.053161269,10.58479955,14.97903818,0.007141818,78.43,0,0,1,0,52579.56314,1500.033871,1273.888423,0.849239772,0.17743276,6,0.5,0: Broadleaf,2,TRUE,1785428562,352.1854839,363.9377419,14.8858,10.64846129,390.9148065,18.46380323,405.5623871,101.0981935,0.099997594,32.0282129,31.99940968,999.9,0,0,10000.57903,0,84.3507871,-11.75222903,357.5073871,367.8547742,4.237340968,363.9377419,10.64846129,1.504926129,1.07653871,13.01811935,7.995423226,1500.033871,0.692006806,0.307993194,0,2.710564516,0,16091.51935,13609.90968,44.435,45.756,45.187,44.5,44.179,1038.034839,461.9990323,0,1785428515,0,1785427240,11:00:39,1785427240,1785427236,1,1.636,0.249,-38.729,-3.578,364,10,0.56,0.03,-11.53393902,-5.645132404,0.916130027,0,2.696464706,0.191868599,0.18067152,1,4.203208537,0.968560976,0.109802638,0,1,3,1/3,2.98367,2.76473,0.0963919,0.0921095,0.0964096,0.0636331,27907.1,18644.2,31657.4,22369.2,38527.8,28486.1,45467.4,32739,1.71122,2.65922,0.132307,0,29.8725,999.9,51.9,30.1,21.9997,61.6496,-100,3,0.273661,0,20.3078,5.21714,12.0326,4.9597,3.301,7709.5,9999,9999,138.4,4.97299,1.87523,1.88151,1.88096,1.8787,1.87439,1.87446,1.87682,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-38.729,-3.578,-38.7293,0,0,0,-3.578004286,0,0,0,-1,-1,-1,-1,22.2,22.2,0.157471,4.99878,2.89795,2.90405,2.99805,2.2998,34.1905,15.9883,2,427.719,1361.58,30.9371,30.8861,30.0002,30.6437,30.5064,-1,40,10,-999.9,400,20,99.4861,85.9889
