obs,time,elapsed,date,hhmmss,averaging,kam,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,αVc,Edyn,Hr,Hs,dHs/dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccH2O_des,AccH2O_hum,AccCO2_soda,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
1,1785426077,0,20260730 23:41:17,23:41:17,15,,1785426069,0.001228479,1.228478949,2.88726166,385.1749534,243.2326851,24.60812577,38.96858555,0.037369851,1.384947305,0.036818577,0.023060463,287.427625,33.03174807,31.27034375,4.581386831,30.01201021,1.303921354,4.34466517,3.277465476,-54.17592163,-69.37431077,-11.2270519,152.6503407,2.72333043,1.341188798,2.88726166,394.3480978,390.1816909,0.003155476,60.85453492,1.228478949,11.12361159,12.85097879,-0.000645006,69.65,66,16,1.005202327,0.520232719,25505.25992,1499.9875,1261.2045,0.840810007,0.191620014,6,0.5,0: Broadleaf,2,TRUE,1785426069,385.242875,389.8265625,12.888275,11.0170125,398.4494375,14.06635625,422.2695625,101.0710625,0.100068188,30.34120625,31.27034375,999.9,0,0,4998.828125,0,52.79303125,-4.58359,390.2728125,394.169,1.871265,389.8265625,11.0170125,1.30263,1.11350125,10.82915,8.492273125,1499.9875,0.972999,0.027001,0,1.981025,0,20428.075,12843.78125,41.675375,43.460625,42.5,42.35925,41.5738125,1459.4875,40.5,0,1785426074,0,1785426033,23:40:33,1785426030,1785426033,1,0.085,-0.146,-13.206,-1.178,388,11,0.33,0.11,-4.674221905,0.098304935,0.567402672,1,1.869762857,-0.349605974,0.106852187,0,1,2,1/2,2.99812,2.75935,0.0910423,0.0903709,0.0741929,0.0625645,32302.9,23249.3,33642.1,25837.5,39854.1,32804.6,49124.9,40345.6,1.7133,2.69263,0.187859,0,28.2081,999.9,57.008,26.969,20.15,29.21,-100,3,0.144728,0,20.2436,5.20366,11.9551,4.9695,3.294,9999,9999,7164.9,135.8,4.97354,1.87286,1.87059,1.87226,1.87274,1.87378,1.87321,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.207,-1.1781,-13.2064,0,0,0,-1.178090909,0,0,0,-1,-1,-1,-1,0.8,0.7,0.158691,4.99756,2.64526,2.75635,2.8479,2.19604,31.7611,16.0058,2,342.109,1253.86,28.3374,29.2337,30.0011,29.01,28.8754,-1,40,10,-999.9,400,20,102.101,94.7119
2,1785426203,126,20260730 23:43:23,23:43:23,15,,1785426195,0.001117079,1.117079221,2.804872512,383.5790054,227.1958033,22.98697954,38.80935572,0.032547454,1.384213202,0.032128198,0.020117342,287.4264533,33.49542636,31.70248,4.69525877,28.81195856,1.281294164,4.447091515,3.413964606,-49.26319366,-71.19043234,-11.57491326,155.3979141,3.871918783,1.080281214,2.804872512,394.6135185,389.7031212,0.155501538,60.85453492,1.117079221,11.27953715,12.74791697,0.01420005,69.65,60,14,1.00473756,0.473756046,25449.49203,1499.981333,1261.19932,0.84081001,0.19162002,6,0.5,0: Broadleaf,2,TRUE,1785426195,383.6451333,389.6893333,12.66389333,11.16066,396.8514667,13.84199333,423.6894667,101.0769333,0.100021547,30.74851333,31.70248,999.9,0,0,4994.916667,0,457.8603333,-6.044285333,388.5658667,394.0877333,1.503234667,389.6893333,11.16066,1.280027333,1.128086,10.5663,8.684251333,1499.981333,0.972998,0.02700202,0,1.97366,0,19787.2,12843.72667,41.812,43.625,42.68286667,42.4832,41.75,1459.481333,40.5,0,1785426200,0,1785426033,23:40:33,1785426030,1785426033,1,0.085,-0.146,-13.206,-1.178,388,11,0.33,0.11,-5.804179,-2.546945865,0.873378488,0,1.5350145,-0.724209474,0.094403815,0,0,2,0/2,2.9987,2.75932,0.0909075,0.0902807,0.073698,0.0628376,32283.5,23237.3,33618.8,25823.3,39849.7,32773.3,49094.4,40325.7,1.72283,2.68867,0.198446,0,28.5055,999.9,56.416,27.251,20.2727,28.82,-100,3,0.170005,0,20.2433,5.20456,11.9557,4.9694,3.294,9999,9999,7164.9,135.8,4.97355,1.87286,1.87062,1.87226,1.87281,1.87378,1.87318,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.207,-1.1781,-13.2064,0,0,0,-1.178090909,0,0,0,-1,-1,-1,-1,2.9,2.8,0.158691,4.99756,2.64526,2.75635,2.8479,2.21313,32.0464,15.962,2,348.88,1256.78,28.6577,29.5936,30.0009,29.3937,29.2671,-1,40,10,-999.9,400,20,102.034,94.6629
3,1785426323,246,20260730 23:45:23,23:45:23,15,,1785426315,0.000938953,0.938953232,2.690050041,383.2975535,201.4893726,20.38483664,38.77851181,0.026325268,1.386887811,0.026050784,0.016306163,287.4282267,33.99261623,32.15539333,4.817242896,28.12654731,1.280619037,4.553061644,3.536623859,-41.40783754,-74.32077782,-12.1121359,159.5874754,2.894204953,0.962305954,2.690050041,393.1502282,388.6585091,0.115094408,60.86138508,0.938953232,11.36775817,12.67281152,0.000217944,69.65,57,13,1.004491934,0.449193442,25492.82109,1499.990667,1261.20716,0.840810005,0.19162001,6,0.5,0: Broadleaf,2,TRUE,1785426315,383.3608667,387.9412667,12.65799333,11.32506667,396.5672,13.83609333,425.7496667,101.0708,0.0999783,31.1614,32.15539333,999.9,0,0,5008.416667,0,52.11138667,-4.580484667,388.2757333,392.3850667,1.332917333,387.9412667,11.32506667,1.279354,1.144634,10.55846667,8.900226667,1499.990667,0.972998333,0.02700168,0,1.95634,0,19278.50667,12843.8,42.062,43.8582,42.8998,42.6912,42.02066667,1459.490667,40.5,0,1785426320,0,1785426033,23:40:33,1785426030,1785426033,1,0.085,-0.146,-13.206,-1.178,388,11,0.33,0.11,-4.197621,-10.62216902,1.053449199,0,1.3596315,-0.551164962,0.055078933,0,0,2,0/2,3.00003,2.75941,0.0906786,0.0902058,0.0733115,0.0640825,32273.7,23228.2,33601.4,25812.2,39847,32712.5,49071.6,40310.7,1.72733,2.67935,0.203729,0,28.8841,999.9,56.574,27.513,20.6476,29.15,-100,3,0.189774,0,20.2433,5.20276,11.9559,4.96955,3.294,9999,9999,7164.9,135.8,4.97352,1.87286,1.87065,1.87225,1.87283,1.87378,1.87318,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.207,-1.1781,-13.2064,0,0,0,-1.178090909,0,0,0,-1,-1,-1,-1,4.9,4.8,0.157471,4.99756,2.64526,2.75513,2.8479,2.27295,32.3107,15.9883,2,352.802,1250.04,28.995,29.8652,30.0009,29.6922,29.5783,-1,40,10,-999.9,400,20,101.985,94.6258
4,1785426443,366,20260730 23:47:23,23:47:23,15,,1785426435,0.000820222,0.820221541,2.692090601,382.6914426,170.7092637,17.26899031,38.71315868,0.022200255,1.385228586,0.022004476,0.013770243,287.4339267,34.42517891,32.57744667,4.933389223,27.49182473,1.278392317,4.650081725,3.654996906,-36.17176994,-78.06396549,-12.7871926,160.4109986,3.745147033,0.804784406,2.692090601,394.6652203,389.1582424,0.297679755,60.86138508,0.820221541,11.72754717,12.74051455,0.018832866,69.65,56,13,1.004426511,0.4426511,25414.09458,1500.020667,1261.23236,0.840809989,0.191619978,6,0.5,0: Broadleaf,2,TRUE,1785426435,382.755,388.4141333,12.6373,11.52828,395.9612667,13.81537333,427.9818667,101.0602667,0.09997464,31.53214,32.57744667,999.9,0,0,5000.75,0,56.63574667,-5.659218,387.6539333,392.9445333,1.1090078,388.4141333,11.52828,1.277126667,1.16505,10.53223333,9.160686667,1500.020667,0.972999,0.027001,0,1.959066667,0,18874.38667,12844.08,42.3162,44.1746,43.17873333,42.958,42.312,1459.520667,40.5,0,1785426440,0,1785426033,23:40:33,1785426030,1785426033,1,0.085,-0.146,-13.206,-1.178,388,11,0.33,0.11,-5.0412365,-15.83698421,1.600620582,0,1.16098885,-1.496725218,0.15347797,0,0,2,0/2,3.00212,2.75946,0.0907194,0.0903664,0.0735973,0.0655465,32255,23213.3,33584.8,25801.5,39814.6,32644.2,49050.3,40296,1.73177,2.67467,0.200145,0,29.3516,999.9,56.635,27.785,21.0019,29.06,-100,3,0.2094,0,20.2432,5.20381,11.956,4.9695,3.294,9999,9999,7164.9,135.9,4.97357,1.87287,1.87069,1.87229,1.87285,1.87378,1.87321,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.206,-1.1781,-13.2064,0,0,0,-1.178090909,0,0,0,-1,-1,-1,-1,6.9,6.8,0.157471,4.99756,2.64526,2.75513,2.8479,2.26074,32.5761,15.9795,2,356.616,1249.45,29.3377,30.1291,30.001,29.9703,29.8627,-1,40,10,-999.9,400,20,101.938,94.5892
5,1785426563,486,20260730 23:49:23,23:49:23,15,,1785426555,0.000993936,0.993936315,2.503428997,384.8544635,212.7534711,21.52173473,38.93114237,0.026269773,1.385628712,0.025996194,0.016271964,287.4272133,34.64590106,32.89641333,5.022776347,26.95028818,1.275510447,4.732826745,3.7472659,-43.83259148,-78.68861266,-12.9257416,151.9802676,2.91607922,0.911859556,2.503428997,393.1505008,389.978303,-0.063593285,60.86138508,0.993936315,11.29295121,12.64970242,0.001793472,69.65,54,13,1.00427015,0.427015041,25399.84915,1499.985333,1261.20268,0.840810008,0.191620016,6,0.5,0: Broadleaf,2,TRUE,1785426555,384.9136,389.4516,12.60908,11.35910667,398.1198,13.78718,430.3218,101.0580667,0.100023107,31.84304667,32.89641333,999.9,0,0,5002.833333,0,96.97744667,-4.538186,389.8288667,393.9262667,1.249976667,389.4516,11.35910667,1.274250667,1.14793,10.49843333,8.942729333,1499.985333,0.972998667,0.02700134,0,1.97584,0,18572.26667,12843.74667,42.562,44.43286667,43.3998,43.187,42.562,1459.485333,40.5,0,1785426560,0,1785426033,23:40:33,1785426030,1785426033,1,0.085,-0.146,-13.206,-1.178,388,11,0.33,0.11,-4.708191,7.90168782,1.082167935,0,1.2618785,0.308382406,0.093592813,0,0,2,0/2,3.00539,2.75949,0.0907326,0.0898843,0.0730844,0.0636443,32236.7,23215.1,33567.5,25791,39817.8,32697.2,49027.7,40281.4,1.7389,2.6689,0.199329,0,29.681,999.9,55.079,28.067,20.7628,28.97,-100,3,0.228773,0,20.2435,5.20516,11.9557,4.9695,3.294,9999,9999,7164.9,135.9,4.9736,1.8729,1.87071,1.87227,1.87281,1.87378,1.87324,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.207,-1.1781,-13.2064,0,0,0,-1.178090909,0,0,0,-1,-1,-1,-1,8.9,8.8,0.157471,4.99756,2.64526,2.75513,2.8479,2.27051,32.8202,15.9708,2,361.696,1246.76,29.6574,30.3804,30.0009,30.2314,30.1251,-1,40,10,-999.9,400,20,101.889,94.5534
6,1785426683,606,20260730 23:51:23,23:51:23,15,,1785426675,0.000994697,0.994696994,2.542583223,385.2575779,207.5536438,20.99538441,38.97127894,0.025773311,1.385265738,0.02550985,0.015967103,287.4305067,34.99638069,33.21548667,5.113600015,26.8058751,1.294169663,4.827932901,3.819430352,-43.86613745,-76.24181595,-12.56841124,154.754142,2.734757875,1.003989852,2.542583223,394.6455039,390.6282,0.081028178,60.86003342,0.994696994,11.54391306,12.84137273,0.009866519,69.65,53,12,1.004197329,0.419732896,25360.15592,1500.002667,1261.21724,0.840809999,0.191619997,6,0.5,0: Broadleaf,2,TRUE,1785426675,385.3177333,389.6274667,12.79374667,11.42614667,398.5240667,13.97183333,432.9988,101.0564,0.10002408,32.19460667,33.21548667,999.9,0,0,5001.124667,0,65.39756,-4.309641333,390.3112667,394.1308667,1.367600667,389.6274667,11.42614667,1.29289,1.154685333,10.71644,9.029194667,1500.002667,0.973,0.026999953,0,2.025266667,0,18318.3,12843.91333,42.812,44.7122,43.67046667,43.4874,42.812,1459.502667,40.5,0,1785426680,0,1785426033,23:40:33,1785426030,1785426033,1,0.085,-0.146,-13.206,-1.178,388,11,0.33,0.11,-4.0954165,-5.365477444,0.778062175,0,1.4124825,-1.143161955,0.117872292,0,0,2,0/2,3.00781,2.7594,0.0907827,0.0900968,0.0738986,0.0646046,32220.3,23201.2,33553.3,25782.7,39763.9,32650.4,49009.3,40269.9,1.74378,2.66332,0.19832,0,29.9985,999.9,54.767,28.329,20.9654,28.97,-100,3,0.244898,0,20.2437,5.20426,11.956,4.9695,3.294,9999,9999,7164.9,135.9,4.97354,1.87288,1.87071,1.87227,1.87282,1.87378,1.87329,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.206,-1.1781,-13.2064,0,0,0,-1.178090909,0,0,0,-1,-1,-1,-1,10.9,10.8,0.157471,4.99756,2.64526,2.75513,2.8479,2.2229,33.0875,15.9533,2,365.52,1243.75,29.9685,30.604,30.0008,30.4624,30.3604,-1,40,10,-999.9,400,20,101.848,94.525
7,1785426803,726,20260730 23:53:23,23:53:23,15,,1785426795,0.001190401,1.19040099,2.053842045,389.7347173,259.2881707,26.22585889,39.41995377,0.030240388,1.38460784,0.029878208,0.018706059,287.4301267,35.24085762,33.58284,5.219932936,26.82333046,1.320401254,4.922585048,3.899531681,-52.49668367,-77.9528437,-12.90150383,144.0790955,-1.057804022,1.322149737,2.053842045,390.4150813,391.1178182,-0.641100527,60.86003342,1.19040099,10.96255785,12.82867152,-0.037795346,69.65,52,12,1.004125507,0.412550677,25313.02419,1500.000667,1261.21556,0.84081,0.191619999,6,0.5,0: Broadleaf,2,TRUE,1785426795,389.7834,389.0393333,13.05446,11.25763333,402.9898,14.23256,433.9175333,101.0455333,0.100071653,32.53855333,33.58284,999.9,0,0,4998.416,0,65.79278667,0.744060533,394.9392667,393.4698,1.796827333,389.0393333,11.25763333,1.319096,1.137535333,11.01767333,8.803378,1500.000667,0.973001,0.026998913,0,1.88768,0,18087.70667,12843.89333,43.13326667,45.0662,44.00413333,43.8498,43.1622,1459.500667,40.5,0,1785426800,0,1785426033,23:40:33,1785426030,1785426033,1,0.085,-0.146,-13.206,-1.178,388,11,0.33,0.11,-0.8435876,28.29184349,3.099380554,0,1.6496515,3.083715338,0.319117611,0,0,2,0/2,3.0097,2.75951,0.0906997,0.0890784,0.0736016,0.0616382,32201.6,23214.9,33532.2,25770.4,39752.4,32738.1,48981.2,40252.1,1.74702,2.65873,0.199288,0,30.3596,999.9,53.614,28.611,20.8626,29.09,-100,3,0.267673,0,20.2437,5.20411,11.956,4.9694,3.294,9999,9999,7164.9,136,4.97357,1.87288,1.87071,1.87226,1.87285,1.87378,1.87326,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.207,-1.1781,-13.2064,0,0,0,-1.178090909,0,0,0,-1,-1,-1,-1,12.9,12.8,0.157471,4.99756,2.64526,2.75391,2.8479,2.23755,33.3335,15.9182,2,368.766,1242.76,30.293,30.8794,30.0008,30.729,30.6249,-1,40,10,-999.9,400,20,101.788,94.4819
8,1785426923,846,20260730 23:55:23,23:55:23,15,,1785426915,0.000805693,0.805692586,2.676327374,394.5361536,163.1193522,16.49990361,39.9082538,0.020196228,1.384802478,0.020034011,0.012535723,287.4414,35.54255907,33.65000667,5.239581343,26.31397003,1.303177246,4.952415941,3.936404097,-35.53104306,-74.97451658,-12.41743804,164.5184023,6.323455293,0.621802274,2.676327374,410.7825055,403.7788788,0.591296208,60.85743361,0.805692586,12.14336939,13.06994424,0.026309911,69.65,51,12,1.004046415,0.404641458,25309.50112,1500.06,1261.2654,0.840809968,0.191619935,6,0.5,0: Broadleaf,2,TRUE,1785426915,394.5996,403.5980667,12.88331333,12.04266667,407.8060667,14.06141333,436.2966,101.0523333,0.100003227,32.64576,33.65000667,999.9,0,0,4999.04,0,67.54773333,-8.998509333,399.7500667,408.518,0.8406566,403.5980667,12.04266667,1.30189,1.21694,10.82014,9.809736,1500.06,0.973001667,0.02699822,0,2.02902,0,17862.28,12844.39333,43.375,45.2872,44.25,44.0956,43.40806667,1459.56,40.5,0,1785426920,0,1785426033,23:40:33,1785426030,1785426033,1,0.085,-0.146,-13.206,-1.178,388,11,0.33,0.11,-8.6172925,-7.533675338,0.85835154,0,0.88568355,-0.554791353,0.095457416,0,0,2,0/2,3.01121,2.75943,0.0930142,0.0931949,0.0748093,0.0667905,32105.3,23099.7,33518.3,25759.8,39681.7,32540,48963,40238,1.74848,2.65233,0.202253,0,30.3576,999.9,54.902,28.873,21.6872,29.06,-100,3,0.284144,0,20.2436,5.20291,11.956,4.9689,3.294,9999,9999,7164.9,136,4.97356,1.87286,1.87073,1.87225,1.87284,1.87378,1.87329,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.207,-1.1781,-13.2064,0,0,0,-1.178090909,0,0,0,-1,-1,-1,-1,14.9,14.8,0.157471,4.99756,2.64526,2.75391,2.8479,2.20947,33.5804,15.9182,2,370.908,1238.4,30.5438,31.1071,30.0005,30.9617,30.8549,-1,40,10,-999.9,400,20,101.748,94.4466
9,1785427043,966,20260730 23:57:23,23:57:23,15,,1785427035,0.000778448,0.77844839,2.137243048,393.7093672,193.3932395,19.56174514,39.8237411,0.019019575,1.384923642,0.018875648,0.01181012,287.4248067,35.79692755,33.91196,5.316827096,25.52360079,1.281365396,5.02031593,4.0354617,-34.32957399,-76.47535211,-12.69619655,163.923684,7.083613484,0.572240935,2.137243048,409.7917839,403.7783273,0.551935286,60.85743361,0.77844839,11.97157301,12.86222909,0.025764351,69.65,51,12,1.004049054,0.404905419,25293.06813,1499.972667,1261.19204,0.840810015,0.19162003,6,0.5,0: Broadleaf,2,TRUE,1785427035,393.7600667,403.7412,12.66796,11.89654,406.9664,13.84605333,437.6480667,101.0500667,0.100031413,32.8877,33.91196,999.9,0,0,4999.75,0,32.36565333,-9.981222667,398.8126,408.6023333,0.771402133,403.7412,11.89654,1.280097333,1.202146667,10.56644667,9.627814667,1499.972667,0.973000667,0.026999253,0,1.97446,0,17659.65333,12843.65333,43.562,45.437,44.4496,44.2332,43.5872,1459.472667,40.5,0,1785427040,0,1785426033,23:40:33,1785426030,1785426033,1,0.085,-0.146,-13.206,-1.178,388,11,0.33,0.11,-9.840951,10.72067368,2.513408715,0,0.80673105,-0.195568827,0.090886919,0,0,2,0/2,3.01225,2.75947,0.0929247,0.0924872,0.0738785,0.0660768,32097.6,23112,33507.8,25754.3,39711.4,32557.3,48949.3,40230.9,1.75015,2.6495,0.215482,0,30.4378,999.9,53.846,29.124,21.5851,29.27,-100,3,0.296463,0,20.244,5.20441,11.956,4.96915,3.294,9999,9999,7164.9,136,4.97361,1.87293,1.87073,1.8723,1.87283,1.87378,1.87328,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.207,-1.1781,-13.2064,0,0,0,-1.178090909,0,0,0,-1,-1,-1,-1,16.9,16.8,0.157471,4.99756,2.64526,2.75391,2.8479,2.27173,33.7832,15.9358,2,372.864,1238.27,30.7622,31.2786,30.0005,31.1433,31.0408,-1,40,10,-999.9,400,20,101.718,94.4286
10,1785427163,1086,20260730 23:59:23,23:59:23,15,,1785427155,0.000946978,0.946978311,1.915289227,387.7479756,231.4580303,23.41327593,39.22287912,0.022785896,1.384642272,0.022579616,0.014130637,287.4305944,35.99212516,34.26111333,5.421325328,25.88655989,1.320277496,5.100243146,4.101047832,-41.76174351,-81.53444265,-13.58066775,150.5537405,2.241490931,0.779479459,1.915289227,394.953201,392.8705152,-0.105227538,60.85743361,0.946978311,11.68396404,13.03489152,-0.010439656,69.65,50,11,1.003974325,0.397432453,25261.5084,1500.003333,1261.217781,0.840809985,0.19161997,6,0.5,0: Broadleaf,2,TRUE,1785427155,387.7934667,391.2781333,13.05194667,11.99864,400.9998667,14.23004,436.4655333,101.0556667,0.09993334,33.16887333,34.26111333,999.9,0,0,4998.084667,0,79.68694667,-3.484608667,392.922,396.0300667,1.0532982,391.2781333,11.99864,1.318974,1.212532667,11.01671333,9.753302,1500.003333,0.973003,0.026996827,0,2.08778,0,17470.28,12843.92667,43.8288,45.75826667,44.7164,44.4748,43.812,1459.503333,40.49933333,0,1785427160,0,1785426033,23:40:33,1785426030,1785426033,1,0.085,-0.146,-13.206,-1.178,388,11,0.33,0.11,-3.928344286,9.086145195,1.191269307,0,0.983534619,1.556217584,0.241756145,0,0,2,0/2,3.01105,2.75961,0.090967,0.089881,0.0744165,0.0642784,32157.9,23173.3,33499.2,25749.4,39676.7,32613.7,48938.4,40224.3,1.74717,2.648,0.217173,0,30.7606,999.9,53.229,29.306,21.562,28.85,-100,3,0.306738,0,20.2441,5.20471,11.956,4.96855,3.294,9999,9999,7164.9,136.1,4.9736,1.87296,1.87073,1.87229,1.87284,1.87378,1.87326,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-13.207,-1.1781,-13.2064,0,0,0,-1.178090909,0,0,0,-1,-1,-1,-1,18.9,18.8,0.157471,4.99756,2.64526,2.75269,2.8479,2.2522,34.0092,15.9182,2,372.256,1239.37,30.9882,31.4196,30.0005,31.2962,31.1949,-1,40,10,-999.9,400,20,101.694,94.412
