obs,time,elapsed,date,hhmmss,averaging,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,αVc,Edyn,Hr,Hs,dHs/dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,F:MN,F:SLP,F:SD,F:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
1,1786459421,0,20260811 09:43:40,09:43:40,15,1786459417,0.001716681,1.716681085,16.62177521,459.1197143,-101.7671935,-10.37063146,46.78680026,0.048667726,2.963228978,0.048227994,0.030181673,266.1434955,35.15891355,34.22435714,5.410241106,35.70231738,1.913244946,5.358881683,3.49699616,-75.70563584,-27.34525204,-2.137134663,160.955473,1.621938492,0.349451762,16.62177521,470.5557038,462.8023879,-2.707981387,66.70382342,1.716681085,18.27345819,19.26975636,0.201531541,78.43,0,0,1,0,52658.37243,1499.951429,1273.81995,0.849240799,0.177434743,6,0.5,0: Broadleaf,2,TRUE,1786459417,459.1197143,461.9227857,18.77470714,18.23545714,500.3487143,23.22522143,381.5197857,101.8093571,0.096091057,34.05318571,34.22435714,999.9,0,0,10012.10571,0,16.57916429,-2.803046857,467.9024286,470.5024286,0.539237093,461.9227857,18.23545714,1.911437143,1.856539286,16.72622143,16.27107143,1499.951429,0.691973857,0.308026143,0,2.410628571,0,28259.09286,13609.00714,46.437,48.125,47.281,46.67371429,46.187,1037.926429,462.025,0,1786459358,0,1786459371,09:42:50,1786208397,1786459371,1,-2.566,-0.971,-41.229,-4.451,412,17,0.91,0.28,1.1323766,-31.13116431,4.112316874,0,2.512367647,-1.027653166,0.289970486,0,0.207388473,2.537075945,0.312828088,0,0,3,0/3,2.96575,2.76353,0.11545,0.11028,0.11536,0.0962298,27380.4,18285.7,31735.8,22391.9,37903.8,27485,45690.8,32730.2,2.14473,2.56422,0.110093,0,32.4662,999.9,72.9,30.1,30.6817,62.32,-100,3,0.402861,0,20.3057,5.21325,12.0329,4.9592,3.30032,7716.9,9999,9999,149.5,4.97294,1.87529,1.88154,1.881,1.8787,1.8744,1.87453,1.87683,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-41.229,-4.4505,-41.229,0,0,0,-4.450509524,0,0,0,-1,-1,-1,-1,4183.7,0.8,0.157471,4.99878,2.89795,2.90161,2.99805,2.30469,34.5092,15.9533,2,752.88,1255.37,32.7229,32.3985,30.0015,32.0236,31.8948,-1,40,10,-999.9,400,20,99.8754,86.0106
2,1786459547,126,20260811 09:45:46,09:45:46,15,1786459539,0.001155753,1.15575266,1.114561588,383.1576452,308.0444227,31.40136038,39.05823449,0.032417663,2.961207715,0.032221788,0.020156117,266.1482181,35.61150807,34.4833,5.488749458,36.06331096,1.966074685,5.45173095,3.522674772,-50.96869231,-19.42772154,-1.523600037,194.2282042,1.165310441,1.1143067,1.114561588,393.2534843,391.1047455,0.060663288,66.7685483,1.15575266,17.42159837,19.21993455,-0.007881593,78.43,0,0,1,0,52548.36801,1499.990323,1273.851852,0.849240047,0.17743329,6,0.5,0: Broadleaf,2,TRUE,1786459539,383.1576452,385.5954839,19.28700968,17.61385484,424.3866452,23.73751935,391.8878387,101.8377419,0.100024377,34.36160645,34.4833,999.9,0,0,9997.854516,0,27.83724516,-2.437832939,390.6929355,392.5091613,1.673163226,385.5954839,17.61385484,1.964143871,1.793753871,17.15818387,15.73186452,1499.990323,0.691998774,0.308001226,0,2.441116129,0,23933.94516,13609.47097,46.808,48.36280645,47.57419355,46.99593548,46.5,1037.990968,461.9993548,0,1786459484,0,1786459371,09:42:50,1786208397,1786459371,1,-2.566,-0.971,-41.229,-4.451,412,17,0.91,0.28,-1.41685791,-17.10141107,2.493925307,0,2.450538235,-0.034024451,0.24012551,1,1.668075,0.567800826,0.1270313,0,1,3,1/3,2.9707,2.76479,0.102784,0.0953528,0.114915,0.0916062,27752.9,18604.5,31715.3,22407.7,37896.5,27647.2,45657.9,32756.8,1.66812,2.6241,0.110224,0,32.7152,999.9,70.2,30.4,30.0495,62.53,-100,3,0.438811,0,20.3065,5.21639,12.0327,4.95965,3.301,7716.9,9999,9999,149.5,4.97293,1.87531,1.88155,1.88104,1.87873,1.8744,1.87453,1.87682,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-41.229,-4.4506,-41.229,0,0,0,-4.450509524,0,0,0,-1,-1,-1,-1,4185.8,2.9,0.157471,4.99878,2.89795,2.90161,2.99805,2.30347,34.6921,15.9445,2,413.951,1348.14,33.0309,32.8348,30.0013,32.438,32.2546,-1,40,10,-999.9,400,20,99.8064,86.0767
3,1786459667,246,20260811 09:47:46,09:47:46,15,1786459659,0.001032389,1.032389257,1.785712409,378.1833871,255.0258133,25.99840166,38.55360158,0.027566917,2.961827724,0.027425166,0.017153404,266.149368,35.94017692,34.783,5.58084976,33.98696352,1.883774851,5.54263946,3.697074908,-45.52836622,-19.77020373,-1.554656251,199.2961418,1.331906907,0.957122631,1.785712409,387.4743227,385.0024303,-0.046423241,66.7685483,1.032389257,17.10525771,18.56336727,0.01208968,78.43,0,0,1,0,52515.37767,1499.993548,1273.85489,0.849240246,0.177433675,6,0.5,0: Broadleaf,2,TRUE,1786459659,378.1833871,380.7823226,18.47849032,17.0371,419.4123871,22.92899677,391.0542903,101.8442258,0.099970845,34.6591871,34.783,999.9,0,0,10000.73226,0,28.49780968,-2.598953548,385.3030968,387.3821935,1.441396129,380.7823226,17.0371,1.881926774,1.735129677,16.48437419,15.21420645,1499.993548,0.691991484,0.308008516,0,2.504193548,0,22662.30323,13609.47419,47.127,48.663,47.929,47.25,46.8506129,1037.983226,462.0103226,0,1786459604,0,1786459371,09:42:50,1786208397,1786459371,1,-2.566,-0.971,-41.229,-4.451,412,17,0.91,0.28,-2.356992927,-2.307492125,0.640023169,0,2.485355882,0.753599694,0.265338012,1,1.462665854,-0.393281603,0.043633251,0,1,3,1/3,2.96894,2.76475,0.101642,0.0943402,0.112655,0.0917564,27778.1,18625.3,31705,22408.7,37981.8,27643,45643,32757.7,1.6629,2.62637,0.114787,0,32.9492,999.9,67.1,30.6,29.0523,62.17,-100,3,0.46138,0,20.3063,5.21594,12.033,4.95965,3.301,7716.9,9999,9999,149.6,4.97295,1.87531,1.88155,1.88099,1.8787,1.8744,1.87451,1.87683,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-41.229,-4.4505,-41.229,0,0,0,-4.450509524,0,0,0,-1,-1,-1,-1,4187.8,4.9,0.157471,4.99878,2.89795,2.90161,2.99805,2.28271,34.8296,15.9358,2,412.655,1357.48,33.3067,33.1294,30.0008,32.7273,32.5311,-1,40,10,-999.9,400,20,99.774,86.0796
4,1786459787,366,20260811 09:49:46,09:49:46,15,1786459779,0.001317506,1.317506482,-0.13119835,415.5009355,397.5469679,40.52740511,42.35769883,0.036248533,2.961474905,0.036003839,0.022524246,266.1488975,36.09381617,34.99032258,5.645345076,36.62667059,2.055774104,5.612779077,3.589570972,-58.10203586,-16.67252349,-1.31399835,190.0603398,-10.49742697,1.418648956,-0.13119835,397.1087838,410.9711091,-2.002922506,66.7685483,1.317506482,17.76956038,19.99266667,-0.029185143,78.43,0,0,1,0,52466.63083,1499.996452,1273.856845,0.849239906,0.177433018,6,0.5,0: Broadleaf,2,TRUE,1786459779,415.5009355,400.2352581,20.16578065,18.02408065,456.7299355,24.61628065,389.4217097,101.8436452,0.100045474,34.88589677,34.99032258,999.9,0,0,9998.789355,0,28.77957097,15.26566129,424.0529355,407.584129,2.14169871,400.2352581,18.02408065,2.053753871,1.835636452,17.86484839,16.0920871,1499.996452,0.692003581,0.307996419,0,2.538654839,0,22008.22258,13609.55161,47.37093548,48.937,48.163,47.5,47.11687097,1038.002258,461.9941935,0,1786459724,0,1786459371,09:42:50,1786208397,1786459371,1,-2.566,-0.971,-41.229,-4.451,412,17,0.91,0.28,12.9743885,49.39099767,5.674542636,0,2.520123529,0.227969447,0.246904633,1,2.03496425,2.59994758,0.275213863,0,1,3,1/3,2.96784,2.76464,0.105993,0.0959877,0.117393,0.0938118,27636.4,18582.4,31697.6,22398.4,37769.8,27567.5,45631.8,32742.7,1.65947,2.61847,0.1163,0,33.125,999.9,68.3,30.8,29.912,62.53,-100,3,0.476395,0,20.3062,5.21654,12.0335,4.9598,3.301,7716.9,9999,9999,149.6,4.97297,1.87531,1.88154,1.88101,1.87871,1.8744,1.87452,1.87679,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-41.229,-4.4505,-41.229,0,0,0,-4.450509524,0,0,0,-1,-1,-1,-1,4189.8,6.9,0.157471,4.99878,2.89795,2.90161,2.99805,2.2937,34.9674,15.927,2,411.94,1350.43,33.5589,33.3292,30.0007,32.9422,32.7478,-1,40,10,-999.9,400,20,99.75,86.0401
5,1786459907,486,20260811 09:51:46,09:51:46,15,1786459899,0.00137011,1.370110175,-0.445185024,483.8236452,474.9820795,48.42076937,49.32209898,0.038537792,2.961973942,0.038261388,0.023938036,266.1494839,36.29973862,35.20224839,5.711940963,38.77818902,2.203184392,5.681504082,3.508756571,-60.4218587,-15.42411638,-1.217961356,189.0855475,-9.530078011,1.32802573,-0.445185024,470.7814468,483.2971758,-1.727031195,66.7685483,1.370110175,19.52739827,21.6070097,-0.000755192,78.43,0,0,1,0,52443.40697,1500.003871,1273.862768,0.849239654,0.177432531,6,0.5,0: Broadleaf,2,TRUE,1786459899,483.8236452,470.0760645,21.61207097,19.60222903,525.0526452,26.06257419,387.8885161,101.8423226,0.099985274,35.10565806,35.20224839,999.9,0,0,10001.74806,0,29.34588387,13.74763,494.5110645,479.4754194,2.009824516,470.0760645,19.60222903,2.201023871,1.99633871,18.96976129,17.41524516,1500.003871,0.692011,0.307989,0,2.506651613,0,21604.90968,13609.65806,47.47358065,49.11280645,48.308,47.687,47.25,1038.02,461.983871,0,1786459844,0,1786459371,09:42:50,1786208397,1786459371,1,-2.566,-0.971,-41.229,-4.451,412,17,0.91,0.28,11.20462445,51.64898835,5.51276843,0,2.485041176,0.550352939,0.225424169,1,1.973602,0.962240375,0.094944977,0,1,3,1/3,2.96602,2.76474,0.118214,0.109236,0.122743,0.100522,27259,18290.3,31698.8,22374.7,37541.9,27332.8,45632.8,32706,1.65478,2.62052,0.12435,0,33.2251,999.9,71.5,31,31.6705,61.87,-100,3,0.48049,0,20.3064,5.21609,12.0338,4.9597,3.301,7716.9,9999,9999,149.6,4.97298,1.87531,1.88155,1.88106,1.87876,1.8744,1.87454,1.87683,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-41.229,-4.4506,-41.229,0,0,0,-4.450509524,0,0,0,-1,-1,-1,-1,4191.8,8.9,0.157471,4.99878,2.89795,2.90283,2.99805,2.27661,35.1055,15.9095,2,410.055,1356.43,33.7725,33.4429,29.9999,33.0769,32.8859,-1,40,10,-999.9,400,20,99.7529,85.9459
6,1786460027,606,20260811 09:53:46,09:53:46,15,1786460019,0.001429346,1.42934581,1.069275677,481.0792903,411.6151216,41.96234107,49.04390583,0.039573859,2.962538457,0.039282509,0.024577566,266.1478764,36.56035908,35.47439032,5.798459782,38.74540032,2.235193279,5.768925499,3.563266503,-63.03415024,-14.77376453,-1.169500413,187.1704612,8.824969901,1.319990985,1.069275677,507.5067588,500.6102,0.761028347,66.75621094,1.42934581,19.98795477,22.03201273,0.01504632,78.43,0,0,1,0,52412.58048,1499.988065,1273.849965,0.849240067,0.177433329,6,0.5,0: Broadleaf,2,TRUE,1786460019,481.0792903,495.7309677,21.92535806,19.92577419,522.3082903,26.37587097,387.3955161,101.8455806,0.099996348,35.38189032,35.47439032,999.9,0,0,10004.62871,0,49.70054839,-14.65170216,491.8640323,505.8097419,1.99958129,495.7309677,19.92577419,2.232998065,2.029350645,19.20098387,17.67513226,1499.988065,0.691997839,0.308002161,0,2.537316129,0,21235.64516,13609.46129,47.57216129,49.25,48.393,47.875,47.375,1037.988387,461.9996774,0,1786459964,0,1786459371,09:42:50,1786208397,1786459371,1,-2.566,-0.971,-41.229,-4.451,412,17,0.91,0.28,-13.98490758,-3.771208424,7.861620363,0,2.523926471,0.296854093,0.21088751,1,2.029806,-0.484764653,0.059550142,0,1,3,1/3,2.96605,2.76466,0.121151,0.113187,0.124146,0.102159,27173,18206.5,31704.4,22371.4,37488.2,27279.2,45640.6,32701.3,1.65513,2.62208,0.128318,0,33.4265,999.9,71.4,31.2,31.9909,62.35,-100,3,0.475838,0,20.3066,5.21609,12.0329,4.95995,3.301,7716.9,9999,9999,149.7,4.97297,1.87531,1.88156,1.881,1.87871,1.8744,1.87453,1.87683,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-41.229,-4.4505,-41.229,0,0,0,-4.450509524,0,0,0,-1,-1,-1,-1,4193.8,10.9,0.157471,4.99878,2.89795,2.90161,2.99805,2.31201,35.2671,15.892,2,410.454,1359.91,34.027,33.4399,30.0001,33.1132,32.9423,-1,40,10,-999.9,400,20,99.7701,85.9335
7,1786460147,726,20260811 09:55:46,09:55:46,15,1786460139,0.001521257,1.521256893,2.444713793,375.2285161,256.8589474,26.18681375,38.25461159,0.039796477,2.962513406,0.039501851,0.024714946,266.1515404,36.71521219,35.62637419,5.847271954,35.59173957,2.073586245,5.826032303,3.773685709,-67.08742897,-10.54067629,-0.835755345,187.6876798,2.161320256,1.613774618,2.444713793,386.1327742,382.6114848,-0.048846811,66.75621094,1.521256893,18.06016,20.32768424,0.005063472,78.43,0,0,1,0,52381.64632,1500.009032,1273.867742,0.849240048,0.177433292,6,0.5,0: Broadleaf,2,TRUE,1786460139,375.2285161,379.5137742,20.3392129,17.89066129,416.4575161,24.78971935,387.400871,101.8501935,0.099978,35.56037742,35.62637419,999.9,0,0,10004.03355,0,127.2718387,-4.285325484,383.0187742,386.4274194,2.448541613,379.5137742,17.89066129,2.071553548,1.822168387,18.0020871,15.97783548,1500.009032,0.691999065,0.308000968,0,2.510348387,0,20935.06452,13609.65161,47.875,49.379,48.659,48.034,47.625,1038.003871,462.0051613,0,1786460084,0,1786459371,09:42:50,1786208397,1786459371,1,-2.566,-0.971,-41.229,-4.451,412,17,0.91,0.28,-4.170122927,-4.546563972,0.951469634,0,2.512329412,0.240015267,0.256007395,1,2.541971463,-2.019149895,0.206404323,0,1,3,1/3,2.96541,2.76447,0.101016,0.0949412,0.118519,0.0954381,27794,18603.7,31702.6,22398.6,37728.2,27517.4,45639.4,32742.2,1.65418,2.61575,0.122048,0,33.6758,999.9,65.3,31.4,29.5894,62.2301,-100,3,0.485348,0,20.3065,5.21609,12.0329,4.9597,3.301,7716.9,9999,9999,149.7,4.97294,1.87531,1.88155,1.88102,1.87873,1.87443,1.87453,1.87682,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-41.229,-4.4505,-41.229,0,0,0,-4.450509524,0,0,0,-1,-1,-1,-1,4195.8,12.9,0.157471,4.99878,2.89795,2.90039,2.99805,2.27661,35.4059,15.8745,2,410.378,1352.55,34.217,33.5036,30.0005,33.1954,33.0354,-1,40,10,-999.9,400,20,99.7663,86.0398
8,1786460267,846,20260811 09:57:46,09:57:46,15,1786460259,0.001572512,1.572511553,2.124806348,374.6576452,270.8480959,27.61273752,38.1960345,0.040837831,2.961343127,0.040527527,0.025357387,266.1487088,36.93172653,35.87269677,5.927140896,36.06128987,2.127671533,5.900153711,3.799469363,-69.34775948,-13.23617506,-1.052322066,182.5124522,0.51094397,1.420271437,2.124806348,382.5653646,380.8729394,-0.24395005,66.75621094,1.572511553,18.80244088,21.03048182,0.020395134,78.43,0,0,1,0,52309.41731,1499.99129,1273.852839,0.849240157,0.177433503,6,0.5,0: Broadleaf,2,TRUE,1786460259,374.6576452,376.2785806,20.86992581,18.70885806,415.8866452,25.32042903,386.0953871,101.8491613,0.100004819,35.78979032,35.87269677,999.9,0,0,9997.500968,0,32.07242581,-1.620872768,382.643129,383.4523871,2.161066452,376.2785806,18.70885806,2.125586452,1.905483226,18.41206452,16.6799,1499.99129,0.691994903,0.308005097,0,2.476951613,0,20718,13609.48065,48.125,49.56606452,48.917,48.19106452,47.85874194,1037.986129,462.0051613,0,1786460204,0,1786459371,09:42:50,1786208397,1786459371,1,-2.566,-0.971,-41.229,-4.451,412,17,0.91,0.28,-1.100530044,-11.20516364,1.704199817,0,2.485017647,-0.075272729,0.237209689,1,2.207616341,-0.626821672,0.089180145,0,1,3,1/3,2.96471,2.76448,0.100588,0.0936857,0.120826,0.097838,27800.4,18620.7,31695.4,22388.5,37621,27430.8,45628.7,32726.2,1.65158,2.6118,0.118848,0,33.9685,999.9,65.3,31.6,29.9292,62.1701,-100,3,0.497881,0,20.3069,5.21624,12.033,4.9598,3.301,7716.9,9999,9999,149.7,4.97294,1.87531,1.88155,1.88106,1.87867,1.8744,1.87452,1.87683,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-41.229,-4.4505,-41.229,0,0,0,-4.450509524,0,0,0,-1,-1,-1,-1,4197.8,14.9,0.157471,4.99878,2.89795,2.89917,2.99805,2.2644,35.5451,15.8569,2,409.623,1349.33,34.4231,33.6391,30.0006,33.3225,33.1564,-1,40,10,-999.9,400,20,99.7431,85.9989
9,1786460387,966,20260811 09:59:46,09:59:46,15,1786460379,0.001753377,1.753376791,2.351491613,371.1276452,267.6207732,27.28133127,37.83284873,0.045332749,2.962341331,0.04495085,0.028128325,266.1473101,37.04216841,36.03242581,5.979437328,36.32554278,2.1618836,5.951414444,3.817553728,-77.32391647,-13.64505285,-1.086133917,174.0922069,1.708409952,1.564029148,2.351491613,381.8046777,378.3863152,-0.045369619,66.75621094,1.753376791,18.68892809,21.29421636,0.008095827,78.43,0,0,1,0,52310.99562,1499.984516,1273.846984,0.849240089,0.177433372,6,0.5,0: Broadleaf,2,TRUE,1786460379,371.1276452,374.6896452,21.20735806,18.8249871,412.3566452,25.65786129,385.5470645,101.8402903,0.09996991,35.9469871,36.03242581,999.9,0,0,10004.03065,0,28.83698387,-3.561919032,379.168871,381.8784194,2.382380323,374.6896452,18.8249871,2.159764194,1.917142258,18.66685806,16.77595484,1499.984516,0.691996968,0.308003032,0,2.432267742,0,20454.11613,13609.39677,48.37093548,49.78,49.151,48.375,48.06606452,1037.984839,461.9996774,0,1786460324,0,1786459371,09:42:50,1786208397,1786459371,1,-2.566,-0.971,-41.229,-4.451,412,17,0.91,0.28,-4.232792927,5.175147596,1.719241758,0,2.497426471,-0.820233768,0.222787059,1,2.328029512,1.261917909,0.143006622,0,1,3,1/3,2.9639,2.76474,0.100101,0.0937107,0.121607,0.0971216,27810.3,18620.9,31690.2,22389.9,37580.9,27454.7,45620.1,32729,1.64898,2.60407,0.115119,0,34.1918,999.9,64.3,31.8,29.8071,62.1401,-100,3,0.512154,0,20.3068,5.2119,12.0332,4.9597,3.301,7716.9,9999,9999,149.8,4.97295,1.87531,1.88152,1.88104,1.87871,1.87445,1.87453,1.87683,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-41.229,-4.4505,-41.229,0,0,0,-4.450509524,0,0,0,-1,-1,-1,-1,4199.8,16.9,0.157471,4.99878,2.89795,2.90039,2.99805,2.29736,35.6613,15.8482,2,408.945,1340.7,34.5833,33.7957,30.0006,33.4639,33.2898,-1,40,10,-999.9,400,20,99.7254,86.0056
10,1786460507,1086,20260811 10:01:46,10:01:46,15,1786460499,0.001746399,1.746399135,2.587770403,376.1633871,262.3895076,26.74745803,38.3453382,0.044549313,2.962370023,0.044180445,0.027645665,266.1479777,37.18024652,36.15687419,6.020459963,35.89783955,2.152509365,5.996208664,3.867950597,-77.01620187,-11.7353949,-0.935301211,176.4610798,2.64432508,1.724106293,2.587770403,388.1537772,384.3267152,-0.040921548,66.75621094,1.746399135,18.45028506,21.1145903,-7.63341E-05,78.43,0,0,1,0,52288.67743,1499.996774,1273.856613,0.849239568,0.177432367,6,0.5,0: Broadleaf,2,TRUE,1786460499,376.1633871,381.2941613,21.11587097,18.4861871,417.3923871,25.56638387,385.0729677,101.8380323,0.099954045,36.08339355,36.15687419,999.9,0,0,10004.41516,0,29.79426129,-5.130765161,384.2777742,388.4755806,2.629691935,381.2941613,18.4861871,2.150397097,1.882594839,18.59749032,16.4899871,1499.996774,0.692014548,0.307985452,0,2.416574194,0,20210.46129,13609.60645,48.562,49.925,49.34248387,48.5,48.25,1038.019355,461.9774194,0,1786460444,0,1786459371,09:42:50,1786208397,1786459371,1,-2.566,-0.971,-41.229,-4.451,412,17,0.91,0.28,-5.013706585,-0.810488571,0.328666151,0,2.415764706,-0.021142855,0.257260936,1,2.595500244,0.574644878,0.061253573,0,1,3,1/3,2.96293,2.7645,0.101148,0.0946597,0.120982,0.0964285,27773.1,18602.4,31685.3,22391.6,37602.9,27477.5,45613.7,32731.2,1.6465,2.60247,0.116602,0,34.2849,999.9,62.6,32,29.3519,62.3201,-100,3,0.523714,0,20.3064,5.2134,12.0327,4.9597,3.301,7716.9,9999,9999,149.8,4.97296,1.87531,1.88153,1.88106,1.87873,1.87442,1.87451,1.87683,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-41.229,-4.4505,-41.229,0,0,0,-4.450509524,0,0,0,-1,-1,-1,-1,4201.8,18.9,0.157471,4.99878,2.89795,2.90039,2.99805,2.30591,35.7777,15.8219,2,408.258,1340.92,34.7186,33.9368,30.0004,33.5916,33.4109,-1,40,10,-999.9,400,20,99.7108,86.0116
