obs,time,elapsed,date,hhmmss,averaging,kam,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,αVc,Edyn,Hr,Hs,dHs/dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,CO2_hrs,AccH2O_hum,AccCO2_soda,AccH2O_des,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
1,1786458394,0,20260811 22:26:34,22:26:34,15,,1786458386,0.002088277,2.088277477,2.285578398,250.150898,178.6381749,18.19475703,25.4785116,0.062457842,1.39089244,0.060940524,0.038221082,287.4244533,36.59132992,34.82076667,5.592550532,41.02908526,2.236461056,5.450916201,3.356089477,-92.09303673,-34.63193865,-5.791761666,154.9077163,8.729520705,2.172543195,2.285578398,274.7677329,264.5814727,1.40217581,60.79654304,2.088277477,19.28204638,21.91839333,-0.005229429,69.65,55,12,1.004364001,0.436400065,25316.22905,1499.973333,1261.19236,0.840809854,0.191619709,6,0.5,0: Broadleaf,2,TRUE,1786458386,250.2050667,261.9859333,21.95782667,19.25931333,262.5076667,22.39802,470.3476667,101.7526,0.099969,34.35892,34.82076667,999.9,0,0,4994.5,0,797.4737333,-11.780944,255.8222667,267.1308,2.698512667,261.9859333,19.25931333,2.234268667,1.959686667,19.21014667,17.12232,1499.973333,0.9730066,0.0269936,0,2.899333333,0,23327.63333,12843.68,45.14153333,47.708,46.125,46.15393333,45.2122,1459.481333,40.492,0,1786458391,0,1786458371,22:26:11,1786458371,1786458366,1,1.318,0.751,-12.303,-0.44,252,19,0.86,0.04,-9.807556333,-30.15201974,5.668010302,0,2.449075286,3.547370649,0.637866233,0,0,2,0/2,3.04411,2.75954,0.0667516,0.0647378,0.107362,0.0945406,32923.8,23738,33412.4,25673.1,38094.3,31440,48818.6,40121.4,1.79435,2.61665,0.177473,0,31.9749,999.9,80.881,29.447,32.802,28.9246,-100,3,0.401415,0,20.2448,5.20411,11.956,4.96905,3.29402,147.4,9999,7167.5,9999,4.97352,1.87296,1.87076,1.87237,1.87286,1.87375,1.8733,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-12.303,-0.4402,-12.30263636,0,0,0,-0.44019,0,0,0,-1,-1,-1,-1,0.4,0.5,0.157471,4.99756,2.64526,2.7063,2.8479,2.22778,33.8961,15.8569,2,404.757,1219.07,32.1847,32.6318,30.001,32.4782,32.3897,-1,40,10,-999.9,400,20,101.439,94.1556
2,1786458524,130,20260811 22:28:44,22:28:44,15,,1786458516,0.001820539,1.820539492,1.784799044,228.464887,160.9943763,16.40040911,23.27359316,0.051624809,1.393148946,0.050585112,0.031707364,287.4325,37.11007751,35.36165333,5.762481496,40.22144379,2.240245106,5.569777946,3.52223639,-80.2857916,-46.15002053,-7.740488136,153.2561997,1.982222685,1.842734761,1.784799044,237.1197135,234.2197333,0.110787643,60.85021003,1.820539492,19.7208862,21.99795152,3.69151E-05,69.65,53,11,1.004199271,0.419927135,25348.4745,1500.01,1261.2237,0.840810195,0.191620389,6,0.5,0: Broadleaf,2,TRUE,1786458516,228.5071333,231.5704,21.99133333,19.69612667,240.8099333,22.43153333,469.1093333,101.7694,0.100053373,34.7472,35.36165333,999.9,0,0,5004.75,0,794.1854,-3.0632698,233.6453333,236.2232,2.295222,231.5704,19.69612667,2.238046,2.004462667,19.23728667,17.4796,1500.01,0.972991,0.0270087,0,2.794,0,23045.63333,12843.94,45.5,48.14566667,46.51653333,46.5998,45.5956,1459.5,40.51,0,1786458521,0,1786458371,22:26:11,1786458371,1786458366,1,1.318,0.751,-12.303,-0.44,252,19,0.86,0.04,-1.32610081,-26.46865901,3.192539445,0,2.301856667,-0.172421299,0.018882292,0,0,2,0/2,3.04254,2.75953,0.0604473,0.0590698,0.107612,0.0960651,33120.3,23864.8,33388.1,25656.4,38060.8,31363.9,48786.2,40097.2,1.7915,2.61315,0.196893,0,32.2047,999.9,80.118,29.719,33.0027,29.3846,-100,3,0.42784,0,20.245,5.20426,11.956,4.9684,3.294,147.4,9999,7167.5,9999,4.9735,1.87292,1.87078,1.87237,1.87286,1.87376,1.8733,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-12.302,-0.4402,-12.30263636,0,0,0,-0.44019,0,0,0,-1,-1,-1,-1,2.5,2.6,0.157471,4.99756,2.64526,2.70752,2.8479,2.24487,34.1452,15.8482,2,405.239,1220.37,32.6025,32.9597,30.0009,32.7963,32.6983,-1,40,10,-999.9,400,20,101.369,94.0972
3,1786458644,250,20260811 22:30:44,22:30:44,15,,1786458636,0.001582168,1.58216837,0.961786651,227.6276565,178.7279275,18.20706452,23.18849375,0.042598218,1.39247856,0.041887283,0.026242438,287.4285733,37.59796779,35.95029333,5.952496725,39.75208918,2.25974434,5.684592651,3.692752384,-69.77362511,-62.67052564,-10.56552812,144.4188945,-8.791116654,1.571291305,0.961786651,213.6528229,221.2818667,-1.727523203,60.85021003,1.58216837,20.20126142,22.17666909,-2.76609E-05,69.65,52,11,1.004127819,0.412781933,25298.90113,1499.989333,1261.20634,0.840810206,0.191620412,6,0.5,0: Broadleaf,2,TRUE,1786458636,227.6504667,216.9292,22.18256667,20.22916,239.9532667,22.62276,469.9410667,101.7702667,0.100016173,35.11548,35.95029333,999.9,0,0,5001.416667,0,774.1636667,10.72143933,232.815,221.4081333,1.953406,216.9292,20.22916,2.257526667,2.058728667,19.3765,17.90338667,1499.989333,0.972992,0.02700774,0,2.793333333,0,22957.84667,12843.76,45.8162,48.6166,46.8998,46.91633333,45.87913333,1459.479333,40.51,0,1786458641,0,1786458371,22:26:11,1786458371,1786458366,1,1.318,0.751,-12.303,-0.44,252,19,0.86,0.04,8.205910252,33.49421158,4.590813377,0,1.946654762,0.201465974,0.023314161,0,0,2,0/2,3.04321,2.7596,0.057433,0.054491,0.108204,0.0974812,33210.9,23970.8,33373.6,25646.7,38021.7,31301.3,48766.9,40083.9,1.7927,2.60745,0.220813,0,32.4398,999.9,79.868,29.97,33.3783,29.0246,-100,3,0.444507,0,20.2448,5.20411,11.956,4.9692,3.294,147.5,9999,7167.5,9999,4.9736,1.87298,1.87081,1.87236,1.87286,1.87376,1.87332,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-12.303,-0.4402,-12.30263636,0,0,0,-0.44019,0,0,0,-1,-1,-1,-1,4.5,4.6,0.157471,4.99756,2.64526,2.7063,2.8479,2.24487,34.3725,15.8307,2,407.328,1216.6,32.9361,33.1824,30.0006,33.0168,32.9142,-1,40,10,-999.9,400,20,101.328,94.0643
4,1786458764,370,20260811 22:32:44,22:32:44,15,,1786458756,0.001524054,1.524053502,1.28088168,182.2195157,117.1967638,11.93832864,18.56191582,0.037609817,1.391040119,0.037053904,0.023207952,287.4325877,38.20332439,36.7512,6.219760481,37.54392244,2.203172771,5.868254107,4.016587711,-67.21075944,-79.48088123,-13.50341565,127.2375314,1.054164283,1.550886309,1.28088168,187.9009797,186.1284303,0.02149335,60.82769344,1.524053502,19.71478302,21.61374848,-0.000265688,69.65,52,11,1.004142324,0.414232444,25210.6766,1500.010667,1261.224241,0.840810181,0.191620363,6,0.5,0: Broadleaf,2,TRUE,1786458756,182.25,183.9455333,21.62821333,19.70556667,194.5527333,22.0684,471.5205333,101.7656667,0.10001852,35.69136667,36.7512,999.9,0,0,4994.583333,0,775.0916667,-1.695586,186.279,187.6431333,1.922646,183.9455333,19.70556667,2.201010667,2.005350667,18.96967333,17.48665333,1500.010667,0.972995333,0.027004193,0,2.701,0,22894.06667,12843.94667,46.29546667,49.1498,47.3498,47.5248,46.3582,1459.500667,40.50933333,0,1786458761,0,1786458371,22:26:11,1786458371,1786458366,1,1.318,0.751,-12.303,-0.44,252,19,0.86,0.04,-1.715490476,-1.633394805,0.379450518,0,1.936730952,-0.284076623,0.029518429,0,0,2,0/2,3.04497,2.75947,0.0500165,0.0483013,0.106041,0.0959989,33455.9,24120.5,33358.9,25640.4,38103.7,31343.3,48747.5,40074.5,1.79543,2.60298,0.218678,0,33.2635,999.9,76.688,30.192,32.4635,29.3546,-100,3,0.461557,0,20.2444,5.20501,11.9562,4.9694,3.29408,147.5,9999,7167.5,9999,4.97362,1.87299,1.87082,1.87235,1.87286,1.87377,1.87332,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-12.303,-0.4402,-12.30263636,0,0,0,-0.44019,0,0,0,-1,-1,-1,-1,6.5,6.6,0.157471,4.99756,2.64526,2.7063,2.8479,2.24609,34.6006,15.8394,2,410.24,1214.61,33.3667,33.4139,30.0009,33.232,33.1322,-1,40,10,-999.9,400,20,101.286,94.0418
5,1786458884,490,20260811 22:34:44,22:34:44,15,,1786458876,0.001261643,1.261642508,1.766511856,191.9545323,85.78286163,8.737216351,19.55108802,0.0295571,1.390739332,0.029212507,0.018288443,287.431891,38.91261783,37.46746,6.467541897,37.25746521,2.257084423,6.058072954,4.210457474,-55.63843459,-89.75761117,-15.34872603,126.6871192,3.461890203,1.236269522,1.766511856,203.801013,198.7280848,0.54869494,60.82769344,1.261642508,20.68660089,22.2085503,0.007051955,69.65,52,11,1.004151467,0.415146667,25155.38742,1500.008667,1261.222402,0.840810077,0.191620154,6,0.5,0: Broadleaf,2,TRUE,1786458876,191.9966667,196.6654,22.16028,20.63514,204.2994667,22.60047333,473.5679333,101.7526,0.100103267,36.27033333,37.46746,999.9,0,0,4993.748667,0,788.7284,-4.668796,196.3478667,200.8094667,1.52513,196.6654,20.63514,2.254866667,2.09968,19.35753333,18.21671333,1500.008667,0.9729966,0.027002993,0,2.021666667,0,22773.08667,12843.94667,46.7748,49.6082,47.8666,48.00413333,46.8582,1459.502,40.504,0,1786458881,0,1786458371,22:26:11,1786458371,1786458366,1,1.318,0.751,-12.303,-0.44,252,19,0.86,0.04,-3.847823333,-19.02738545,2.412341468,0,1.534920476,-0.233883896,0.024620744,0,0,2,0/2,3.04705,2.75932,0.052901,0.0520395,0.108211,0.0993766,33334,24011.1,33339.9,25625.9,37992.3,31207.7,48722.4,40054.3,1.79668,2.59728,0.213183,0,34.049,999.9,76.938,30.454,33.0639,29.4446,-100,3,0.484276,0,20.2445,5.20486,11.956,4.96945,3.294,147.5,9999,7167.5,9999,4.97368,1.87301,1.87088,1.87238,1.87286,1.87375,1.87332,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-12.303,-0.4402,-12.30263636,0,0,0,-0.44019,0,0,0,-1,-1,-1,-1,8.6,8.6,0.157471,4.99756,2.64526,2.7063,2.8479,2.24487,34.8755,15.8132,2,412.595,1211.47,33.8531,33.6961,30.0011,33.4868,33.3811,-1,40,10,-999.9,400,20,101.231,93.9922
6,1786459004,610,20260811 22:36:44,22:36:44,15,,1786458996,0.001019617,1.019616535,1.594055529,232.3289306,111.2083934,11.32606342,23.66163312,0.023558992,1.392450244,0.023339774,0.014606884,287.4312688,39.48510404,37.89103333,6.618066867,38.07816972,2.365087852,6.211138479,4.252979016,-44.96508919,-87.47130481,-15.00304438,139.9918304,8.00128687,0.996091056,1.594055529,252.0412353,244.9267394,1.005001662,60.81316785,1.019616535,22.05354487,23.26729818,0.006875439,69.65,52,11,1.004149458,0.414945777,25167.51574,1500.006667,1261.220601,0.840809997,0.191619994,6,0.5,0: Broadleaf,2,TRUE,1786458996,232.3669333,242.687,23.22233333,22.00295333,244.6696,23.66253333,476.7226,101.7454,0.100001047,36.72583333,37.89103333,999.9,0,0,5002.5,0,782.3248667,-10.32013133,237.8915333,248.1472667,1.219400667,242.687,22.00295333,2.362764667,2.238698,20.11081333,19.24192,1500.006667,0.972997733,0.02700206,0,2.611666667,0,22596.28,12843.92667,47.2458,50.12493333,48.375,48.3372,47.3204,1459.505333,40.5,0,1786459001,0,1786458371,22:26:11,1786458371,1786458366,1,1.318,0.751,-12.303,-0.44,252,19,0.86,0.04,-8.046123795,-28.11745577,4.208636987,0,1.237795714,-0.343016883,0.035394017,0,0,2,0/2,3.04931,2.75947,0.062582,0.0622849,0.11203,0.103722,32970.1,23733.9,33317.6,25607.9,37808.6,31035.7,48693.3,40029.3,1.79855,2.58948,0.223991,0,34.2906,999.9,78.763,30.726,34.3805,29.5046,-100,3,0.511928,0,20.2444,5.20471,11.9565,4.9692,3.29445,147.6,9999,7167.5,9999,4.97359,1.87301,1.87087,1.87236,1.87286,1.87376,1.87331,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-12.303,-0.4401,-12.30263636,0,0,0,-0.44019,0,0,0,-1,-1,-1,-1,10.6,10.6,0.157471,4.99756,2.64526,2.7063,2.8479,2.23511,35.1747,15.7869,2,415.626,1206.22,34.3406,34.0271,30.0012,33.7898,33.6757,-1,40,10,-999.9,400,20,101.168,93.9306
7,1786459124,730,20260811 22:38:44,22:38:44,15,,1786459116,0.000838734,0.838734307,1.608199862,206.9825262,58.8033182,5.988255766,21.07813545,0.018686955,1.392188252,0.018548718,0.011605283,287.4316467,40.03020221,38.37538667,6.793908407,37.6423658,2.396922105,6.367618118,4.396986302,-36.98818292,-89.60594193,-15.44202929,145.3954925,1.158160508,0.862670648,1.608199862,218.0561441,213.0006061,0.601056447,60.81316785,0.838734307,22.50914627,23.53221212,-9.49346E-06,69.65,51,11,1.004076501,0.407650067,25123.46041,1500.008667,1261.22228,0.840809995,0.191619991,6,0.5,0: Broadleaf,2,TRUE,1786459116,207.0209333,208.6848,23.53723333,22.48940667,219.3234667,23.97743333,480.3447333,101.7353333,0.100004353,37.18152667,38.37538667,999.9,0,0,5001.708667,0,786.8426667,-1.663846867,212.0111333,213.486,1.047833133,208.6848,22.48940667,2.394568667,2.287967333,20.32708667,19.59192667,1500.008667,0.973000267,0.026999833,0,2.545333333,0,22344.14667,12843.95333,47.68286667,50.57466667,48.8204,48.75413333,47.75413333,1459.508667,40.5,0,1786459121,0,1786458371,22:26:11,1786458371,1786458366,1,1.318,0.751,-12.303,-0.44,252,19,0.86,0.04,0.324342238,-50.50607314,5.519095104,0,1.052216524,-0.167785714,0.022413945,0,0,2,0/2,3.05278,2.75958,0.0558502,0.0556713,0.112883,0.105221,33180.6,23883.9,33293.2,25591.2,37750.1,30961.6,48660.9,40005.2,1.8049,2.58108,0.243589,0,34.4957,999.9,78.476,30.998,34.7961,28.9946,-100,3,0.542447,0,20.2442,5.20456,11.9572,4.9694,3.29443,147.6,9999,7167.5,9999,4.97364,1.87302,1.87086,1.87238,1.87286,1.87372,1.87332,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-12.303,-0.4402,-12.30263636,0,0,0,-0.44019,0,0,0,-1,-1,-1,-1,12.6,12.6,0.157471,4.99756,2.64526,2.7063,2.8479,2.23999,35.5218,15.7781,2,421.398,1200.71,34.7993,34.3797,30.0014,34.1184,34.0006,-1,40,10,-999.9,400,20,101.098,93.8721
8,1786459244,850,20260811 22:40:44,22:40:44,15,,1786459236,0.000889958,0.889958004,0.718449815,180.4221384,107.5140009,10.94859934,18.3731392,0.018697112,1.391870977,0.018558694,0.011611534,287.4276523,40.55796447,38.99566,7.025003574,36.06447572,2.366865823,6.562873232,4.658137751,-39.24714797,-94.47053055,-16.37663515,137.3333386,0.91535331,0.930756402,0.718449815,186.1829608,185.0158364,0.051506241,60.80228703,0.889958004,22.17238808,23.24743576,0.000722006,69.65,52,11,1.004165733,0.416573347,25069.59149,1499.989333,1261.205879,0.840809899,0.191619797,6,0.5,0: Broadleaf,2,TRUE,1786459236,180.4393333,181.7794667,23.24235333,22.11852667,192.7420667,23.68253333,483.3106,101.7341333,0.100039353,37.7367,38.99566,999.9,0,0,5000.21,0,802.2224,-1.339996667,184.7328667,185.8910667,1.123826667,181.7794667,22.11852667,2.364540667,2.250208667,20.12295333,19.32428667,1499.989333,0.9730034,0.026996927,0,2.462666667,0,22026.88,12843.78667,48.18286667,51.0124,49.2624,49.3624,48.25,1459.495333,40.49466667,0,1786459241,0,1786458371,22:26:11,1786458371,1786458366,1,1.318,0.751,-12.303,-0.44,252,19,0.86,0.04,-1.14729119,-2.750328935,0.339532901,0,1.157340952,-0.685511688,0.069553096,0,0,2,0/2,3.05596,2.75951,0.0495072,0.0474702,0.111741,0.103954,33372.1,24073.4,33264.3,25574.4,37774.3,30982.9,48622.5,39980.5,1.80565,2.5706,0.23419,0,35.2727,999.9,75.583,31.32,34.134,29.0846,-100,3,0.578239,0,20.2444,5.20441,11.9574,4.9692,3.29425,147.6,9999,7167.5,9999,4.9736,1.87302,1.87088,1.8724,1.87286,1.87374,1.87332,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-12.302,-0.4402,-12.30263636,0,0,0,-0.44019,0,0,0,-1,-1,-1,-1,14.6,14.6,0.157471,4.99756,2.64526,2.7063,2.8479,2.26318,35.8944,15.7606,2,424.327,1193.22,35.3029,34.7828,30.0018,34.4978,34.3766,-1,40,10,-999.9,400,20,101.015,93.8128
9,1786459364,970.0999999,20260811 22:42:44,22:42:44,15,,1786459356,0.00078698,0.786980232,0.563164278,182.3284437,113.6908723,11.57918768,18.56978689,0.015929252,1.392866006,0.015828735,0.009901938,287.4292733,41.20809352,39.6823,7.288746404,36.39085112,2.467555631,6.780703268,4.821190772,-34.70582822,-100.8418054,-17.57735679,134.3042829,0.167261594,0.780260412,0.563164278,186.4937999,186.3063879,-0.106564448,60.79055241,0.786980232,23.34701715,24.25914727,0.005738766,69.65,52,11,1.004169207,0.416920668,25048.79355,1499.999333,1261.21414,0.8408098,0.191619601,6,0.5,0: Broadleaf,2,TRUE,1786459356,182.3419333,182.7217333,24.22782667,23.29552667,194.6446667,24.66802,487.901,101.7479333,0.100064233,38.33939333,39.6823,999.9,0,0,5004.416667,0,794.4546667,-0.37983604,186.8694667,187.0798,0.932296267,182.7217333,23.29552667,2.465134,2.370274,20.79810667,20.16205333,1499.999333,0.973006667,0.026993547,0,1.803666667,0,21672.17333,12843.9,48.63326667,51.40393333,49.6954,49.833,48.7332,1459.509333,40.49,0,1786459361,0,1786458371,22:26:11,1786458371,1786458366,1,1.318,0.751,-12.303,-0.44,252,19,0.86,0.04,-0.187326886,-1.463178483,0.532379188,0,0.96265019,-0.551840338,0.062554105,0,0,2,0/2,3.06043,2.75956,0.0496709,0.0475479,0.11531,0.107561,33327.4,24045.2,33227.8,25548.8,37590.4,30826.6,48573.9,39943.6,1.80967,2.5586,0.228487,0,36.0508,999.9,76.138,31.673,35.0757,29.3655,-100,3,0.622208,0,20.244,5.20471,11.9593,4.9692,3.29415,147.7,9999,7167.5,9999,4.97367,1.87302,1.87088,1.8724,1.87286,1.87377,1.87332,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-12.303,-0.4402,-12.30263636,0,0,0,-0.44019,0,0,0,-1,-1,-1,-1,16.6,16.6,0.157471,4.99756,2.64526,2.7063,2.8479,2.23755,36.3165,15.7344,2,429.681,1184.84,35.8421,35.27,30.0018,34.9537,34.8191,-1,40,10,-999.9,400,20,100.91,93.7234
10,1786459484,1090.1,20260811 22:44:44,22:44:44,15,,1786459476,0.000597239,0.597239434,0.484335793,184.1015834,104.5926824,10.65263478,18.75051758,0.011526559,1.393399478,0.011473848,0.007175871,287.4356944,41.89532185,40.38996,7.569503257,36.14506828,2.53092262,7.002124328,5.038580637,-26.33825906,-109.2944757,-19.16300127,132.6399584,0.391689054,0.584123389,0.484335793,189.7844896,188.8568848,0.066101247,60.77707556,0.597239434,24.1732719,24.87869697,0.001154749,69.65,51,10,1.004094074,0.409407412,25016.058,1500.029333,1261.239701,0.840810025,0.191620049,6,0.5,0: Broadleaf,2,TRUE,1786459476,184.1132,184.7214667,24.84981333,24.15648667,196.416,25.29000667,490.8736667,101.7486667,0.100091133,38.93504667,40.38996,999.9,0,0,5007,0,821.3528,-0.608319147,188.805,189.2942,0.6933208,184.7214667,24.15648667,2.528436,2.457891333,21.21070667,20.75030667,1500.029333,0.972999933,0.027,0,2.465333333,0,21230.49333,12844.14667,49.0998,51.7624,50.14153333,50.29133333,49.2038,1459.526667,40.502,0,1786459481,0,1786458371,22:26:11,1786458371,1786458366,1,1.318,0.751,-12.303,-0.44,252,19,0.86,0.04,-0.30064971,-6.77916907,0.779455373,0,0.693780905,0.021200182,0.015061004,1,1,2,1/2,3.06331,2.75956,0.0501951,0.0483315,0.117406,0.109953,33278.6,24006.7,33199.6,25530.9,37479,30722.5,48536.3,39918.3,1.81325,2.54745,0.225194,0,36.8425,999.9,75.729,32.065,35.6734,29.2755,-100,3,0.653867,0,20.2443,5.20381,11.9604,4.96925,3.29483,147.7,9999,7167.5,9999,4.97366,1.87302,1.87088,1.87241,1.87286,1.87369,1.87332,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-12.303,-0.4402,-12.30263636,0,0,0,-0.44019,0,0,0,-1,-1,-1,-1,18.6,18.6,0.158691,4.99756,2.64526,2.70386,2.8479,2.24731,36.7892,15.7169,2,434.546,1176.92,36.383,35.6999,30.001,35.3694,35.2237,-1,40,10,-999.9,400,20,100.829,93.6616
