obs,time,elapsed,date,hhmmss,averaging,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,αVc,Edyn,Hr,Hs,dHs/dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,Tled,Pc,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
1,1786457999,0,20260811 10:19:58,10:19:58,15,1786457991,0.000603663,0.603662838,3.156090195,485.6989677,332.1793935,33.86594772,49.51738781,0.035657883,3.133516697,0.035433984,0.022166239,261.4491874,29.15623234,28.36077419,3.875388394,58.20031318,2.190195088,3.76320155,1.685193307,-26.62153116,-85.1951278,-5.932856178,143.6996723,2.111235892,0.589160556,3.156090195,500.8831944,494.7262303,-0.15637842,92.559456,0.603662838,20.09891473,21.51679161,-7.25144E-05,95.46317978,0,0,1,0,53703.15919,1499.994839,1273.855614,0.849239998,0.174300058,9,0.5,0: Broadleaf,2,TRUE,1786457991,485.6989677,491.4507097,21.48286774,20.09973871,488.6099677,21.26186774,375.1300968,101.8508065,0.099971913,27.85646452,28.36077419,999.9,0,0,10000.12581,688.7299677,0.218638,-5.760900129,496.3753226,501.5314194,1.427399677,491.4507097,20.09973871,2.192556452,2.047174194,18.90803226,17.81400645,1499.994839,0.691999129,0.308000839,30.20026129,28282.41613,1786458039,10:20:39,1786457938,1786458023,2,0.147,-0.003,-2.911,0.221,488,20,2.04,0.1,-5.89885835,1.398373216,2.533112127,0,1.4310985,-0.069978462,0.007671565,1,1,2,1/2,2.63574,2.71268,0.110086,0.110686,0.109882,0.105165,24995.4,24701.6,25551.7,25534.8,31424.6,31135,39261.7,38421.5,1.70405,2.15788,0.040967,0,27.7257,999.9,83.9,27.1,29.6564,62.7508,18.8902,1,0.110638,0,20.4197,5.22118,11.98,4.96905,3.295,9113.3,9999,9999,253.1,4.97,1.87519,1.8713,1.87439,1.87429,1.87231,1.87363,1.87485,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-2.911,0.221,-1.712936798,-0.002774575,7.27494E-07,-2.16226E-10,-0.074493048,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,1,1.3,0.158691,4.99756,1.4978,2.2876,1.4978,2.36938,32.0684,15.9795,3,350.431,674.124,27.4412,28.5476,30.0016,28.2516,28.2253,-1,40,10,-999.9,400,20,100.909,107.378
2,1786458183,184.5,20260811 10:23:03,10:23:03,15,1786458175,0.000496417,0.496416954,3.152480292,553.214129,355.1584338,36.21109019,56.40436721,0.027402291,3.134850238,0.027269914,0.017055536,261.4496099,29.76826147,28.93043548,4.005611972,56.65418732,2.206132204,3.894032036,1.799479769,-21.89198767,-82.32120947,-5.763360038,151.4730528,2.821520595,0.469069133,3.152480292,569.7021196,564.9197939,-0.293287282,92.56102401,0.496416954,20.54073919,21.70544965,4.36153E-05,95.48230424,0,0,1,0,53630.05188,1499.997742,1273.858008,0.849239951,0.174300002,9,0.5,0: Broadleaf,2,TRUE,1786458175,553.214129,560.6061613,21.63774839,20.5367,556.545129,21.41474839,375.1220968,101.8576129,0.099955152,28.44334516,28.93043548,999.9,0,0,10005.54645,690.8612258,0.218638,-7.130118677,565.7426452,572.3604839,1.145524839,560.6061613,20.5367,2.208500323,2.091820968,19.02410323,18.15703226,1499.997742,0.691999774,0.308000161,31,28282.48065,1786458203,10:23:23,1786458203,1786458201,3,-0.328,-0.012,-3.331,0.223,515,21,0.54,0.07,-7.825125,25.81699497,3.281939285,0,1.1425265,0.073826567,0.007477872,1,1,2,1/2,2.63505,2.71259,0.120878,0.119811,0.110379,0.106646,24657.3,24410.9,25518.6,25498.4,31370.4,31042.2,39212,38369.5,1.69753,2.14377,0.0508875,0,28.1276,999.9,84.1,27.6,30.612,61.9508,18.5176,1,0.163725,0,20.4195,5.22043,11.98,4.9689,3.29503,9113.3,9999,9999,253.1,4.96998,1.87527,1.87132,1.87439,1.87434,1.87231,1.87363,1.87485,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-3.331,0.223,-1.712936798,-0.002774575,7.27494E-07,-2.16226E-10,-0.077072925,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,4.1,2.7,0.158691,4.99756,1.4978,2.2876,1.4978,2.40234,32.7313,15.962,3,351.448,670.965,28.0597,29.2869,30.0013,29.0149,28.996,-1,40,10,-999.9,400,20,100.78,107.229
3,1786458303,304.5,20260811 10:25:03,10:25:03,15,1786458295,0.000562342,0.562342038,3.082380054,520.5262903,342.1416027,34.88129021,53.06758504,0.029958175,3.134247276,0.029799998,0.018639141,261.4495285,30.12293355,29.28359677,4.088246049,55.89608791,2.223954417,3.978729997,1.864291633,-24.79928387,-79.31944974,-5.574290852,151.756504,4.744068606,0.538963855,3.082380054,543.4031007,534.1769212,0.167410179,92.57145658,0.562342038,20.55781847,21.87664336,7.70847E-05,95.58009037,0,0,1,0,53549.85564,1499.997419,1273.857837,0.849240019,0.174299986,9,0.5,0: Broadleaf,2,TRUE,1786458295,520.5262903,532.5810323,21.81419677,20.54935484,523.5782903,21.59519677,375.1347097,101.849871,0.099994052,28.81417742,29.28359677,999.9,0,0,10003.55355,692.1210645,0.218638,-12.32767903,531.8783548,543.7549032,1.30704871,532.5810323,20.54935484,2.226070645,2.092948387,19.15117742,18.16560968,1499.997419,0.69200029,0.307999742,32,28282.48387,1786458343,10:25:42,1786458343,1786458322,4,0.245,-0.005,-3.052,0.219,508,21,0.91,0.07,-15.67368415,69.12314467,7.759184196,0,1.30665439,0.014051289,0.003392985,1,1,2,1/2,2.63489,2.71267,0.116045,0.115432,0.110903,0.106577,24773.9,24511.2,25500.8,25477.7,31331.1,31020.4,39185.4,38339.8,1.6942,2.13622,0.0539944,0,28.4276,999.9,83.6,27.9,30.9684,62.9408,18.109,1,0.195244,0,20.4208,5.21744,11.98,4.9691,3.29503,9113.3,9999,9999,253.2,4.97001,1.87528,1.87134,1.87439,1.87433,1.8724,1.87366,1.87486,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-3.052,0.219,-2.040650782,-0.002774575,7.27494E-07,-2.16226E-10,-0.08901946,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,1.7,1.7,0.158691,4.99756,1.49902,2.2876,1.4978,2.28516,33.1099,15.927,3,352.164,669.539,28.4432,29.6962,30.0014,29.4459,29.4371,-1,40,10,-999.9,400,20,100.71,107.145
4,1786458423,424.5,20260811 10:27:03,10:27:03,15,1786458415,0.000692236,0.692235704,3.325821661,488.406,325.6617895,33.20215638,49.79439685,0.035659406,3.134287342,0.035435542,0.02216721,261.4494883,30.4671113,29.63723,4.172475854,55.17286951,2.243487672,4.066287818,1.928988183,-30.52759455,-75.50960745,-5.325736195,150.0865501,-4.375534761,0.670590398,3.325821661,487.1876353,489.6815758,-1.063288069,92.63758242,0.692235704,20.4138796,22.03860485,-5.01954E-05,96.98096752,0,0,1,0,53484.19659,1499.997,1273.857418,0.849239977,0.174300007,9,0.5,0: Broadleaf,2,TRUE,1786458415,488.406,478.6940667,22.00514333,20.43167667,491.279,21.79414333,375.1274667,101.8529,0.099977013,29.19036333,29.63723,999.9,0,0,10003.439,693.2330667,0.218638,9.576372667,499.2830333,488.6785333,1.625281,478.6940667,20.43167667,2.246562667,2.081024333,19.29828667,18.07465667,1499.997,0.6919998,0.308000167,32,28282.47,1786458444,10:27:24,1786458443,1786458444,5,0.145,-0.003,-2.873,0.211,500,20,0.89,0.06,10.48139425,-27.21690743,3.424013297,0,1.61380325,0.20797227,0.02091518,0,0,2,0/2,2.63393,2.71255,0.108741,0.107273,0.111375,0.10591,24958.3,24716.1,25481.6,25457.2,31291.9,31019.8,39156.7,38310.9,1.69097,2.12847,0.0544488,0,28.7845,999.9,82.5,28.2,31.0998,62.8808,18.4054,1,0.226933,0,20.4083,5.22043,11.98,4.9683,3.295,9113.3,9999,9999,253.2,4.97,1.87529,1.87134,1.87439,1.87435,1.87238,1.87366,1.87488,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-2.873,0.211,-1.795475821,-0.002774575,7.27494E-07,-2.16226E-10,-0.093700593,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,1.3,1.7,0.157471,4.99756,1.4978,2.28638,1.4978,2.39502,33.4456,15.9445,3,352.852,667.731,28.8251,30.1031,30.0014,29.866,29.8647,-1,40,10,-999.9,400,20,100.636,107.062
5,1786458543,544.5,20260811 10:29:03,10:29:03,15,1786458535,0.000773442,0.773441525,2.895795231,479.2768387,341.9499405,34.86682357,48.86931973,0.0376531,3.1336107,0.037403546,0.023399499,261.4501699,30.85426439,30.05035161,4.272787195,53.60623669,2.231580706,4.162912459,2.041206489,-34.10877124,-76.52238214,-5.420323627,145.3986929,4.325486569,0.685958381,2.895795231,492.7382073,490.1734424,-0.452926977,92.63626869,0.773441525,20.27746627,22.00554364,0.008289694,96.92238136,0,0,1,0,53396.68476,1500.00129,1273.860734,0.849239759,0.174299963,9,0.5,0: Broadleaf,2,TRUE,1786458535,479.2768387,490.443,21.88581613,20.27612903,482.2358387,21.68181613,375.1356774,101.8646774,0.100023955,29.59739355,30.05035161,999.9,0,0,9999.193226,695.4168387,0.218638,-11.05025548,490.1456774,500.5930968,1.661989677,490.443,20.27612903,2.234719677,2.06542129,19.21336129,17.95496774,1500.00129,0.691999613,0.308000097,32,28282.52258,1786458575,10:29:35,1786458575,1786458566,6,-0.107,-0.003,-2.959,0.204,485,20,0.49,0.04,-14.5094739,80.34387052,9.057536053,0,1.637895366,0.452210383,0.050220506,0,0,2,0/2,2.63385,2.71253,0.108722,0.108487,0.111172,0.105184,24934.4,24655.4,25458.6,25430.8,31272.8,31015.3,39122,38273.4,1.68738,2.11947,0.0530556,0,29.2069,999.9,80.6,28.5,30.9132,62.7609,17.5441,1,0.265056,0,20.4091,5.21924,11.98,4.96865,3.295,9113.3,9999,9999,253.2,4.96999,1.87531,1.87134,1.87439,1.87433,1.87236,1.87364,1.87487,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-2.959,0.204,-1.650099346,-0.002774575,7.27494E-07,-2.16226E-10,-0.0966425,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,1.7,1.6,0.157471,4.99756,1.49902,2.28516,1.49902,2.36328,33.7606,15.927,3,353.539,665.137,29.2423,30.5614,30.0015,30.3243,30.3234,-1,40,10,-999.9,400,20,100.546,106.954
6,1786458663,664.5,20260811 10:31:03,10:31:03,15,1786458655,0.000819742,0.819742072,3.227464514,464.2234839,318.2739964,32.45159285,47.3327751,0.039128518,3.135302723,0.038859243,0.024311066,261.449416,31.15983328,30.34193226,4.344845896,53.39168225,2.263661908,4.239727637,2.081183988,-36.15062538,-72.14055618,-5.122617166,148.0356173,4.593090261,0.776253646,3.227464514,483.0479325,475.4764727,-0.033332136,92.63962402,0.819742072,20.38061218,22.30176848,0.000158459,97.08677395,0,0,1,0,53380.12189,1499.997419,1273.857792,0.849239989,0.174299911,9,0.5,0: Broadleaf,2,TRUE,1786458655,464.2234839,476.1074839,22.2012129,20.38021935,467.1404194,22.0232129,375.1347097,101.8611935,0.099988387,29.91514194,30.34193226,999.9,0,0,10007.26097,696.8172258,0.218638,-11.88412548,474.8053871,486.0125806,1.906799677,476.1074839,20.38021935,2.270182903,2.075953871,19.46637097,18.03586129,1499.997419,0.69200129,0.307998742,32.25134516,28282.48387,1786458682,10:31:21,1786458575,1786458682,7,-0.107,-0.016,-2.959,0.178,485,20,0.49,0.08,-12.35147366,18.72331652,4.886827404,0,1.907989756,0.084350383,0.019850522,1,1,2,1/2,2.63301,2.71268,0.106289,0.108257,0.112112,0.1055,24987.1,24645.9,25444.4,25415.6,31223.3,30987,39100.8,38251.8,1.68452,2.11293,0.0604987,0,29.3832,999.9,79.8,28.8,31.1463,62.7309,18.4495,1,0.290318,0,20.4179,5.21909,11.98,4.9682,3.29505,9113.3,9999,9999,253.3,4.97,1.87531,1.87134,1.87445,1.87437,1.87239,1.87369,1.87491,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-2.919,0.178,-1.757510502,-0.002774575,7.27494E-07,-2.16226E-10,-0.099996485,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,1.5,1.6,0.157471,4.99756,1.4978,2.28516,1.4978,2.33398,34.0545,15.9095,3,354.085,663.59,29.5922,30.916,30.001,30.6903,30.6901,-1,40,10,-999.9,400,20,100.491,106.893
7,1786458783,784.5,20260811 10:33:03,10:33:03,15,1786458775,0.000908191,0.908190601,3.068455484,461.8152667,326.783904,33.32173106,47.09070407,0.040853285,3.133294426,0.040559657,0.025375991,261.4498313,31.48134793,30.67590667,4.428680392,51.33951355,2.21988621,4.323933081,2.208794182,-40.05120549,-70.63649424,-5.035852653,145.7262789,1.765180229,0.787970876,3.068455484,471.0876302,469.5771212,-0.601721575,92.63937187,0.908190601,19.8709549,21.90807333,0.008999085,97.0739125,0,0,1,0,53273.11913,1499.999333,1273.859413,0.849239986,0.174299965,9,0.5,0: Broadleaf,2,TRUE,1786458775,461.8152667,466.9232667,21.77027,19.92095667,464.8482667,21.58427,375.1310667,101.8687333,0.099970323,30.25774667,30.67590667,999.9,0,0,9997.351333,698.5932667,0.218638,-4.986795787,472.2399,476.4142,1.897343667,466.9232667,19.92095667,2.222601667,2.029320667,19.12607667,17.67495333,1499.999333,0.692000467,0.307999533,33,28282.51333,1786458815,10:33:35,1786458815,1786458802,8,-0.111,0.008,-3.033,0.186,466,20,1.43,0.03,-12.85149584,132.5151375,13.60087052,0,1.843032,1.287262514,0.129349452,0,0,2,0/2,2.63268,2.71273,0.10516,0.103904,0.110725,0.103739,25001.4,24747.2,25428.1,25397.2,31254.2,31026.6,39076.5,38225.3,1.68088,2.10645,0.056304,0,29.7847,999.9,76.8,29.1,30.4971,63.0309,17.516,1,0.317691,0,20.4199,5.21834,11.98,4.9682,3.295,9113.3,9999,9999,253.3,4.97,1.87531,1.87134,1.87441,1.8743,1.87241,1.87369,1.87486,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-3.033,0.186,-1.757510502,-0.002774575,7.27494E-07,-2.16226E-10,-0.115844165,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,3.5,1.7,0.157471,4.99756,1.49902,2.28394,1.4978,2.30591,34.3269,15.892,3,354.093,661.854,29.9384,31.2415,30.0012,31.0316,31.0372,-1,40,10,-999.9,400,20,100.428,106.817
8,1786458903,904.5,20260811 10:35:03,10:35:03,15,1786458895,0.000958822,0.958822029,3.634164917,449.0858387,296.3467099,30.21924834,45.7944564,0.04207956,3.13616289,0.041768395,0.026133012,261.4496843,31.7976377,31.00560645,4.512820646,51.05277315,2.249587551,4.406396385,2.263233095,-42.28405148,-70.66265455,-5.049538063,143.4534402,11.12254197,0.878017881,3.634164917,490.7253945,469.0378364,1.28388813,92.6403451,0.958822029,20.06647424,22.18876848,0.012161245,97.13362004,0,0,1,0,53282.1644,1499.998065,1273.85829,0.849239955,0.174300014,9,0.5,0: Broadleaf,2,TRUE,1786458895,449.0858387,476.7166129,22.06070323,20.00066774,452.0796452,21.84870323,375.1310968,101.8726452,0.099967765,30.58767419,31.00560645,999.9,0,0,10010.06387,700.1106129,0.218638,-27.63083548,459.2349355,486.4464516,2.098725161,476.7166129,20.00066774,2.251324516,2.03752129,19.33225806,17.73880645,1499.998065,0.691999613,0.308000323,33,28282.46774,1786458930,10:35:30,1786458815,1786458930,9,-0.111,0.004,-3.033,0.212,466,21,1.43,0.04,-24.5751122,-44.2052446,8.403646491,0,2.093572195,-0.203022439,0.048191214,0,0,2,0/2,2.63235,2.71269,0.105214,0.110739,0.111613,0.104866,24982.2,24539.1,25411.5,25378.3,31203.6,30966.7,39051.4,38198.6,1.67838,2.09942,0.0542626,0,30.1441,999.9,75.9,29.4,30.663,62.0709,17.524,1,0.344624,0,20.4202,5.21759,11.9801,4.96775,3.295,9113.3,9999,9999,253.3,4.97,1.87531,1.87134,1.8744,1.87437,1.87241,1.8737,1.87493,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-3.018,0.212,-1.868265615,-0.002774575,7.27494E-07,-2.16226E-10,-0.107543686,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,1.5,1.7,0.157471,4.99756,1.49902,2.28271,1.49902,2.36816,34.6006,15.9007,3,354.597,659.451,30.2744,31.5687,30.0011,31.3623,31.3705,-1,40,10,-999.9,400,20,100.363,106.741
9,1786459023,1024.5,20260811 10:37:03,10:37:03,15,1786459015,0.000951493,0.951492985,3.384640293,478.8375484,334.8920515,34.15065529,48.82951381,0.042193008,3.131271922,0.041879685,0.02620276,261.4500254,32.06001877,31.24891935,4.575804434,52.26846182,2.3374966,4.47209755,2.238307834,-41.96084065,-67.89827531,-4.871638064,146.7192714,1.623844685,0.915941176,3.384640293,493.9384157,487.6782364,-0.204278236,92.58925644,0.951492985,20.78198244,23.01023916,0.000191077,95.8358852,0,0,1,0,53122.8946,1500,1273.86001,0.849240007,0.174300017,9,0.5,0: Broadleaf,2,TRUE,1786459015,478.8375484,483.7855806,22.92222581,20.77513871,481.9685484,22.71222581,375.1367097,101.8750968,0.10001769,30.84670968,31.24891935,999.9,0,0,9987.496452,701.5332581,0.218638,-4.877862871,490.1793226,494.0495806,2.21967129,483.7855806,20.77513871,2.342598387,2.116467742,19.97233871,18.34367742,1500,0.691999774,0.308000226,33,28282.50645,1786459053,10:37:32,1786459053,1786459048,10,-0.032,-0.01,-3.131,0.21,491,21,1.15,0.05,-6.119770707,14.79427422,3.237773188,0,2.21603,0.038642509,0.00932104,1,1,2,1/2,2.63222,2.71258,0.107969,0.108202,0.114348,0.106919,24894.2,24597.5,25401.2,25367.1,31095.2,30882.3,39035.6,38182.8,1.6765,2.09458,0.0638217,0,30.2224,999.9,76.6,29.7,31.4873,62.4909,17.7083,1,0.3625,0,20.419,5.21774,11.9809,4.968,3.295,9113.3,9999,9999,253.4,4.97001,1.87531,1.87136,1.87452,1.87439,1.87241,1.87375,1.87491,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-3.131,0.21,-1.868265615,-0.002774575,7.27494E-07,-2.16226E-10,-0.103604746,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,3.5,1.6,0.157471,4.99756,1.49902,2.28271,1.4978,2.27905,34.8525,15.8657,3,355.051,658.106,30.5645,31.831,30.0006,31.6264,31.6301,-1,40,10,-999.9,400,20,100.322,106.695
10,1786459143,1144.5,20260811 10:39:03,10:39:03,15,1786459135,0.000988084,0.988084116,3.318169973,463.2548,324.0082189,33.04165158,47.24171425,0.042873302,3.13364057,0.042550078,0.026622636,261.4500431,32.29841225,31.47741667,4.635648735,51.77916571,2.348646396,4.535890765,2.287002339,-43.57450953,-64.59396337,-4.641956715,148.6396135,-2.071234586,1.073749918,3.318169973,465.5529547,467.1399212,-0.977176113,92.59484744,0.988084116,20.49494461,22.97905944,-0.016317393,95.92941248,0,0,1,0,53134.67989,1499.999667,1273.859757,0.849240027,0.174300068,9,0.5,0: Broadleaf,2,TRUE,1786459135,463.2548,459.4790333,23.03095333,20.51423,466.2658,22.82695333,375.1379333,101.8778333,0.099985897,31.09507,31.47741667,999.9,0,0,9998.038333,702.5341,0.218638,3.729528,474.1635333,469.1024333,2.588628667,459.4790333,20.51423,2.353669667,2.089946333,20.04840333,18.14274,1499.999667,0.6919991,0.3080009,33,28282.51333,1786459182,10:39:42,1786459182,1786459172,11,-0.014,0.002,-3.011,0.204,434,21,0.92,0.05,6.008270976,-37.47737017,4.264920586,0,2.56661122,0.073958467,0.072970418,1,1,2,1/2,2.63204,2.71264,0.104512,0.103425,0.114208,0.105719,24986.6,24724.2,25397.7,25362.3,31095.8,30918.4,39029.9,38176.3,1.67537,2.09207,0.0698566,0,30.3675,999.9,75.6,30,31.6147,63.0909,17.5962,1,0.371484,0,20.4189,5.21744,11.98,4.96775,3.295,9113.3,9999,9999,253.4,4.97,1.87533,1.87138,1.8745,1.87437,1.87241,1.87375,1.8749,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-3.011,0.204,-1.899813852,-0.002774575,7.27494E-07,-2.16226E-10,-0.114052292,-0.001584374,0.000939206,-5.31953E-06,23,2146,2,22,1.5,1.6,0.157471,4.99756,1.49902,2.28271,1.4978,2.28638,35.0825,15.8657,3,355.358,657.884,30.8148,31.9728,30.0007,31.7921,31.8072,-1,40,10,-999.9,400,20,100.308,106.676
