obs,time,elapsed,date,hhmmss,averaging,kam,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,αVc,Edyn,Hr,Hs,dHs/dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccH2O_des,CO2_hrs,AccH2O_hum,AccCO2_soda,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
1,1786545524,0,20260812 22:38:44,22:38:44,15,,1786545516,0.000705323,0.705322807,1.682388022,370.471372,239.5972408,24.32875503,37.61774228,0.023383929,1.389233746,0.023167445,0.014498936,287.4352313,34.5047851,32.47366875,4.904606594,41.16014553,1.917100812,4.657662862,2.987505782,-31.10473578,-68.36868298,-11.16264878,176.7991637,-3.189832757,0.736605729,1.682388022,368.1762958,371.2994606,-0.959348965,60.8541089,0.705322807,17.85017941,18.84900061,-0.001323801,69.65,61,15,1.004804863,0.480486256,25512.94479,1500.024375,1261.235775,0.840810187,0.191620374,6,0.5,0: Broadleaf,2,TRUE,1786545516,370.5109375,366.3598125,18.8802125,17.85135625,384.7445,19.221375,419.40325,101.4401875,0.1000262,31.560825,32.47366875,999.9,0,0,5001.71875,0,55.11268125,4.151225875,377.6408125,373.0185625,1.028881875,366.3598125,17.85135625,1.91521125,1.810841875,16.76023125,15.8807,1500.024375,0.972992875,0.027007094,0,3.1384375,0,29144.3125,12844.05625,41.933125,43.9409375,42.937,42.511625,42.0155,1459.514375,40.51,0,1786545520,0,1786545502,22:38:22,1786545502,1786545491,1,-2.061,-0.989,-14.234,-0.341,383,18,0.37,0.03,3.7154003,14.68727468,1.952409391,0,0.917829165,1.624844901,0.257474228,0,0,2,0/2,2.99563,2.7595,0.087766,0.0858648,0.0958184,0.0898973,32444,23335.8,33665.5,25803.7,38861.9,31791.6,49161.3,40315.6,1.71965,2.7041,0.230242,0,28.7244,999.9,75.43,28.893,29.7214,29.0046,-100,3,0.108532,0,20.2436,5.20516,11.9556,4.96975,3.294,9999,153,9999,7168.5,4.97359,1.87286,1.87073,1.87231,1.8728,1.87377,1.87319,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-14.234,-0.3411,-14.23363636,0,0,0,-0.34115,0,0,0,-1,-1,-1,-1,0.4,0.6,0.157471,4.99756,2.64526,2.72339,2.8479,2.2168,32.4875,15.9007,2,344.141,1268.44,29.5691,28.9539,30.0012,28.8369,28.7757,-1,40,10,-999.9,400,20,102.174,94.6205
2,1786545656,132,20260812 22:40:56,22:40:56,15,,1786545648,0.000410429,0.410429153,1.479605341,382.4780273,192.3304331,19.53259174,38.8434999,0.013504903,1.38854104,0.013432355,0.008401707,287.43228,34.78145425,32.53326,4.921116206,40.98184172,1.922555985,4.691238617,2.998560221,-18.09992567,-63.3217517,-10.35325556,195.6573471,0.466547653,0.409286907,1.479605341,392.4119534,389.9489879,0.050531626,60.8541089,0.410429153,18.38279532,18.96111697,0.000119213,69.65,62,15,1.004890056,0.489005647,25481.58036,1500.012,1261.22508,0.840809994,0.191619987,6,0.5,0: Broadleaf,2,TRUE,1786545648,382.5128667,383.4058,18.93072,18.35606,396.7464667,19.27186,417.1654,101.4574667,0.100001027,31.68738,32.53326,999.9,0,0,4997.459333,0,76.60364667,-0.892935933,389.8937333,390.5751333,0.574656667,383.4058,18.35606,1.920664,1.86236,16.80502,16.32024,1500.012,0.972998067,0.027001733,0,2.409,0,25361.63333,12843.96667,41.937,43.9916,42.937,42.583,42.00413333,1459.512,40.5,0,1786545652,0,1786545502,22:38:22,1786545502,1786545491,1,-2.061,-0.989,-14.234,-0.341,383,18,0.37,0.03,-2.11305215,19.73733947,3.861246779,0,0.5882791,-0.237791188,0.025890245,0,0,2,0/2,2.99263,2.75943,0.0910806,0.0874807,0.0962305,0.0918142,32302.3,23276.8,33642.4,25785.5,38822.7,31698.7,49131.7,40289.1,1.7073,2.7024,0.243135,0,28.606,999.9,75.803,29.054,30.1419,29.1546,-100,3,0.133034,0,20.2441,5.20486,11.956,4.9697,3.294,9999,153.1,9999,7168.5,4.97358,1.87286,1.87067,1.87225,1.87282,1.87378,1.87318,1.87774,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-14.234,-0.3411,-14.23363636,0,0,0,-0.34115,0,0,0,-1,-1,-1,-1,2.6,2.8,0.15625,4.99756,2.64526,2.72461,2.8479,2.22534,32.5982,15.892,2,340.037,1272.32,29.6397,29.2968,30.0006,29.1466,29.0597,-1,40,10,-999.9,400,20,102.109,94.5565
3,1786545776,252,20260812 22:42:56,22:42:56,15,,1786545768,0.000429614,0.429614104,2.272989724,395.0956894,120.0243385,12.18949439,40.12533413,0.013931022,1.388204196,0.013853819,0.008665538,287.4306333,34.97582321,32.79970667,4.995527631,41.17027941,1.95389794,4.745894289,3.041629691,-18.945982,-67.95500614,-11.13924457,189.3904006,0.56906761,0.448598598,2.272989724,406.7846836,402.2632,0.204913911,60.8541089,0.429614104,18.62523569,19.23141879,-0.000135403,69.65,61,15,1.00481591,0.481591005,25454.69907,1500.003333,1261.2178,0.840809998,0.191619996,6,0.5,0: Broadleaf,2,TRUE,1786545768,395.1492667,396.2174667,19.23913333,18.6102,409.3828667,19.58028,417.6766,101.4585333,0.09998834,31.89171333,32.79970667,999.9,0,0,4995.75,0,58.71529333,-1.068009033,402.9008,403.7308,0.628921467,396.2174667,18.6102,1.951974667,1.888165333,17.06005333,16.53641333,1500.003333,0.972999933,0.026999787,0,2.822666667,0,24316.98667,12843.92667,42.062,44.0496,43,42.7458,42.125,1459.503333,40.5,0,1786545772,0,1786545502,22:38:22,1786545502,1786545491,1,-2.061,-0.989,-14.234,-0.341,383,18,0.37,0.03,0.829189225,-55.99653968,5.615236114,0,0.62116115,0.02101015,0.024520055,1,1,2,1/2,2.9927,2.75953,0.0933476,0.0928378,0.0972541,0.09275,32216.6,23135.6,33637.4,25780.8,38770.6,31660.3,49125.6,40283.1,1.70777,2.69815,0.23197,0,29.0387,999.9,75.852,29.185,30.39,28.9446,-100,3,0.138735,0,20.2442,5.20471,11.956,4.9697,3.294,9999,153.1,9999,7168.5,4.97359,1.87287,1.87072,1.8723,1.87285,1.87377,1.87321,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-14.234,-0.3411,-14.23363636,0,0,0,-0.34115,0,0,0,-1,-1,-1,-1,4.6,4.8,0.15625,4.99756,2.64526,2.72339,2.8479,2.23267,32.6869,15.8832,2,340.919,1268.59,29.7759,29.3924,30.0002,29.2626,29.1727,-1,40,10,-999.9,400,20,102.096,94.5412
4,1786545896,372,20260812 22:44:56,22:44:56,15,,1786545888,0.000427813,0.427812818,5.298316665,403.7165797,-219.0533706,-22.2462809,41.00001936,0.013778379,1.390114564,0.013702957,0.00857109,287.4336733,35.1443476,32.97108667,5.043905201,41.37780607,1.982955878,4.792317588,3.060949323,-18.86654528,-68.00555417,-11.15099715,189.4105767,17.16803925,0.395003786,5.298316665,455.1103988,429.3296788,3.088210964,60.8541089,0.427812818,19.01203341,19.57022727,0.006756814,69.65,61,15,1.004808115,0.480811503,25495.769,1500.019333,1261.23124,0.84080999,0.191619979,6,0.5,0: Broadleaf,2,TRUE,1786545888,403.8412667,428.6461333,19.52565333,18.97131333,418.0749333,19.8668,417.1457333,101.4564667,0.0999752,32.06366667,32.97108667,999.9,0,0,5005.25,0,137.6618667,-24.80498,411.8837333,436.936,0.554335267,428.6461333,18.97131333,1.981006,1.924764,17.29332,16.83860667,1500.019333,0.973000667,0.026999007,0,2.471666667,0,23694.84667,12844.04,42.1374,44.125,43.0746,42.8456,42.25,1459.519333,40.5,0,1786545892,0,1786545502,22:38:22,1786545502,1786545491,1,-2.061,-0.989,-14.234,-0.341,383,18,0.37,0.03,-20.00566381,-89.8763213,10.316223,0,0.578377238,-0.356903143,0.037842751,0,0,2,0/2,2.99209,2.75944,0.0981843,0.098688,0.0985924,0.0939945,32045.1,22983.9,33637.7,25778,38709,31614.1,49126.6,40280.5,1.7075,2.69898,0.220995,0,29.3857,999.9,75.791,29.285,30.5435,29.1546,-100,3,0.138272,0,20.2441,5.20471,11.956,4.96975,3.294,9999,153.1,9999,7168.5,4.97358,1.87286,1.87072,1.87232,1.87284,1.87378,1.87322,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-14.234,-0.3412,-14.23363636,0,0,0,-0.34115,0,0,0,-1,-1,-1,-1,6.6,6.8,0.15625,4.99756,2.64526,2.72217,2.8479,2.25098,32.7758,15.8832,2,340.982,1270.76,29.9244,29.3974,30.0001,29.297,29.2152,-1,40,10,-999.9,400,20,102.097,94.5334
5,1786546016,492,20260812 22:46:56,22:46:56,15,,1786546008,0.000596788,0.596788261,1.177003588,392.8439439,277.9303391,28.22638286,39.89691662,0.019301491,1.389735495,0.019153793,0.011984296,287.4274667,35.18979916,33.05158667,5.066769294,41.68904349,2.012707671,4.827905613,3.054061624,-26.3183623,-64.21536481,-10.54331467,186.3504249,2.4048123,0.567945148,1.177003588,398.7137365,400.2437515,-0.557895881,60.8541089,0.596788261,18.99549098,19.83640424,0.000318934,69.65,60,14,1.004733027,0.473302665,25473.75541,1499.986667,1261.2038,0.840810007,0.191620014,6,0.5,0: Broadleaf,2,TRUE,1786546008,392.8716667,396.6428,19.81807333,19.01961333,407.1053333,20.1592,416.312,101.4592,0.099999867,32.19450667,33.05158667,999.9,0,0,5003.25,0,80.96263333,-3.771200667,400.8151333,404.3332667,0.798452133,396.6428,19.01961333,2.010722667,1.929712667,17.52902667,16.8791,1499.986667,0.973000467,0.026999253,0,2.893333333,0,23241.86667,12843.79333,42.2164,44.1746,43.17873333,42.92873333,42.312,1459.486667,40.5,0,1786546012,0,1786545502,22:38:22,1786545502,1786545491,1,-2.061,-0.989,-14.234,-0.341,383,18,0.37,0.03,-10.71574667,93.59110286,11.27321277,0,0.791366429,0.166243013,0.033752163,0,0,2,0/2,2.99194,2.75948,0.0927318,0.0901198,0.099609,0.0938973,32238.7,23202.2,33637.6,25777.9,38659.4,31616.2,49126.6,40280.6,1.70837,2.69945,0.213534,0,29.5954,999.9,75.021,29.406,30.4429,29.1846,-100,3,0.137721,0,20.244,5.20486,11.956,4.9696,3.294,9999,153.2,9999,7168.5,4.97359,1.87288,1.87073,1.87235,1.87284,1.87378,1.87321,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-14.234,-0.3411,-14.23363636,0,0,0,-0.34115,0,0,0,-1,-1,-1,-1,8.6,8.8,0.15625,4.99756,2.64526,2.72217,2.8479,2.24609,32.8647,15.8482,2,341.474,1271.85,30.0526,29.3974,30.0001,29.3104,29.2327,-1,40,10,-999.9,400,20,102.097,94.5335
6,1786546136,612,20260812 22:48:56,22:48:56,15,,1786546128,0.000675963,0.675963169,3.230932318,389.9707741,139.7022376,14.18826357,39.60572301,0.021964199,1.388692075,0.021773015,0.013625173,287.4294933,35.29176181,33.13394,5.090253043,42.0845987,2.048013759,4.866421023,3.042239284,-29.80997576,-59.80189664,-9.836815437,187.9808055,3.170166799,0.641714915,3.230932318,402.5171143,397.6080485,0.027366877,60.8541089,0.675963169,19.30055989,20.21051879,0.006704229,69.65,60,14,1.004740879,0.474087885,25431.76258,1499.997333,1261.21276,0.840810001,0.191620003,6,0.5,0: Broadleaf,2,TRUE,1786546128,390.047,394.9564,20.16540667,19.26332667,404.2806,20.50655333,416.2024667,101.4607333,0.10001338,32.33516667,33.13394,999.9,0,0,4998.041333,0,58.67446667,-4.909267267,398.0743333,402.7139333,0.902087267,394.9564,19.26332667,2.045997333,1.954471333,17.80486667,17.0802,1499.997333,0.973001267,0.026998393,0,1.797,0,22878.51333,12843.86667,42.312,44.25,43.25,43,42.437,1459.497333,40.5,0,1786546132,0,1786545502,22:38:22,1786545502,1786545491,1,-2.061,-0.989,-14.234,-0.341,383,18,0.37,0.03,-4.82418395,-17.33551439,3.602178143,0,0.91035465,-0.166144737,0.018571322,0,0,2,0/2,2.9922,2.75949,0.0924357,0.0943352,0.101083,0.0950395,32250,23093.3,33638.2,25776.1,38589.9,31574.6,49127.9,40279.3,1.70968,2.69813,0.205003,0,29.7968,999.9,74.716,29.537,30.5473,29.1846,-100,3,0.136159,0,20.244,5.20486,11.9554,4.9697,3.294,9999,153.2,9999,7168.5,4.97362,1.87289,1.87073,1.87233,1.87285,1.87378,1.87323,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-14.234,-0.3412,-14.23363636,0,0,0,-0.34115,0,0,0,-1,-1,-1,-1,10.6,10.8,0.15625,4.99756,2.64526,2.72217,2.8479,2.26196,32.9537,15.8394,2,342.064,1269.89,30.1775,29.3848,30.0001,29.3053,29.2327,-1,40,10,-999.9,400,20,102.099,94.529
7,1786546256,732.0999999,20260812 22:50:56,22:50:56,15,,1786546248,0.00081369,0.813690288,2.361117049,395.6178417,238.3152911,24.20276656,40.17806087,0.026884482,1.389144897,0.026598741,0.016649633,287.4301256,35.30761488,33.14736667,5.094090734,42.88703821,2.097303105,4.890295978,2.99678763,-35.88374171,-54.33334178,-8.938766697,188.2742754,-3.643554965,0.778015162,2.361117049,391.7566041,396.3004909,-1.371952203,60.8541089,0.813690288,19.52873768,20.67266667,0.00089774,69.65,59,14,1.004660391,0.466039149,25437.76127,1500.000667,1261.215559,0.840809999,0.191619999,6,0.5,0: Broadleaf,2,TRUE,1786546248,395.6735333,390.8842667,20.65133333,19.557,409.9070667,20.99248667,415.7814,101.4577333,0.100024253,32.42187333,33.14736667,999.9,0,0,5000.416667,0,48.43491333,4.789101333,404.0169333,398.6816667,1.094336,390.8842667,19.557,2.095236667,1.984207333,18.18300667,17.31886667,1500.000667,0.973001733,0.026997973,0,3.077,0,22574.32,12843.90667,42.38326667,44.312,43.312,43.0998,42.5,1459.501333,40.5,0,1786546252,0,1786545502,22:38:22,1786545502,1786545491,1,-2.061,-0.989,-14.234,-0.341,383,18,0.37,0.03,1.842441905,51.44730234,5.500525375,0,1.07509619,0.446093766,0.046748408,0,0,2,0/2,2.99166,2.75945,0.0919093,0.0889316,0.102839,0.0956993,32267.6,23227,33637,25771.6,38504.9,31545.1,49126.7,40273.3,1.70935,2.69832,0.205468,0,29.8313,999.9,74.661,29.668,30.7556,28.7046,-100,3,0.136087,0,20.244,5.20366,11.956,4.9694,3.294,9999,153.2,9999,7168.5,4.97359,1.87289,1.87073,1.87234,1.87285,1.87375,1.8732,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-14.233,-0.3412,-14.23363636,0,0,0,-0.34115,0,0,0,-1,-1,-1,-1,12.6,12.8,0.15625,4.99756,2.64526,2.72217,2.8479,2.24121,33.0652,15.8307,2,341.895,1270.18,30.2704,29.3823,30,29.3029,29.2323,-1,40,10,-999.9,400,20,102.097,94.514
8,1786546376,852.0999999,20260812 22:52:56,22:52:56,15,,1786546368,0.001058452,1.058452311,3.325355969,322.3137472,157.7139014,16.0161933,32.7316694,0.035212669,1.389750016,0.034724421,0.021746066,287.4281,35.20447946,33.13968667,5.091895282,43.01463213,2.106135712,4.896323898,2.98575957,-46.67774692,-52.14574671,-8.575728814,180.0288776,-7.014153027,1.037612393,3.325355969,316.554111,318.8825697,-1.236557086,60.8541089,1.058452311,19.22173987,20.71644727,-0.00034715,69.65,59,14,1.004657466,0.465746585,25453.6662,1499.99,1261.2066,0.840810005,0.191620011,6,0.5,0: Broadleaf,2,TRUE,1786546368,322.3921333,312.8216,20.73944,19.28339333,336.6258,21.08061333,416.724,101.4522,0.099997767,32.44370667,33.13968667,999.9,0,0,5003.666667,0,50.26697333,9.570495333,329.2201333,318.9726667,1.456050667,312.8216,19.28339333,2.104067333,1.956346667,18.25,17.09534,1499.99,0.9730016,0.026998127,0,2.525,0,22339.84,12843.79333,42.4622,44.437,43.375,43.17046667,42.583,1459.49,40.5,0,1786546372,0,1786545502,22:38:22,1786545502,1786545491,1,-2.061,-0.989,-14.234,-0.341,383,18,0.37,0.03,10.54992048,-34.64148857,4.243457485,0,1.430519524,0.532644935,0.055398091,0,0,2,0/2,2.9918,2.75943,0.0780359,0.0755523,0.102969,0.0945523,32758.2,23569.1,33634.8,25773,38493.8,31585.6,49124,40275,1.7101,2.69688,0.197697,0,29.9069,999.9,73.092,29.789,30.3253,29.3346,-100,3,0.138847,0,20.2442,5.20441,11.956,4.9697,3.294,9999,153.3,9999,7168.5,4.97358,1.87288,1.87073,1.87232,1.87281,1.87377,1.87321,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-14.234,-0.3411,-14.23363636,0,0,0,-0.34115,0,0,0,-1,-1,-1,-1,14.6,14.8,0.15625,4.99756,2.64526,2.72217,2.8479,2.24243,33.1545,15.8219,2,342.358,1268.46,30.3698,29.401,30.0004,29.3216,29.2502,-1,40,10,-999.9,400,20,102.091,94.5185
9,1786546496,972.0999999,20260812 22:54:56,22:54:56,15,,1786546488,0.001384193,1.384192614,2.898119144,323.1796692,209.2676284,21.25049951,32.81792532,0.046615015,1.387682108,0.045762246,0.028676722,287.4301267,34.99248493,33.02676667,5.059710173,42.93861505,2.096396484,4.882310437,2.963313689,-61.04289427,-47.42029057,-7.803944098,171.1629977,-4.478346219,1.202494803,2.898119144,316.5161396,321.1070545,-1.517037603,60.8541089,1.384192614,18.61413262,20.61946424,-0.008186803,69.65,59,14,1.004667672,0.466767156,25398.27055,1500.000667,1261.21556,0.84081,0.191619999,6,0.5,0: Broadleaf,2,TRUE,1786546488,323.2481333,317.3932667,20.64459333,18.95802,337.4818,20.98576667,416.9696,101.447,0.0999983,32.39291333,33.02676667,999.9,0,0,4993.75,0,48.74104,5.854841733,330.0620667,323.5291333,1.686594,317.3932667,18.95802,2.094332667,1.923234,18.17614,16.82463333,1500.000667,0.973001467,0.026998233,0,1.958333333,0,22115.13333,12843.88667,42.562,44.39153333,43.4916,43.0956,42.625,1459.500667,40.5,0,1786546492,0,1786545502,22:38:22,1786545502,1786545491,1,-2.061,-0.989,-14.234,-0.341,383,18,0.37,0.03,1.052050286,85.83810343,9.085018357,0,1.598680476,2.469938182,0.279625383,0,0,2,0/2,2.99211,2.75952,0.0782536,0.0743337,0.102512,0.0922492,32737.5,23597.6,33622.1,25770.7,38503.7,31664.2,49106.9,40270.2,1.7106,2.6952,0.193361,0,29.8727,999.9,70.333,29.88,29.3364,28.7946,-100,3,0.150107,0,20.2443,5.20426,11.956,4.96945,3.294,9999,153.3,9999,7168.5,4.9736,1.87288,1.87073,1.87233,1.87284,1.87378,1.87323,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-14.234,-0.3411,-14.23363636,0,0,0,-0.34115,0,0,0,-1,-1,-1,-1,16.6,16.8,0.15625,4.99756,2.64526,2.72217,2.8479,2.23633,33.244,15.8132,2,343.098,1267.75,30.4009,29.5085,30.0006,29.41,29.3289,-1,40,10,-999.9,400,20,102.054,94.5084
10,1786546616,1092.1,20260812 22:56:56,22:56:56,15,,1786546608,0.000986253,0.986253349,3.744954479,373.3802401,182.651346,18.54619803,37.91258059,0.034109691,1.388718087,0.033651,0.021072573,287.4310133,35.17777662,32.91737333,5.0286992,44.23833248,2.158086648,4.878318253,2.870612552,-43.49377269,-40.35066509,-6.63150934,196.9550662,12.74512226,0.945168567,3.744954479,399.640825,389.6166182,0.779810876,60.8541089,0.986253349,20.03029731,21.33468606,0.012297519,69.65,59,14,1.004661862,0.466186247,25429.772,1500.005333,1261.21948,0.840809997,0.191619994,6,0.5,0: Broadleaf,2,TRUE,1786546608,373.4686,392.1955333,21.25381333,19.93148667,387.7024,21.59496667,417.7610667,101.4388,0.099997493,32.37842,32.91737333,999.9,0,0,4999.25,0,49.12932667,-18.726982,381.5788667,400.1712667,1.32233,392.1955333,19.93148667,2.15596,2.021825333,18.63875333,17.61614,1500.005333,0.9730016,0.026998053,0,2.809,0,21876.74,12843.95333,42.625,44.43286667,43.5124,43.2164,42.687,1459.505333,40.5,0,1786546612,0,1786545502,22:38:22,1786545502,1786545491,1,-2.061,-0.989,-14.234,-0.341,383,18,0.37,0.03,-18.0149665,17.11386632,9.509071426,0,1.377017,-0.926981053,0.091337082,0,0,2,0/2,2.9929,2.75944,0.0907442,0.0906166,0.105328,0.0975851,32282.4,23164.9,33610.6,25751.5,38363.2,31453.2,49092.2,40244.9,1.71102,2.6908,0.189625,0,29.8381,999.9,72.494,30.011,30.4679,29.0046,-100,3,0.161031,0,20.2442,5.20381,11.956,4.9697,3.29402,9999,153.3,9999,7168.5,4.97361,1.8729,1.87073,1.87236,1.87283,1.87378,1.87326,1.87775,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-14.234,-0.3412,-14.23363636,0,0,0,-0.34115,0,0,0,-1,-1,-1,-1,18.6,18.8,0.15625,4.99756,2.64526,2.72217,2.8479,2.2522,33.3559,15.7781,2,344,1263.8,30.4309,29.6551,30.0004,29.533,29.4416,-1,40,10,-999.9,400,20,102.021,94.4447
