IRGAName,species,cycle,treatment,replicate,logNum,adjA,adjGSW,aCheck,gswCheck
PNNL,LITU,Control,A,1,1,5,1,4,0.8
PNNL,LITU,Control,A,1,2,5,1,4,0.8
PNNL,LITU,Control,A,1,3,5,2,4,0.8
PNNL,LITU,Control,A,1,4,4.5,0,4,0.8
PNNL,LITU,Control,A,1,5,2,0,4,0.8
PNNL,LITU,Control,A,1,6,5,0,4,0.8
PNNL,LITU,Control,A,1,7,2,0,4,0.8
PNNL,LITU,Control,A,1,8,2,0,4,0.8
PNNL,LITU,Control,A,1,9,2,0,4,0.8
PNNL,LITU,Control,A,1,10,1,1,4,0.8
PNNL,LITU,Salt,B,2,1,5,1,4,0.8
PNNL,LITU,Salt,B,2,2,5,1,4,0.8
PNNL,LITU,Salt,B,2,3,5,1,4,0.8
PNNL,LITU,Salt,B,2,4,5,1,4,0.8
PNNL,LITU,Salt,B,2,5,5,1,4,0.8
PNNL,LITU,Salt,B,2,6,5,1,4,0.8
PNNL,LITU,Salt,B,2,7,5,1,4,0.8
PNNL,LITU,Salt,B,2,8,5,1,4,0.8
PNNL,LITU,Salt,B,2,9,5,1,4,0.8
PNNL,LITU,Salt,B,2,10,5,1,4,0.8
NoName,LITU,Salt,B,1,1,3,1,4,0.8
NoName,LITU,Salt,B,1,2,3,0,4,0.8
NoName,LITU,Salt,B,1,3,4,0,4,0.8
NoName,LITU,Salt,B,1,4,2,0,4,0.8
NoName,LITU,Salt,B,1,5,2,0,4,0.8
NoName,LITU,Salt,B,1,6,1,0,4,0.8
NoName,LITU,Salt,B,1,7,0,0,4,0.8
NoName,LITU,Salt,B,1,8,0,0,4,0.8
NoName,LITU,Salt,B,1,9,0,0,4,0.8
NoName,LITY,Salt,B,1,10,0,0,4,0.8
